"","V1","V2","V3"
"sig_1",-0.0627805648638201,0.147512163125769,0.331762699041588
"sig_2",-0.169702022473062,0.197212331996644,0.39026933339629
"sig_3",0.014047698813504,0.0856523960334949,0.301371084626424
"sig_4",0.0136228473504737,0.134921326961243,0.296326860803011
"sig_5",-0.0188693187816238,0.0996134960847099,0.35091822551411
"sig_6",-0.0234714408495763,0.139585479113753,0.316632448652757
"sig_7",-0.0702363405923397,0.171817891366129,0.339160799070939
"sig_8",-0.156706512523805,0.1995142240459,0.386367519242574
"sig_9",0.0403484651881329,0.0586825797491744,0.295445051751466
"sig_10",0.0491047302864178,0.0628918016986443,0.267968754713522
"sig_11",0.0467284281564771,0.0996876123024052,0.277450630677762
"sig_12",0.0389023688410246,0.0645660476530537,0.26934861585734
"sig_13",0.0329777861450011,0.076935153608565,0.294753557328103
"sig_14",0.0338382903695727,0.12164109623919,0.28882006665329
"sig_15",0.0299247817273533,0.0632369970853051,0.339702143749373
"sig_16",0.0329473951405861,0.0996242271808291,0.308255227078974
"sig_17",0.0193341464510359,0.123441250822208,0.296580853433624
"sig_18",0.0159425153694611,0.163051596185709,0.304804466982556
"sig_19",0.0269010633020556,0.0701234728250504,0.291593132537169
"sig_20",0.03736259448734,0.0929466066459778,0.336512076126634
"sig_21",0.0142927930593137,0.0964079354299185,0.319336682552481
"sig_22",0.00483864825291782,0.188896143374651,0.302185092503416
"sig_23",-0.00702256125500202,0.112105884902879,0.307109310275445
"sig_24",0.00225328166764663,0.143717634647292,0.313711820518445
"sig_25",0.00855715865833319,0.0900134283922317,0.33969014868486
"sig_26",-0.0308165116771975,0.173957756487509,0.321741462609145
"sig_27",-0.0138802655367496,0.121954938389641,0.349144887169579
"sig_28",-0.0733084863788611,0.179647983895296,0.344501608940086
"sig_29",-0.149669636487234,0.201279410086487,0.383305585578039
