"","sig_1","sig_2","sig_3","sig_4","sig_5","sig_6","sig_7","sig_8","sig_9","sig_10","sig_11","sig_12","sig_13","sig_14","sig_15","sig_16","sig_17","sig_18","sig_19","sig_20","sig_21","sig_22","sig_23","sig_24","sig_25","sig_26","sig_27","sig_28","sig_29","Goods.notifications..RTAs.","Services.notifications..EIAs.","Physical.RTAs"
"sig_1",1,0.932201976333961,0.958743199626595,0.974575315719695,0.981186610168587,0.994483719448358,0.99294011459772,0.936192556601906,0.926064072540784,0.893857954267493,0.927383965591809,0.901172084421618,0.940960865013322,0.957541081840396,0.954772230995297,0.9636753866492,0.96994662227184,0.98471835313582,0.936355543617151,0.965781287056416,0.972480735788896,0.98657443265073,0.978269416112276,0.990263868733914,0.97224337063053,0.995070923506116,0.977920636929402,0.984437058021311,0.938009067569641,0.322389311274157,0.362694007738309,0.320777533757807
"sig_2",0.932201976333961,1,0.819039580701243,0.840139831913275,0.913839011264069,0.894343684362613,0.953800881819787,0.998499275576261,0.768095645260869,0.72136260426913,0.760967962494953,0.732791734542334,0.789297478509632,0.807833129388674,0.835272169052658,0.827429413347131,0.831416916912599,0.872683798822341,0.784661384771411,0.864893452602052,0.854309258268473,0.885461660310715,0.855098569629408,0.88389827556741,0.881804537450699,0.921577558871,0.924089961597165,0.961410088972984,0.995497307744325,0.416090197450504,0.436838793069522,0.413508592840205
"sig_3",0.958743199626595,0.819039580701243,1,0.990872709897964,0.947354479393728,0.980119184613301,0.921858594410658,0.821673769405006,0.99407826019372,0.981927480454777,0.988284161773658,0.98488414806126,0.997770516334412,0.993982428465624,0.976963197175396,0.993594888886061,0.994460059646204,0.974521008509212,0.997260110206297,0.960533869296697,0.984828525366833,0.954231010492331,0.994237958536166,0.978382877934804,0.95997839485751,0.946343271140562,0.927430125161173,0.900519306529561,0.823800219614189,0.241267432120233,0.308397290587407,0.240110163949222
"sig_4",0.974575315719695,0.840139831913275,0.990872709897964,1,0.954031869036319,0.991120600940805,0.946063933049832,0.8440411207704,0.976047354686564,0.96150758621807,0.985774288956299,0.964512303679394,0.983986687222462,0.997332518245501,0.968282551285607,0.990813378495015,0.999164284031479,0.988273537715921,0.980873065885409,0.964279564410995,0.983124284325362,0.981635020102784,0.995101437650378,0.989788305334967,0.961558703706262,0.969196462660557,0.940472421568672,0.926866090873404,0.846609146225102,0.277232951722157,0.325504551702134,0.276425344987698
"sig_5",0.981186610168587,0.913839011264069,0.947354479393728,0.954031869036319,1,0.978973473084227,0.975638203032377,0.920215577354532,0.915253086107874,0.878269047725835,0.907425750711485,0.886670678036935,0.930347116563256,0.939556497513389,0.972089480748021,0.96456909027527,0.954191529322948,0.971542685371134,0.927416014533945,0.988615358615476,0.980514698597362,0.96322469379257,0.967282118219879,0.979860307099311,0.996092221502364,0.978648041506716,0.996943367530683,0.970058542879784,0.923859823302431,0.287518021483547,0.358965709015053,0.285860742827785
"sig_6",0.994483719448358,0.894343684362613,0.980119184613301,0.991120600940805,0.978973473084227,1,0.978181021916988,0.899318294640319,0.955347355814263,0.928827927867255,0.957322255865281,0.934695430922558,0.967674265437184,0.98082648055825,0.972478207921223,0.984333942486763,0.989077579625215,0.994955423401572,0.96341954085964,0.974448896704923,0.987226158086575,0.989738375780354,0.993444002533876,0.998125796114198,0.978521377745082,0.990814935211424,0.971363031159125,0.96546945698909,0.902332330022855,0.299829981243338,0.34571004162539,0.298603512203728
"sig_7",0.99294011459772,0.953800881819787,0.921858594410658,0.946063933049832,0.975638203032377,0.978181021916988,1,0.959915647361807,0.879935511817016,0.840231806682935,0.88145957590865,0.848881842627993,0.898989854200032,0.921991367544788,0.928504986532047,0.933501873185712,0.938814713569028,0.970949521462586,0.892760531657259,0.949377445613889,0.949366443470648,0.979490097766911,0.949604689527898,0.975743355104987,0.959145906589261,0.994489621681705,0.980730994420375,0.998141888234099,0.96274271781419,0.347293459206753,0.379998710834409,0.345730223001289
"sig_8",0.936192556601906,0.998499275576261,0.821673769405006,0.8440411207704,0.920215577354532,0.899318294640319,0.959915647361807,1,0.770109143363597,0.721449092424515,0.762551731403003,0.732997852614956,0.792041959251758,0.811430136746,0.841778460002382,0.832367470716964,0.835345092664538,0.880473457641728,0.786549901521017,0.870942191179172,0.860118018826089,0.892542353294955,0.85902550838905,0.890306971997065,0.888509445270246,0.929043639874173,0.932076502137249,0.968841532096243,0.999163502181437,0.413156418744634,0.434374365361318,0.410727702199882
"sig_9",0.926064072540784,0.768095645260869,0.99407826019372,0.976047354686564,0.915253086107874,0.955347355814263,0.879935511817016,0.770109143363597,1,0.991559762379231,0.989051786448254,0.992221635214089,0.998483443445908,0.986009754753141,0.964607399936688,0.981900983380982,0.981995482013226,0.950600210045522,0.997489960819591,0.936103886585514,0.96659351882525,0.922930937573189,0.979382883331441,0.953459567420973,0.933846531405833,0.910540904272186,0.890131108652033,0.855054094422774,0.772310735638823,0.211551402628284,0.291288209178561,0.210484439820816
"sig_10",0.893857954267493,0.72136260426913,0.981927480454777,0.96150758621807,0.878269047725835,0.928827927867255,0.840231806682935,0.721449092424515,0.991559762379231,1,0.988494418926443,0.999525651766749,0.987931940658566,0.976405610815604,0.935939121785307,0.96626275505409,0.968352122307853,0.924705028164161,0.991846644604142,0.908920093769869,0.943628044912614,0.897561744656904,0.95918385286885,0.927388615028263,0.901187443980116,0.875632599670267,0.849470578209501,0.811130280618148,0.722239661490685,0.197125244719721,0.268473008548981,0.196330506904295
"sig_11",0.927383965591809,0.760967962494953,0.988284161773658,0.985774288956299,0.907425750711485,0.957322255865281,0.88145957590865,0.762551731403003,0.989051786448254,0.988494418926443,1,0.988495321092127,0.989902842043683,0.994622815687984,0.951748619963353,0.980381855435927,0.98884456423581,0.953655639145343,0.989330553623366,0.934514967011833,0.961201087101704,0.938195535195438,0.978806813249718,0.955138706740569,0.92565486676801,0.914958962578517,0.884029761043578,0.854732668843766,0.764129930966525,0.23213163539459,0.293147272509134,0.231499032138328
"sig_12",0.901172084421618,0.732791734542334,0.98488414806126,0.964512303679394,0.886670678036935,0.934695430922558,0.848881842627993,0.732997852614956,0.992221635214089,0.999525651766749,0.988495321092127,1,0.989672729507805,0.978242453381392,0.941880787797307,0.970071605763624,0.971456658211831,0.929802606377701,0.99402509936921,0.915481941757279,0.949413419577586,0.902413289403051,0.963943422009142,0.932999787239736,0.908675745358743,0.882841463223802,0.858470492629836,0.820537115385322,0.733837664000823,0.201187399555812,0.270424580039155,0.200305711685122
"sig_13",0.940960865013322,0.789297478509632,0.997770516334412,0.983986687222462,0.930347116563256,0.967674265437184,0.898989854200032,0.792041959251758,0.998483443445908,0.987931940658566,0.989902842043683,0.989672729507805,1,0.991252469268017,0.971222001026653,0.988417258370084,0.989107037063271,0.964121524787314,0.998546287460459,0.948559728125001,0.975733345732058,0.938486301511888,0.9877133318296,0.966339977255284,0.94684863936956,0.927934878198489,0.908130170734552,0.87580521610488,0.794612340661413,0.226932439913292,0.298666940863125,0.22592455809985
"sig_14",0.957541081840396,0.807833129388674,0.993982428465624,0.997332518245501,0.939556497513389,0.98082648055825,0.921991367544788,0.811430136746,0.986009754753141,0.976405610815604,0.994622815687984,0.978242453381392,0.991252469268017,1,0.967841145765453,0.991767229397637,0.998681821200845,0.979474058210648,0.988906337838244,0.956606494095317,0.979670716953656,0.967005693433718,0.992614465402486,0.980132391037362,0.952447358950468,0.950621165265696,0.922266210946397,0.900011167663184,0.814150405140941,0.258536760932457,0.312974104962894,0.257865372561659
"sig_15",0.954772230995297,0.835272169052658,0.976963197175396,0.968282551285607,0.972089480748021,0.972478207921223,0.928504986532047,0.841778460002382,0.964607399936688,0.935939121785307,0.951748619963353,0.941880787797307,0.971222001026653,0.967841145765453,1,0.988030813086006,0.974231481233456,0.968654645009469,0.969383789213489,0.977087378830454,0.993250614886065,0.943419402229631,0.982375966191808,0.974461727612587,0.984169448040636,0.948919934014921,0.956540547793297,0.914490512267645,0.84684545093164,0.243024901288593,0.333024220048457,0.241625942095486
"sig_16",0.9636753866492,0.827429413347131,0.993594888886061,0.990813378495015,0.96456909027527,0.984333942486763,0.933501873185712,0.832367470716964,0.981900983380982,0.96626275505409,0.980381855435927,0.970071605763624,0.988417258370084,0.991767229397637,0.988030813086006,1,0.994439097152742,0.983785809448068,0.987848304566408,0.977047033139631,0.996114910947444,0.965433366679517,0.99386293323599,0.986907959637983,0.977800587455189,0.958622018580071,0.948710628841804,0.915231248851774,0.836008780341513,0.252726990836595,0.320761934442865,0.251784900957784
"sig_17",0.96994662227184,0.831416916912599,0.994460059646204,0.999164284031479,0.954191529322948,0.989077579625215,0.938814713569028,0.835345092664538,0.981995482013226,0.968352122307853,0.98884456423581,0.971456658211831,0.989107037063271,0.998681821200845,0.974231481233456,0.994439097152742,1,0.986489559739998,0.986718787770872,0.966431185638638,0.986502299278811,0.975376842969948,0.996729058628944,0.988268962698284,0.964241126583641,0.963611220705967,0.939033331005188,0.918972720024183,0.838119724045709,0.267249100408711,0.320703578292655,0.266414872169302
