"","V1","V2","V3"
"sig_1",-0.0770692834943449,0.208394085257329,0.533027537268439
"sig_2",-0.208325829942942,0.278606744400269,0.62702739715037
"sig_3",0.0172449241997978,0.121003260634735,0.484198758650134
"sig_4",0.0167233774772479,0.190606699257978,0.476094441287683
"sig_5",-0.0231639342794157,0.14072645235479,0.563803821432477
"sig_6",-0.0288134892188738,0.19719586248838,0.508718475019125
"sig_7",-0.0862219773979768,0.24273138935369,0.544913716909857
"sig_8",-0.192372570481111,0.281858684293289,0.62075853571643
"sig_9",0.0495316872170675,0.082902333395718,0.47467768012546
"sig_10",0.0602808590136817,0.0888488054642699,0.430532804930933
"sig_11",0.0573637157398247,0.140831158170667,0.445766889439299
"sig_12",0.0477564625185,0.0912140541785639,0.432749762983795
"sig_13",0.0404834578175688,0.108688196421685,0.473566688532429
"sig_14",0.0415398109130036,0.171845388497647,0.46403362791134
"sig_15",0.0367355963020582,0.0893364715341535,0.545783469964036
"sig_16",0.0404461498872246,0.140741612439937,0.49525918680639
"sig_17",0.0237345557050919,0.174388511448855,0.476502519310898
"sig_18",0.0195709968409477,0.230347027098408,0.489715012728957
"sig_19",0.0330236862063887,0.0990651663211712,0.468488982545935
"sig_20",0.0458662389048661,0.131307972572014,0.540658138232673
"sig_21",0.0175458013574619,0.136197877447771,0.513063240539584
"sig_22",0.00593991396450477,0.266858258824683,0.485506586851539
"sig_23",-0.00862088076767469,0.158374759350451,0.493418096130795
"sig_24",0.00276612362457722,0.203033460923178,0.50402603905142
"sig_25",0.0105047491684221,0.127164199027476,0.545764198057534
"sig_26",-0.0378302820293121,0.245754429793917,0.516926887643294
"sig_27",-0.0170393834771453,0.172288761074292,0.560954682052887
"sig_28",-0.089993336815788,0.253793154943211,0.553494545133706
"sig_29",-0.183734116919058,0.284352406318866,0.61583907079409
