"","V1","V2","V3"
"AFG",0.857109957251525,-0.352775405906732,-0.887596806899704
"AGO",0.542578947033725,-0.315685705355901,-0.904926203923808
"ANT",0.857109957251525,-0.352775405906732,-0.887596806899704
"ARE",0.542578947033725,-0.315685705355901,-0.904926203923808
"ARG",0.202161937097234,-0.374188867561701,-0.667404269357862
"ATG",1.11986896803193,-0.581050831970836,-0.360564746695496
"AUS",0.361376949002863,-0.984835744652341,0.879033117206551
"AUT",0.0890557959937511,1.61916487633377,0.646873847204305
"AZE",-0.0864830734018755,-0.241506304254232,-0.939584997972019
"BEL",0.0890557959937511,1.61916487633377,0.646873847204305
"BEN",0.228047936815925,-0.278596004805066,-0.922255600947913
"BGD",-0.401014083619676,-0.204416603703401,-0.956914394996125
"BGR",0.0890557959937511,1.61916487633377,0.646873847204305
"BHS",1.11986896803193,-0.581050831970836,-0.360564746695496
"BLR",-0.715545093837476,-0.167326903152566,-0.974243792020229
"BRA",-0.112369073120566,-0.33709916701087,-0.684733666381968
"BRN",0.098617938222447,-0.756560318588238,0.352001057002343
"BWA",0.228047936815925,-0.278596004805066,-0.922255600947913
"CAN",-0.215913071995346,-0.719470618037403,0.334671659978238
"CHE",-4.4083602037015,-0.6196759619031,1.12879482502508
"CHL",-1.18149308877398,-1.88799843277198,3.61308017660069
"CHN",0.624135959783268,-1.21311117071644,1.40606517741076
"COD",1.17164096746933,-0.389865106457567,-0.870267409875596
"COG",0.857109957251525,-0.352775405906732,-0.887596806899704
"COL",0.0468459387850627,-0.947746044101507,0.861703720182445
"CRI",0.309604949565473,-1.17602147016561,1.38873578038665
"CYP",0.0890557959937511,1.61916487633377,0.646873847204305
"CZE",0.0890557959937511,1.61916487633377,0.646873847204305
"DEU",0.0890557959937511,1.61916487633377,0.646873847204305
"DNK",0.0890557959937511,1.61916487633377,0.646873847204305
"DOM",1.09398296831324,-0.67664369472747,-0.105713415105444
"DZA",0.542578947033725,-0.315685705355901,-0.904926203923808
"ECU",0.228047936815925,-0.278596004805066,-0.922255600947913
"EGY",-0.715545093837476,-0.167326903152566,-0.974243792020229
"ESP",0.0890557959937511,1.61916487633377,0.646873847204305
"EST",0.0890557959937511,1.61916487633377,0.646873847204305
"FIN",0.0890557959937511,1.61916487633377,0.646873847204305
"FRA",0.0890557959937511,1.61916487633377,0.646873847204305
"GAB",0.857109957251525,-0.352775405906732,-0.887596806899704
"GBR",0.0890557959937511,1.61916487633377,0.646873847204305
"GHA",0.542578947033725,-0.315685705355901,-0.904926203923808
"GNQ",0.857109957251525,-0.352775405906732,-0.887596806899704
"GRC",0.0890557959937511,1.61916487633377,0.646873847204305
"GTM",0.650021959501966,-1.11751830795981,1.15121384582071
"HND",0.650021959501966,-1.11751830795981,1.15121384582071
"HRV",0.0890557959937511,1.61916487633377,0.646873847204305
"HUN",0.0890557959937511,1.61916487633377,0.646873847204305
"IDN",-0.190027072276656,-0.623877755280771,0.0798203283881869
"IND",-2.39174414380124,-0.364249851424932,-0.04148545078055
"IRL",0.0890557959937511,1.61916487633377,0.646873847204305
"IRN",0.542578947033725,-0.315685705355901,-0.904926203923808
"IRQ",0.542578947033725,-0.315685705355901,-0.904926203923808
"ISR",-1.03007610405527,-0.130237202601731,-0.991573189044334
"ITA",0.0890557959937511,1.61916487633377,0.646873847204305
"JOR",-0.452786083057061,-0.395602329216669,-0.44721173181602
"JPN",0.546477960627188,-1.49988975898635,2.17061917218091
"KAZ",-1.65913812449087,-0.0560578015000615,-1.02623198309254
"KGZ",-1.34460711427307,-0.0931475020508962,-1.00890258606844
"KHM",0.150389937659839,-0.56537459307497,-0.15770160617776
"KOR",-0.293571071151431,-1.00624920630731,1.09922565474839
"LAO",-0.478672082775758,-0.491195191973302,-0.192360400225969
"LBR",0.857109957251525,-0.352775405906732,-0.887596806899704
"LBY",0.542578947033725,-0.315685705355901,-0.904926203923808
"LCA",1.11986896803193,-0.581050831970836,-0.360564746695496
"LKA",-0.715545093837476,-0.167326903152566,-0.974243792020229
"LTU",0.0890557959937511,1.61916487633377,0.646873847204305
"LUX",0.0890557959937511,1.61916487633377,0.646873847204305
"LVA",0.0890557959937511,1.61916487633377,0.646873847204305
"MAR",-0.426900083338366,-0.300009466460035,-0.702063063406072
"MEX",-0.319457070870124,-1.10184206906394,1.35407698633844
"MLT",0.0890557959937511,1.61916487633377,0.646873847204305
"MMR",-0.164141072557958,-0.528284892524136,-0.175031003201864
"MNG",1.17164096746933,-0.389865106457567,-0.870267409875596
"MOZ",0.542578947033725,-0.315685705355901,-0.904926203923808
"MYS",-0.608102081369229,-0.969159505756473,1.08189625772429
"NGA",0.542578947033725,-0.315685705355901,-0.904926203923808
"NIC",0.361376949002863,-0.984835744652341,0.879033117206551
"NLD",0.0890557959937511,1.61916487633377,0.646873847204305
"NOR",2.05389985645666,1.68340526129867,-0.0137037654212187
"NPL",0.228047936815925,-0.278596004805066,-0.922255600947913
"NZL",0.624135959783268,-1.21311117071644,1.40606517741076
"OMN",0.516692947315035,-0.411278568112536,-0.650074872333756
"PAK",-0.767317093274861,-0.358512628665834,-0.464541128840126
"PAN",0.861008970844987,-1.53697945953718,2.18794856920502
