"","V1","V2","V3","V4","V5","V6"
"ec:1.1.1.1",0.149221053469665,0.540920021940572,-0.576561360353453,1.64398120429214,-1.30469258581712,-0.883916262261115
"ec:1.1.1.10",0.237238646271619,-0.498475639512285,-0.0417644584498793,-0.27746441639054,0.174335296194772,-0.135781127565397
"ec:1.1.1.102",0.121444618494551,-0.372692498914756,0.0475394938318867,0.0307453385580754,0.0979775314354114,0.0911150497512179
"ec:1.1.1.105",0.289245986118214,-0.42409094023636,-0.0470698834863994,-0.177962418175184,-0.0427196439354436,-0.247222520668836
"ec:1.1.1.14",0.237238646271619,-0.498475639512285,-0.0417644584498793,-0.27746441639054,0.174335296194772,-0.135781127565397
"ec:1.1.1.146",-1.45805266086285,0.0141267497041541,-0.209241852460669,0.980179368710903,-0.392047644171085,1.66742099622293
"ec:1.1.1.153",0.237238646271619,-0.498475639512285,-0.0417644584498793,-0.27746441639054,0.174335296194772,-0.135781127565397
"ec:1.1.1.170",0.237238646271619,-0.498475639512285,-0.0417644584498793,-0.27746441639054,0.174335296194772,-0.135781127565397
"ec:1.1.1.178",0.152785685215391,-0.465275820428403,-0.0133311057162706,-0.224300455944787,0.279773229319387,-0.00928235091000995
"ec:1.1.1.179",0.237238646271619,-0.498475639512285,-0.0417644584498793,-0.27746441639054,0.174335296194772,-0.135781127565397
"ec:1.1.1.181",0.289245986118214,-0.42409094023636,-0.0470698834863994,-0.177962418175184,-0.0427196439354436,-0.247222520668836
"ec:1.1.1.184",0.237238646271619,-0.498475639512285,-0.0417644584498793,-0.27746441639054,0.174335296194772,-0.135781127565397
"ec:1.1.1.2",0.237238646271619,-0.498475639512285,-0.0417644584498793,-0.27746441639054,0.174335296194772,-0.135781127565397
"ec:1.1.1.205",0.716773120591979,0.21227375985678,-1.03226028982523,0.879105953574767,-0.869715662018917,1.98850472900438
"ec:1.1.1.21",0.121444618494551,-0.372692498914756,0.0475394938318867,0.0307453385580754,0.0979775314354114,0.0911150497512179
"ec:1.1.1.211",-0.243678137972437,2.54856742304537,5.37736883895139,-1.46386291739193,-3.46724076601117,2.31362501791121
"ec:1.1.1.213",0.121444618494551,-0.372692498914756,0.0475394938318867,0.0307453385580754,0.0979775314354114,0.0911150497512179
"ec:1.1.1.22",0.248937123858761,-0.275341622961407,-0.0425753971215499,0.0570765485092939,-0.184485444626355,-0.354200834114666
"ec:1.1.1.239",-0.156151199099845,0.780483604281768,0.0790807848973589,0.545618682425773,-0.763348884197289,0.623546979245214
"ec:1.1.1.27",-0.222579927168098,0.158859958115178,0.360216227352175,0.0923758816366596,0.438209313076215,0.925621139572374
"ec:1.1.1.270",0.237238646271619,-0.498475639512285,-0.0417644584498793,-0.27746441639054,0.174335296194772,-0.135781127565397
"ec:1.1.1.271",0.237238646271619,-0.498475639512285,-0.0417644584498793,-0.27746441639054,0.174335296194772,-0.135781127565397
"ec:1.1.1.30",0.289245986118214,-0.42409094023636,-0.0470698834863994,-0.177962418175184,-0.0427196439354436,-0.247222520668836
"ec:1.1.1.31",0.121444618494551,-0.372692498914756,0.0475394938318867,0.0307453385580754,0.0979775314354114,0.0911150497512179
