ID,BCA,KC,KG,KI,LE,OPENK,POP,RGDPCH,RGDPL,RGDPL2,XRAT,BCAperRGDPL,KCxRGDPL,KGxRGDPL,KIxRGDPL,KCxRGDPLxPOP,KGxRGDPLxPOP,KIxRGDPLxPOP,RGDPCHxPOP,RGDPLxPOP,RGDPL2xPOP
AUS_1980,-2.162588,66.560036350000004,8.4352635750000005,23.379020669999999,6.2750000000000004,21.35591208,14615.9,21889.270280000001,21904.371029999998,22093.573209999999,0.87824000000000002,-9.8728605219393977e-05,1457955.731980687,184769.14308264424,512102.74307371915,21309335183.056522,2700567318.3816199,7484842482.4911718,319931385.485452,320152096.53737694,322917456.68003899
AUS_1981,-4.3817940999999996,66.643152490000006,8.1951976099999992,24.449797230000001,6.4029999999999996,21.81746347,14923.26,22388.850299999998,22400.617989999999,22569.571449999999,0.87021000000000004,-0.00019561041137151233,1492847.8005778072,183577.49101417098,547690.56768219022,22278155868.450768,2739574628.5521374,8173328741.068922,334114634.12797797,334290246.4254474,336811582.836927
AUS_1982,-4.6585559999999999,68.852353840000006,8.528239438,20.940973490000001,6.4050000000000002,21.244348689999999,15161.775,21750.875820000001,21782.501919999999,22034.780839999999,0.98585999999999996,-0.00021386689266041851,1499776.5297163194,185766.39193245472,456146.79525259411,22739274293.839649,2816548237.0416937,6915995076.5908995,329781885.23578054,330261393.04810798,334086389.27039099
AUS_1983,-3.62227516,67.371147100000002,8.275686812,22.470802509999999,6.2880000000000003,21.743165220000002,15348.066000000001,22450.639500000001,22471.288140000001,22686.154920000001,1.1100099999999999,-0.00016119570615768001,1513916.4588064256,185965.34290885003,504947.8779392452,23235689728.247303,2854208356.6776624,7749973357.1714792,344573896.78820705,344890813.47773725,348188602.99838477
AUS_1984,-5.3118384000000001,66.180026010000006,8.2758438319999996,23.56643077,6.4809999999999999,24.10375853,15510.476000000001,23236.11477,23251.221420000002,23442.341820000001,1.1395200000000001,-0.00022845416608655735,1538766.4383398695,192423.4773751733,547948.29991237109,23866999911.476025,2984579727.6641684,8498938955.0316343,360403200.47333056,360637511.80559593,363601880.18290633
AUS_1985,-5.63218292,65.935977339999994,8.2195554840000007,23.47353713,6.6879999999999997,23.34454504,15695.237999999999,24167.622950000001,24183.406360000001,24381.073250000001,1.4319,-0.00023289452429314428,1594556.5337569718,198776.85036813849,567670.08712133823,25026944301.770706,3119849975.4183211,8909717122.8501377,379316594.0945121,379564318.47091365,382666747.3541835
AUS_1986,-6.2077630499999996,65.458375950000004,8.1494867559999999,22.351683649999998,6.9699999999999998,23.490750649999999,15900.415000000001,24526.048350000001,24548.690139999999,24767.906760000002,1.49597,-0.00025287553081640711,1606917.3882641781,200059.22517307778,548704.55603115412,25550653344.116562,3181024704.8303838,8724630153.2861042,389974347.07506531,390334360.93240809,393819996.16530544
AUS_1987,-5.1356093700000001,64.707077909999995,7.9201408530000004,23.495311610000002,7.1269999999999998,24.3030379,16136.716,25582.738959999999,25595.427830000001,25787.508249999999,1.42818,-0.00020064557639394614,1656205.342735592,202719.39360639616,601372.5526571162,26725715253.406914,3271225282.3186307,9704178092.4229298,412821393.09965533,413026149.7912063,416125696.977907
AUS_1988,-6.8929992599999999,65.031628679999997,7.9218313340000002,25.588558169999999,7.3979999999999997,26.047421669999999,16400.734,26118.838199999998,26106.5245,26257.96788,1.2799100000000001,-0.00026403358516756989,1697749.8074093226,206811.48380593868,668028.32078478008,27844342989.871529,3391860134.0465078,10956154793.65785,428368117.70723879,428166163.98898298,430649946.58042395
AUS_1989,-12.81677917,65.276777289999998,7.9386625779999997,25.406017590000001,7.7199999999999998,26.522679119999999,16680.597000000002,26554.03889,26545.43172,26706.13121,1.2645999999999999,-0.00048282428800521313,1732800.2344533417,210735.22541241816,674413.70521246397,28904142392.421711,3515189368.8087063,11249623227.925913,442937221.44641739,442793648.7123369,445474212.14313239
AUS_1990,-11.268536279999999,66.488333960000006,8.0822263119999995,21.741886409999999,7.859,27.32476733,16956.241999999998,26120.656190000002,26184.01022,26439.129659999999,1.2810600000000001,-0.00043035945163941353,1740931.2159194131,211625.09635376089,569289.7759615191,29519651002.483818,3588366347.0476871,9653015209.3292999,442908167.55643797,443982413.82079321,448308280.78433764
AUS_1991,-7.9020570299999999,67.011476430000002,8.1080199089999994,20.285592730000001,7.6740000000000004,28.660129229999999,17202.125,26155.201649999999,26253.172849999999,26547.15569,1.28376,-0.00030099436266805369,1759263.873650491,212861.24814221825,532561.17230539338,30263077062.519951,3661665798.1984563,9161183856.1439152,449925048.18350625,451610361.01230621,456667490.57384121
AUS_1992,-7.8758063600000003,65.71124288,8.0541193999999994,21.448837180000002,7.6360000000000001,29.410996359999999,17418.927,26902.19212,26979.436669999999,27241.60327,1.36165,-0.00029191885866014267,1772852.3157879484,217295.60428491837,578677.54434295138,30881185070.491222,3785056268.4598804,10079941901.449133,468607320.6782552,469952837.85585308,474519498.7230913
AUS_1993,-7.2003313000000002,64.736476469999999,7.7266815050000002,22.104556949999999,7.6840000000000002,30.873883549999999,17607.797999999999,27567.912479999999,27632.50734,27869.0533,1.4705600000000001,-0.00026057466343551872,1788831.1612230123,213507.58340075475,610804.33216832299,31497377742.920231,3759398399.9886427,10754919298.344732,485410234.22951901,486547607.4762373,490712660.95763338
AUS_1994,-12.530595,64.704370549999993,7.4778149450000004,23.866910229999998,7.9210000000000003,32.301757360000003,17781.089,28580.442060000001,28618.821049999999,28814.034940000001,1.36775,-0.00043784455614393663,1851762.8019233397,214006.2477559706,683042.83288878424,32926359187.888275,3805264137.9049635,12145245402.4076,508191383.92820334,508873804.1651234,512344919.71724969
AUS_1995,-15.168737399999999,64.3580094,7.4877617870000002,23.139748560000001,8.2360000000000007,33.300718680000003,17975.633999999998,29476.388889999998,29522.15854,29738.978800000001,1.34903,-0.00051380854755073743,1899987.3568256104,221054.89058556771,683135.32556405675,34153477330.924572,3973601807.0762105,12279790584.810326,529856778.3283062,530679516.80501431,534576998.44255918
AUS_1996,-11.898389720000001,63.306363169999997,7.1918280899999996,24.048112150000001,8.3460000000000001,35.257799310000003,18195.851999999999,30406.2768,30433.27563,30614.932990000001,1.27786,-0.00039096644950933272,1926619.9994854904,218870.88654654645,731862.82544210192,35056492370.878059,3982542258.7097502,13316867656.04632,553268112.52383351,553759379.23868668,557064789.67595744
AUS_1997,-10.14508476,63.172564350000002,7.0932290419999999,24.975669440000001,8.4269999999999996,36.032765060000003,18415.262999999999,31497.062020000001,31509.709750000002,31668.563200000001,1.34738,-0.00032196693782620447,1990549.1668316976,223505.58830369057,786976.09486634505,36656486421.636589,4115914190.5821857,14492371761.676693,580026680.82561123,580259592.09991419,583184920.16012156
AUS_1998,-15.11652529,63.61151229,6.4790691860000003,25.710759459999998,8.6170000000000009,35.384077810000001,18620.837,32766.781559999999,32774.720170000001,32907.433539999998,1.5918300000000001,-0.00046122515193392112,2084849.5148952659,212349.67953321969,842662.94665968022,38821642986.393814,3954128769.5903201,15691089375.6896,610144898.44336569,610292722.00618231,612763956.03667295
AUS_1999,-18.703376909999999,63.338524640000003,6.5558693569999997,26.081765520000001,8.7620000000000005,37.497389060000003,18830.251,33825.740010000001,33833.670760000001,33958.871720000003,1.5499499999999999,-0.00055280365653117799,2142974.7890939075,221809.12537031091,882441.8674432002,40352753165.310341,4176721504.8134222,16616601856.864189,636947174.64904249,637096512.66216075,639454078.16440177
AUS_2000,-13.61261646,64.301155120000004,6.4388450239999999,23.483174129999998,8.9900000000000002,38.233202439999999,19053.186000000002,34071.956389999999,34086.447719999996,34296.857559999997,1.7248300000000001,-0.00039935567859166761,2191797.9623334901,219477.35428775812,800457.9872819013,41760734250.760986,4181742854.0325532,15251274916.867701,649179322.48255861,649455428.48843586,653464406.3061862
AUS_2001,-6.8852720300000003,63.890685380000001,6.3738181249999997,24.46381152,9.0909999999999993,36.963817130000002,19294.257000000001,34940.691209999997,34948.564059999997,35128.031609999998,1.93344,-0.00019701158588888819,2232887.7108402355,222755.79104835156,854975.08405848593,43081909345.093193,4297907480.7251949,16496109000.421032,674154675.96338093,674306576.75460339,677769269.78746378
AUS_2002,-14.251657679999999,63.689601060000001,6.2852126820000001,26.973429119999999,9.2699999999999996,37.663407020000001,19534.937999999998,35818.494729999999,35820.034740000003,35921.185890000001,1.84056,-0.00039786833774578295,2281363.7225459409,225136.53661752859,966189.16813532764,44566298875.384155,4398028284.3581505,18874445495.7952,699712073.80387664,699742157.8037461,701718139.24762475
AUS_2003,-26.829416349999999,64.454591089999994,6.0987202380000003,28.40001303,9.4849999999999994,38.382886759999998,19766.540000000001,36968.066189999998,36964.395620000003,37026.850870000002,1.5419099999999999,-0.00072581780115684184,2382525.004576087,225435.50765313258,1049789.3172540751,47094275803.953407,4456079979.4459515,20750702531.075367,730730759.06728256,730658204.59855485,731892728.79588985
