ID,sig_1,sig_2,sig_3,sig_4,sig_5,sig_6,sig_7,sig_8,sig_9,sig_10,sig_11,sig_12,sig_13,sig_14,sig_15,sig_16,sig_17,sig_18,sig_19,sig_20,sig_21,sig_22,sig_23,sig_24,sig_25,sig_26,sig_27,sig_28,sig_29
BIRC3,2835,423,8687,18954,476,9978,2179,301,20978,74569,122560,29370,13439,90366,530,10025,40385,5694,9505,412,2982,4466,6906,7317,907,3989,627,894,99,
BIRC2,3563,490,14819,22816,546,12191,2518,350,42158,159060,140114,51927,27418,106036,590,13729,49171,6549,15493,479,3457,5175,8577,8547,958,4730,643,1057,122,
ARPC4,1206,354,3696,2733,198,4119,1309,404,8256,14559,4417,8278,7262,10618,318,2404,9206,2128,4194,81,1442,1327,3994,3000,319,2936,207,1017,287,
MYO1C,246,20,639,359,42,186,23,0,1237,1789,478,385,366,331,68,369,127,23,105,18,101,8,0,21,9,0,1,0,0,
DBN1,281,16,825,341,52,114,14,1,1909,2405,278,258,318,150,36,559,68,7,79,38,34,5,2,7,10,1,0,0,0,
GSN,166,14,385,192,18,97,13,0,686,1028,150,174,165,140,6,161,42,11,71,9,24,2,0,6,3,0,1,0,0,
WDR77,2028,306,9090,7990,562,5052,1141,253,27375,66301,30522,19224,12931,24823,654,11622,11096,1463,9661,754,2592,1074,3602,2641,1009,1652,396,633,142,
ELAVL1,214572,7998,4238924,5993074,115286,1006566,101346,6840,78536707,226816305,186160560,30452998,12775934,41483320,727063,17954886,10818064,719024,4631108,808479,1638184,788583,986594,853062,378626,295441,77131,52261,4364,
RNF10,93,8,139,116,9,54,7,0,110,398,120,93,37,93,0,52,24,4,31,2,3,1,0,4,5,0,0,0,0,
KDM1A,14430,1457,106555,148780,3944,60747,11067,1915,621264,1946619,1499388,556298,239861,747337,11041,171496,331553,35873,143375,7704,40940,33125,76848,56516,10563,35997,4772,8643,1857,
UBE2J2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
EEF1A1,80371,20875,1288847,807138,101752,907029,259687,132326,13712062,26361395,7118649,9933991,8942780,10051146,422360,6233187,6196567,967313,6349159,589059,2055991,728500,4848153,1917151,965797,2258896,314645,1142396,725611,
TLE1,422,17,1038,1105,30,257,21,0,1959,5607,2653,905,409,969,11,488,265,36,119,15,44,11,0,16,11,0,3,0,0,
MEOX2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LRIF1,2111,99,8903,10377,212,2457,202,11,35417,87493,43444,15309,7213,14922,508,6201,3708,486,2058,144,939,139,347,365,115,64,17,7,0,
TERF1,16922,517,88608,378790,999,35334,3220,176,402549,3452691,8029995,476426,99716,1114831,3039,85282,213113,10997,44673,1470,7730,19966,13149,8873,835,3715,125,498,32,
CCDC90B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TRIM26,53,9,55,20,7,27,9,0,68,44,3,20,20,8,0,12,12,0,12,2,3,1,0,4,3,0,1,0,0,
SNCA,13478,966,121495,106039,4135,38272,5130,567,877442,2009092,844379,416652,224325,383428,14295,200102,135874,14460,99514,7329,35603,6639,25362,22966,8582,8320,2476,1833,170,
UTP14A,2490,353,12745,7455,1234,6506,1392,218,46233,74737,17363,26199,19746,22859,2248,22408,13685,2612,10316,2048,6983,998,3719,4189,2346,2012,497,512,72,
UBTD1,22,4,10,5,6,13,2,0,6,0,0,6,3,2,0,3,3,2,1,2,4,0,0,0,3,0,0,0,0,
MDM2,56284,4914,817654,787249,32498,323562,45735,5565,9472394,21051334,13026366,4899611,2996137,6938028,199680,2457298,2349577,309100,1241481,101437,494146,135957,362442,376411,107268,134892,31140,27573,4387,
TARDBP,119955,25611,1682887,2406766,128480,1518395,379207,152227,18914533,48259083,53831193,16069600,12537670,38637493,545177,10459956,15973542,2327732,8963730,1137854,2767003,1706851,7634088,3526392,1313009,3396523,522415,1530120,780291,
UBE2I,33274,2095,310403,660882,9075,159558,19764,1472,2140701,9519635,14503904,2047629,715615,4758874,32651,693189,1368944,118385,359636,20651,117283,116844,124142,145137,21515,51892,7720,6964,566,
UBE2H,178,7,316,327,4,33,3,0,398,1189,677,47,67,69,4,44,4,0,12,0,3,0,0,1,1,0,0,0,0,
UBE2O,12,4,7,2,1,4,4,0,0,2,0,1,0,0,0,2,2,0,4,0,0,0,0,0,0,0,1,0,0,
SETDB1,1771,136,7803,6816,199,2679,348,29,26641,65924,24934,13595,8261,13139,374,4607,4846,705,2964,100,840,241,610,721,161,206,55,32,0,
GRB2,72580,5066,1022196,1162509,38094,388863,52370,4819,12948056,31909427,17066387,6744742,3528973,8455951,184246,3338479,2969540,339105,1416030,207354,513930,242737,392075,391890,135824,149985,34646,25555,2716,
HSP90AA1,237373,17187,5815177,4683552,309880,1769095,268423,34414,108233470,245994125,87065249,48279848,27516971,45635780,1857689,35734098,17772925,1923389,12757090,2754017,5506834,1454145,3321518,2841898,1829035,1289588,375254,334984,64716,
UL49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RNF11,1224,365,5399,2687,192,1884,282,693,18849,30373,5701,4045,10501,3603,234,3620,1422,292,1205,200,398,62,2897,172,80,437,19,260,1134,
WWP2,121,7,258,112,5,39,5,0,465,602,66,75,77,37,11,53,15,1,20,0,1,1,0,1,1,0,0,0,0,
WWP1,186,36,404,183,7,175,47,19,670,1099,138,216,324,159,6,65,138,6,99,0,17,10,85,28,7,41,0,20,4,
AKT1,19036,1661,213729,130802,8596,71927,10442,1011,1861460,3294574,773884,830539,545213,654056,42044,422688,293784,43106,209296,16147,91469,17234,46849,56998,18686,18468,4905,3240,284,
IKBKG,11471,1059,95325,86308,2846,38515,6213,760,604130,1514272,648755,358192,210791,389455,10244,125727,149343,20360,93204,3583,27240,15894,27456,25676,5503,13014,1877,2581,297,
IKBKE,1193,195,3995,3695,176,2653,647,104,10581,24095,9255,7230,6480,9373,226,2752,5485,913,2926,134,787,733,1184,1458,249,842,126,175,28,
QARS,6526,1292,46633,26582,4747,28626,7044,1657,210641,376810,87862,141167,136251,130378,8530,118361,78197,18295,78986,12828,39829,7242,32582,27506,16596,17731,4440,5220,1470,
ZFYVE16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CBLB,1022,300,2540,2647,158,3072,1119,353,4141,11331,5448,5288,4103,8757,98,1953,7317,861,2936,89,814,1316,2870,2061,263,2330,185,930,270,
AUP1,188,26,417,250,26,186,38,3,563,1140,265,293,265,324,9,236,131,34,161,4,62,9,11,34,14,11,9,1,0,
TNIP1,120,41,137,88,12,168,65,23,127,164,45,160,69,115,1,40,131,5,99,5,23,13,85,50,12,63,9,19,7,
CSNK2A1,53416,3419,795989,658562,29943,229233,25961,2059,9845340,20637629,7540453,3979800,2363235,3763564,194041,2395791,1185900,170045,823837,101495,399156,51971,150206,187946,73036,46839,14779,7385,577,
ZFYVE9,85,15,132,79,2,62,21,3,119,338,43,56,81,47,0,12,54,2,38,0,8,13,11,6,1,7,0,3,0,
APP,134306,5383,2283154,2961277,50361,497410,46838,6202,35161804,104059124,72760546,12615315,6009492,16700518,267753,6551226,3503348,297502,2166043,249269,608547,192687,557389,302950,149941,135193,27110,34421,7269,
UBA52,524,68,1740,765,108,520,131,17,4804,5807,902,1076,1483,717,116,1266,451,84,574,69,206,110,116,95,77,59,23,18,1,
RNF216,20,5,16,8,0,14,2,1,9,14,2,8,6,6,0,0,4,0,3,0,0,0,3,0,0,1,0,0,0,
RPS27A,32048,23904,207539,157968,19848,426183,264157,210426,888425,1690369,597539,1707537,1358046,1590082,47148,471289,2598075,272422,1702383,45588,364855,810222,2802875,1060481,210383,2725405,154850,1824422,1437302,
AP2B1,901,145,3173,2355,130,1832,394,87,7068,16905,5269,5300,3906,5791,185,2136,3258,350,2174,64,608,292,1108,788,146,446,84,153,29,
CCDC127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AP2S1,11,11,0,3,0,13,3,5,0,0,0,0,0,3,0,0,3,0,0,0,0,0,6,0,0,3,0,0,1,
EPN1,314,45,663,611,50,413,91,12,993,2238,1067,804,447,1095,19,432,501,49,310,22,90,38,126,109,51,52,25,12,1,
EPN3,10,2,4,5,0,4,1,0,0,4,1,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
DCUN1D1,82328,9307,318100,2691758,36907,676751,222120,28407,1727861,11149892,72184805,3454227,1067087,25358776,32939,2096709,11376030,675548,979486,742849,275271,4949095,1659444,894874,258868,1451610,164888,394119,60947,
TBK1,1553,202,6899,4507,189,3306,593,77,22449,44281,10624,13641,10001,12297,387,3707,6545,1208,4332,66,1035,540,1328,1492,191,631,109,118,12,
UBE2N,1901,126,9087,6999,270,2441,282,36,37082,72355,22877,12289,8892,10732,650,6796,3551,504,2455,192,1124,139,726,597,179,201,40,45,4,
PSMD14,5621,7681,9309,12637,831,47003,43628,50739,9668,29280,19282,53395,26020,73211,225,6341,154076,14313,54876,421,7269,63003,197459,78459,5244,283408,10565,245721,251854,
PSMD11,13231,8337,80525,47954,4469,130293,59362,51252,384904,555697,125978,504834,474562,384570,14221,102305,552589,54444,365050,4366,79526,100810,700247,177245,26400,453655,18095,269670,248583,
PSMD10,913,1588,2088,668,90,4468,3403,6485,4134,3721,303,3107,8776,2015,50,534,4571,850,6444,8,534,1460,15001,2873,420,10860,376,12138,19724,
PSMD12,9614,8100,36837,30640,2326,92887,54968,51244,107961,196501,69766,229510,188292,227250,4512,37800,391312,33064,184137,1831,35091,91750,462023,143058,14165,410380,14208,266881,250002,
ZNF350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ASCC2,6,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ANKRD13A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
STAMBP,46,10,61,16,0,17,9,0,82,68,2,7,22,6,0,0,2,0,12,0,0,2,0,5,0,0,0,0,0,
POLI,15,2,15,1,0,6,0,0,11,4,0,4,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
OPTN,201,36,432,140,26,198,30,10,774,760,53,286,423,134,5,160,102,11,81,11,41,3,63,12,17,12,2,5,1,
STAT1,4247,456,26983,16601,769,9620,1461,215,140903,246952,59902,58274,47212,50175,2236,21265,21772,3491,14441,623,4679,1080,4389,4111,864,1626,363,369,54,
NEDD4,4295,237,27422,16252,595,5179,514,46,151859,263575,51998,35031,27377,26627,1606,18652,7507,1032,5818,417,2193,554,992,813,305,303,50,46,4,
AP2M1,7664,791,47635,52319,5881,23594,5560,563,222548,530239,301512,138495,79560,183332,6150,177756,100643,9288,53263,26618,30868,18699,15273,18985,12908,9847,3303,2159,200,
