"","V1"
"sig_1",0.050356365707114
"sig_2",-0.151037078627505
"sig_3",0.032802203993192
"sig_4",0.20222882845165
"sig_5",-0.138422632452727
"sig_6",-0.0446819609911968
"sig_7",0.107323557102183
"sig_8",0.133400642479639
"sig_9",0.243393525011398
"sig_10",0.288240666255754
"sig_11",0.372931931905159
"sig_12",0.238155043422271
"sig_13",0.258748315394518
"sig_14",0.372650427209562
"sig_15",-0.0150888012783595
"sig_16",0.189613262570847
"sig_17",0.258078566558211
"sig_18",0.361857560467724
"sig_19",0.117459739912369
"sig_20",-0.0583451442588987
"sig_21",0.0690119481760463
"sig_22",0.293200333216323
"sig_23",0.154112071231344
"sig_24",0.152758445447659
"sig_25",-0.0333556914675742
"sig_26",0.23974580823429
"sig_27",-0.103719676571306
"sig_28",0.120284435339427
"sig_29",0.322046013971967
