"","V1"
"sig_1",0.0318016137109184
"sig_2",-0.0953846204564174
"sig_3",0.0207156137185413
"sig_4",0.12771380526221
"sig_5",-0.0874182047154398
"sig_6",-0.0282180503563951
"sig_7",0.0677781697928054
"sig_8",0.0842466615958851
"sig_9",0.153710593555764
"sig_10",0.182032960387938
"sig_11",0.235518133057789
"sig_12",0.15040232923624
"sig_13",0.163407622035067
"sig_14",0.235340354072714
"sig_15",-0.00952904807321311
"sig_16",0.119746682392004
"sig_17",0.162984654780046
"sig_18",0.228524322491852
"sig_19",0.0741794850129692
"sig_20",-0.0368467762431715
"sig_21",0.0435831952229665
"sig_22",0.185165144583531
"sig_23",0.0973265740819056
"sig_24",0.096471717229601
"sig_25",-0.0210651583015792
"sig_26",0.151406946772604
"sig_27",-0.0655022069647968
"sig_28",0.0759633681737309
"sig_29",0.2033820906188
