"","V1","V2"
"ec:1.1.1.27",0.211756401146896,0.133356542804779
"ec:1.11.1.6",0.189934904858576,0.381234965268136
"ec:1.11.1.8",-6.60008771348607,0.720988649385746
"ec:1.14.13.39",0.142040901681838,0.0930730093590829
"ec:1.14.99.1",0.225289559474509,0.325204341115248
"ec:1.14.99.3",0.189934904858576,0.381234965268136
"ec:1.2.1.12",0.110201230334764,0.395792158557848
"ec:1.2.4.1",0.211756401146896,0.133356542804779
"ec:2.1.1.43",0.189934904858576,0.381234965268136
"ec:2.4.1.11",0.196774405210656,0.815441414302246
"ec:2.7.1.1",0.173340579454044,0.359828219218138
"ec:2.7.1.107",0.079809275265198,0.324209395856052
"ec:2.7.1.11",0.212273979639991,0.77016303319479
"ec:2.7.1.127",0.100821409089376,-0.331842337078168
"ec:2.7.1.134",0.297793687210689,1.22654154058246
"ec:2.7.1.137",0.363939378855068,1.13970747824453
"ec:2.7.1.149",0.164977905002407,-0.751437234974697
"ec:2.7.1.150",0.186980145930804,0.260327780714704
"ec:2.7.1.153",0.022094707576555,-3.43044196486704
"ec:2.7.1.154",-0.0606891674031095,-0.391560562690951
"ec:2.7.1.158",0.242622134010639,0.345542328253408
"ec:2.7.1.67",0.163247843153137,-0.0658446443434078
"ec:2.7.1.68",0.240338819476327,0.505654007318509
"ec:2.7.1.91",0.187534720292321,-1.04893263718619
"ec:2.7.2.3",0.110201230334764,0.395792158557848
"ec:2.7.7.41",0.159178265732789,1.09505619300732
"ec:2.7.8.11",0.127484109505671,-0.524378616780519
"ec:3.1.1.4",-0.63439132722411,-2.8412597367446
"ec:3.1.3.25",0.137441973108258,-0.786805213069467
"ec:3.1.3.36",0.240338819476327,0.505654007318509
"ec:3.1.3.46",0.110201230334764,0.395792158557848
"ec:3.1.3.56",0.180432510038548,0.233882405703892
"ec:3.1.3.57",0.240937775065685,0.986798952816784
"ec:3.1.3.64",0.15703538549133,0.383606457894334
"ec:3.1.3.66",0.124984843132984,0.215974500138994
"ec:3.1.3.67",0.175053714828352,0.17090810570213
"ec:3.1.3.7",0.162953770089661,0.43808098757787
"ec:3.1.3.86",0.123039303708632,0.360077905601618
"ec:3.1.3.9",0.189934904858576,0.381234965268136
"ec:3.1.4.11",-0.2971321043508,-3.33184872862996
"ec:3.1.4.17",0.543430286357651,-1.3793596549866
"ec:3.1.4.4",0.273929618332148,0.335212010937588
"ec:3.6.3.14",0.189934904858576,0.381234965268136
"ec:4.1.1.32",0.272296270357356,0.366277396049954
"ec:4.1.2.13",0.100821409089376,-0.331842337078168
"ec:4.2.1.11",0.242622134010639,0.345542328253408
"ec:4.6.1.1",-0.373350344775838,-0.468463167741334
