"","sig_1","sig_2","sig_3","sig_4","sig_5","sig_6","sig_7","sig_8","sig_9","sig_10","sig_11","sig_12","sig_13","sig_14","sig_15","sig_16","sig_17","sig_18","sig_19","sig_20","sig_21","sig_22","sig_23","sig_24","sig_25","sig_26","sig_27","sig_28","sig_29","Signal.transduction","Signaling.molecules.and.interaction"
"sig_1",1,-0.209369376776588,0.344346747864271,0.368134278345808,0.316917034278527,0.413344054707856,0.330580907624818,-0.370145735854663,0.190853907330925,0.0169867379627481,0.125436431295996,-0.0869335145046054,0.0648709089313703,-0.141323335395101,-0.106699053219324,0.0714277573248835,0.025963688683101,-0.227921910026125,-0.231395475407702,0.0840341882798491,0.256602797622518,0.164570611857341,-0.259729120851027,-0.204597000596553,0.0727112713814194,-0.152002334656202,-0.00285719376402202,-0.195428010916792,-0.30350912136646,-0.0678040901696377,0.082104222817002
"sig_2",-0.209369376776588,1,-0.339690740325245,-0.245087974337172,-0.183205635978878,-0.374818392120951,-0.0894305405895042,0.41312917829775,-0.240076742524531,-0.233081531301317,-0.173618499477086,-0.326912939964423,-0.319960774369047,-0.292681437158632,-0.132518229725636,-0.203209263904609,-0.33103049993157,-0.270954964134545,-0.306517099983479,-0.0974485231296945,-0.20535857315887,-0.138770376406599,-0.264251311197953,-0.330924836045937,-0.104643304680027,-0.240559701795261,-0.169924937343163,-0.0846381065407665,0.0291129230235317,-0.0908563015951197,0.0111646644860471
"sig_3",0.344346747864271,-0.339690740325245,1,0.0824908280276045,0.294595596474899,0.192232613730372,-0.325196137995597,-0.343227794110838,0.770966134216213,0.451079174921466,-0.0381136544075632,0.376019928848606,0.715469150708655,0.213443984084453,0.109539486575411,0.450629544549094,0.0555561455261514,-0.043698597323026,0.21783263403894,-0.0456959137422684,0.437715908035543,-0.129765171039873,-0.0201532180245345,0.1578266176742,-0.0562146750095527,-0.198663282880582,-0.0561985826906647,-0.217174832242725,-0.199753638405242,-0.0488691412159593,-0.0828725216685855
"sig_4",0.368134278345808,-0.245087974337172,0.0824908280276045,1,0.0362587384708719,-0.0277148956967042,0.363077193713135,-0.303904162625597,-0.0172058750620272,0.218774243733909,0.824713953016935,0.0989166585931786,0.10866011738172,0.229094113407709,-0.0633043617673213,0.23123985243626,0.341818713924287,-0.106728921226206,0.0387150109881769,0.0819752822940694,-0.0928586004255258,0.809728685355915,-0.107842263341291,0.0690355438778682,0.0471176213953762,-0.154951798462484,0.0358894473549657,-0.00272480779961735,-0.210044949523417,-0.0592676352875138,0.202964956123009
"sig_5",0.316917034278527,-0.183205635978878,0.294595596474899,0.0362587384708719,1,0.151531885225633,-0.0440442599814899,-0.213976618254906,0.0745742625970647,0.0136905943210635,-0.0591735873732515,0.088693596970196,0.0166494955152135,0.0306490960183459,0.0348535108623694,0.219553738468943,0.0108116259459416,-0.104123219887244,-0.0305939316438133,0.72796866009217,0.583771064443754,-0.0334324164058466,-0.132117774544492,-0.0706307296048125,0.729323216065687,-0.0741988571195952,0.673631488656588,-0.109133790194005,-0.156462284458965,-0.0224338533306073,-0.0463608594983299
"sig_6",0.413344054707856,-0.374818392120951,0.192232613730372,-0.0277148956967042,0.151531885225633,1,0.0483583530488063,-0.121506324173137,0.0671713053273656,0.0694945607227561,-0.125250680866209,0.189320523149876,0.230247924853309,0.173385139323041,0.0840601994758061,0.0835561014643364,0.307981532203109,0.444170674252003,0.201663626863677,0.057605458154212,0.183484897205733,-0.196091763443618,0.560823917382032,0.337708183537393,0.0807063330041807,0.535031898041818,0.110794451220986,-0.0730221054021905,0.020405103455078,0.26794553524019,-0.186071060332769
"sig_7",0.330580907624818,-0.0894305405895042,-0.325196137995597,0.363077193713135,-0.0440442599814899,0.0483583530488063,1,0.0738443372420284,-0.233300434605514,-0.121547572748557,0.252657658652393,-0.0835430173144875,-0.240931001024343,-0.0905660660010386,-0.0337340340784276,-0.212658808026181,0.149736946861813,0.10526188668609,-0.0474908347321932,0.146598871248474,-0.188912727257657,0.485179486298549,-0.0404487845552762,-0.00309677393440998,0.154049983501389,0.326329684882543,0.153775379042444,0.515298704903785,0.0281924143529992,-0.0731628325558706,0.401978946416827
"sig_8",-0.370145735854663,0.41312917829775,-0.343227794110838,-0.303904162625597,-0.213976618254906,-0.121506324173137,0.0738443372420284,1,-0.261442957040563,-0.230899796747541,-0.183790766318794,-0.231384181426585,-0.228627914950419,-0.162573149224266,-0.0929774579165802,-0.188574251403819,-0.224171382496874,0.000630463729834556,-0.136071063588316,-0.110959292162274,-0.20595663890882,-0.134689058557725,0.154156080257719,-0.173764346308805,-0.109705822624115,0.141886418642931,-0.118642355826836,0.331020586183947,0.746296478847871,0.0867825660346586,0.00621952974366554
"sig_9",0.190853907330925,-0.240076742524531,0.770966134216213,-0.0172058750620272,0.0745742625970647,0.0671713053273656,-0.233300434605514,-0.261442957040563,1,0.278891240298333,-0.0350874330756512,0.461066089792263,0.426906181815289,0.0171632663095208,0.214575295656092,0.216607634425016,-0.0055406690377751,0.0561461927929985,0.207451923533171,-0.0271507478457339,0.231703301025356,-0.0940506890316422,-0.0647533860305331,0.191554878184843,-0.0182881848753825,-0.120858555576875,0.00309601622572855,-0.147748827516523,-0.169984585607188,0.00461045347005811,-0.0521767470228483
"sig_10",0.0169867379627481,-0.233081531301317,0.451079174921466,0.218774243733909,0.0136905943210635,0.0694945607227561,-0.121547572748557,-0.230899796747541,0.278891240298333,1,0.216801834526832,0.448672965852711,0.455033361905713,0.404342133187166,0.0072722360943034,0.326362515945702,0.259146629885612,-0.00436244058822701,0.383870778387436,0.0837498743911904,-0.00346352650024572,-0.0107599940389519,0.000155320923603664,0.310177278200765,-0.0173474861822779,-0.120799533080221,-0.0382294993719261,-0.077516831949267,-0.143848897342941,-0.0183400923686624,-0.0506876468620974
