"","EC1","EC2","EC3","EC4","EC5","EC6"
"cpd:C00001",1.16002730064926,0.724342996327296,1.56274386626301,1.98656964237759,-0.217592571853581,2.99101298857332
"cpd:C00002",1.16002730064926,0.724342996327296,1.56274386626301,1.98656964237759,-0.217592571853581,2.99101298857332
"cpd:C00003",1.16002730064926,0.724342996327296,-0.639193836434169,-0.502824681265696,-0.217592571853581,2.99101298857332
"cpd:C00004",1.16002730064926,0.724342996327296,-0.639193836434169,-0.502824681265696,-0.217592571853581,-0.333965867435794
"cpd:C00005",1.16002730064926,0.724342996327296,-0.639193836434169,-0.502824681265696,-0.217592571853581,-0.333965867435794
"cpd:C00006",1.16002730064926,0.724342996327296,-0.639193836434169,-0.502824681265696,-0.217592571853581,-0.333965867435794
"cpd:C00007",1.16002730064926,-1.37903762762312,-0.639193836434169,-0.502824681265696,-0.217592571853581,-0.333965867435794
"cpd:C00008",1.16002730064926,0.724342996327296,1.56274386626301,1.98656964237759,-0.217592571853581,2.99101298857332
"cpd:C00009",1.16002730064926,0.724342996327296,1.56274386626301,1.98656964237759,-0.217592571853581,2.99101298857332
"cpd:C00010",1.16002730064926,0.724342996327296,1.56274386626301,-0.502824681265696,-0.217592571853581,2.99101298857332
"cpd:C00011",1.16002730064926,0.724342996327296,1.56274386626301,1.98656964237759,-0.217592571853581,2.99101298857332
"cpd:C00012",-0.861097188558874,0.724342996327296,1.56274386626301,-0.502824681265696,-0.217592571853581,-0.333965867435794
"cpd:C00013",1.16002730064926,0.724342996327296,1.56274386626301,1.98656964237759,-0.217592571853581,2.99101298857332
"cpd:C00014",1.16002730064926,0.724342996327296,1.56274386626301,1.98656964237759,-0.217592571853581,2.99101298857332
"cpd:C00015",1.16002730064926,0.724342996327296,1.56274386626301,-0.502824681265696,4.59067255252068,-0.333965867435794
"cpd:C00016",1.16002730064926,0.724342996327296,-0.639193836434169,-0.502824681265696,-0.217592571853581,-0.333965867435794
"cpd:C00018",1.16002730064926,0.724342996327296,-0.639193836434169,-0.502824681265696,-0.217592571853581,-0.333965867435794
"cpd:C00019",-0.861097188558874,0.724342996327296,-0.639193836434169,1.98656964237759,-0.217592571853581,-0.333965867435794
"cpd:C00020",1.16002730064926,0.724342996327296,1.56274386626301,1.98656964237759,-0.217592571853581,2.99101298857332
"cpd:C00021",-0.861097188558874,0.724342996327296,1.56274386626301,-0.502824681265696,-0.217592571853581,-0.333965867435794
"cpd:C00022",1.16002730064926,0.724342996327296,-0.639193836434169,1.98656964237759,-0.217592571853581,2.99101298857332
"cpd:C00024",-0.861097188558874,0.724342996327296,1.56274386626301,-0.502824681265696,-0.217592571853581,2.99101298857332
"cpd:C00025",1.16002730064926,0.724342996327296,1.56274386626301,1.98656964237759,-0.217592571853581,2.99101298857332
"cpd:C00026",1.16002730064926,0.724342996327296,-0.639193836434169,-0.502824681265696,-0.217592571853581,-0.333965867435794
"cpd:C00027",1.16002730064926,-1.37903762762312,-0.639193836434169,-0.502824681265696,-0.217592571853581,-0.333965867435794
"cpd:C00028",1.16002730064926,-1.37903762762312,-0.639193836434169,-0.502824681265696,-0.217592571853581,-0.333965867435794
"cpd:C00029",1.16002730064926,0.724342996327296,1.56274386626301,-0.502824681265696,4.59067255252068,-0.333965867435794
"cpd:C00030",1.16002730064926,-1.37903762762312,-0.639193836434169,-0.502824681265696,-0.217592571853581,-0.333965867435794
"cpd:C00031",-0.861097188558874,0.724342996327296,1.56274386626301,-0.502824681265696,-0.217592571853581,-0.333965867435794
"cpd:C00032",-0.861097188558874,0.724342996327296,-0.639193836434169,1.98656964237759,-0.217592571853581,-0.333965867435794
"cpd:C00033",1.16002730064926,0.724342996327296,1.56274386626301,-0.502824681265696,-0.217592571853581,2.99101298857332
"cpd:C00035",1.16002730064926,0.724342996327296,1.56274386626301,1.98656964237759,-0.217592571853581,2.99101298857332
"cpd:C00036",1.16002730064926,0.724342996327296,-0.639193836434169,1.98656964237759,-0.217592571853581,2.99101298857332
"cpd:C00037",1.16002730064926,0.724342996327296,1.56274386626301,1.98656964237759,-0.217592571853581,2.99101298857332
"cpd:C00039",-0.861097188558874,0.724342996327296,-0.639193836434169,-0.502824681265696,-0.217592571853581,-0.333965867435794
"cpd:C00040",1.16002730064926,0.724342996327296,-0.639193836434169,-0.502824681265696,-0.217592571853581,-0.333965867435794
"cpd:C00041",-0.861097188558874,0.724342996327296,1.56274386626301,-0.502824681265696,-0.217592571853581,-0.333965867435794
"cpd:C00042",1.16002730064926,0.724342996327296,-0.639193836434169,1.98656964237759,-0.217592571853581,2.99101298857332
"cpd:C00043",-0.861097188558874,0.724342996327296,1.56274386626301,1.98656964237759,-0.217592571853581,-0.333965867435794
"cpd:C00044",1.16002730064926,0.724342996327296,1.56274386626301,1.98656964237759,-0.217592571853581,2.99101298857332
"cpd:C00045",-0.861097188558874,0.724342996327296,-0.639193836434169,-0.502824681265696,-0.217592571853581,-0.333965867435794
"cpd:C00046",-0.861097188558874,0.724342996327296,-0.639193836434169,-0.502824681265696,-0.217592571853581,-0.333965867435794
"cpd:C00047",1.16002730064926,-1.37903762762312,-0.639193836434169,-0.502824681265696,-0.217592571853581,-0.333965867435794
"cpd:C00048",-0.861097188558874,0.724342996327296,1.56274386626301,1.98656964237759,-0.217592571853581,-0.333965867435794
"cpd:C00049",-0.861097188558874,0.724342996327296,1.56274386626301,1.98656964237759,-0.217592571853581,2.99101298857332
"cpd:C00051",1.16002730064926,0.724342996327296,1.56274386626301,1.98656964237759,-0.217592571853581,2.99101298857332
"cpd:C00052",-0.861097188558874,0.724342996327296,-0.639193836434169,-0.502824681265696,4.59067255252068,-0.333965867435794
"cpd:C00053",1.16002730064926,0.724342996327296,1.56274386626301,-0.502824681265696,-0.217592571853581,-0.333965867435794
"cpd:C00054",1.16002730064926,0.724342996327296,-0.639193836434169,-0.502824681265696,-0.217592571853581,-0.333965867435794
"cpd:C00055",-0.861097188558874,0.724342996327296,1.56274386626301,-0.502824681265696,-0.217592571853581,2.99101298857332
"cpd:C00058",1.16002730064926,-1.37903762762312,1.56274386626301,1.98656964237759,-0.217592571853581,2.99101298857332
"cpd:C00059",-0.861097188558874,0.724342996327296,-0.639193836434169,-0.502824681265696,-0.217592571853581,-0.333965867435794
"cpd:C00060",-0.861097188558874,-1.37903762762312,1.56274386626301,-0.502824681265696,-0.217592571853581,-0.333965867435794
"cpd:C00061",1.16002730064926,0.724342996327296,1.56274386626301,-0.502824681265696,-0.217592571853581,-0.333965867435794
"cpd:C00062",-0.861097188558874,-1.37903762762312,1.56274386626301,1.98656964237759,-0.217592571853581,-0.333965867435794
"cpd:C00063",1.16002730064926,0.724342996327296,1.56274386626301,-0.502824681265696,-0.217592571853581,2.99101298857332
"cpd:C00064",1.16002730064926,0.724342996327296,-0.639193836434169,1.98656964237759,-0.217592571853581,2.99101298857332
"cpd:C00065",1.16002730064926,0.724342996327296,1.56274386626301,1.98656964237759,-0.217592571853581,-0.333965867435794
"cpd:C00067",1.16002730064926,-1.37903762762312,-0.639193836434169,-0.502824681265696,-0.217592571853581,-0.333965867435794
"cpd:C00068",1.16002730064926,0.724342996327296,-0.639193836434169,1.98656964237759,-0.217592571853581,-0.333965867435794
"cpd:C00071",1.16002730064926,-1.37903762762312,-0.639193836434169,-0.502824681265696,-0.217592571853581,-0.333965867435794
"cpd:C00073",1.16002730064926,0.724342996327296,-0.639193836434169,-0.502824681265696,-0.217592571853581,-0.333965867435794
"cpd:C00074",-0.861097188558874,0.724342996327296,-0.639193836434169,1.98656964237759,-0.217592571853581,-0.333965867435794
"cpd:C00075",-0.861097188558874,0.724342996327296,1.56274386626301,-0.502824681265696,-0.217592571853581,2.99101298857332
"cpd:C00077",-0.861097188558874,0.724342996327296,1.56274386626301,1.98656964237759,-0.217592571853581,-0.333965867435794
"cpd:C00078",1.16002730064926,0.724342996327296,1.56274386626301,1.98656964237759,-0.217592571853581,-0.333965867435794
"cpd:C00079",-0.861097188558874,0.724342996327296,-0.639193836434169,1.98656964237759,-0.217592571853581,-0.333965867435794
"cpd:C00080",1.16002730064926,0.724342996327296,1.56274386626301,1.98656964237759,-0.217592571853581,2.99101298857332
"cpd:C00081",-0.861097188558874,0.724342996327296,1.56274386626301,-0.502824681265696,-0.217592571853581,2.99101298857332
"cpd:C00082",1.16002730064926,0.724342996327296,-0.639193836434169,-0.502824681265696,-0.217592571853581,-0.333965867435794
"cpd:C00083",-0.861097188558874,0.724342996327296,-0.639193836434169,-0.502824681265696,-0.217592571853581,2.99101298857332
"cpd:C00084",1.16002730064926,-1.37903762762312,-0.639193836434169,1.98656964237759,-0.217592571853581,-0.333965867435794
"cpd:C00085",-0.861097188558874,0.724342996327296,1.56274386626301,-0.502824681265696,-0.217592571853581,-0.333965867435794
"cpd:C00086",-0.861097188558874,-1.37903762762312,1.56274386626301,-0.502824681265696,-0.217592571853581,2.99101298857332
"cpd:C00088",1.16002730064926,-1.37903762762312,-0.639193836434169,-0.502824681265696,-0.217592571853581,-0.333965867435794
"cpd:C00089",-0.861097188558874,-1.37903762762312,1.56274386626301,-0.502824681265696,-0.217592571853581,-0.333965867435794
"cpd:C00091",-0.861097188558874,0.724342996327296,-0.639193836434169,1.98656964237759,-0.217592571853581,2.99101298857332
