"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"AUS_1980",0.26270525949174,-0.329263119350599,-0.533386448286299,0.926233973148465,1.30319926845295,1.61833398277037,-1.2344016430036,-2.02302474534979,-1.68438787875413,-0.429165779628471,0.075188044653619,0.432472523676916,2.02570977981668,-1.64140947075733,-0.546358959959787,1.43262726368106,-1.389368097295,-1.48257835456678,2.83221189250943,1.32853102457771,1.59338000012142
"AUS_1981",0.490891070519322,-0.0134994168840707,-1.01708965574474,2.48321829016581,-0.132238862973293,2.36912050895836,-1.72032934299468,-1.6099371613597,-2.11129260451723,0.280703337080122,2.21698896607798,0.201309952565196,3.26318817944439,1.40868223549299,-2.19539249276854,-3.94204161890083,-2.4375852820107,-0.0915478713090435,-0.0874459908744014,1.27788495233622,-2.84827680615976
"AUS_1982",0.633766459370575,-0.0562357626948665,0.0806356892335238,-0.0173040603562739,1.99161978353155,2.13966222853922,-1.62788052663752,-2.77520543878877,-1.38986383878473,0.782194699548637,3.80578953082453,-0.768623484710554,2.98333078553384,0.816014741749514,-0.334117415431823,-1.39774951946703,-1.73866085255925,1.15577754130159,-1.20582816935316,-1.3432513024037,-0.643329833379633
"AUS_1983",0.186072281469644,-0.396526474771797,-0.685764632207333,0.944038421683539,0.520198552640535,1.80388413273073,-1.5395686193658,-2.92466301098216,-2.7468585615761,1.18588295428958,-1.8202897897686,1.11564420876035,-0.761628035380177,-2.85922735342147,-1.68941629119192,5.72856983544036,-1.58057922469029,-0.635643768244097,6.03810007011312,2.64819112578991,4.0280602702061
"AUS_1984",0.446602170529009,-0.694693787701432,-0.645403940332413,1.10676132508797,0.802499702612329,1.48091001897507,-0.991466581120577,-1.03737970616571,-0.186045253465594,-0.906453165925487,0.856781064082588,-0.462660418759369,2.43061400456136,-2.14282631712533,0.0378678956976001,0.379818888959918,-1.6149673859419,0.00223317881715877,1.90174672444441,0.215034691914909,1.28355959197832
"AUS_1985",0.767035141052703,-0.438565969869813,-0.620715296713254,0.925470942174451,0.93370424773283,1.29906415089007,-0.713429489161457,-1.13254212979086,-0.965321825865202,0.0388886609950932,2.17126918881242,0.149695467759845,2.75312735601474,0.562425068972657,-0.218603590049805,-1.14420617810193,-1.24687020295947,-0.948375117198776,0.887745767527168,0.188321045886208,-0.173813984599856
"AUS_1986",0.468115705442529,0.00581567875936512,-0.0205849950078987,0.158997329026682,1.93791335523834,0.888444505310135,-0.487970266223613,-2.04958601360759,-0.629739176017393,-0.525311873258038,1.69365478907137,0.858298159137714,2.08936093463111,-1.44785652359765,-0.524887733101055,0.588211720453419,-2.20266503136174,-0.350244692333156,0.910660821785813,-0.698195932321745,-0.182929338858148
"AUS_1987",-0.339524008696054,1.00476533788197,-0.763141908718672,0.164548172481367,-0.222495740549791,-0.218356438745447,-0.502359939549748,-0.409312813921588,0.542433237057134,-1.78863041911031,-1.22932638133194,0.918602955204159,2.69746567360903,-1.08708891902169,-0.256714365889073,2.7047576634142,-2.39775156835753,-2.06693400291131,-0.822715817723035,-0.953753357459441,-1.33849657476172
"AUS_1988",0.22934979437805,0.528805399160989,-0.393299839787467,-0.0876657856312657,0.916059468962763,-0.117396043068463,-0.468010162953907,-0.657412179909917,0.579495927200412,-1.28621521407552,0.908598761804912,1.2722274918915,3.86707239219648,0.260820591666103,-1.56398372732917,0.922435039198946,-2.00829619521835,-1.21863390824525,0.756183197175478,0.223984255568458,-1.46165582116595
"AUS_1989",0.12946280595338,0.328019202978889,-0.142830810768293,-0.088798032008907,1.588407065009,1.08902550036092,-0.851741658507077,-1.49190634975536,-0.848125868399938,-0.906643420852572,0.617212995588277,0.849959367437082,2.59736016342254,-0.92277773780537,-0.755678642112499,0.429560886125424,-1.5342873753804,-1.35283559230177,-0.350964040657175,-0.710693680041283,-0.685878469811727
"AUS_1990",0.242342630379908,0.337304265294877,-0.143271064649707,0.0674537576072419,1.51535870822914,0.0829498316327036,-0.508163418149048,-1.34624469254186,-0.0910798339664295,-1.95772287523139,0.00247928821384049,0.61187821768892,3.27439899349895,-1.8710878077285,-1.0394554889641,0.80444859260002,-2.02109795743308,-1.74879720289259,1.56997259601521,0.828527170598795,-0.596627639877275
"AUS_1991",0.10112215998461,-0.440203369606202,-0.49792920998399,0.128381707821084,2.4793394825301,2.19871665981718,-0.712027678405294,-1.94467067621107,-1.95529963818519,1.32254562883978,2.98907796523234,-0.2759230908776,1.18431686483578,-0.599011217430792,0.741987249013083,0.696890753781477,-0.530655779738737,-1.05896716719185,1.37791356051639,-0.842507921289403,0.876429400636248
"AUS_1992",-0.471516091652778,-0.070670568290127,-1.50304781828723,0.71071701282372,0.754780707361387,0.973291132964269,-0.0727100175476267,-0.0616564172116348,-0.931399171257448,0.378314767597077,1.40179785624291,0.2413452790275,1.79478964233368,-0.0950941883546758,1.26796611388181,1.42003524499122,-1.17172681629799,-1.5952411258546,2.04338851513506,-1.11533674416846,1.42217399943781
"AUS_1993",-0.250211571996173,0.703936790811185,0.146911468399435,-1.22074635965949,0.855248022036672,1.67077421690729,-1.42069082822473,-0.239716623931383,0.00687392536930129,-0.326263566611865,1.39392676166708,-0.189279948623229,0.999863431963093,0.976213462794018,-0.0823897303527036,1.38207649742926,-1.39492539580854,2.19651617959216,-2.44070102599502,-1.96211273260858,-0.0466137195197012
"AUS_1994",0.187834773209032,1.09984586314154,-0.333188939092272,-0.826266356947658,-0.0856038706045341,0.596203488685015,-0.621523233473202,-0.324115525952605,-1.08249819679163,0.03085932247768,0.829086799076535,1.83987038340689,1.3092075335849,1.67870275627917,-2.10578752595329,1.09867093981123,-1.40617796470739,1.03428972997981,1.5430477739427,0.0381784188464878,-0.417891576984592
"AUS_1995",0.0981224147070971,1.33258036122427,-0.0184388958413054,-1.11142263857909,0.455181826758799,0.564740190004069,-0.591035603406782,-0.721211008766839,-1.03458613656351,1.49984083998737,1.83548575063938,0.0456822082632694,0.168395062069516,2.78537486735018,-0.182640456984201,0.446169231552254,-0.250034850050502,-1.02346530871483,-0.288703273770328,0.439636931725837,-1.13019420386158
"AUS_1996",-0.047583663494284,1.13283990048123,-0.330936677896913,-0.745298733901714,0.0941916551277725,0.878958068977246,-0.384863264527875,-0.414516525719188,-1.28210537012388,0.626415652179357,1.27409398550892,0.861114129383606,-0.116201599354133,1.29715639987803,0.255907449430383,0.663985787090074,-1.72027036119731,-0.079801837335953,-1.53237976952188,-1.43668900454497,-1.091118064759
"AUS_1997",0.313827624638613,0.904042714620581,-0.149519042260144,-0.62561506641271,-0.198911001798964,0.73196850925431,-0.675967318315389,-0.90235926724719,-1.12708560741955,-0.37364551876186,-0.0842691592228156,0.562768129847803,0.449626549893504,-0.763724977839793,-0.238908098911297,1.44022316637432,-0.9551138192637,0.422257141481437,1.08683742614741,-0.140487390119626,0.461528751284705
"AUS_1998",0.38240324208418,0.667008125325574,0.288124454995226,-0.912010567238748,0.478960067855232,1.76491493403473,-1.1780476902043,-1.40877129522253,-1.49975410150954,-0.225739741649184,1.9284726103275,-0.79260469842911,-0.431767079623067,-0.849266906918379,1.34841680129832,-1.04051740195956,-1.66118500209496,2.33539651495956,-1.20369295696844,-1.97375107315085,-0.110651206368502
"AUS_1999",0.323233430819034,1.03950526728336,0.312279870826636,-1.38200786653094,-0.279475261483644,2.1270793760962,-1.29509991530334,-0.543430757845845,-1.59676290339046,1.27434642015136,0.0303414584653771,0.123124539393887,-1.90343869129555,-0.965668173572307,0.828854108005239,1.43352412190194,-0.761937882181722,0.230848101492193,-0.153917626451233,-0.458689589942361,1.073158647429
"AUS_2000",0.679674361697307,0.947637693240395,0.147590892993757,-1.22607324579393,0.0917329299269825,1.29876136960061,-0.852283862174852,-1.21668607486267,-1.788304357891,2.22448388532881,2.25732800532189,-0.525263794769847,-0.331353212263931,1.7408514312174,0.130071839795796,-0.634284252443147,-0.274486342321513,0.290409540167952,-0.666806028594023,-0.120223307784574,-0.184475799742171
"AUS_2001",0.586632916358051,0.78779369616321,-0.211101516910069,-0.308073871045235,-0.38452368460213,1.36853164275491,-0.893256473537545,-1.24759695327818,-1.93779076729119,1.67519280897737,0.517654409596158,0.179510893473687,-0.421706461545754,-0.109301943828756,0.00784020120365768,0.663674632142408,-0.693504620166264,-0.625229371774004,1.38261862492686,0.857354328341163,1.58481155645521
"AUS_2002",0.38548661244791,1.2921215283018,0.0816547200017935,-0.901503723158979,-0.267433867529035,0.881013116418394,-0.407952669966191,-0.216169473340452,-1.12535284943308,0.88377248011975,0.860938070988739,0.755189269600948,-0.344187706527776,0.818988797554626,-0.60609350581738,0.552930846982504,-0.802776755195693,0.134892318113294,0.134164016808137,-0.00423728121922897,0.0246298876942075
"AUS_2003",0.441084740468933,1.28356683879556,0.198471448578033,-1.66101438518869,-0.237767820649581,2.5600256625475,-1.31696959273607,-0.524850974871437,-2.74478029580364,1.28859772499341,1.21605491340473,-0.635618853343853,-1.63548391396024,1.40855925598831,1.06807088289296,0.589739279767065,0.80846194335767,-0.484542087242804,0.420533404617991,-0.753944837059677,-0.537855196543006
"AUS_2004",0.322363200833455,1.29136430324528,0.135715117959109,-1.42981435640767,0.445750153272123,2.19846635437083,-0.990383651337663,-1.00010577245374,-2.66260448150994,1.80509072475394,2.58129045928281,-0.475553223927655,-1.63892023889992,2.5093774199764,1.44273420154354,0.229383713058434,0.689926709949414,-0.949804739888406,-0.725920786851912,-1.4876163673296,-1.63446086136898
"AUS_2005",0.0287040442179594,1.4765923983997,0.450639912201555,-1.1235853651842,-0.292839501574898,1.93761229500304,-0.641132582543738,1.91239538202231,0.325373241729031,1.06586122861723,0.179791994639278,1.00241003931821,-1.69788739622617,-0.328951846097199,0.0728292992023044,1.65885320582504,-0.571121371106588,0.351238367488738,-0.20204639468906,-0.778245211128534,1.12668712634023
"AUS_2006",0.243542340187894,1.53744837477451,0.172030421612069,-1.20005957789576,-0.983525755033111,0.824304942416564,-0.716754364615755,1.46679258125596,0.263396595629369,2.38698532728983,0.596346311077966,1.04227853769224,-2.26532403991305,1.34941738234706,-1.05423911068976,2.30409453203073,-0.78554582859638,0.151926208958422,1.0707868796923,1.29255600097984,1.32335679281068
"AUS_2007",0.235581051266576,1.9177420585293,0.524733550221629,-1.98201083407565,-0.635749515561561,0.70593692540139,-0.141655377578509,0.886187899348936,-1.43196390841661,-1.26930195642454,-0.137960009898924,0.66804830425991,-1.84361845112,0.267423320180396,1.00156295272643,0.847376938612698,1.0511269120874,0.603610316900206,0.553018508485283,-0.545024575308303,-1.94445822292716
"AUS_2008",0.417117941859735,1.53632803021939,0.546407740278926,-1.80823410714357,-0.903819103747374,1.69622811087323,-0.850134980592047,1.51852362500062,-0.221931207802643,2.45609589507233,0.277230422557467,1.54212410310906,-2.74412128412314,0.869342340505984,-1.18757502015832,2.84868273342149,-0.043844087180016,1.08686617811045,1.78140787851542,1.00171644703532,1.29688618461339
"AUS_2009",0.382300933720339,1.88088491624337,-0.0159109216704558,-1.13290048349794,-1.26730350022886,-0.0990980427240724,-0.320625565156098,-0.303069768516631,-1.13049963967208,-0.984095352773649,-0.801902356632238,1.20472067196291,0.260149531135467,0.0925594221215762,-0.98500855046634,1.00577324237694,-1.47136035722323,0.375624731872842,0.904168070202627,0.00883806998427349,-1.11231822543074
"AUS_2010",0.426853732745664,1.56146571803438,0.205847182284324,-1.59854311628653,-1.2414102382073,1.57562169386742,-1.07517067100832,0.0783501674528004,-1.45640879828094,-0.413747465462901,-1.6910292109381,0.859968919429806,-0.356857350577286,-1.2798686368011,0.161558502280853,2.06930734005636,0.105423066633275,0.0985474975954446,0.684370888692883,-0.336784413483692,0.458605632653524
"AUT_1980",-0.939613411318976,-0.403408544528089,0.414243761544947,-1.53814365775702,1.46438501734253,2.1437021528145,-0.749697558433798,-1.70422153254244,0.173374297370788,0.595029274784889,0.269509407849656,-2.0929340046163,0.83259995387737,-2.59906677349807,-1.54179830041798,2.15930355461628,2.78504829412415,2.61927437639434,-1.37619798958611,2.11823646057525,-7.28890080510202
"AUT_1981",-0.678620508761661,-0.25566879932717,-0.320007962280694,-0.605551962069114,1.35104044304283,0.258040800753504,0.625218143505779,-0.445635650174106,0.63489919644542,1.3825712185208,-0.887322257830291,-0.237433055595197,0.243850696707345,-0.393792354743446,0.737015071884936,0.536260491400888,1.44336156208945,0.586152834218311,-1.15222439460737,0.975318878478223,-0.784634389361133
"AUT_1982",-1.00537364757808,-1.17372876323545,0.382610910976564,-1.69581833226478,1.56749344843937,2.70164368935846,-1.09669233823767,-1.61662738800968,0.722104379238246,0.350548367968259,0.986874707231106,0.0716094318733692,0.605206527163825,-0.111672474900112,1.84787411263073,3.03434168128136,2.17324926259174,-0.62942934204131,-0.667385468116537,2.68768237303159,-6.13755254292429
"AUT_1983",-0.903666807368368,0.190300944093335,-0.866988779765638,0.341996988167345,0.536156069800734,1.77112163287021,-0.247634795914851,-1.30956526119242,-0.382872540111532,0.280412152718791,0.340389174412652,-1.27091670458163,1.13944947931477,-2.66190921109099,0.137334663690649,1.63029934543782,1.30855667851972,0.458103029447121,2.52077386437531,0.623978599555958,-4.0619923015918
"AUT_1984",-1.02718985448152,0.061642647268559,-1.37537423051915,0.567892749863523,1.334938999898,1.25807733311741,0.349868069228138,1.89383906722978,0.0479345820298194,-3.238616634875,-1.66849905292933,-1.31024153578638,2.97464443425059,-4.50445864586312,-0.0513008346507009,2.32801337269807,-0.608454767533353,-0.194441630343618,2.98606107034821,-2.3864421901434,1.03546632861479
"AUT_1985",-0.558757858776813,0.914703605432752,-0.388629606535083,0.391235855111942,1.4910463987561,0.516740550081553,0.706536315447573,0.366061540895235,0.573826276090654,0.528380279577084,-0.520177420836984,0.0134984763233653,0.936105818941156,-1.28486358410527,-0.506671028950954,0.206033862408267,1.10333372546297,-0.766082465292526,0.232846639875711,-0.640300013757908,-1.26913063760798
"AUT_1986",-0.55309844137104,0.431310629373752,-0.593090502529456,0.387754484413627,1.18292199182656,0.224253342468952,0.730653109630992,1.50055740258121,0.91005711423659,0.528674277907019,1.1517003882831,-1.2351906239631,0.313051813886723,-1.11337828771612,1.06614503803603,-1.69549740868431,-0.244729242578056,0.157700603994651,0.321307824584628,1.05696447443442,-0.285548198169032
"AUT_1988",-0.524290721147546,0.465122648243768,0.0413085173805042,-0.0349108540582761,1.20910547435964,0.171279043016839,0.562676810183682,-0.873299749826783,0.328329668791551,0.946343577855433,-0.739673682313669,0.493712017529139,0.352194952588061,-0.595578696311875,-0.114225165248615,-0.359648882735424,1.68650513269274,0.798575996482868,-0.658923303809671,1.21837293556824,-0.608411845229878
"AUT_1989",-0.512048802901117,0.833878652610719,-0.323915788507138,0.503179176555374,1.15767864235605,0.690580384061157,0.791173541573073,0.909541078169011,0.314039193710281,0.85657472792962,-0.523092406081282,-3.07544399452964e-05,-0.317356927577644,-1.1577989479056,0.229940949478086,-0.0504060801570236,-0.127306899294567,-0.664138062871729,0.904287723507561,0.400376230498297,-0.661640585496217
"AUT_1990",-0.598558719864223,0.789883411035518,-0.361579380216076,0.657891448743277,1.07261021802548,0.0337049949472804,0.720106289883445,0.749280190885138,0.398667224875817,-0.0668409442757026,-0.656313599269667,1.15840448469416,-0.141654633221036,-0.402957168751667,1.73906296526006,-0.408332144853059,-0.414013659950594,-0.310108729637601,-0.284421761038028,0.818836383011266,-0.74403887545057
