"","BCA","KC","KG","KI","LE","OPENK","POP","RGDPCH","RGDPL","RGDPL2","XRAT","BCAperRGDPL","KCxRGDPL","KGxRGDPL","KIxRGDPL","KCxRGDPLxPOP","KGxRGDPLxPOP","KIxRGDPLxPOP","RGDPCHxPOP","RGDPLxPOP","RGDPL2xPOP"
"AUS_1980",0.0278043631320848,0.0849740458049866,0.44542147296294,-0.240646789221102,-0.312336185897574,-0.882661705793774,-0.313926462966345,-0.494397127580971,-0.49320995877732,-0.481446496984379,-0.23323913976738,0.00298233047043179,-0.492423790750779,-0.125498887843374,-0.510917287265728,-0.304735092033807,-0.280370656430658,-0.326780918422484,-0.314397187438362,-0.314282492227629,-0.312588233822978
"AUS_1981",-0.00164999657832548,0.0949149369075012,0.33373266974216,-0.0580682155533689,-0.307271112768891,-0.875203983365061,-0.308211811379312,-0.443937534379598,-0.44306437988344,-0.433607473386022,-0.233284239765021,-0.0469076656170245,-0.429920051443591,-0.143779725786807,-0.389290773364633,-0.29765180347816,-0.277463834910114,-0.310691677852204,-0.306796666501909,-0.306708463731066,-0.30519763550727
"AUS_1982",-0.00532331225492559,0.359140754466858,0.488677762403591,-0.656359266770143,-0.307191971001256,-0.884464341023247,-0.303777174070354,-0.508375525181667,-0.505524789018762,-0.48735527844507,-0.232634698703101,-0.0563089744514628,-0.417508305817268,-0.110200341317107,-0.702154794485965,-0.294280452190356,-0.271727767985908,-0.340074317742052,-0.309118500483498,-0.308866783633601,-0.306647227281189
"AUS_1983",0.00843070032748669,0.181984850659841,0.371179638301721,-0.395507459902886,-0.311821764407942,-0.876404490475307,-0.300313521809812,-0.437696576432084,-0.43592318634894,-0.421890540624866,-0.23193741791765,-0.0291855609550491,-0.392178811831834,-0.10714828387988,-0.535370068892942,-0.290651035706586,-0.268921338992328,-0.320585073012073,-0.3011917556079,-0.301029573807746,-0.299145942504515
"AUS_1984",-0.0139939872328288,0.0395238912649721,0.371252690622493,-0.208691412135777,-0.3041845838311,-0.838262151280839,-0.29729388176475,-0.358360412039564,-0.357111205668591,-0.345891850054353,-0.231771676830428,-0.0638207978067586,-0.3476639204827,-0.00807564957730456,-0.38840993636429,-0.286035370224477,-0.259206075233055,-0.303082490305877,-0.292709146503276,-0.292593820699582,-0.290947273576855
"AUS_1985",-0.0182457521875748,0.0103350808584301,0.345064979159959,-0.224530746808927,-0.295993410880808,-0.850529481843,-0.293858657739101,-0.264274335845901,-0.262914248870194,-0.251546973837395,-0.230129542669734,-0.0661073928069147,-0.247724601317154,0.0893898650232689,-0.321007889385703,-0.277554728812885,-0.24912574758313,-0.293483012203433,-0.282573834924083,-0.282454433709987,-0.280806241775775
"AUS_1986",-0.0258851256514387,-0.0467871989827588,0.312466054220631,-0.415818468163775,-0.284834421644179,-0.848167099493983,-0.290043863788448,-0.228071927516922,-0.226002452758346,-0.212669230479509,-0.229769697483074,-0.0763967585491658,-0.225582044031334,0.109062457898362,-0.385825322206052,-0.273725761985419,-0.24456701181819,-0.297808310991373,-0.276862557014073,-0.276684753153596,-0.274873577789038
"AUS_1987",-0.0116549916609273,-0.136644259250147,0.205764675582226,-0.220817970820669,-0.278621792884779,-0.835042205984545,-0.285650390712356,-0.121341921940817,-0.120229981295565,-0.110196709276426,-0.230150435819326,-0.0495005607461109,-0.137290303784095,0.149871440082261,-0.205824861535983,-0.265134592639291,-0.237845272260601,-0.274917247812492,-0.264619279326243,-0.26452840619058,-0.263008673656542
"AUS_1988",-0.0349799068058065,-0.0978272032390368,0.206551158579753,0.13610240410768,-0.267898083370146,-0.806856547252561,-0.280741583832132,-0.0671937405024053,-0.0685838444852077,-0.0629143299515688,-0.230983185090843,-0.0821426804103776,-0.0628698267523072,0.212647177872564,0.0219808219515576,-0.256956027541349,-0.228855573109409,-0.245659794837082,-0.256288098730641,-0.256417663280076,-0.255282898502552
"AUS_1989",-0.113603133514872,-0.0685068373517038,0.214381762551778,0.104977330980491,-0.255156258780803,-0.799177363046706,-0.27553817565572,-0.023236718805747,-0.0242324259342443,-0.0178727850084859,-0.231069172757579,-0.19481055626937,-8.24128027142825e-05,0.272840321775598,0.0438037924871791,-0.2492075709977,-0.21966508875784,-0.2388017287829,-0.24848080572,-0.248581490442412,-0.247397538109086
"AUS_1990",-0.0930541169088233,0.0763982667712152,0.28117366133829,-0.519795258901257,-0.249655905930124,-0.786217265074683,-0.270413191478508,-0.0670101161936422,-0.0607539400251198,-0.0447071141674509,-0.230976726187071,-0.167793404288234,0.0144829817496985,0.286491610519718,-0.315472369600411,-0.244707434739997,-0.214211946405199,-0.276112873613453,-0.24849637512195,-0.247944650341094,-0.2458900332333
"AUS_1991",-0.0483726018448858,0.138967369780214,0.293173929596596,-0.768108523188377,-0.256976519436424,-0.764640559624658,-0.26584156317237,-0.0635208856624569,-0.0537650808507017,-0.033850225708353,-0.230961561804303,-0.101175903655547,0.0473231000259123,0.305455107597541,-0.440997660125931,-0.239272062248047,-0.208749677381324,-0.287606484216158,-0.244736168313285,-0.243858239470069,-0.241443581467039
"AUS_1992",-0.0480241904572191,-0.0165437033806157,0.268097141459632,-0.569763209663857,-0.258480213021501,-0.752508089096545,-0.261810629110124,0.011928159000103,0.0196236199759594,0.0359435074941945,-0.23052409744362,-0.0965024063558015,0.0716646905104772,0.373481462078702,-0.283388319673045,-0.234752921146889,-0.199554629765428,-0.266136020524795,-0.234724709950276,-0.234031887124789,-0.231947696668668
"AUS_1993",-0.0390589639319987,-0.133128120464938,0.115759234577741,-0.45795614850412,-0.256580810598245,-0.728870836899036,-0.258299007689332,0.0791685953799879,0.0856161790150386,0.0990038179524013,-0.22991241117424,-0.0803614833153534,0.100288318448246,0.315370376014413,-0.173590397236673,-0.230247783539392,-0.201466651997093,-0.250362468645068,-0.225720362677052,-0.225141808932541,-0.223334189335768
"AUS_1994",-0.109804760985793,-0.136968066045497,-2.39762912901666e-05,-0.157456529647081,-0.247202511133419,-0.705799329004304,-0.255077060499819,0.181438159145083,0.185282828779341,0.193976856037531,-0.230489837171439,-0.171647913708284,0.213020610417646,0.323020261838509,0.0732950785892374,-0.21980014542847,-0.198048741009435,-0.217871927431337,-0.213512397520032,-0.213181315425242,-0.211827504183459
"AUS_1995",-0.144819442685201,-0.178393696185343,0.0046037137638418,-0.281445180028489,-0.234737682730801,-0.68965816595509,-0.251459944111872,0.271932395827846,0.276564761010409,0.286936046696924,-0.230594976891968,-0.210766127794036,0.299407434959928,0.431151738045401,0.0736111856224305,-0.21082838003366,-0.185504231856507,-0.21472774004883,-0.201902343442523,-0.201499653381064,-0.200001761295664
"AUS_1996",-0.101413831577325,-0.304173125436988,-0.133077112631649,-0.1265597120146,-0.230384885510839,-0.658035762848143,-0.247365497394038,0.365854818228716,0.368632819055856,0.374971651968259,-0.230994698788871,-0.147507689145216,0.347115691328885,0.397647475382303,0.240144431373899,-0.2042262128891,-0.184837990141861,-0.190492278147953,-0.189356674943849,-0.189135409321318,-0.188039999171377
"AUS_1997",-0.0781431335678497,-0.32017578748632,-0.178949544693512,0.0315984820752181,-0.227179643921594,-0.645513908119768,-0.243286054983306,0.476028516671001,0.477406104213157,0.480864145352546,-0.230604244014771,-0.111975884933158,0.461634897858896,0.468747282096061,0.428501963858953,-0.192528259160717,-0.174899124834088,-0.163021913836095,-0.175017290242,-0.174938829926919,-0.174146114073275
"AUS_1998",-0.144126458708103,-0.267676553628575,-0.464682590204093,0.156938998839038,-0.219661175996206,-0.655995361666133,-0.239463879731637,0.604275301777087,0.605234957447218,0.605373738981641,-0.229231305730409,-0.183687922857713,0.630559372930827,0.297607260826267,0.618819796664561,-0.176698261982149,-0.186955360995812,-0.135009072871734,-0.158877536272939,-0.15884961149651,-0.158412359372832
"AUS_1999",-0.191732860764833,-0.300326535942255,-0.428951914320316,0.220199402351126,-0.21392339784262,-0.621848592640094,-0.235570308520526,0.711234368322937,0.712241538113354,0.711045927822579,-0.229466522156464,-0.23084694494364,0.73468180337826,0.442722266252393,0.754769985103325,-0.16550393534229,-0.170367768817968,-0.113380764717587,-0.144514729374452,-0.144490400719181,-0.144215282894911
"AUS_2000",-0.124165864849568,-0.185193605399026,-0.483396565399781,-0.222887537777123,-0.204901236332154,-0.609959359791346,-0.231425345442848,0.736103213907103,0.737784560059997,0.745014357150533,-0.228484319468106,-0.151827784142592,0.822140960000703,0.40695114613346,0.474578272072055,-0.155209836073464,-0.169993578290384,-0.145287100277671,-0.137959764567048,-0.137869535797257,-0.136762874128934
"AUS_2001",-0.0348773473310533,-0.234286777750599,-0.513649819027252,-0.0556786329133027,-0.200904577066552,-0.630470019063905,-0.226943185198386,0.823848928031275,0.824901109737545,0.828549445415339,-0.227312674323902,-0.0476292107034153,0.895746883413209,0.457244828923764,0.660898298707408,-0.145550396956635,-0.161336999938275,-0.116196563188742,-0.124575969231391,-0.12455638615389,-0.123834570392525
"AUS_2002",-0.132647524107651,-0.258336948121157,-0.554872804915805,0.37223734785811,-0.19382138886316,-0.619166083409949,-0.222468276106055,0.912510617363713,0.912962912146658,0.908263450908423,-0.22783432909114,-0.151061867073855,0.982584153891224,0.493767254458957,1.04098844166461,-0.134697656578003,-0.153876005950682,-0.0606171996874275,-0.110880267896401,-0.110930146708276,-0.111095627885686
"AUS_2003",-0.299585524240632,-0.166842292778173,-0.64163694859639,0.615484786432165,-0.185313648842326,-0.607540768634052,-0.218162170116791,1.02862196270436,1.02860017225422,1.01938556991058,-0.229511678318486,-0.319941846672619,1.16379893003422,0.498353694743208,1.3267039865396,-0.116214989643833,-0.149549998444714,-0.0167709348764724,-0.0942579712203866,-0.0943679358618258,-0.0950450847875142
"AUS_2004",-0.454155747583963,-0.056437072292105,-0.71168536231195,0.752392877532121,-0.178349173290387,-0.57899272724534,-0.213913087931592,1.09804774945634,1.09826210964578,1.08684678430061,-0.230534768675938,-0.472369721941218,1.30565948722157,0.4758806739164,1.49694324566383,-0.100657061124636,-0.147893520802742,0.0121109572982656,-0.0823655887167177,-0.082457943065018,-0.0834048088144497
