"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"AUS_1980",-0.296324139092533,0.0331024463592549,-0.467185852682097,0.020929005029231,0.571231755583909,0.653284930704576,-0.356259131483447,-0.79231019263035,0.346578890749355,-0.0310184816409738,-0.0440432798240522,0.0103314974224098,0.557258238714736,0.222107688640019,-0.208733356213902,0.777036409783641,-0.218770792983523,-0.471338309634952,0.139538968219831,0.0448402351929218,0.317145694302826
"AUS_1981",-0.302091425623928,0.0504807729283385,-0.434684476443107,-0.0047515960177833,0.517946966107061,0.602071834176986,-0.319863169278348,-0.830425293986483,0.316201306587266,-0.0257999562996165,-0.0635698312839423,-0.188034066266505,0.479034357005308,0.38722035067336,-0.221271705793395,0.72120582496548,-0.255388299523517,-0.375159969632357,0.212682155515196,-0.0456841162887365,0.330952068378666
"AUS_1982",-0.247344057071981,0.111176922909401,-0.439450763221004,0.0697873638714057,0.373519248845756,0.598925336271162,-0.419995351442378,-0.839674742105331,0.603032785656861,-0.178194699753805,0.165773289574375,0.0706046087647838,0.506263290017224,-0.021705081891275,-0.281151610826267,0.423010808893743,-0.348107124981929,-0.617493088745885,0.146159328919587,0.225027960804315,0.132432631648855
"AUS_1983",-0.222398174586029,0.157209163334155,-0.483125833319283,0.101979523100372,0.42350819303643,0.529398973954454,-0.346666900950533,-0.769404228666634,0.506391759022006,-0.0138256545447764,0.0917926596384433,0.0207672642918943,0.51777310476241,0.154865163495987,-0.178726903519362,0.670846991232271,-0.249933240490588,-0.493118966665822,0.16127499769928,0.0483616977547321,0.2429072105747
"AUS_1984",-0.172023709963511,0.197860498105133,-0.522200250847225,0.0847046596869205,0.460087854901928,0.550697472159641,-0.254178682590836,-0.754358643904155,0.360250478256683,0.0163392230269448,0.0471601654576261,-0.0187538334394191,0.525501871863041,0.285027609549674,-0.223679048601927,0.717423691176087,-0.345940146746038,-0.485462428249829,0.295569732960764,-0.121988530383817,0.31551219397022
"AUS_1985",-0.110925503693856,0.311010200884443,-0.516239826290932,0.0804079371424855,0.466087991040396,0.605581363300377,-0.22466300569886,-0.788527841150536,0.332687689865987,-0.0144938171598596,0.0184624919738496,-0.00530044121747864,0.514119537986557,0.279566171465436,-0.222445189004318,0.734818924333837,-0.405838655852477,-0.515687056125262,0.312428601145939,-0.214607673052232,0.286044603047424
"AUS_1986",-0.0253449130039378,0.487186570323459,-0.539298692234881,0.173795889678498,0.563374066063041,0.610064232599722,-0.281282754459706,-0.816455207330936,0.251227092724918,-0.00102924039812713,0.085958846112689,0.163207036096829,0.593346050166274,0.116941270640638,-0.246648088494961,0.645347070519886,-0.660192472961235,-0.743888961717374,0.335110008221136,-0.212391738865659,0.203714764540905
"AUS_1987",-0.0171239389062112,0.523628049086856,-0.49747496757029,0.125775252143729,0.565445785575669,0.629580579267738,-0.268115934003069,-0.77745550314258,0.158993258641821,0.0416205487568018,0.00670694886461831,0.136058225411857,0.569696228134189,0.27794197961487,-0.169723030191115,0.781664204228523,-0.588152144520816,-0.574689349447613,0.312543392048809,-0.379665240196335,0.278673781817547
"AUS_1988",-0.118600442027383,0.273809945706763,-0.43570046447503,-0.122126826367179,0.488962131687597,0.737077593492648,-0.2982858333115,-0.634293363749443,0.0831191001742235,-0.149046471452253,-0.102731426204272,0.0245905765179746,0.599899338996105,0.681364918060928,-0.0559907034444009,0.775859839909298,-0.334034471086007,-0.0153783556567682,0.333409251049204,-0.635643684937481,0.501923687292395
"AUS_1989",-0.0603903485909285,0.34444058770373,-0.441187643790261,-0.125391187950513,0.456936326065652,0.760039283229398,-0.300185967761484,-0.694644343652815,0.00613427209401163,-0.232444672042217,-0.0185772287825969,-0.00491353978059017,0.602388753196379,0.683689380985471,-0.1597487667716,0.590967469573059,-0.616722439993094,-0.0888117035175817,0.490748064279835,-0.721163369876454,0.449587111455426
