ID,crude_oil_price
SAU_1960,7.0833333333
SAU_1961,7.0833333333
SAU_1962,7.5
SAU_1963,7.5
SAU_1964,7.5
SAU_1965,7.5
SAU_1966,7.5
SAU_1967,7.5
SAU_1968,7.5
SAU_1969,7.5
SAU_1970,7.5
SAU_1971,9.125
SAU_1972,9.9166666667
SAU_1973,11.1083333333
SAU_1974,39.7416666667
SAU_1975,37.525
SAU_1976,41.925
SAU_1977,45.5
SAU_1978,45.9
SAU_1979,103.55
SAU_1980,125.708333333
SAU_1981,120.883333333
SAU_1982,111.2
SAU_1983,100.516666667
SAU_1984,100.1
SAU_1985,95.5833333333
SAU_1986,48.9833333333
SAU_1987,63.0666666667
SAU_1988,50.1416666667
SAU_1989,60.8666666667
SAU_1990,78.1083333333
SAU_1991,64.7666666667
SAU_1992,64.5416666667
SAU_1993,57.1583333333
SAU_1994,54.8
SAU_1995,59.9166666667
SAU_1996,72.3416666667
SAU_1997,67.9833333333
SAU_1998,46.3416666667
SAU_1999,64.2666666667
SAU_2000,100
SAU_2001,86.6916666667
SAU_2002,88.4
SAU_2003,102.4
SAU_2004,133.8
SAU_2005,189.1
SAU_2006,227.758333333
SAU_2007,252.066666667
SAU_2008,343.766666667
SAU_2009,218.966666667
SAU_2010,280.241666667
SAU_2011,368.275
SAU_2012,375.766666667
