"","V1"
"AFG_1970",-0.983544812602186
"AFG_1971",-0.983544812602186
"AFG_1974",-0.983544812602186
"AFG_1975",-0.983544812602186
"AFG_1977",-0.983544812602186
"AFG_2009",-0.983544812602186
"AFG_2010",-0.983544812602186
"ALB_2009",-0.983544812602186
"ARG_1970",0.799334370298504
"ARG_1971",0.6252476391884
"ARG_1972",0.571020462189132
"ARG_1973",0.164799269598571
"ARG_1974",0.186038153668743
"ARG_1975",0.417430780345314
"ARG_1976",0.239469573964109
"ARG_1977",0.266608543992868
"ARG_1978",0.355973104835243
"ARG_1979",1.45405326168206
"ARG_1980",0.400759349017523
"ARG_1981",0.102118234977922
"ARG_1982",0.331730750960922
"ARG_1983",0.0179055739226613
"ARG_1984",0.264986163713201
"ARG_1985",0.264986163713201
"ARG_1986",-0.185314220640872
"ARG_1987",-1.00121398443752
"ARG_1988",-0.490072144590751
"ARG_1989",-1.6047271960415
"ARG_1990",-0.185314220640872
"ARG_1991",-0.307557130885808
"ARG_1992",-0.497273341126603
"ARG_1993",-0.497273341126603
"ARG_1994",-0.134504326479042
"ARG_1995",-0.163971419333979
"ARG_1996",0.132964713978085
"ARG_1997",0.301966471126357
"ARG_1998",0.608565999238682
"ARG_1999",-0.163971419333979
"ARG_2000",-0.405576683097546
"ARG_2001",-0.0839474307485322
"ARG_2002",-0.681465461132797
"ARG_2003",-0.681465461132797
"ARG_2004",-0.0733121378172327
"ARG_2005",0.331730750960922
"ARG_2006",0.0837467338780321
"ARG_2007",0.331730750960922
"ARG_2008",0.587769136217561
"ARG_2009",-0.0870436878756411
"ARG_2010",0.120446801093702
"AUS_1970",-0.174131183013545
"AUS_1971",0.200058250675992
"AUS_1972",0.524690092524427
"AUS_1973",1.01809525946671
"AUS_1974",1.76082992109663
"AUS_1975",1.47738740690025
"AUS_1976",0.98697296906393
"AUS_1977",1.30233845942161
"AUS_1978",1.28254263216776
"AUS_1979",1.50421541409356
"AUS_1980",1.26721993419173
"AUS_1981",0.575760530635527
"AUS_1982",1.11245216773763
"AUS_1983",0.596259251602145
"AUS_1984",0.915455913329511
"AUS_1985",1.37233266453208
"AUS_1986",0.842401064792877
"AUS_1987",1.24530993553524
"AUS_1988",1.44644420032838
"AUS_1989",0.824228339515729
"AUS_1990",0.659275700760043
"AUS_1991",0.540505387840218
"AUS_1992",0.900695666578961
"AUS_1993",0.853155339553223
"AUS_1994",0.86182932681844
"AUS_1995",1.26166247612665
"AUS_1996",1.17084521505027
"AUS_1997",1.22117290275279
"AUS_1998",1.08383685775071
"AUS_1999",0.834230472740227
"AUS_2000",0.973201905725167
"AUS_2001",1.00438841315026
"AUS_2002",1.28028597023569
"AUS_2003",1.2258905102876
"AUS_2004",1.38085251720202
"AUS_2005",1.42359208030709
"AUS_2006",1.48057217412495
"AUS_2007",1.27134136481935
"AUS_2008",1.66246214968177
"AUS_2009",1.45019809292304
"AUS_2010",1.02710391955504
"AUT_1970",0.692565273996267
"AUT_1971",1.00892917987677
"AUT_1972",1.0067511640614
"AUT_1973",1.26130155028362
"AUT_1974",1.40637275418242
"AUT_1975",0.819603817272819
"AUT_1976",0.991200588985135
"AUT_1977",1.52320175381992
"AUT_1978",0.829734120267045
"AUT_1979",0.334135950287472
