"","Globalisation_score","sig_1","sig_2","sig_3","sig_4","sig_5","sig_6","sig_7","sig_8","sig_9","sig_10","sig_11","sig_12","sig_13","sig_14","sig_15","sig_16","sig_17","sig_18","sig_19","sig_20","sig_21","sig_22","sig_23","sig_24","sig_25","sig_26","sig_27","sig_28","sig_29"
"Globalisation_score",0.999999999999999,-0.0683664285993215,-0.156671685404329,0.136395901667042,0.247523471063738,0.0150142141749343,0.218704815808517,0.112094292008147,0.0535868379372793,0.330947666756746,0.30957869486265,0.272079882104074,0.345152961893984,0.319158613373047,0.376892601203621,0.253086239546176,0.302139165254994,0.422678859783208,0.403502059824003,0.334196046294901,0.114893698433482,0.170277438493101,0.393367306904391,0.364590079986828,0.43789055867721,0.0802682498254315,0.46607866683742,0.151118778755816,0.372286079208127,0.278615981395386
"sig_1",-0.0683664285993215,1.00000000000002,-0.0307139125671418,0.12307341591688,0.198661625591208,0.101498687920023,0.259440266714874,0.257790179805868,-0.0443856774364463,-0.0618407755953233,-0.0650391245894526,-0.0619555129618099,-0.0628162520273991,-0.0432398425600459,-0.0583508422364716,-0.0365815889064303,-0.0370190052560653,-0.0475596668180001,-0.0487739934989058,0.0186513385761372,-0.00605792318306867,0.012067099046489,-0.0150274593601333,0.0204858559054335,-0.0231703105625376,0.0232993249992262,0.00701900569598999,0.0554181226477143,0.036873971601691,-0.0603372126657951
"sig_2",-0.156671685404329,-0.0307139125671418,0.999999999999992,-0.14810486912462,-0.266180498114667,-0.043935344274751,-0.214693521869484,-0.153289775193449,0.347015605989468,-0.257440795377943,-0.24151283782471,-0.2289874256696,-0.270012329517986,-0.239010885567232,-0.284467558536765,-0.188491199518202,-0.240085668804424,-0.329046807238916,-0.279321753968715,-0.259916028740231,-0.105262386125896,-0.152152858071125,-0.313976239485328,-0.279715571438931,-0.330220818769085,-0.085147196755304,-0.353211535550371,-0.137897499587203,-0.277045420099938,-0.0322779657874398
"sig_3",0.136395901667042,0.12307341591688,-0.14810486912462,0.999999999999913,0.226973441376992,0.196369033399737,0.339371442544135,0.232642565313094,-0.148719805094334,0.332442616696523,0.274881358432371,0.21324618235572,0.317178567363351,0.41641318534755,0.27485594270327,0.257725436637975,0.367970636526061,0.322150589343547,0.382034201635562,0.756690235679065,0.207318771091705,0.417114850930248,0.261029136974393,0.266259718951506,0.480843182207548,0.288154605551422,0.339158431458335,0.273167596651442,0.179280192005979,-0.0773411469675969
"sig_4",0.247523471063738,0.198661625591208,-0.266180498114667,0.226973441376992,0.999999999999954,0.0354361661912104,0.391733463816387,0.28799704467286,-0.264596084702977,0.539737241705528,0.553741951830347,0.602174719921269,0.56720993865422,0.377767506406818,0.686513577222363,0.349447684008052,0.50058228209874,0.72501991878973,0.455776030806558,0.394167020541996,0.184097248865501,0.204160984857223,0.768510600694819,0.388531997757762,0.513914920420938,0.0761122924978505,0.479019266687121,0.139987544703251,0.26973207163437,-0.176187661443875
"sig_5",0.0150142141749343,0.101498687920023,-0.043935344274751,0.196369033399737,0.0354361661912104,1.00000000000005,0.144104374687739,0.263952355770499,-0.03739335616279,0.0773265592449074,0.0212259798101917,0.00232242345375272,0.0433825253712574,0.122870488347143,0.0172157278686051,0.117562707067488,0.233196020746093,0.0438360381264863,0.0933080443093934,0.179792114201976,0.310035623065921,0.501285034032734,0.0423187522880485,0.0552184667487965,0.218359038870703,0.554816655055231,0.136888438533577,0.79118472123809,0.11969073081338,-0.0232877965104774
"sig_6",0.218704815808517,0.259440266714874,-0.214693521869484,0.339371442544135,0.391733463816387,0.144104374687739,0.999999999999996,0.468665169871857,-0.0576186789301837,0.21309553148603,0.154097946965863,0.125509968155852,0.234457408210618,0.309962181172883,0.257043268182246,0.205070676530021,0.247679812089177,0.376789102640853,0.35486075189033,0.399044416038715,0.150270790838409,0.292881861140926,0.353424580751289,0.73053525579989,0.486838673030729,0.205925071522296,0.630854496069242,0.250740928368842,0.415956363603431,0.0709286735525792
"sig_7",0.112094292008147,0.257790179805868,-0.153289775193449,0.232642565313094,0.28799704467286,0.263952355770499,0.468665169871857,0.999999999999989,0.116615958743543,0.00408651485886921,-0.0482506085892752,-0.0558413651907087,0.0123842910690926,0.0876280228961158,0.0120791470794165,0.0862386781708222,0.0994224416406208,0.147588103410598,0.154777524413231,0.189905959532458,0.121745141618564,0.189128969139352,0.332563291829666,0.267612378299571,0.344191839351748,0.188380557220596,0.565845948799625,0.370941261376258,0.763959921081791,0.231839743772515
"sig_8",0.0535868379372793,-0.0443856774364463,0.347015605989468,-0.148719805094334,-0.264596084702977,-0.03739335616279,-0.0576186789301837,0.116615958743543,0.999999999999985,-0.302075412193988,-0.298485031360088,-0.289397229990653,-0.307417645499362,-0.241085260963978,-0.328949791753655,-0.19515769245518,-0.268509366171047,-0.338044875226434,-0.268789578485326,-0.250095152526843,-0.0988930024362646,-0.140991116209767,-0.288573092758765,-0.0874860884181439,-0.270487606798604,-0.0640210592072227,-0.142600100486589,-0.071801510007361,0.0943631671913227,0.737367558092143
"sig_9",0.330947666756746,-0.0618407755953233,-0.257440795377943,0.332442616696523,0.539737241705528,0.0773265592449074,0.21309553148603,0.00408651485886921,-0.302075412193988,1.00000000000003,0.929633527593594,0.807241020275246,0.898530635650708,0.730265815074915,0.880986752999588,0.653199490075806,0.850849668033739,0.841621604687171,0.734291000424155,0.675956683315316,0.312439167566674,0.431932840143099,0.608754093436282,0.372604555009005,0.680141193699761,0.204945972608282,0.392535024797096,0.205366162854674,0.0849449692774002,-0.220396419587093
"sig_10",0.30957869486265,-0.0650391245894526,-0.24151283782471,0.274881358432371,0.553741951830347,0.0212259798101917,0.154097946965863,-0.0482506085892752,-0.298485031360088,0.929633527593594,1.00000000000003,0.901338346587404,0.950924068479716,0.650918750872104,0.923173619706428,0.478701088003406,0.737836179075466,0.8472341371467,0.620423974147462,0.619050070348785,0.210192518631955,0.281817084475324,0.591363028501774,0.328895420319903,0.559992565820419,0.0899224616474711,0.296133128004304,0.101410417395302,0.0116103025959559,-0.234140822457433
"sig_11",0.272079882104074,-0.0619555129618099,-0.2289874256696,0.21324618235572,0.602174719921269,0.00232242345375272,0.125509968155852,-0.0558413651907087,-0.289397229990653,0.807241020275246,0.901338346587404,0.999999999999994,0.818770655381678,0.498320387804746,0.935931078311649,0.397429418390156,0.64841829556966,0.824260240833038,0.503927555710385,0.461867553189427,0.166909362909702,0.204112535994048,0.635295246827735,0.26283147137333,0.447166163693478,0.0469204997643415,0.241840749005474,0.0564521417663603,-0.0156590782980396,-0.238178410064337
"sig_12",0.345152961893984,-0.0628162520273991,-0.270012329517986,0.317178567363351,0.56720993865422,0.0433825253712574,0.234457408210618,0.0123842910690926,-0.307417645499362,0.898530635650708,0.950924068479716,0.818770655381678,1.00000000000001,0.676538858337091,0.895395419660543,0.472629355808443,0.70926711261854,0.887783655841871,0.653430509840534,0.706774871169785,0.212728293170253,0.325324009320648,0.618885132466564,0.442094303122516,0.647674726433705,0.138020208567458,0.419043443703776,0.148142686462006,0.101109815722981,-0.210932460956538
"sig_13",0.319158613373047,-0.0432398425600459,-0.239010885567232,0.41641318534755,0.377767506406818,0.122870488347143,0.309962181172883,0.0876280228961158,-0.241085260963978,0.730265815074915,0.650918750872104,0.498320387804746,0.676538858337091,1.0000000000001,0.610439145373773,0.465359198578144,0.621316239435212,0.624082108438323,0.880006939316097,0.804186502733004,0.248934998351699,0.55403613151993,0.441370065045293,0.4846605111808,0.742245371441997,0.296635791603897,0.482034496025314,0.255900685224098,0.172325412962085,-0.131542183460332
"sig_14",0.376892601203621,-0.0583508422364716,-0.284467558536765,0.27485594270327,0.686513577222363,0.0172157278686051,0.257043268182246,0.0120791470794165,-0.328949791753655,0.880986752999588,0.923173619706428,0.935931078311649,0.895395419660543,0.610439145373773,1.00000000000004,0.490658165570731,0.718988667137529,0.944538926796258,0.671278457390758,0.581816142816197,0.208147296441589,0.270051874916624,0.765256966450407,0.43014818365291,0.626305242099287,0.07851940163428,0.430222785215601,0.118792249513795,0.0958660698833876,-0.23915718979721
"sig_15",0.253086239546176,-0.0365815889064303,-0.188491199518202,0.257725436637975,0.349447684008052,0.117562707067488,0.205070676530021,0.0862386781708222,-0.19515769245518,0.653199490075806,0.478701088003406,0.397429418390156,0.472629355808443,0.465359198578144,0.490658165570731,0.999999999999964,0.676018432781223,0.528652036790758,0.522572249351762,0.429952413506205,0.381625760327444,0.470106482301683,0.435991589489397,0.273600948414984,0.583679476798718,0.249247906944818,0.385924514164142,0.294956192774521,0.190059674616845,-0.106925619143793
"sig_16",0.302139165254994,-0.0370190052560653,-0.240085668804424,0.367970636526061,0.50058228209874,0.233196020746093,0.247679812089177,0.0994224416406208,-0.268509366171047,0.850849668033739,0.737836179075466,0.64841829556966,0.70926711261854,0.621316239435212,0.718988667137529,0.676018432781223,1.00000000000005,0.724107287490109,0.617428543797274,0.626545741542303,0.592732656401816,0.610575148012343,0.589072629071485,0.322439369091316,0.70604710527064,0.449233509518344,0.416017072728115,0.446153867240784,0.162187574571958,-0.188347145740388
"sig_17",0.422678859783208,-0.0475596668180001,-0.329046807238916,0.322150589343547,0.72501991878973,0.0438360381264863,0.376789102640853,0.147588103410598,-0.338044875226434,0.841621604687171,0.8472341371467,0.824260240833038,0.887783655841871,0.624082108438323,0.944538926796258,0.528652036790758,0.724107287490109,1.00000000000002,0.708975314210748,0.645517778052223,0.249472309046749,0.317807785429373,0.846829206978256,0.548754101427581,0.750289149094824,0.120917784170722,0.620827334643211,0.199254141652994,0.271653320211317,-0.199629206009601
"sig_18",0.403502059824003,-0.0487739934989058,-0.279321753968715,0.382034201635562,0.455776030806558,0.0933080443093934,0.35486075189033,0.154777524413231,-0.268789578485326,0.734291000424155,0.620423974147462,0.503927555710385,0.653430509840534,0.880006939316097,0.671278457390758,0.522572249351762,0.617428543797274,0.708975314210748,1.00000000000008,0.707655614337936,0.231278322965282,0.458904740588983,0.598488006324098,0.498112511538661,0.837484675651147,0.227591491686906,0.638620553045964,0.267565146316674,0.300265382045558,-0.126914615466052
"sig_19",0.334196046294901,0.0186513385761372,-0.259916028740231,0.756690235679065,0.394167020541996,0.179792114201976,0.399044416038715,0.189905959532458,-0.250095152526843,0.675956683315316,0.619050070348785,0.461867553189427,0.706774871169785,0.804186502733004,0.581816142816197,0.429952413506205,0.626545741542303,0.645517778052223,0.707655614337936,0.999999999999959,0.299100828635955,0.570070498658618,0.465303880724105,0.522604787074215,0.783087118941927,0.368206498748158,0.552737547382214,0.333845550049687,0.261180809777891,-0.113208462708053
"sig_20",0.114893698433482,-0.00605792318306867,-0.105262386125896,0.207318771091705,0.184097248865501,0.310035623065921,0.150270790838409,0.121745141618564,-0.0988930024362646,0.312439167566674,0.210192518631955,0.166909362909702,0.212728293170253,0.248934998351699,0.208147296441589,0.381625760327444,0.592732656401816,0.249472309046749,0.231278322965282,0.299100828635955,0.999999999999978,0.555286593554763,0.235778133031278,0.129364909572398,0.369176083621738,0.632529134961945,0.229674808970427,0.552711216147031,0.156275752411024,-0.0587757784179526
"sig_21",0.170277438493101,0.012067099046489,-0.152152858071125,0.417114850930248,0.204160984857223,0.501285034032734,0.292881861140926,0.189128969139352,-0.140991116209767,0.431932840143099,0.281817084475324,0.204112535994048,0.325324009320648,0.55403613151993,0.270051874916624,0.470106482301683,0.610575148012343,0.317807785429373,0.458904740588983,0.570070498658618,0.555286593554763,1,0.247661229635343,0.265100269747432,0.600772562500538,0.822224861300658,0.37239923405541,0.630437692242287,0.193461164453079,-0.0759654318641041
