"","x"
"1",0.945941034481261
"2",0.837199364188767
"3",0.780538829105266
"4",0.689665839763782
"5",0.633106965992765
"6",0.556340255449957
"7",0.491472863216006
"8",0.445963729668601
"9",0.420553979392587
"10",0.3925045924653
"11",0.305670597393871
"12",0.300627848828436
"13",0.253193363288747
"14",0.200031757858348
"15",0.185661402552749
"16",0.158672388593432
"17",0.115402115183992
"18",0.106551352197559
"19",0.080525904816167
"20",0.0607208727219277
"21",0.0317518814842826
