ID,EC1,EC2,EC3,EC4,EC5,EC6
cpd:C00996,1,0,0,0,0,0
cpd:C04805,1,0,0,0,0,0
cpd:C00999,1,0,0,0,0,0
cpd:C02273,0,0,1,0,0,0
cpd:C02376,0,0,1,0,0,0
cpd:C05313,0,1,0,0,0,0
cpd:C00385,0,1,1,0,0,0
cpd:C11556,0,1,0,0,0,0
cpd:C03201,0,1,1,0,0,0
cpd:C03838,0,1,0,0,0,1
cpd:C02835,1,0,0,0,0,0
cpd:C00390,1,1,0,0,0,0
cpd:C01279,0,1,0,0,0,0
cpd:C00019,0,1,0,1,0,0
cpd:C03912,1,0,0,0,0,0
cpd:C00016,1,1,0,0,0,0
cpd:C15783,1,0,0,0,0,0
cpd:C00014,1,1,1,1,0,1
cpd:C00013,1,1,1,1,0,1
cpd:C00399,1,1,0,0,0,0
cpd:C00011,1,1,1,1,0,1
cpd:C00010,1,1,1,0,0,1
cpd:C04419,0,0,0,0,0,1
cpd:C01097,0,1,0,0,0,0
cpd:C04145,0,1,0,0,0,0
cpd:C04144,0,1,0,0,0,0
cpd:C04411,1,0,0,1,0,0
cpd:C04377,0,1,0,0,0,0
cpd:C05757,1,1,0,1,0,0
cpd:C05756,1,1,0,1,0,0
cpd:C05755,1,1,0,0,0,0
cpd:C05754,1,1,0,1,0,0
cpd:C05753,1,1,0,0,0,0
cpd:C05752,1,1,0,1,0,0
cpd:C05751,1,1,0,1,0,0
cpd:C05750,1,1,0,0,0,0
cpd:C05759,1,1,0,0,0,0
cpd:C05758,1,1,0,1,0,0
cpd:C01010,0,0,1,0,0,1
cpd:C03479,0,1,0,0,0,1
cpd:C01013,0,0,1,0,0,1
cpd:C00459,0,1,1,0,0,0
cpd:C00458,1,1,0,0,0,0
cpd:C00900,1,1,0,0,0,0
cpd:C00455,0,1,0,0,0,0
cpd:C00454,0,1,0,0,0,0
cpd:C04691,0,1,0,1,0,0
cpd:C03373,0,0,0,1,0,1
cpd:C00269,0,1,1,0,0,1
cpd:C00510,1,0,1,0,0,0
gl:G13027,0,1,0,0,0,0
cpd:C00262,0,1,1,0,0,0
cpd:C00263,1,1,0,0,0,0
cpd:C00264,1,0,0,0,0,0
cpd:C00266,0,0,0,1,0,0
cpd:C00267,1,1,1,0,1,0
cpd:C11455,1,0,0,0,1,0
cpd:C02843,1,0,1,0,0,0
cpd:C00068,1,1,0,1,0,0
cpd:C00307,0,1,0,0,0,0
cpd:C00378,0,1,0,0,0,0
cpd:C00062,0,0,1,1,0,0
cpd:C00063,1,1,1,0,0,1
cpd:C00060,0,0,1,0,0,0
cpd:C00061,1,1,1,0,0,0
cpd:C00067,1,0,0,0,0,0
cpd:C00064,1,1,0,1,0,1
cpd:C00065,1,1,1,1,0,0
cpd:C00344,0,1,0,0,0,0
cpd:C14180,1,0,1,0,0,0
cpd:C11508,1,0,0,0,0,0
cpd:C01300,0,1,0,1,0,0
cpd:C12145,0,1,1,0,0,0
cpd:C05726,0,1,1,0,0,0
cpd:C01302,0,1,0,1,1,0
cpd:C01647,0,0,0,0,0,1
cpd:C05729,0,1,1,0,0,0
cpd:C01641,0,0,0,0,0,1
cpd:C03518,0,0,1,0,0,0
cpd:C01164,1,0,0,0,0,0
cpd:C05684,1,0,0,0,0,0
cpd:C05686,0,1,0,0,0,0
cpd:C01161,1,0,0,0,0,0
cpd:C03862,0,1,0,0,0,0
cpd:C00422,0,1,1,0,0,0
cpd:C02442,0,1,0,0,0,0
cpd:C01083,0,1,1,0,0,0
cpd:C05688,0,1,0,0,0,0
cpd:C01081,0,1,0,0,0,0
cpd:C16664,1,0,0,0,0,0
cpd:C02934,1,1,0,0,0,0
cpd:C06032,1,0,0,0,0,0
gl:G10596,0,1,0,0,0,0
gl:G10597,0,1,0,0,0,0
gl:G10595,0,1,0,0,0,0
cpd:C15972,1,1,0,0,0,0
cpd:C15973,1,1,0,0,0,0
gl:G10598,0,1,0,0,0,0
gl:G10599,0,1,0,0,0,0
cpd:C00831,0,1,0,0,0,0
cpd:C16663,1,0,0,0,0,0
cpd:C00166,0,1,0,1,0,0
cpd:C00165,0,1,1,1,0,0
cpd:C04807,0,1,0,0,0,0
cpd:C01832,1,1,0,0,0,0
cpd:C00162,1,0,1,0,0,0
cpd:C00606,0,1,0,1,0,0
cpd:C05535,1,0,0,0,0,0
gl:G10694,0,1,1,0,0,0
cpd:C00169,0,1,0,0,0,1
cpd:C00168,0,1,0,0,0,0
cpd:C05437,0,1,0,0,0,0
cpd:C00392,1,0,0,0,0,0
cpd:C02700,1,0,1,0,0,0
cpd:C00018,1,1,0,0,0,0
cpd:C01672,0,1,0,0,0,0
cpd:C04742,1,0,0,0,0,0
cpd:C16331,1,1,0,0,0,0
cpd:C16330,0,1,0,0,0,0
cpd:C16332,1,1,0,0,0,0
cpd:C16335,1,1,0,0,0,0
cpd:C00028,1,0,0,0,0,0
cpd:C15780,1,0,0,0,0,0
cpd:C16339,0,1,0,0,0,0
cpd:C16338,0,1,0,0,0,0
cpd:C05804,1,1,0,0,0,0
cpd:C03785,0,1,0,0,0,0
cpd:C00015,1,1,1,0,1,0
gl:G00005,0,1,0,0,0,0
gl:G00004,0,1,0,0,0,0
gl:G00007,0,1,0,0,0,0
gl:G00006,0,1,0,0,0,0
gl:G00001,0,1,0,0,0,0
cpd:C02336,0,1,1,0,0,0
gl:G00002,0,1,0,0,0,0
cpd:C04582,0,0,0,1,1,0
gl:G00009,0,1,1,0,0,0
gl:G00008,0,1,0,0,0,0
cpd:C00012,0,1,1,0,0,0
cpd:C01272,0,0,1,0,0,0
cpd:C02565,0,0,1,0,0,0
cpd:C01943,1,0,0,0,0,0
cpd:C00882,0,1,0,0,0,0
cpd:C01233,0,0,1,0,0,0
cpd:C01322,0,1,0,0,0,0
cpd:C01944,1,1,0,0,0,0
gl:G00145,0,1,0,0,0,0
cpd:C05223,1,1,0,0,0,0
cpd:C00110,0,1,1,0,0,0
cpd:C00111,1,1,0,1,1,0
cpd:C00116,1,1,1,1,0,0
cpd:C00117,0,1,1,0,1,0
cpd:C00114,0,1,1,0,0,0
cpd:C03082,1,1,0,0,0,0
cpd:C00118,1,1,0,1,1,0
cpd:C00119,0,1,0,0,0,0
cpd:C05546,0,1,0,0,0,0
cpd:C05544,0,1,0,0,0,0
cpd:C05545,0,1,0,0,0,0
cpd:C17552,1,0,0,0,0,0
cpd:C08276,1,0,0,0,0,0
cpd:C05980,0,1,1,0,0,0
cpd:C17554,0,1,0,0,0,0
cpd:C05985,1,0,0,0,0,0
cpd:C17559,0,1,0,0,0,0
cpd:C00665,0,1,1,0,0,0
cpd:C04633,1,1,0,1,0,0
cpd:C00499,0,0,1,0,0,0
cpd:C04637,0,1,1,0,0,0
cpd:C04635,0,0,1,0,0,0
cpd:C00438,1,1,1,0,0,0
cpd:C04732,0,1,0,0,0,0
cpd:C00492,0,0,1,0,0,0
cpd:C00491,0,0,0,1,0,0
cpd:C04734,0,1,1,0,0,0
cpd:C01277,0,1,0,0,0,0
cpd:C00088,1,0,0,0,0,0
cpd:C00836,1,1,1,0,0,0
cpd:C00942,0,0,1,1,0,0
cpd:C18129,0,1,1,0,0,0
cpd:C00360,0,1,0,0,0,0
