"","V1","V2"
"sig_1",0.0866835496137135,0.24994328039962
"sig_2",0.097933593100598,0.331599235933747
"sig_3",0.086035599890533,0.153467705345486
"sig_4",0.0459213154090398,0.113072790048795
"sig_5",0.0674869768477929,0.0515670294506663
"sig_6",0.0919469703120242,0.195666877579448
"sig_7",0.0631062625849973,0.208886715555147
"sig_8",0.0986038245269151,0.278637129082649
"sig_9",0.0777475880256689,0.250425370801448
"sig_10",0.0565091854170448,0.0335456987575165
"sig_11",0.0384256175602938,0.0118167747137784
"sig_12",0.0755996111219727,0.174510575881613
"sig_13",0.0798095608313639,0.165945770168113
"sig_14",0.0395117914843092,0.0287413353779973
"sig_15",0.0197468380201992,-0.0347568242668958
"sig_16",0.04368238720259,-0.0593653250022302
"sig_17",0.0650653276124902,0.143466983886581
"sig_18",0.0658319708228925,0.141260833706815
"sig_19",0.064884748203046,0.0841848174406636
"sig_20",0.0271258974448256,-0.0836744295692506
"sig_21",0.0558126971400705,0.114063708578491
"sig_22",0.0229464777325226,0.126411310760037
"sig_23",0.0666107965869676,0.136767505866022
"sig_24",0.054917407748099,0.0611466230999221
"sig_25",0.0520880942713809,0.0296091625873015
"sig_26",0.0731468220072364,0.142452145359205
"sig_27",0.0776993164726532,0.171688025025438
"sig_28",0.0586248137786727,0.16827517248045
"sig_29",0.0891690558975767,0.23186317581987
