"","sig_1","sig_2","sig_3","sig_4","sig_5","sig_6","sig_7","sig_8","sig_9","sig_10","sig_11","sig_12","sig_13","sig_14","sig_15","sig_16","sig_17","sig_18","sig_19","sig_20","sig_21","sig_22","sig_23","sig_24","sig_25","sig_26","sig_27","sig_28","sig_29","Signal.transduction","Signaling.molecules.and.interaction"
"sig_1",1,0.882428345275439,0.842861117376465,0.874376605279425,0.589326003874048,0.95876369635004,0.950384406081511,0.850606455220893,0.493983002767115,0.734267260431138,0.778877736929088,0.85739028747317,0.857675102932596,0.79165295439633,0.353247232300272,0.591328712136363,0.869382896320737,0.860801894719246,0.895672451421267,0.197781853587402,0.546119432776949,0.770734385177197,0.8834448059373,0.896972650167919,0.486779486936623,0.908710476733199,0.939664250701906,0.84342268816606,0.816872824117463,0.248052175145509,-0.049972504216305
"sig_2",0.882428345275439,1,0.591446736478476,0.814881654603843,0.355890259284369,0.869261790761354,0.927789518469465,0.979817778230593,0.255972672532494,0.531404411375636,0.723777109665574,0.628844431759951,0.649753004742073,0.722537096369047,0.185845435447407,0.405214244725842,0.840998716555318,0.779626745761871,0.710522592327997,0.0309931052363583,0.332249437228428,0.83004539417968,0.836451214034806,0.743543436819944,0.274618641610024,0.8444814982039,0.851504486468071,0.890971856719642,0.941215210953083,0.325441444028995,-0.049507687342134
"sig_3",0.842861117376465,0.591446736478476,1,0.60238175464684,0.724672976385264,0.759474154374264,0.693524468838296,0.521264240648208,0.819688843654675,0.722450091917467,0.498284260054158,0.939338074217041,0.970702729397416,0.521210343763078,0.671183535383099,0.712354167306561,0.579950103529772,0.632932512728953,0.932649641515914,0.201250634646958,0.794604029590104,0.457218593393043,0.620656335118366,0.77171712687466,0.617257629742794,0.667027186823996,0.799888103102209,0.519221083816386,0.470169541628615,0.159320489719744,-0.0629591861662685
"sig_4",0.874376605279425,0.814881654603843,0.60238175464684,1,0.285167947734484,0.907267200461229,0.933007343635524,0.867219377193229,0.10961383508491,0.792203500448597,0.969727561416307,0.658165126968095,0.64716170871299,0.948839706803396,0.0228668347223934,0.488326076112576,0.969329324707776,0.876089773735651,0.760367782669428,0.120883295636563,0.163809967199498,0.912802482996389,0.946845067871855,0.893072935027166,0.154030457585613,0.916818151178466,0.857768181723375,0.945791840926382,0.896042497948564,0.113650839029651,-0.0292040239328535
"sig_5",0.589326003874048,0.355890259284369,0.724672976385264,0.285167947734484,1,0.457418612349716,0.398875738306919,0.260553909378868,0.677675600811205,0.414585508652519,0.169266762452421,0.6549909562956,0.631668805208862,0.192245659865715,0.631849308284733,0.646609850948763,0.268079747163931,0.333559908511522,0.589881833787178,0.698518118828657,0.805028487958062,0.153713721560881,0.298139771541876,0.418406418411475,0.964802640154383,0.361831294243004,0.575683728404739,0.212077100362219,0.198434292361116,0.061780364980912,-0.0591034453448685
"sig_6",0.95876369635004,0.869261790761354,0.759474154374264,0.907267200461229,0.457418612349716,1,0.966606184075687,0.874878663544556,0.388469290666855,0.66934898749895,0.872102738256623,0.854199599391921,0.810392227943361,0.902749119169845,0.285365121000471,0.425777552584877,0.947826084248664,0.963640175031397,0.869745395009434,0.0626970183034514,0.477824172673051,0.786583470285233,0.970345613616198,0.962701285481905,0.381540672068865,0.98619617235271,0.955800699988074,0.893253012983017,0.862143328525418,0.199335499267904,-0.0628148164253862
"sig_7",0.950384406081511,0.927789518469465,0.693524468838296,0.933007343635524,0.398875738306919,0.966606184075687,1,0.943601838476584,0.27619780049387,0.657732017022686,0.86998086144278,0.749291278767313,0.764643054846724,0.877525949005372,0.203454821698035,0.47205704480615,0.951990923223874,0.89771830022891,0.847606633221095,0.0407481070723229,0.364780930884398,0.902599197127734,0.952833805366058,0.910607799262767,0.304125130094686,0.957040957142215,0.951948136175503,0.962332921623981,0.936788573031144,0.205310012639909,-0.0325779002244124
"sig_8",0.850606455220893,0.979817778230593,0.521264240648208,0.867219377193229,0.260553909378868,0.874878663544556,0.943601838476584,1,0.13535436272894,0.529472501205543,0.802366556755592,0.582819417487788,0.601848309358336,0.795526829568092,0.0965102779237391,0.35547111829322,0.899706309656475,0.811747661672348,0.688297245473613,-0.0287946443778505,0.226978531906304,0.899329477284609,0.885029763458147,0.767818837348737,0.173002751963606,0.874246565938752,0.859327089677223,0.951998982443545,0.989123622685361,0.276949805175541,-0.057646167079447
"sig_9",0.493983002767115,0.255972672532494,0.819688843654675,0.10961383508491,0.677675600811205,0.388469290666855,0.27619780049387,0.13535436272894,1,0.321840278144212,0.00756012757222356,0.771832984804924,0.756144776050113,0.0507590551843791,0.85083596491452,0.407966910636645,0.135742203428608,0.289600199297699,0.618519615143587,0.105625604880087,0.898118047305692,-0.0382982876321153,0.195156511521009,0.375121468444815,0.633178571233292,0.267297319897168,0.459650344541189,0.0552644834107833,0.0524394347060154,0.246584655627941,-0.0411142935242332
"sig_10",0.734267260431138,0.531404411375636,0.722450091917467,0.792203500448597,0.414585508652519,0.66934898749895,0.657732017022686,0.529472501205543,0.321840278144212,1,0.734497057070829,0.64220387349718,0.6664424155095,0.681711981967233,0.138446810509411,0.767803243090475,0.662662037141168,0.590543123714983,0.717967668337142,0.366979695517642,0.233712195725028,0.620563944764452,0.642316872248856,0.701921188435427,0.225331736674923,0.631409306433595,0.622932095738906,0.609956686324192,0.536515406815633,0.0428847426271021,-0.0508497367956951
"sig_11",0.778877736929088,0.723777109665574,0.498284260054158,0.969727561416307,0.169266762452421,0.872102738256623,0.86998086144278,0.802366556755592,0.00756012757222356,0.734497057070829,1,0.611130659919339,0.559351553684204,0.987697160826545,-0.0404404900429895,0.346720526645107,0.963812099671873,0.899213212274263,0.686327571949971,0.0512370892930381,0.0776931318404813,0.853022750310469,0.948943154849766,0.889796160140362,0.0555837971175165,0.913279285208024,0.798187626837758,0.908082829805922,0.84896120322879,0.0190654639600289,-0.036129792420297
"sig_12",0.85739028747317,0.628844431759951,0.939338074217041,0.658165126968095,0.6549909562956,0.854199599391921,0.749291278767313,0.582819417487788,0.771832984804924,0.64220387349718,0.611130659919339,1,0.938967168735114,0.660508353519426,0.647039436474409,0.493957114751433,0.695766738280674,0.798696066739027,0.915249682791622,0.106449342313174,0.791241645502762,0.46001949730318,0.748878299945746,0.866700967003725,0.583572632859582,0.795289469048557,0.860012236425777,0.586297423059685,0.542614837023531,0.176413203262457,-0.0497218822254571
"sig_13",0.857675102932596,0.649753004742073,0.970702729397416,0.64716170871299,0.631668805208862,0.810392227943361,0.764643054846724,0.601848309358336,0.756144776050113,0.6664424155095,0.559351553684204,0.938967168735114,1,0.590889971807027,0.626204937116016,0.630889908146631,0.653393611641115,0.693763722668946,0.973484636275163,0.0490316064396294,0.737428867594529,0.556033706201108,0.697201655038965,0.833899054599319,0.530377451820652,0.738888010272482,0.86266644082218,0.615007890767976,0.561696561638024,0.169448124839253,-0.0550726296266173
"sig_14",0.79165295439633,0.722537096369047,0.521210343763078,0.948839706803396,0.192245659865715,0.902749119169845,0.877525949005372,0.795526829568092,0.0507590551843791,0.681711981967233,0.987697160826545,0.660508353519426,0.590889971807027,1,-0.00542317193976306,0.290670712759648,0.969651188162401,0.938256145217975,0.709231621754164,0.0168901550676948,0.142357248928484,0.814435179835501,0.97012879824728,0.926109579097233,0.104218924845129,0.944916137401419,0.82136043474744,0.896083571712335,0.835277287258125,0.0348394164019996,-0.0348081932190499
"sig_15",0.353247232300272,0.185845435447407,0.671183535383099,0.0228668347223934,0.631849308284733,0.285365121000471,0.203454821698035,0.0965102779237391,0.85083596491452,0.138446810509411,-0.0404404900429895,0.647039436474409,0.626204937116016,-0.00542317193976306,0.999999999999999,0.339523083339401,0.0706640840964562,0.202103815743861,0.549045319846406,0.0319207103923339,0.884452831917025,-0.0491073100573659,0.132754836336002,0.288950601996681,0.615332303284937,0.191507245767761,0.413016208266632,0.0304072470628969,0.0309597436449788,-0.0276958277345938,-0.0243328574286852
"sig_16",0.591328712136363,0.405214244725842,0.712354167306561,0.488326076112576,0.646609850948763,0.425777552584877,0.47205704480615,0.35547111829322,0.407966910636645,0.767803243090475,0.346720526645107,0.493957114751433,0.630889908146631,0.290670712759648,0.339523083339401,1,0.339766169951541,0.236926830041592,0.657327235132693,0.506553563773039,0.43150753173113,0.459736908164875,0.324423999660284,0.434025131508243,0.498764191450333,0.344983253219262,0.503269198325896,0.381757524684868,0.327648514749765,-0.0451770745330882,-0.0513529455080101
"sig_17",0.869382896320737,0.840998716555318,0.579950103529772,0.969329324707776,0.268079747163931,0.947826084248664,0.951990923223874,0.899706309656475,0.135742203428608,0.662662037141168,0.963812099671873,0.695766738280674,0.653393611641115,0.969651188162401,0.0706640840964562,0.339766169951541,1,0.94726133751985,0.756171434012263,0.0138475629698083,0.226714183781766,0.886491106316732,0.991563321049402,0.924167768293679,0.174777794923086,0.968356253630003,0.902202098521378,0.962586164233898,0.926605359643747,0.145654092794746,-0.0437434173669834
"sig_18",0.860801894719246,0.779626745761871,0.632932512728953,0.876089773735651,0.333559908511522,0.963640175031397,0.89771830022891,0.811747661672348,0.289600199297699,0.590543123714983,0.899213212274263,0.798696066739027,0.693763722668946,0.938256145217975,0.202103815743861,0.236926830041592,0.94726133751985,1,0.759643515730945,-0.00210588556433588,0.385742687580416,0.713814543024134,0.972211288562494,0.943994852739075,0.279422066116149,0.980051077108154,0.888387855029165,0.851389725631922,0.818168535878206,0.143792076676308,-0.0448090967525703
