"","V1","V2"
"ec:1.1.1.27",0.109531161280896,-0.246635002162565
"ec:1.11.1.6",0.0543577920524516,-0.32524824746381
"ec:1.11.1.8",-6.60028907595122,0.947540960812749
"ec:1.14.13.39",0.138189519969275,0.0693218205097121
"ec:1.14.99.1",0.131373836535074,-0.297691336675225
"ec:1.14.99.3",0.0543577920524516,-0.32524824746381
"ec:1.2.1.12",0.0964193916113576,-0.251518205278236
"ec:1.2.4.1",0.109531161280896,-0.246635002162565
"ec:2.1.1.43",0.0543577920524516,-0.32524824746381
"ec:2.4.1.11",0.0924692398086027,-0.451451527560407
"ec:2.7.1.1",0.122570960117573,-0.174130187065963
"ec:2.7.1.107",0.0336566928965727,0.380619655265315
"ec:2.7.1.11",0.104710851443054,-0.561264151942664
"ec:2.7.1.127",0.0751652919769388,-0.420882482068462
"ec:2.7.1.134",-0.104278882919657,-0.364828687745815
"ec:2.7.1.137",-0.221506602336263,-0.576704878249705
"ec:2.7.1.149",0.0378306104884549,1.31718293933126
"ec:2.7.1.150",0.266524320820936,-0.687505570831822
"ec:2.7.1.153",0.771355616967727,2.97828890003218
"ec:2.7.1.154",0.0452281220895183,-0.102917737264855
"ec:2.7.1.158",0.194426296161245,-0.652444040179768
"ec:2.7.1.67",0.0234377618555426,-0.00503390771608281
"ec:2.7.1.68",0.260571662334051,-0.410169509286618
"ec:2.7.1.91",0.453694147449029,0.125947742224371
"ec:2.7.2.3",0.0964193916113576,-0.251518205278236
"ec:2.7.7.41",-0.0275087041739877,-0.998101367762855
"ec:2.7.8.11",0.134983584633964,-0.496391491975596
"ec:3.1.1.4",0.589197652167663,3.09595901244654
"ec:3.1.3.25",0.136747313796379,-0.241471192299025
"ec:3.1.3.36",0.260571662334051,-0.410169509286618
"ec:3.1.3.46",0.0964193916113576,-0.251518205278236
"ec:3.1.3.56",0.107451458275603,-0.281466093820308
"ec:3.1.3.57",-0.0625858609486496,-0.467872622120941
"ec:3.1.3.64",0.078297134806224,-0.495467653181528
"ec:3.1.3.66",0.110913519877331,-0.354937451037591
"ec:3.1.3.67",0.123383362863428,-0.172462745172005
"ec:3.1.3.7",0.151162844876671,-0.550034220573332
"ec:3.1.3.86",0.224835813428806,0.157142952908297
"ec:3.1.3.9",0.0543577920524516,-0.32524824746381
"ec:3.1.4.11",0.727833231587785,4.06081254556567
"ec:3.1.4.17",0.111132383949055,-0.284799594000106
"ec:3.1.4.4",0.0896400011177221,-0.38519675530209
"ec:3.6.3.14",0.0543577920524516,-0.32524824746381
"ec:4.1.1.32",0.102786263914174,-0.540959943942839
"ec:4.1.2.13",0.0751652919769388,-0.420882482068462
"ec:4.2.1.11",0.194426296161245,-0.652444040179768
"ec:4.6.1.1",0.266326921990808,1.19893050769338
