"","sig_1","sig_2","sig_3","sig_4","sig_5","sig_6","sig_7","sig_8","sig_9","sig_10","sig_11","sig_12","sig_13","sig_14","sig_15","sig_16","sig_17","sig_18","sig_19","sig_20","sig_21","sig_22","sig_23","sig_24","sig_25","sig_26","sig_27","sig_28","sig_29","X.D.","X.E.","X.O.","X.B.","X.C.","X.M.","X.A.","X.T.","X.U.","X.R.","X.F.","X.G.","X.P."
"sig_13",0.749623604043959,0.576522328341529,0.952909623602628,0.888699438215221,0.758519941137521,0.822830007734303,0.64532905955957,0.558457792634568,0.994961733690035,0.987870531769986,0.966506027677106,0.955094380123343,1,0.958904544936207,0.935124261732237,0.950297377771552,0.87177261108851,0.977224830696466,0.937479775078118,0.797219996931235,0.902525020251744,0.704657795415558,0.862052867995663,0.792503720247592,0.759763780484415,0.680169341815038,0.658160676709977,0.592750599394058,0.546574803545779,-0.0250181217351629,-0.0171654595575302,-0.0320975546343721,-0.0259086638661806,-0.014713613516185,-0.0220262254712565,-0.00946047366878371,-0.0352114459349867,-0.0467096295461519,-0.0111465407178819,-0.0325174724811652,-0.0142031373475009,0.233639189585744
"sig_14",0.878598874875775,0.728551289809376,0.991114230122859,0.977697014519294,0.882720069600151,0.93455262935164,0.803060683625196,0.718465210872054,0.946672125615059,0.967548890180696,0.995376604543904,0.992824236311153,0.958904544936207,0.999999999999995,0.94952299640593,0.986400944712849,0.967036496748385,0.983158592210752,0.991074824147992,0.90415086851073,0.962143270090175,0.859058465764849,0.958550393555485,0.915199354824567,0.882987294838629,0.835225176300824,0.813588283856386,0.760239012543621,0.710652729084225,-0.0361444999202183,-0.0222438280918377,-0.0408068701249086,-0.0337517056303999,-0.0252208626718794,-0.0285466500857169,-0.0122593006484829,-0.0444267564562643,-0.0607471213356394,-0.0144394309807965,-0.0422880968616117,-0.0184051443712317,0.308560728530334
"sig_15",0.850546484921561,0.70577478055091,0.961259362595518,0.933686583898067,0.887291400543451,0.90442601579923,0.779410077518791,0.695625727618946,0.926398381519996,0.926009314216898,0.934230695785277,0.955518791571535,0.935124261732237,0.94952299640593,1.00000000000001,0.981780880900657,0.932881339719903,0.964653979675436,0.949766389464029,0.927067684050707,0.979409399780706,0.827523812948552,0.924269692384907,0.894269097910136,0.890757095083278,0.810420718689097,0.802989305099477,0.735651704037035,0.687891078876026,-0.0291613462607411,-0.0213477945084088,-0.039580885922171,-0.0324737739421485,-0.0254806812700187,-0.0273919656881433,-0.0117632544394799,-0.0489446832740966,-0.0533613694196509,-0.0138677873693177,-0.0405820322042269,-0.0176651961846165,0.29330042156138
"sig_16",0.882467553696001,0.737684820610499,0.98867247215939,0.971239688289573,0.909180111396826,0.937698160921708,0.815550261090387,0.730375390724347,0.940923422187348,0.957472314022782,0.975687683186057,0.990916936359516,0.950297377771552,0.986400944712849,0.981780880900657,0.999999999999999,0.968133072525918,0.977216400547134,0.989085288371776,0.940505226940324,0.987241975544699,0.867233078087024,0.959394250963886,0.927627930135256,0.914641933019028,0.848184256655223,0.837697540882988,0.774680104058889,0.723936185383429,-0.0336315420446168,-0.0218674618908495,-0.0409042301834203,-0.0332455876076077,-0.0256994245747376,-0.0280586125522874,-0.0120518069098291,-0.0505420718357448,-0.0595718002667198,-0.0141990921027768,-0.04156959155161,-0.0180937373527,0.310200626967681
"sig_17",0.944212214078287,0.836592245100392,0.964504603614772,0.990948553202474,0.957129910851682,0.982931697134965,0.911460732998463,0.838612866312654,0.854889662540034,0.886846820611292,0.945799758868959,0.967790633458908,0.87177261108851,0.967036496748385,0.932881339719903,0.968133072525918,1.00000000000001,0.937501626929789,0.978079992827389,0.967619896090023,0.976661479927177,0.957185926602157,0.993251577842074,0.98267962791392,0.958182954309771,0.939586426103533,0.922942388339436,0.884277987249238,0.837264632265756,-0.044084978687066,-0.0252624745706465,-0.0468662734758308,-0.0382919311829572,-0.0306326855259547,-0.0324189610937833,-0.0139229193189673,-0.0553613010611265,-0.0693672169934077,-0.0163883400825033,-0.0478458128187639,-0.0209028502966428,0.360460854233572
"sig_18",0.852734593385794,0.698822691880694,0.98525932431882,0.950272420526693,0.858354895656759,0.909876979667468,0.76505877029952,0.683101350866749,0.958993397311927,0.960535167818866,0.97410443718711,0.971524104634791,0.977224830696466,0.983158592210752,0.964653979675436,0.977216400547134,0.937501626929789,1.00000000000001,0.97266397140247,0.881265136249846,0.957294696189668,0.812582638598789,0.934492046065573,0.884284236474288,0.854489880250862,0.794211878013593,0.773651962948978,0.716650013518541,0.672028704827172,-0.0339349408349829,-0.0220537369707465,-0.0403250968686335,-0.0331284465472236,-0.0202343874548485,-0.0283017324872219,-0.0121545297017628,-0.0400971715195365,-0.0579884147320024,-0.0143128476059178,-0.0418290813774634,-0.0182479581455894,0.293765522428793
"sig_19",0.910535780288453,0.778432275137275,0.992979108432167,0.984333003840775,0.922835044966262,0.958872099365136,0.84956305719501,0.77206588901964,0.921018813317824,0.947238228810248,0.977674489547489,0.98907661442282,0.937479775078118,0.991074824147992,0.949766389464029,0.989085288371776,0.978079992827389,0.97266397140247,1.00000000000001,0.935521812240718,0.978246380785211,0.890398640236911,0.977195170528538,0.945797337510007,0.924995314129191,0.877539408360776,0.864043326376549,0.81174201504671,0.765690688798231,-0.0399622219110666,-0.0236161673126814,-0.0441575459178202,-0.0357354650856429,-0.0258335118379825,-0.0303048612717385,-0.0130155523923146,-0.0513199513842991,-0.0647980400254974,-0.0153230784949449,-0.0447829183270511,-0.0195407563333004,0.333837662194415
"sig_20",0.937195548533918,0.851205318678729,0.91848014478648,0.950730417097259,0.982497959177288,0.965598960136664,0.925910436669347,0.858691180028413,0.77707444390846,0.809437686373342,0.8699932138241,0.912771252187541,0.797219996931235,0.90415086851073,0.927067684050707,0.940505226940324,0.967619896090023,0.881265136249846,0.935521812240718,0.999999999999987,0.975636083524876,0.95613317558684,0.965390538290479,0.980519142289689,0.991129265455468,0.950092876517071,0.955308256839882,0.905671346493336,0.86007849365715,-0.0426953095257347,-0.0250763557287208,-0.0475258779232991,-0.0381592540107039,-0.0325610743795226,-0.0321808865934488,-0.0138203234903627,-0.0617308731253275,-0.070772442253115,-0.01628857285612,-0.0475683488046864,-0.0207488640695054,0.368922673005379
"sig_21",0.92333871525596,0.80392415547923,0.975260606659,0.973681661711696,0.955889333648887,0.964846269259276,0.875357271247736,0.800111070999643,0.88486117586803,0.90342700170377,0.937967561161145,0.965192576548911,0.902525020251744,0.962143270090175,0.979409399780706,0.987241975544699,0.976661479927177,0.957294696189668,0.978246380785211,0.975636083524876,0.999999999999995,0.910137468247519,0.975524718376969,0.961612885854276,0.959496042246988,0.901504998757043,0.897390126851309,0.840376543068052,0.795050698875335,-0.0387624729672589,-0.0243823645810506,-0.0455661448501239,-0.0369953872750319,-0.0291035284310425,-0.0312874996547552,-0.0134373311757107,-0.0567014260184787,-0.06417278698752,-0.0158275187719499,-0.0462033996870393,-0.0201746367717195,0.344750800987204
"sig_22",0.959643174805731,0.915664941150644,0.864153790833387,0.93637506359985,0.969872853765342,0.967882890395482,0.977380740447842,0.929277658098181,0.682289232878093,0.729934664294207,0.82220817139929,0.861083027028293,0.704657795415558,0.859058465764849,0.827523812948552,0.867233078087024,0.957185926602157,0.812582638598789,0.890398640236911,0.95613317558684,0.910137468247519,1.00000000000001,0.954726497946567,0.985762370979539,0.966948380497423,0.992581980020912,0.981889026001093,0.970676029729459,0.933965949005301,-0.0515636531484592,-0.0282584086914737,-0.0524339105115094,-0.0428813919266282,-0.0354694023700965,-0.0362646285250748,-0.0155740472684303,-0.0612948044212578,-0.0771505917812626,-0.0183265071168288,-0.0531907607592738,-0.0233817819105351,0.404539652901167
