"","death","protein.metabolism","cell.cycle.and.proliferation","other.metabolic.processes","signal.transduction","stress.response","developmental.processes","cell.adhesion","DNA.metabolism","cell.cell.signaling","other.biological.processes","cell.organization.and.biogenesis","RNA.metabolism","transport"
"A0AVT1",-0.25922032489973,3.18202408212806,-0.169554573688313,-0.365439057422732,-0.267527885679682,-0.221118723547279,-0.273942114502749,-0.0898079408044121,-0.113665807633885,-0.123713168578115,-0.471594314172283,-0.384352412316152,-0.326333398851497,-0.285509532221012
"A0MZ66",-0.25922032489973,-0.314228932677019,-0.169554573688313,-0.365439057422732,-0.267527885679682,-0.221118723547279,-0.273942114502749,-0.0898079408044121,-0.113665807633885,-0.123713168578115,-0.471594314172283,2.60147718354167,-0.326333398851497,-0.285509532221012
"A1A4S6",-0.25922032489973,-0.314228932677019,-0.169554573688313,-0.365439057422732,3.73749461122292,-0.221118723547279,-0.273942114502749,-0.0898079408044121,-0.113665807633885,-0.123713168578115,-0.471594314172283,-0.384352412316152,-0.326333398851497,-0.285509532221012
"A1E959",-0.25922032489973,-0.314228932677019,-0.169554573688313,-0.365439057422732,-0.267527885679682,-0.221118723547279,3.64998289107401,-0.0898079408044121,-0.113665807633885,-0.123713168578115,-0.471594314172283,-0.384352412316152,-0.326333398851497,-0.285509532221012
"A1L0T0",-0.25922032489973,-0.314228932677019,-0.169554573688313,-0.365439057422732,-0.267527885679682,-0.221118723547279,-0.273942114502749,-0.0898079408044121,-0.113665807633885,-0.123713168578115,2.12022070884084,-0.384352412316152,-0.326333398851497,-0.285509532221012
"A2IDD5",-0.25922032489973,-0.314228932677019,-0.169554573688313,-0.365439057422732,-0.267527885679682,-0.221118723547279,-0.273942114502749,-0.0898079408044121,-0.113665807633885,-0.123713168578115,-0.471594314172283,2.60147718354167,-0.326333398851497,-0.285509532221012
"A2RRP1",-0.25922032489973,-0.314228932677019,-0.169554573688313,-0.365439057422732,-0.267527885679682,-0.221118723547279,-0.273942114502749,-0.0898079408044121,-0.113665807633885,-0.123713168578115,-0.471594314172283,-0.384352412316152,3.06399539427677,-0.285509532221012
"A4D0S4",-0.25922032489973,-0.314228932677019,-0.169554573688313,-0.365439057422732,-0.267527885679682,-0.221118723547279,-0.273942114502749,11.1335815310281,-0.113665807633885,-0.123713168578115,-0.471594314172283,-0.384352412316152,-0.326333398851497,-0.285509532221012
"A4D1E9",-0.25922032489973,-0.314228932677019,-0.169554573688313,-0.365439057422732,-0.267527885679682,-0.221118723547279,-0.273942114502749,-0.0898079408044121,-0.113665807633885,-0.123713168578115,2.12022070884084,-0.384352412316152,-0.326333398851497,-0.285509532221012
"A4QPB2",-0.25922032489973,-0.314228932677019,-0.169554573688313,-0.365439057422732,3.73749461122292,-0.221118723547279,-0.273942114502749,-0.0898079408044121,-0.113665807633885,-0.123713168578115,-0.471594314172283,-0.384352412316152,-0.326333398851497,-0.285509532221012
