"","sig_1","sig_2","sig_3","sig_4","sig_5","sig_6","sig_7","sig_8","sig_9","sig_10","sig_11","sig_12","sig_13","sig_14","sig_15","sig_16","sig_17","sig_18","sig_19","sig_20","sig_21","sig_22","sig_23","sig_24","sig_25","sig_26","sig_27","sig_28","sig_29","death","protein.metabolism","cell.cycle.and.proliferation","other.metabolic.processes","signal.transduction","stress.response","developmental.processes","cell.adhesion","DNA.metabolism","cell.cell.signaling","other.biological.processes","cell.organization.and.biogenesis","RNA.metabolism","transport"
"sig_1",0.999999999999768,0.617360217806285,0.829199563340993,0.879592645366804,0.804807923262242,0.926124326773173,0.741589277524695,0.185529479449816,0.749258106523305,0.911847883734179,0.789590009294134,0.838204014794148,0.693788594200952,0.883173510229797,0.65326514404072,0.796132837593218,0.862098806806179,0.771296513350307,0.744230435693037,0.595650351476213,0.743203615142385,0.667519667605779,0.72714363086644,0.742859407509835,0.740151262888753,0.391961397679308,0.556738307133989,0.160379445306821,0.0812449645467029,0.0762224571132352,-0.020696828162528,-0.000734586812207947,0.011927438158847,-0.0129156500403409,0.0255233435792005,-0.00784646891022809,-0.00346190435782616,-0.00745005742917783,-0.00979768590456586,-0.00887351129693623,-0.0144678531749837,-0.0050732352952718,-0.0165661947233606
"sig_2",0.617360217806285,1.00000000000006,0.619443948327004,0.357901978231988,0.477778498237859,0.730234460961426,0.831931422675356,0.798365933082827,0.53407858890112,0.521329790009405,0.270294411914655,0.595431523104695,0.609785363529973,0.445069285597769,0.558173701467838,0.38408523386158,0.494318024484132,0.712263649141204,0.670577653492402,0.205723212391015,0.619918367114753,0.347426509163328,0.828374107915916,0.793888414469078,0.48511428716686,0.75565641072629,0.754305232638542,0.732242003321413,0.690437590520267,0.0542135445340029,-0.0153639037125552,0.00418991845057015,-0.0209961162250775,-0.0177804389192207,0.0206393185970241,-0.00849849293700976,-0.00259202743940955,-0.00823076464830579,-0.0137596174621591,-0.00200744846013442,-0.00746618173375879,0.0357907490970955,-0.0185322954977534
"sig_3",0.829199563340993,0.619443948327004,1.00000000000011,0.514766341809262,0.747235772948411,0.866695005124489,0.546976773097298,0.132516645907306,0.972390486548896,0.914071879087451,0.378812865121831,0.947136369500443,0.955133985742136,0.585480908547165,0.929833405180765,0.683441898238655,0.603759698578417,0.823900470172069,0.933706225982388,0.356322083723118,0.936563669741161,0.258103137273671,0.696910846590362,0.834480474845815,0.655995008128039,0.254813340215027,0.678686812509041,0.0826319458448878,0.0271536392677922,0.0623131303257252,-0.0183670360143678,-0.000165983250484241,-0.00602189385293263,-0.0131066956315509,0.0387466123435648,-0.00863626394369315,-0.00155621524798237,-0.0072467582232298,-0.00864130796744633,0.00244339287756921,-0.00870164051995049,-0.0107213815723485,-0.0131500703986389
"sig_4",0.879592645366804,0.357901978231988,0.514766341809262,0.999999999999907,0.665903755387244,0.745027442080705,0.641766854345489,0.0827069445079146,0.444775569164535,0.748438226762666,0.983397078649722,0.5920191659937,0.362000969253647,0.955548713220431,0.31421801916195,0.74663527265545,0.88158333870577,0.543942739926086,0.444936953727334,0.700995429081897,0.442281667869925,0.838219117018949,0.546036374211091,0.475837827617841,0.673353484015024,0.297439793944574,0.295081554341496,0.0615055589410172,0.0186402537946779,0.045585040090796,-0.0119671983393024,-0.00552414811810738,0.0331121446637251,-0.0084050002228713,0.0105119689724429,-0.00775269469515139,-0.00322841771387439,-0.00442064360429743,-0.00507024117450244,-0.0139875317770383,-0.0111140862173768,-0.00752815787524392,-0.0106697181751429
"sig_5",0.804807923262242,0.477778498237859,0.747235772948411,0.665903755387244,0.999999999999999,0.718934981284063,0.535693017726157,0.11266094163453,0.718571883648901,0.778578362105887,0.579107800302857,0.684096918657433,0.623025840392396,0.641269327558567,0.650821543393611,0.948441282876904,0.590065856795784,0.574858578584723,0.674393019495517,0.814411837387988,0.765237719909655,0.432482775493975,0.530676650105095,0.602283363587088,0.922295560256036,0.235237603445069,0.561752259313063,0.0716458716349572,0.0395797342648571,0.0873124107740344,-0.0147015257761074,-0.00333992957770452,-0.012419344896194,-0.00940456817257503,0.0251507747631842,-0.00966625397876812,-0.00135543072272077,-0.00607430314002298,-0.00757341875481784,-0.00243798888107442,-0.0128390181711124,-0.0118221838638564,-0.00942608819421742
"sig_6",0.926124326773173,0.730234460961426,0.866695005124489,0.745027442080705,0.718934981284063,1.00000000000024,0.817163418831325,0.280877459349906,0.76924475583981,0.878534996451547,0.646214166212426,0.921671799701899,0.822950677362307,0.851658644934304,0.742121163561426,0.685123243340172,0.862755938804426,0.943148922071926,0.887555848230435,0.459734384548068,0.84626455317313,0.606337039275025,0.889042455158314,0.9196876511405,0.72221416782244,0.509617901143459,0.696452697358442,0.269564419204185,0.151301384951092,0.0513358756787316,-0.0190575289447144,-0.0019763168488279,0.00604504309998508,-0.0130605520335101,0.0376636397105672,-0.0100127629449392,-0.00151550195526998,-0.00729149962973195,-0.00907107288510633,-0.00696998421985385,-0.00889695517342315,0.0019264265770939,-0.0136798216532012
"sig_7",0.741589277524695,0.831931422675356,0.546976773097298,0.641766854345489,0.535693017726157,0.817163418831325,1.00000000000015,0.617373274344169,0.458154925975008,0.586082388608104,0.579422872346127,0.603742855065647,0.501094267337514,0.709488320771552,0.443571417337901,0.51043360770342,0.779933178707346,0.758241705478719,0.590081864233309,0.404858805746791,0.549695694738452,0.750172333883116,0.850016663444992,0.765377638877869,0.575649429692592,0.870421961297707,0.612320831028257,0.692665069950083,0.488451845441582,0.0386674024999376,-0.0134443511657744,-0.00385862093657982,0.00958620749767454,-0.0149588233260955,0.0175980827940485,-0.0103966775293233,-0.00238497438810333,-0.00701745302984018,-0.00904785907977478,-0.0110475144292834,-0.0103664576107024,0.0247091727105465,-0.0105276905372532
"sig_8",0.185529479449816,0.798365933082827,0.132516645907306,0.0827069445079146,0.11266094163453,0.280877459349906,0.617373274344169,1.00000000000003,0.099783143727626,0.102203310452048,0.0558267046883262,0.128741644267647,0.138973398290576,0.121157175067282,0.103647858734358,0.0720798513969818,0.157718119825732,0.282791058789095,0.203283528234596,0.0388360056071544,0.143944013453803,0.183311957184507,0.55020825371673,0.402599106331903,0.156597492906224,0.763711368020012,0.522122381249813,0.915819345600392,0.978122115876746,0.0155063111830666,0.002741220925593,-0.00751917030688086,-0.0115303116556326,-0.0152665832290689,0.00286810682670149,-0.00651446247166685,-0.00419472125282001,-0.00685072971094297,-0.00793610995430131,-0.00543609226089316,0.000877448869610791,0.0351152219086929,-0.00443444445451407
"sig_9",0.749258106523305,0.53407858890112,0.972390486548896,0.444775569164535,0.718571883648901,0.76924475583981,0.458154925975008,0.099783143727626,0.999999999999998,0.899693479092435,0.308610066073593,0.900462385731626,0.930455171540021,0.488487796554093,0.93683454519615,0.682860109884287,0.507683237650946,0.729629070384153,0.873986050956928,0.347504552165331,0.902820121275041,0.179060231009522,0.593642278203949,0.744656857521074,0.614608480823517,0.202439059442799,0.624423622959003,0.0576250776736551,0.00941452259740642,0.0507021009840735,-0.0144952704325275,-0.0028927101111731,-0.00228801467321134,-0.0112926469139892,0.0345470907830888,-0.00936396842519232,-0.00187352718727161,-0.00573455982074544,-0.00651029576294713,0.00457765559561047,-0.00809734824755541,-0.0118979842307023,-0.0112684767531666
"sig_10",0.911847883734179,0.521329790009405,0.914071879087451,0.748438226762666,0.778578362105887,0.878534996451547,0.586082388608104,0.102203310452048,0.899693479092435,0.999999999999816,0.634717411358128,0.929322731522589,0.807759058601097,0.775244764165065,0.774247971144745,0.807762090163932,0.752517587710624,0.774955752918563,0.817926854705866,0.532914602559105,0.823951128283387,0.455556547884616,0.67982957834306,0.755318875056453,0.700871840385061,0.26222263053689,0.5902814673688,0.0613235003101896,0.0112370733990005,0.0510146880553214,-0.0148594590417031,-0.00518434031736287,0.0145776649336737,-0.0111302633556138,0.0353547738506962,-0.01060316970941,-0.00329043618161609,-0.00573413105367455,-0.00644933823416285,-0.00752752241376014,-0.00887955389190201,-0.0103315467528204,-0.0125472340117444
"sig_11",0.789590009294134,0.270294411914655,0.378812865121831,0.983397078649722,0.579107800302857,0.646214166212426,0.579422872346127,0.0558267046883262,0.308610066073593,0.634717411358128,0.999999999999833,0.46495814073684,0.234626569503001,0.92920797876313,0.18179694512182,0.675109444105476,0.833022318811546,0.440764079707293,0.324902514456869,0.69538121337945,0.316930257105254,0.853643864440383,0.463650722171634,0.362110416669633,0.621987370265885,0.255627210144594,0.18872961418693,0.0322746113480748,0.00722819039102415,0.0352910035115782,-0.00930763107886626,-0.00498326116899829,0.0363827348280339,-0.00723550392470017,0.00344478159087544,-0.00704248808955857,-0.00268386640074295,-0.00341909407377487,-0.00375657265469025,-0.0131652558269444,-0.00979840780456825,-0.00763702080417089,-0.00852387913652821
"sig_12",0.838204014794148,0.595431523104695,0.947136369500443,0.5920191659937,0.684096918657433,0.921671799701899,0.603742855065647,0.128741644267647,0.900462385731626,0.929322731522589,0.46495814073684,0.999999999999886,0.924526873959081,0.703328358597452,0.869350236563105,0.654366158093162,0.741108854588586,0.890054657915142,0.937739686426926,0.341831074689111,0.917419214766897,0.366748392082748,0.763843637960255,0.888464570757213,0.638593236735255,0.285456417513698,0.699892875556174,0.0824817630360335,0.021366581135975,0.0440340635843508,-0.0161350552249665,-0.00337877206693157,0.00255605733585603,-0.0119088414470605,0.0460552140923121,-0.0106513942104396,-0.00218463195363053,-0.00607517331849298,-0.00686241596314133,-0.00278121669298844,-0.00601061909249238,-0.00825393718851219,-0.0118850923694793
