"","sig_1","sig_2","sig_3","sig_4","sig_5","sig_6","sig_7","sig_8","sig_9","sig_10","sig_11","sig_12","sig_13","sig_14","sig_15","sig_16","sig_17","sig_18","sig_19","sig_20","sig_21","sig_22","sig_23","sig_24","sig_25","sig_26","sig_27","sig_28","sig_29","Transcription","Translation","Folding.sorting.and.degradation","Replication.and.repair"
"sig_1",1,0.692511829458618,0.882440789893895,0.8707639302694,0.923513163233201,0.892404271595603,0.960257875329534,0.454677507126116,0.874816346962913,0.844235427143976,0.734016550235985,0.886118490328221,0.871590844825883,0.855522546879419,0.876544587515018,0.742381799250034,0.958801642660853,0.503391317358775,0.832866567519803,0.682388440800282,0.840240688499201,0.795613807556713,0.573740954863681,0.852666311267178,0.703224203469114,0.887847434984396,0.955155975857312,0.754103986463711,0.24581843630417,0.553056240817627,-0.193090242480102,-0.252695550122812,-0.158184799305649
"sig_2",0.692511829458618,1,0.456288651282037,0.416496582490371,0.444716513493253,0.713085482417036,0.722032068335736,0.952335596885082,0.37525040125853,0.35738870968305,0.303497305298866,0.531415036205697,0.377959615550577,0.44022990788186,0.378155610736219,0.307445471121217,0.547664570280664,0.512828411573207,0.669926016728827,0.279383332677108,0.368550071537027,0.332965193318039,0.673566404048174,0.372680870412153,0.316747673446439,0.468343584737909,0.598908700976417,0.979477202196656,0.85062458980729,0.306276129228197,0.0454315231578701,-0.355887421362709,-0.14425133497275
"sig_3",0.882440789893895,0.456288651282037,1,0.85514634302244,0.980970127524055,0.585901010138639,0.939541621964967,0.247801344470954,0.979333594648126,0.92387167352661,0.770893440537453,0.991728801113641,0.9940359158745,0.77283920893603,0.990950624238179,0.781868541769227,0.817944135663078,0.0595284704401427,0.932326937590083,0.704290352025027,0.977008436946888,0.853478776323616,0.129230946751569,0.985553022689601,0.854811654552353,0.99322718222813,0.770269963798956,0.594259128360174,0.0933531740435792,0.624197871951795,-0.304172846417952,-0.160787287543835,-0.12230191741752
"sig_4",0.8707639302694,0.416496582490371,0.85514634302244,1,0.857744596782963,0.662759467325601,0.85998756934292,0.200572561328392,0.931085681529719,0.977404489489698,0.970036959361974,0.865448874430958,0.859613227608748,0.987326029720283,0.896952129009421,0.972957005085706,0.939094702454218,0.227349727311301,0.724203091297238,0.947808193158439,0.759117356621595,0.984960599489155,0.279866149963869,0.792277054844829,0.497408495223666,0.902006003447607,0.764069943910597,0.533594873383588,0.0314522452624602,0.208149441677687,-0.24793585226229,-0.0800887825446372,-0.110668933536419
"sig_5",0.923513163233201,0.444716513493253,0.980970127524055,0.857744596782963,1,0.692220100888349,0.927512650769454,0.19775721171195,0.966818257532591,0.903764624631717,0.741170435893264,0.956781793094597,0.988493640361453,0.789774954424005,0.982072872356839,0.752635002149215,0.87497386479732,0.21594588774042,0.874594606237803,0.67197480325116,0.978748910950431,0.828029623868898,0.259088201000984,0.985086219931824,0.870309679452882,0.9674228749437,0.864970017383526,0.558900986429239,0.0106824445799407,0.676946657295936,-0.297980403154568,-0.175130465993277,-0.125283437894284
"sig_6",0.892404271595603,0.713085482417036,0.585901010138639,0.662759467325601,0.692220100888349,1,0.752157958650692,0.478275872926324,0.583303315441282,0.560703971908593,0.484133948409055,0.583252779741552,0.583058232472922,0.706667402068122,0.58546315863021,0.489879239112514,0.875241116778296,0.838898682044719,0.539712235652367,0.448793356814091,0.564034915331687,0.526623454063722,0.874474357666656,0.571761658218057,0.475921566994384,0.587542095912384,0.95314771069323,0.683597665433771,0.251399456261777,0.461437898141439,-0.0657242076088958,-0.286670680795828,-0.150812793000471
"sig_7",0.960257875329534,0.722032068335736,0.939541621964967,0.85998756934292,0.927512650769454,0.752157958650692,1,0.533112816062502,0.910257784529351,0.875729619950715,0.757270028753986,0.961923162139564,0.909238114746057,0.815999235012568,0.913291369134469,0.766179647270967,0.879630205052101,0.278644597720845,0.949099458990589,0.702426685212008,0.878923118100743,0.823101626898174,0.387559656054064,0.891167568488935,0.740335032065167,0.946855869173389,0.842655129731803,0.819069966206209,0.366870686425906,0.546121383000854,-0.214125856041387,-0.24686603994349,-0.156201295620133
"sig_8",0.454677507126116,0.952335596885082,0.247801344470954,0.200572561328392,0.19775721171195,0.478275872926324,0.533112816062502,1,0.153702697630552,0.150720199991236,0.1346874101747,0.345548955715236,0.151073683021148,0.227182794055789,0.152915990192875,0.135975805035866,0.291861352565579,0.345537656924597,0.538455328231967,0.126608260832741,0.143530838239048,0.143975084057255,0.52723463480598,0.146318217015899,0.115945092194098,0.265999316327959,0.326727987242142,0.921599044228017,0.969932910464331,0.129820500139662,0.124106248119607,-0.325516929355343,-0.135845773425687
"sig_9",0.874816346962913,0.37525040125853,0.979333594648126,0.931085681529719,0.966818257532591,0.583303315441282,0.910257784529351,0.153702697630552,1,0.978912182738513,0.872254988171649,0.969815206202124,0.984347825991951,0.864652237510177,0.995649507421493,0.880765089829736,0.867593980384801,0.0679814073594034,0.862692984990147,0.818993060125098,0.936706514988016,0.933762081663985,0.12111791674176,0.95441585815248,0.7597053704206,0.990291054821859,0.764110017534102,0.519110736064592,-0.00678329547445029,0.49013463580229,-0.313035430572529,-0.10723688733563,-0.110674737854743
"sig_10",0.844235427143976,0.35738870968305,0.92387167352661,0.977404489489698,0.903764624631717,0.560703971908593,0.875729619950715,0.150720199991236,0.978912182738513,1,0.953765189048413,0.927762506571699,0.927588188190523,0.931750482452932,0.955618978427749,0.958929891152164,0.881729483363935,0.0631530141938563,0.79892442007685,0.918939718125157,0.845431281362355,0.987182281117875,0.119712754307334,0.873315343237157,0.610847221781526,0.957971096312419,0.714276543490661,0.502526131838592,-0.000169542907938122,0.304973304811853,-0.292619989541595,-0.0679397291478943,-0.103456789457799
