"","x"
"1",0.345898747530568
"2",0.225253241302983
"3",0.192166372706951
"4",0.152207771368256
"5",0.125467954333461
"6",0.0838134364268649
"7",0.0414587398071686
"8",0.0349862906272815
"9",0.0267829805194673
"10",0.0204493876758583
"11",0.0133903458974968
"12",0.00780910965545125
"13",0.00468155216669138
"14",3.66692195078349e-12
