ID,Globalisation_score
ARG_1991,50.01
ARG_1992,51.99
ARG_1993,55.87
ARG_1994,57.88
ARG_1995,60.53
ARG_1996,61.27
ARG_1997,62.30
ARG_1998,63.64
ARG_1999,64.06
ARG_2000,64.38
ARG_2001,62.32
ARG_2002,63.41
ARG_2003,62.13
ARG_2004,62.49
ARG_2005,60.70
ARG_2006,60.82
ARG_2007,60.67
ARG_2008,60.13
ARG_2009,59.39
ARG_2010,59.30
ARG_2011,58.38
AUS_1970,54.77
AUS_1971,58.82
AUS_1972,59.33
AUS_1973,60.50
AUS_1974,60.86
AUS_1975,66.50
AUS_1976,67.57
AUS_1977,67.95
AUS_1978,68.37
AUS_1979,68.54
AUS_1980,68.55
AUS_1981,68.85
AUS_1982,68.78
AUS_1983,69.54
AUS_1984,69.79
AUS_1985,70.47
AUS_1986,71.21
AUS_1987,71.99
AUS_1988,73.50
AUS_1989,73.79
AUS_1990,74.54
AUS_1991,74.75
AUS_1992,76.44
AUS_1993,77.29
AUS_1994,78.84
AUS_1995,78.99
AUS_1996,78.44
AUS_1997,79.01
AUS_1998,79.95
AUS_1999,80.44
AUS_2000,81.73
AUS_2001,82.14
AUS_2002,81.36
AUS_2003,81.90
AUS_2004,81.70
AUS_2005,81.84
AUS_2006,82.75
AUS_2007,83.23
AUS_2008,81.35
AUS_2009,82.79
AUS_2010,82.96
AUS_2011,82.93
AUT_1970,57.06
AUT_1971,57.27
AUT_1972,57.52
AUT_1973,58.69
AUT_1974,59.76
AUT_1975,59.86
AUT_1976,60.31
AUT_1977,70.06
AUT_1978,70.57
AUT_1979,71.39
AUT_1980,72.66
AUT_1981,73.61
AUT_1982,73.77
AUT_1983,73.45
AUT_1984,74.74
AUT_1985,75.77
AUT_1986,76.72
AUT_1987,76.86
AUT_1988,76.95
AUT_1989,77.42
AUT_1990,78.05
AUT_1991,81.49
AUT_1992,81.75
AUT_1993,82.49
AUT_1994,83.78
AUT_1995,85.09
AUT_1996,86.39
AUT_1997,87.89
AUT_1998,88.77
AUT_1999,89.97
AUT_2000,91.51
AUT_2001,91.36
AUT_2002,90.57
AUT_2003,90.95
AUT_2004,91.01
AUT_2005,91.17
AUT_2006,90.99
AUT_2007,92.00
AUT_2008,91.34
AUT_2009,90.98
AUT_2010,90.57
AUT_2011,90.48
AZE_1970,28.67
AZE_1971,28.67
AZE_1972,28.67
AZE_1973,28.67
AZE_1974,28.64
AZE_1975,28.64
AZE_1976,28.64
AZE_1977,28.64
AZE_1978,28.64
AZE_1979,28.61
AZE_1980,28.61
AZE_1981,28.66
AZE_1982,28.71
AZE_1983,28.81
AZE_1984,28.86
AZE_1985,28.88
AZE_1986,28.93
AZE_1987,29.03
AZE_1988,29.08
AZE_1989,29.08
AZE_1990,29.18
AZE_1991,29.42
AZE_1992,33.48
AZE_1993,34.10
AZE_1994,32.97
AZE_1995,34.08
AZE_1996,37.56
AZE_1997,39.25
AZE_1998,40.17
AZE_1999,44.34
AZE_2000,48.35
AZE_2001,49.50
AZE_2002,52.12
AZE_2003,51.51
AZE_2004,54.86
AZE_2005,55.34
AZE_2006,55.39
AZE_2007,57.00
AZE_2008,55.96
AZE_2009,55.20
AZE_2010,55.93
AZE_2011,56.55
BDI_1970,15.25
BDI_1971,15.39
BDI_1972,15.68
BDI_1973,16.11
BDI_1974,16.18
BDI_1975,16.16
BDI_1976,16.47
BDI_1977,17.19
BDI_1978,17.29
BDI_1979,17.63
BDI_1980,17.68
BDI_1981,17.92
BDI_1982,18.29
BDI_1983,19.62
BDI_1984,18.92
BDI_1985,19.07
BDI_1986,19.58
BDI_1987,19.89
BDI_1988,19.59
BDI_1989,19.32
BDI_1990,18.91
BDI_1991,19.24
BDI_1992,19.91
BDI_1993,20.10
