"","death","protein.metabolism","cell.cycle.and.proliferation","other.metabolic.processes","signal.transduction","stress.response","developmental.processes","cell.adhesion","DNA.metabolism","cell.cell.signaling","other.biological.processes","cell.organization.and.biogenesis","RNA.metabolism","transport"
"A0AVF1",-0.236826344334896,-0.310042102336728,-0.16326050614852,-0.381738272422388,-0.262999197198334,-0.21853712993429,-0.281983805951158,-0.0990993147497545,-0.113731001932104,-0.125375314232043,-0.47422057513233,2.70020525454373,-0.326003736211347,-0.30244338487354
"A0AVK6",-0.236826344334896,-0.310042102336728,-0.16326050614852,-0.381738272422388,-0.262999197198334,-0.21853712993429,3.54600301559476,-0.0990993147497545,-0.113731001932104,-0.125375314232043,-0.47422057513233,-0.370310895651025,-0.326003736211347,-0.30244338487354
"A0AVT1",-0.236826344334896,3.22509561996749,-0.16326050614852,-0.381738272422388,-0.262999197198334,-0.21853712993429,-0.281983805951158,-0.0990993147497545,-0.113731001932104,-0.125375314232043,-0.47422057513233,-0.370310895651025,-0.326003736211347,-0.30244338487354
"A0MZ66",-0.236826344334896,-0.310042102336728,-0.16326050614852,-0.381738272422388,-0.262999197198334,-0.21853712993429,-0.281983805951158,-0.0990993147497545,-0.113731001932104,-0.125375314232043,-0.47422057513233,2.70020525454373,-0.326003736211347,-0.30244338487354
"A0PJY2",-0.236826344334896,-0.310042102336728,-0.16326050614852,-0.381738272422388,-0.262999197198334,-0.21853712993429,-0.281983805951158,-0.0990993147497545,-0.113731001932104,-0.125375314232043,-0.47422057513233,-0.370310895651025,3.06719008153774,-0.30244338487354
"A1A4S6",-0.236826344334896,-0.310042102336728,-0.16326050614852,-0.381738272422388,3.80197140106716,-0.21853712993429,-0.281983805951158,-0.0990993147497545,-0.113731001932104,-0.125375314232043,-0.47422057513233,-0.370310895651025,-0.326003736211347,-0.30244338487354
"A1E959",-0.236826344334896,-0.310042102336728,-0.16326050614852,-0.381738272422388,-0.262999197198334,-0.21853712993429,3.54600301559476,-0.0990993147497545,-0.113731001932104,-0.125375314232043,-0.47422057513233,-0.370310895651025,-0.326003736211347,-0.30244338487354
"A1L0T0",-0.236826344334896,-0.310042102336728,-0.16326050614852,-0.381738272422388,-0.262999197198334,-0.21853712993429,-0.281983805951158,-0.0990993147497545,-0.113731001932104,-0.125375314232043,2.10854500771644,-0.370310895651025,-0.326003736211347,-0.30244338487354
"A1X283",-0.236826344334896,-0.310042102336728,-0.16326050614852,-0.381738272422388,-0.262999197198334,-0.21853712993429,-0.281983805951158,-0.0990993147497545,-0.113731001932104,-0.125375314232043,-0.47422057513233,2.70020525454373,-0.326003736211347,-0.30244338487354
"A1Z1Q3",-0.236826344334896,3.22509561996749,-0.16326050614852,-0.381738272422388,-0.262999197198334,-0.21853712993429,-0.281983805951158,-0.0990993147497545,-0.113731001932104,-0.125375314232043,-0.47422057513233,-0.370310895651025,-0.326003736211347,-0.30244338487354
"A2IDD5",-0.236826344334896,-0.310042102336728,-0.16326050614852,-0.381738272422388,-0.262999197198334,-0.21853712993429,-0.281983805951158,-0.0990993147497545,-0.113731001932104,-0.125375314232043,-0.47422057513233,2.70020525454373,-0.326003736211347,-0.30244338487354
"A2PYH4",-0.236826344334896,-0.310042102336728,-0.16326050614852,-0.381738272422388,-0.262999197198334,-0.21853712993429,-0.281983805951158,-0.0990993147497545,8.79193367916191,-0.125375314232043,-0.47422057513233,-0.370310895651025,-0.326003736211347,-0.30244338487354
"A2RRP1",-0.236826344334896,-0.310042102336728,-0.16326050614852,-0.381738272422388,-0.262999197198334,-0.21853712993429,-0.281983805951158,-0.0990993147497545,-0.113731001932104,-0.125375314232043,-0.47422057513233,-0.370310895651025,3.06719008153774,-0.30244338487354
"A2RTX5",-0.236826344334896,-0.310042102336728,-0.16326050614852,-0.381738272422388,-0.262999197198334,-0.21853712993429,-0.281983805951158,-0.0990993147497545,-0.113731001932104,-0.125375314232043,2.10854500771644,-0.370310895651025,-0.326003736211347,-0.30244338487354
"A2RU54",-0.236826344334896,-0.310042102336728,-0.16326050614852,-0.381738272422388,-0.262999197198334,-0.21853712993429,3.54600301559476,-0.0990993147497545,-0.113731001932104,-0.125375314232043,-0.47422057513233,-0.370310895651025,-0.326003736211347,-0.30244338487354
"A2RUS2",-0.236826344334896,3.22509561996749,-0.16326050614852,-0.381738272422388,-0.262999197198334,-0.21853712993429,-0.281983805951158,-0.0990993147497545,-0.113731001932104,-0.125375314232043,-0.47422057513233,-0.370310895651025,-0.326003736211347,-0.30244338487354
"A2VEC9",-0.236826344334896,-0.310042102336728,-0.16326050614852,-0.381738272422388,-0.262999197198334,-0.21853712993429,-0.281983805951158,10.0900337078685,-0.113731001932104,-0.125375314232043,-0.47422057513233,-0.370310895651025,-0.326003736211347,-0.30244338487354
"A3KN83",-0.236826344334896,-0.310042102336728,-0.16326050614852,-0.381738272422388,-0.262999197198334,-0.21853712993429,-0.281983805951158,-0.0990993147497545,-0.113731001932104,-0.125375314232043,2.10854500771644,-0.370310895651025,-0.326003736211347,-0.30244338487354
"A4D0S4",-0.236826344334896,-0.310042102336728,-0.16326050614852,-0.381738272422388,-0.262999197198334,-0.21853712993429,-0.281983805951158,10.0900337078685,-0.113731001932104,-0.125375314232043,-0.47422057513233,-0.370310895651025,-0.326003736211347,-0.30244338487354
"A4D1E9",-0.236826344334896,-0.310042102336728,-0.16326050614852,-0.381738272422388,-0.262999197198334,-0.21853712993429,-0.281983805951158,-0.0990993147497545,-0.113731001932104,-0.125375314232043,2.10854500771644,-0.370310895651025,-0.326003736211347,-0.30244338487354
"A4D2P6",-0.236826344334896,-0.310042102336728,-0.16326050614852,-0.381738272422388,-0.262999197198334,-0.21853712993429,-0.281983805951158,-0.0990993147497545,-0.113731001932104,7.97537722937276,-0.47422057513233,-0.370310895651025,-0.326003736211347,-0.30244338487354
"A4GXA9",-0.236826344334896,-0.310042102336728,-0.16326050614852,-0.381738272422388,-0.262999197198334,-0.21853712993429,-0.281983805951158,-0.0990993147497545,8.79193367916191,-0.125375314232043,-0.47422057513233,-0.370310895651025,-0.326003736211347,-0.30244338487354
"A4QPB2",-0.236826344334896,-0.310042102336728,-0.16326050614852,-0.381738272422388,3.80197140106716,-0.21853712993429,-0.281983805951158,-0.0990993147497545,-0.113731001932104,-0.125375314232043,-0.47422057513233,-0.370310895651025,-0.326003736211347,-0.30244338487354
"A4QPH2",-0.236826344334896,-0.310042102336728,-0.16326050614852,-0.381738272422388,3.80197140106716,-0.21853712993429,-0.281983805951158,-0.0990993147497545,-0.113731001932104,-0.125375314232043,-0.47422057513233,-0.370310895651025,-0.326003736211347,-0.30244338487354
"A4UGR9",-0.236826344334896,-0.310042102336728,-0.16326050614852,-0.381738272422388,-0.262999197198334,-0.21853712993429,-0.281983805951158,-0.0990993147497545,-0.113731001932104,-0.125375314232043,-0.47422057513233,2.70020525454373,-0.326003736211347,-0.30244338487354
"A5A3E0",-0.236826344334896,-0.310042102336728,-0.16326050614852,-0.381738272422388,-0.262999197198334,-0.21853712993429,-0.281983805951158,-0.0990993147497545,-0.113731001932104,-0.125375314232043,2.10854500771644,-0.370310895651025,-0.326003736211347,-0.30244338487354
"A5D8V6",-0.236826344334896,-0.310042102336728,-0.16326050614852,-0.381738272422388,-0.262999197198334,-0.21853712993429,-0.281983805951158,-0.0990993147497545,-0.113731001932104,-0.125375314232043,-0.47422057513233,-0.370310895651025,-0.326003736211347,3.30612430709895
"A5PKW4",-0.236826344334896,-0.310042102336728,-0.16326050614852,-0.381738272422388,-0.262999197198334,-0.21853712993429,-0.281983805951158,-0.0990993147497545,-0.113731001932104,-0.125375314232043,-0.47422057513233,-0.370310895651025,-0.326003736211347,3.30612430709895
"A5PL33",-0.236826344334896,-0.310042102336728,-0.16326050614852,-0.381738272422388,-0.262999197198334,-0.21853712993429,-0.281983805951158,-0.0990993147497545,-0.113731001932104,-0.125375314232043,2.10854500771644,-0.370310895651025,-0.326003736211347,-0.30244338487354
"A5YKK6",-0.236826344334896,-0.310042102336728,-0.16326050614852,-0.381738272422388,-0.262999197198334,-0.21853712993429,-0.281983805951158,-0.0990993147497545,-0.113731001932104,-0.125375314232043,2.10854500771644,-0.370310895651025,-0.326003736211347,-0.30244338487354
"A5YM72",-0.236826344334896,-0.310042102336728,-0.16326050614852,2.61937431608979,-0.262999197198334,-0.21853712993429,-0.281983805951158,-0.0990993147497545,-0.113731001932104,-0.125375314232043,-0.47422057513233,-0.370310895651025,-0.326003736211347,-0.30244338487354
"A6BM72",-0.236826344334896,-0.310042102336728,-0.16326050614852,-0.381738272422388,-0.262999197198334,-0.21853712993429,-0.281983805951158,10.0900337078685,-0.113731001932104,-0.125375314232043,-0.47422057513233,-0.370310895651025,-0.326003736211347,-0.30244338487354
"A6H8Y1",-0.236826344334896,-0.310042102336728,-0.16326050614852,2.61937431608979,-0.262999197198334,-0.21853712993429,-0.281983805951158,-0.0990993147497545,-0.113731001932104,-0.125375314232043,-0.47422057513233,-0.370310895651025,-0.326003736211347,-0.30244338487354
"A6NCE7",-0.236826344334896,-0.310042102336728,-0.16326050614852,2.61937431608979,-0.262999197198334,-0.21853712993429,-0.281983805951158,-0.0990993147497545,-0.113731001932104,-0.125375314232043,-0.47422057513233,-0.370310895651025,-0.326003736211347,-0.30244338487354
"A6NDB9",-0.236826344334896,-0.310042102336728,-0.16326050614852,-0.381738272422388,-0.262999197198334,-0.21853712993429,-0.281983805951158,-0.0990993147497545,-0.113731001932104,-0.125375314232043,2.10854500771644,-0.370310895651025,-0.326003736211347,-0.30244338487354
"A6NDG6",-0.236826344334896,3.22509561996749,-0.16326050614852,-0.381738272422388,-0.262999197198334,-0.21853712993429,-0.281983805951158,-0.0990993147497545,-0.113731001932104,-0.125375314232043,-0.47422057513233,-0.370310895651025,-0.326003736211347,-0.30244338487354
