"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"sig_1",-0.0367815256098038,-0.0112926603461102,0.0135032167158687,-0.0302460616524892,0.0436202685068187,0.00655853854687295,-0.00674073971357119,0.00403685113265488,0.00277237880947605,0.00221339703564725,0.00526921613102173,0.00152311269110023,-0.0024061453595524,-0.0103902274984178
"sig_2",0.035588486237229,-0.0103809947822027,0.0317419542068005,-0.00454375075108683,0.0138042944493467,0.0152787379561299,-0.00245047189026826,-0.00517387735712714,-0.0147896295957895,0.00682365117195197,0.00508469895175639,0.003932392946081,0.000650699951759958,0.00462345276190917
"sig_3",0.00869046293577377,-0.0218449716632121,0.0351227519869357,0.0158978047647983,0.0238095873953489,-0.00784035119399437,-0.0150953803053682,0.003607808291176,0.00557162548119897,0.00947335631426209,-0.00882394528934798,-0.00875306773395178,-0.00609677017906933,-0.00913200653808863
"sig_4",0.0333099003805,-0.0404529427380643,0.0170275178383191,-0.00613546706665944,0.010429886025889,-0.00428889259659363,0.0111448593899147,-0.00436444507049629,0.00409126795951627,0.00166318321501135,0.0122175459875108,-0.00825798825097029,-0.00997200627611373,-0.0105173260550888
"sig_5",-0.0028756176863017,-0.0124816744460365,-0.00512111111268637,0.00331394223357144,0.0130062110289025,6.62129835551443e-05,0.0152285599056521,-0.0217146760274616,-0.0044854959768917,0.00111252480847335,-0.0118454786352071,-0.00491006798750551,-0.00641044047799986,-0.00402934447909817
"sig_6",0.0553398554826044,-0.0264382193190741,0.0480044658550441,-0.00138668987519018,-0.0127322807493639,0.00232272323272079,-0.0214637970032174,-0.00262886365165178,0.000873260889549646,-0.00205743707667913,-9.60584272335588e-05,-0.00183502681470641,-0.000469341229613104,0.00143210658890738
"sig_7",0.0307745573265903,0.00352288398956522,0.0394749729003902,0.00356829038675417,0.0151815270741607,0.0235798351487125,-0.0122024663501614,0.000875284688631876,-0.000199643638750436,-0.00851025697882798,0.00105296212545195,0.00461071324118657,0.00343028762141208,0.00973271114743258
"sig_8",0.0483937622924808,0.0263279091111599,0.0524137069047352,-0.0179664575496359,-0.0102072408515334,0.0139186013066989,0.0153766161906765,0.0116102687723398,-0.00813583475857644,-0.00443545510990729,-0.0037140044799529,-0.00408919354890245,0.00787465319515421,0.0154810237725535
"sig_9",0.0907798528188752,-0.0238434063806178,0.0131419099099679,0.031433554841724,0.00960864417017419,-0.0162799333107075,0.00666149594934935,0.00267776185918684,0.00837290514223372,-0.000526820237604969,0.00213762755627192,0.00344897631115551,-0.00470248935064848,-0.000171703723712648
"sig_10",0.104377299586578,-0.056069766432215,0.000953840942938923,0.0242477144897961,0.00425054274687273,-0.0172570091479936,0.00262143683833922,0.00055983479163636,0.00890449932008394,0.0051602946875167,0.00102851580669071,0.00101483368525854,-0.000937981316037829,-0.00135537358319896
"sig_11",0.076583637984661,-0.09045372286354,-0.0315758523858693,-0.00892362576141401,-0.00309124965554636,-0.00852382428061008,0.00646030207920018,0.0110711779157987,-0.0057781919212471,-0.00300371357512457,0.00499175817122492,-0.00556227845226397,-0.00131642842081778,0.00695090713348055
"sig_12",0.114044732027464,-0.0282797681990711,0.0101737708404826,0.000467626490602443,-0.0133652555496078,-0.0103354221415291,-0.0100521248309136,0.00448506809878581,0.00723958575545989,0.00813465263080301,-0.00411994778949611,0.00452721401242207,-0.00439063363543523,-0.00605313347363262
"sig_13",0.11978444676533,0.0115640317024123,0.0149782027672566,0.0242761528633924,-0.00623715081262424,-0.0149039660157725,-0.0024244726518607,0.000598761575193213,-0.00149059565417522,0.00401578417990173,-0.00514262882901859,0.00443066974929151,-0.00346892678066365,0.0033485457096556
"sig_14",0.128157954070303,-0.0557237116999264,-0.0229065846979729,-0.0139041595282918,-0.0110480277058684,-0.00464828861958478,-0.00225913884850561,0.00438110090882601,0.00494630622269056,-0.00128958153611858,-0.00485750811931545,0.00284426460952505,-0.00320151386313413,0.000388604632017363
"sig_15",0.0578039819705036,0.0145565553817203,-0.00428662330982127,0.0147639178782131,0.0131628925322635,-0.0302241339001318,-0.00285283310866635,0.00522706394641996,-0.00107802428152572,0.00938473331501153,-0.00464815148798204,0.00542085724672187,0.0045196203551981,0.00047077173417865
"sig_16",0.0889361402646031,-0.00944439827727851,-0.00878408831920123,0.00726491499714892,0.00956943747838371,-0.0291333677527069,0.00378514345028365,0.000527712490836503,0.00600264332748949,0.00498927109589391,-0.00261481153491792,0.00409137473825911,-0.00415627060495509,-0.00657705954605186
"sig_17",0.126912811307108,-0.0114708672522062,0.00201342179322944,-0.0231173586290935,-0.0121120068034193,-0.0090823657173981,-0.00906078278539306,-0.00697132213528521,0.00739022602805462,0.000513379804646833,-0.000907941746374626,0.0031847879258214,-0.00246862087203036,-0.00615924703547318
"sig_18",0.104770067100133,0.0151519309954414,0.00264351140633876,-0.00154206107106876,-0.0144325129611528,-0.00575095591813671,-0.0148777442669694,-0.00121722453306414,0.000187939095949351,-0.00837608007114635,-0.00745867387558583,0.0104073628580112,-0.0139028626711539,-0.00230767140593396
"sig_19",0.116477913220582,0.0264950492738488,0.00585523502913442,0.00493692434028393,-0.000548822681765487,0.00177969947946138,-0.014901081543723,0.00338421092388183,0.000474773809978146,0.00686501376322376,-0.00349299871088057,5.25437695147732e-05,-0.00437211722586239,-0.00111530392135854
"sig_20",0.0348652854633375,0.00742707293280478,-0.0163798316905629,0.00041489089581941,0.00733479079302703,-0.0198385395847973,-0.00383513731127371,0.00340766359139991,0.000688134400212996,0.000967067488143045,0.00439550828110232,-0.00286517844596957,-0.00613266476630921,-0.00582533020952684
