ID,Metabolism,Genetic Information Processing,Environmental Information Processing,Cellular Processes,Organismal Systems,Human Diseases
ec:1.1.1.1,44.0,0.0,0.0,0.0,0.0,7.0
ec:1.1.1.10,1.0,0.0,0.0,0.0,0.0,0.0
ec:1.1.1.102,1.0,0.0,0.0,0.0,0.0,0.0
ec:1.1.1.105,1.0,0.0,0.0,0.0,0.0,0.0
ec:1.1.1.14,1.0,0.0,0.0,0.0,0.0,0.0
ec:1.1.1.146,2.0,0.0,0.0,0.0,0.0,1.0
ec:1.1.1.153,1.0,0.0,0.0,0.0,0.0,0.0
ec:1.1.1.170,1.0,0.0,0.0,0.0,0.0,0.0
ec:1.1.1.178,1.0,0.0,0.0,0.0,0.0,1.0
ec:1.1.1.179,2.0,0.0,0.0,0.0,0.0,0.0
ec:1.1.1.181,1.0,0.0,0.0,0.0,0.0,0.0
ec:1.1.1.184,2.0,0.0,0.0,0.0,0.0,0.0
ec:1.1.1.2,3.0,0.0,0.0,0.0,0.0,0.0
ec:1.1.1.205,4.0,0.0,0.0,0.0,0.0,0.0
ec:1.1.1.21,10.0,0.0,0.0,0.0,0.0,0.0
ec:1.1.1.211,11.0,0.0,0.0,0.0,0.0,0.0
ec:1.1.1.213,6.0,0.0,0.0,0.0,1.0,1.0
ec:1.1.1.22,4.0,0.0,0.0,0.0,0.0,0.0
ec:1.1.1.239,4.0,0.0,0.0,0.0,1.0,0.0
ec:1.1.1.27,20.0,0.0,1.0,0.0,0.0,0.0
ec:1.1.1.270,2.0,0.0,0.0,0.0,1.0,0.0
ec:1.1.1.271,2.0,0.0,0.0,0.0,0.0,0.0
ec:1.1.1.30,4.0,0.0,0.0,0.0,0.0,0.0
ec:1.1.1.31,1.0,0.0,0.0,0.0,0.0,0.0
ec:1.1.1.330,4.0,0.0,0.0,0.0,0.0,0.0
ec:1.1.1.34,1.0,0.0,0.0,0.0,1.0,0.0
ec:1.1.1.35,7.0,0.0,0.0,0.0,0.0,0.0
ec:1.1.1.37,10.0,0.0,0.0,0.0,1.0,0.0
ec:1.1.1.38,2.0,0.0,0.0,0.0,0.0,0.0
ec:1.1.1.40,4.0,0.0,0.0,0.0,1.0,0.0
ec:1.1.1.41,12.0,0.0,0.0,0.0,0.0,0.0
ec:1.1.1.42,10.0,0.0,0.0,2.0,0.0,0.0
ec:1.1.1.44,3.0,0.0,0.0,0.0,0.0,0.0
ec:1.1.1.49,3.0,0.0,0.0,0.0,0.0,0.0
ec:1.1.1.50,3.0,0.0,0.0,0.0,0.0,0.0
ec:1.1.1.62,1.0,0.0,0.0,0.0,1.0,0.0
ec:1.1.1.64,1.0,0.0,0.0,0.0,0.0,0.0
ec:1.1.1.8,2.0,0.0,0.0,0.0,0.0,0.0
ec:1.1.1.81,3.0,0.0,0.0,0.0,0.0,0.0
ec:1.1.1.95,3.0,0.0,0.0,0.0,0.0,0.0
ec:1.1.2.4,1.0,0.0,0.0,0.0,0.0,0.0
ec:1.1.3.15,2.0,0.0,0.0,2.0,0.0,0.0
ec:1.1.4.1,1.0,0.0,0.0,0.0,0.0,0.0
ec:1.1.5.3,1.0,0.0,0.0,0.0,0.0,0.0
ec:1.1.99.1,1.0,0.0,0.0,0.0,0.0,0.0
ec:1.11.1.12,1.0,0.0,0.0,0.0,0.0,0.0
ec:1.11.1.20,1.0,0.0,0.0,0.0,0.0,0.0
ec:1.11.1.6,2.0,0.0,1.0,1.0,0.0,1.0
ec:1.11.1.7,0.0,0.0,0.0,0.0,1.0,1.0
ec:1.11.1.8,1.0,0.0,2.0,0.0,2.0,1.0
ec:1.11.1.9,14.0,0.0,0.0,0.0,7.0,2.0
ec:1.13.11.11,1.0,0.0,0.0,0.0,0.0,0.0
ec:1.13.11.19,1.0,0.0,0.0,0.0,0.0,0.0
ec:1.13.11.20,2.0,0.0,0.0,0.0,0.0,0.0
ec:1.13.11.27,3.0,0.0,0.0,0.0,0.0,0.0
ec:1.13.11.31,1.0,0.0,0.0,0.0,2.0,0.0
