"","BCA","KC","KG","KI","LE","OPENK","POP","RGDPCH","RGDPL","RGDPL2","XRAT","BCAperRGDPL","KCxRGDPL","KGxRGDPL","KIxRGDPL","KCxRGDPLxPOP","KGxRGDPLxPOP","KIxRGDPLxPOP","RGDPCHxPOP","RGDPLxPOP","RGDPL2xPOP"
"AUS_1980",0.0311031716306849,0.122354947164563,0.452180826248823,-0.23001270014227,-0.355836324811252,-0.855323168335682,-0.360032555984804,-0.524341873291916,-0.52337076376141,-0.509245296471075,-0.23298559075817,0.00668629990967538,-0.522561737633852,-0.163423268016502,-0.534493886316428,-0.337932956382802,-0.316486093958699,-0.363737993102335,-0.350097425337394,-0.349981141533519,-0.348182806400191
"AUS_1981",0.00309132069264328,0.132010304753244,0.338033897347811,-0.0439928942317765,-0.350945996762891,-0.84818395743011,-0.354507938708993,-0.473548378182877,-0.472884251358819,-0.460794611338746,-0.233028575439613,-0.0407597495372612,-0.457194958761454,-0.181928996252694,-0.41131634746428,-0.331126053072052,-0.31369033989128,-0.3482465549819,-0.342784730679627,-0.342693954243409,-0.341072611495684
"AUS_1982",-0.000402096655177278,0.388646729635907,0.496389130509576,-0.653560506627896,-0.350869585387136,-0.857048814900305,-0.350220770276081,-0.538412768935677,-0.535769320990875,-0.515229626596021,-0.232409499672635,-0.0497005192066505,-0.444214682048905,-0.147936519252585,-0.728170122854493,-0.327886249686609,-0.308173443748536,-0.376537470620853,-0.345018638472967,-0.344770534938726,-0.342467204951349
"AUS_1983",0.0126783217971821,0.216579297997906,0.376305025110521,-0.387792177354196,-0.355339650868841,-0.849333192137571,-0.346872297875872,-0.467266122483397,-0.465694505744119,-0.448927867889013,-0.231744923308862,-0.0239057924308728,-0.417724947984223,-0.144846915500867,-0.559258498589856,-0.324398450638839,-0.305474246285509,-0.357772356914605,-0.337392073742745,-0.337230133439204,-0.335250523091775
"AUS_1984",-0.00864813077037104,0.0782102633510917,0.376379685218113,-0.19745502963474,-0.347965953108421,-0.812819872348042,-0.343953072564301,-0.387404973742868,-0.38634669228061,-0.371957471122227,-0.231586955942813,-0.0568443630692004,-0.371171012306122,-0.0445554927706714,-0.410424277714419,-0.31996288537778,-0.296130195411016,-0.340920089975314,-0.329230694963322,-0.329113856498839,-0.327362916223832
"AUS_1985",-0.0126916682061498,0.0498598469591355,0.349615616196037,-0.213592903331862,-0.340057375717713,-0.824563278055183,-0.340632083050008,-0.292696309883853,-0.29150930217384,-0.276406317532351,-0.230021842473301,-0.0590189453091417,-0.266653883427707,0.0541090395215533,-0.342162695645475,-0.311813152997355,-0.286435029461192,-0.33167728448907,-0.319479200367143,-0.319358465159393,-0.317606640810347
"AUS_1986",-0.019956908151398,-0.0056217021756173,0.316299231204934,-0.408486006529425,-0.329283371736167,-0.82230179058492,-0.336944145781661,-0.256254342485207,-0.2543465473845,-0.237031490029536,-0.229678875033697,-0.0688042689024464,-0.243497066542591,0.0740236440147514,-0.407806703628944,-0.308133589928608,-0.282050479544026,-0.335841874994948,-0.313984204456896,-0.313807292116195,-0.311899065395377
"AUS_1987",-0.00642368603794367,-0.0928977863618566,0.20724949363185,-0.209810149118974,-0.32328507873935,-0.809737447546852,-0.332696772711348,-0.148818081661961,-0.147854942139312,-0.133248772781584,-0.230041755675663,-0.0432256272713403,-0.151161044330608,0.115334657012495,-0.22551081249108,-0.299877642340711,-0.275585572574182,-0.313801338824356,-0.30220457091731,-0.302111326472117,-0.300484322325653
"AUS_1988",-0.0286062781093612,-0.0551956777216842,0.208053286099955,0.153837444001673,-0.31293133732446,-0.782755568813291,-0.327951202682961,-0.0943115901395424,-0.0958576697149567,-0.0853618490807692,-0.230835446674105,-0.0742687169707001,-0.0733316709261309,0.178882659952431,0.00519993082057353,-0.29201819945553,-0.266939363032526,-0.285630958727776,-0.294188886157841,-0.294307751046226,-0.293051667378555
"AUS_1989",-0.103378981658025,-0.0267174845341984,0.216056231507829,0.122125726981655,-0.300629105827802,-0.775404354531401,-0.32292082799315,-0.0500636954399795,-0.0512047114255661,-0.0397444106850183,-0.23091740127845,-0.181417364561617,-0.00766822344114559,0.239816298016416,0.0273011957076584,-0.284572082572698,-0.258100040141232,-0.279027706980738,-0.28667724973609,-0.286768347262408,-0.285465481944736
"AUS_1990",-0.0838363402374902,0.114025491352334,0.284318133346608,-0.514422546856339,-0.295318515212785,-0.762997768785743,-0.31796626940065,-0.0941267507495014,-0.0879745307153672,-0.066921838964782,-0.23082929071101,-0.15572369389936,0.00756435200874114,0.253635524484819,-0.336556584925454,-0.280247538661952,-0.252855258236028,-0.314952540649568,-0.286692229535951,-0.286155625367545,-0.284015172642504
"AUS_1991",-0.0413430743182003,0.174797413841465,0.296582511942967,-0.767416007697765,-0.302386567470182,-0.74234258185333,-0.313546665452094,-0.0906144312345028,-0.0809381551629794,-0.0559261361957433,-0.230814837580263,-0.0923695652778807,0.041908741213273,0.272832309906577,-0.463682619000622,-0.275024250817618,-0.247601698382798,-0.32601910135232,-0.283074419063257,-0.282223973753742,-0.279737421729643
"AUS_1992",-0.0410117261594765,0.0237531055512806,0.270953816227807,-0.565332291170147,-0.303838383609539,-0.730728276449264,-0.309649775568471,-0.0146661241255759,-0.00705049375346009,0.0147599676845728,-0.230397891523282,-0.0879250072228924,0.0673653199754981,0.341695522458571,-0.304063387680023,-0.270681443619866,-0.238757986586058,-0.305346381702258,-0.27344208745076,-0.272769761909785,-0.270601816082714
"AUS_1993",-0.0324855659740459,-0.0894826420903308,0.115263149622643,-0.451417895857765,-0.302004510591404,-0.70810054656534,-0.306254929168485,0.053019256586102,0.0593907404270447,0.0786265564345652,-0.229814895053056,-0.0725747748565915,0.0973000787383032,0.282869555643304,-0.192865282735658,-0.266352093508694,-0.240596951893489,-0.290158902727294,-0.264778728353125,-0.264216365940911,-0.262315110009385
"AUS_1994",-0.0997666320385517,-0.0932122924123218,-0.00306829952784085,-0.145254474526129,-0.29294976256436,-0.686014398636867,-0.303140124209016,0.15596555990201,0.159735011256957,0.174813903462301,-0.230365238153817,-0.15938938359428,0.21519617395792,0.29061355012193,0.0571685652730652,-0.256312115342047,-0.237309636701178,-0.258875561135541,-0.253033070084125,-0.252708836452556,-0.251244994892477
"AUS_1995",-0.133066491687517,-0.133448048765741,0.00166123998253318,-0.271580057072453,-0.280914970882847,-0.670562607775641,-0.299643290958357,0.247058616280774,0.251637557909557,0.268961654357222,-0.230465446526993,-0.196591325172605,0.305540024100892,0.400075256344308,0.057488703416581,-0.247690422312117,-0.225244443760984,-0.255848197347772,-0.241862680430726,-0.241469578610532,-0.239867927268046
"AUS_1996",-0.0917866431291832,-0.255614699038941,-0.139049762807357,-0.11377531514949,-0.276712345216287,-0.640290764424071,-0.295685000461075,0.341602543414889,0.344331575147461,0.358122867747494,-0.23084642034745,-0.136431709148452,0.355433599733712,0.366158825296901,0.226145640878481,-0.241345867372504,-0.224603658638663,-0.232513214150921,-0.229792107403506,-0.229573589282674,-0.228360001052618
"AUS_1997",-0.0696556129430058,-0.271157714535613,-0.18593178759485,0.0473638370342888,-0.273617684498183,-0.628303705011587,-0.291741215319538,0.45250528475567,0.453844396243539,0.465369284353193,-0.230474278995783,-0.102640491032721,0.475198460730258,0.438133299594082,0.416905176210058,-0.230104360078657,-0.215044549861825,-0.206063522692578,-0.215995744919723,-0.215914658243155,-0.214993257683767
"AUS_1998",-0.132407446165571,-0.220166423030559,-0.477953446794594,0.175066765876082,-0.266358603801397,-0.638337506642008,-0.288046142207039,0.581600706235579,0.582542341836469,0.59147083624784,-0.22916573536208,-0.170839592338413,0.651860672152431,0.264887919171433,0.609650010315333,-0.21489203894315,-0.226640126352739,-0.179091510528213,-0.200467191862107,-0.200434765593279,-0.199856450388735
"AUS_1999",-0.177682354573723,-0.25187859563679,-0.441436385083149,0.239519498454405,-0.260818779059114,-0.605649110398921,-0.28428204732743,0.689267543773939,0.690276446838878,0.698494131534161,-0.229389919478993,-0.21568844920815,0.760752523458538,0.411788124824973,0.747333884342919,-0.204134507541196,-0.210686333533972,-0.158266811192274,-0.18664829416348,-0.186619362295014,-0.186198018889669
"AUS_2000",-0.113424409857963,-0.140052643298728,-0.49707929230925,-0.211918723174651,-0.252107882222971,-0.594267654247394,-0.280274920335034,0.714300951821953,0.715993132591732,0.732896875361587,-0.228453784847526,-0.140540176916251,0.852217824809687,0.375576949512687,0.463569066040019,-0.194242077232353,-0.210326440543608,-0.188987653535318,-0.180341561173763,-0.180249240670772,-0.179028358657759
"AUS_2001",-0.0285087414204867,-0.187735706047226,-0.52799838080564,-0.0415582728521554,-0.248249107747311,-0.613902324719353,-0.275941809288388,0.802627298081201,0.803701976776665,0.817500028908357,-0.227337093141955,-0.041445948505629,0.92919533323934,0.426489343605045,0.652265112516139,-0.184959543055214,-0.202000623507098,-0.160977987495778,-0.167464600571983,-0.167440282410777,-0.166590561956623
"AUS_2002",-0.121490685179531,-0.211095080232273,-0.570128631140641,0.394423047902155,-0.241410289617181,-0.603081168331727,-0.271615708264965,0.891875680752344,0.892362500348064,0.898233243975789,-0.227834280839637,-0.139811779602853,1.02001026239617,0.463461066869165,1.03720230137203,-0.174530269443999,-0.19482470846024,-0.107463698446969,-0.154287545627443,-0.154330091586284,-0.154334942014672
"AUS_2003",-0.280253001576688,-0.122228437827733,-0.658802341076342,0.642255202589247,-0.23319606672345,-0.591952358588253,-0.26745279698727,1.00875535966945,1.00878596370018,1.01077615129373,-0.229432957690549,-0.300418885055306,1.20952574309938,0.468103929397376,1.32656139340455,-0.156768783976152,-0.190663994431183,-0.065246559908696,-0.138294723409227,-0.138395119539222,-0.138893365449939
"AUS_2004",-0.427253245286718,-0.0149944009132224,-0.730392429513523,0.78174373085619,-0.226471865656953,-0.564623574182133,-0.263345013251171,1.07864055168347,1.07892152387689,1.07909991317687,-0.230408062244918,-0.44537982059853,1.357884349723,0.445354446175981,1.49897160465165,-0.141817915560477,-0.189070809547831,-0.0374377864944611,-0.126852696904753,-0.126936178214458,-0.127694728022326
"AUS_2005",-0.470203219374148,-0.066073852761473,-0.666902084535696,1.01058430340772,-0.213596548842128,-0.554731150002256,-0.259080204994895,1.15270068963593,1.15319572765371,1.14890094496548,-0.230677211657488,-0.479275695224341,1.41568286639501,0.592385452936022,1.7477702592197,-0.133328390729006,-0.171532609852672,0.00115629808747842,-0.114647639187499,-0.114717954188722,-0.116017287653885
"AUS_2006",-0.481848767398563,-0.0202978256367458,-0.66873056201772,1.17336913803023,-0.203663069993895,-0.54083246408083,-0.254458514658937,1.24395196248916,1.24450468967993,1.23752028836831,-0.230578180946817,-0.47857005319218,1.55386664611104,0.674804607231423,1.96998028939644,-0.118206905164874,-0.15943669429686,0.0375318298617022,-0.100077753559419,-0.100152575874183,-0.101837840294549
"AUS_2007",-0.726571445485502,0.0164795769456633,-0.662529069148963,1.50869141135982,-0.191437249872992,-0.50484810076314,-0.249782415758124,1.34693405855358,1.34684478468856,1.33346187347637,-0.231289596160231,-0.700924949498265,1.70088000291902,0.777910026426614,2.34866024638758,-0.102075654503871,-0.145111197782556,0.0958448312361241,-0.0839728488174798,-0.0841269868713075,-0.0866032656286929
"AUS_2008",-0.576523184129554,-0.0318890317649877,-0.68168702297941,1.34737511607936,-0.180242983324791,-0.519476126150464,-0.245150677722214,1.35692177674227,1.35700356948641,1.34620686314605,-0.231305066363141,-0.554910217588996,1.681657474259,0.762084430661741,2.23039462280653,-0.0988017277407904,-0.142113552616971,0.0874929405668362,-0.0775554148192793,-0.0776949268497117,-0.0799564987772507
"AUS_2009",-0.514407788963309,-0.0492251473950476,-0.696049859364321,1.39103545358064,-0.177148322606688,-0.49913703261008,-0.240561251467496,1.4004258840156,1.40049757620538,1.38844158739654,-0.230823241808142,-0.489474419568376,1.72249169281603,0.783108797097108,2.31392855586795,-0.0908192481850077,-0.135578422627172,0.106570747809343,-0.0675471464830347,-0.0676945070245944,-0.070173015926872
"AUS_2010",-0.441912618088311,0.0328779165620855,-0.649156583257723,1.6268191675959,-0.165877644682731,-0.445222738720157,-0.236011692473052,1.43024019223475,1.43029009232192,1.41458999158818,-0.231851180584906,-0.417172501419612,1.81262524852574,0.873445880839268,2.54019293713079,-0.0788222192726254,-0.12215020936768,0.145821663916672,-0.0589670523175716,-0.0591222409313462,-0.0620678890893445
"AUT_1980",0.0334799878161314,0.343201018898453,0.284179039787864,0.421672233109434,-0.489021352753333,-0.354314327741679,-0.48704819128916,-0.472560319787188,-0.470860479099931,-0.46994330710685,-0.232653698008588,0.0119124170831687,-0.378351115556875,-0.218833419296387,-0.201620667170448,-0.406235593180354,-0.411997094302433,-0.428826121697547,-0.427865893899154,-0.427753932350859,-0.426585904945353
"AUT_1981",0.0409492811392795,0.460661778760921,0.244415908562218,0.0207426526649994,-0.488639295874555,-0.340065025408795,-0.486775052025355,-0.472253787695684,-0.469195951225482,-0.464475904952991,-0.231490999493347,0.024859948202002,-0.333751391021768,-0.245918378973666,-0.379309932836799,-0.404806407342566,-0.412745351673836,-0.437356203465062,-0.42767864556563,-0.427514532886559,-0.426203160045282
"AUT_1982",0.0624045300560724,0.526092843712662,0.390682997974003,-0.308383951911416,-0.489900083574523,-0.364715463752778,-0.486595595430867,-0.453048819613378,-0.449079560804674,-0.439034913916078,-0.231050436030419,0.0619004016291603,-0.284133123094299,-0.113229350586189,-0.510746247683774,-0.403287524469413,-0.407978284861105,-0.443703144004467,-0.426825642765489,-0.426627102319524,-0.425119196086628
"AUT_1983",0.0592590607966925,0.704308536631797,0.45451595353536,-0.485145558924948,-0.491084459898735,-0.360095438527624,-0.486985945877831,-0.39501785059145,-0.389819631147493,-0.376479761809813,-0.230698763298869,0.0564717668415959,-0.140981749776118,0.0103066227357308,-0.546285754577651,-0.399474459214948,-0.403964622117158,-0.445701718045052,-0.424855933449679,-0.424612873779572,-0.422997022828707
"AUT_1984",0.0566184431747681,0.528810974009912,0.479392233035665,-0.289994419692198,-0.490702403019957,-0.304418271272242,-0.486963729496542,-0.379917786337439,-0.375437653473919,-0.363980947317185,-0.229902909234173,0.0520770163418823,-0.188137055881415,0.0478135962713325,-0.444744387647794,-0.400795981674758,-0.402639608890462,-0.440701092222877,-0.424262728625644,-0.424047664422218,-0.422507534460915
"AUT_1985",0.0572335166995738,0.397271210282706,0.359305745474217,-0.202524803980293,-0.49012931770179,-0.273494396030743,-0.486862281878424,-0.296746027971784,-0.292486888802907,-0.283069132795996,-0.229638221037353,0.0531640239042758,-0.132404158358393,0.0605331321477102,-0.337612657414649,-0.399150945359711,-0.402115574762435,-0.435367825265945,-0.421006419372373,-0.420802698800926,-0.41936437777381
"AUT_1986",0.0581538810716159,0.432115882249433,0.377075316101995,-0.241655183830644,-0.489365203944234,-0.32099820641789,-0.486710110451248,-0.263166826700737,-0.25857574984523,-0.248229223741738,-0.2317476349999,0.0546465679917493,-0.075591852640367,0.117408753033763,-0.329563884109395,-0.397439285483011,-0.400008078004617,-0.434863442482585,-0.419612366302083,-0.419396962766345,-0.417933386349889
"AUT_1988",0.0563523510133736,0.347281844564941,0.136780242080687,0.0581063928621057,-0.488219033307899,-0.262205742999662,-0.486143035521411,-0.131906120845727,-0.129307098167906,-0.12500217001595,-0.232883335634325,0.0519542977795975,0.05392705820832,0.0784291932414596,-0.0730860696038946,-0.393371659771463,-0.400916596108293,-0.421786681054635,-0.414155870375886,-0.414021251681336,-0.4128269944395
"AUT_1989",0.0605783810162095,0.297240218772075,0.0184049112166019,0.170687890953942,-0.486232337538252,-0.206399897404344,-0.4856384935936,-0.0344907864475051,-0.0329129386484648,-0.0313266969742083,-0.232539832294044,0.0581987259312154,0.153941884792055,0.089460158996242,0.0689693300893345,-0.390162269002887,-0.400125196034778,-0.414334920504556,-0.410015061159241,-0.409923151985616,-0.408863006875306
"AUT_1990",0.0690357348836292,0.279037415560493,-0.0973722840398821,0.217581333183518,-0.483672556450438,-0.168406786759658,-0.48392927018785,0.0461763020518538,0.0471108661428089,0.0466421184061848,-0.233263756836651,0.0700352655830804,0.246165302685127,0.077322775819354,0.16460288771777,-0.386275763571246,-0.399187538261173,-0.408064847005294,-0.405546445888845,-0.405482200821587,-0.404532064155222
"AUT_1991",0.058976477511228,0.294334529787086,-0.117983569946113,0.325361123800548,-0.481074569674747,-0.156798005391367,-0.4822132524519,0.0926697199607388,0.0923045161646888,0.0902679606146409,-0.233144678268617,0.0558363377461666,0.309575900383619,0.108721196666763,0.264542771145826,-0.383163238198957,-0.396684180792539,-0.401451355667038,-0.402349425214436,-0.402338266801873,-0.401471027254414
"AUT_1992",0.0517967391133169,0.415553682025429,-0.155520261352001,0.202379490711098,-0.478820434089955,-0.158569248259578,-0.480477894241624,0.109878045629381,0.111111797796756,0.110317058541073,-0.233411778377131,0.045932241606816,0.388151625152581,0.0949949733423662,0.212595220836707,-0.379540504293608,-0.395785784413062,-0.402510278405307,-0.400267046378116,-0.400192944042927,-0.399290652292253
"AUT_1993",0.0442392735817239,0.387203779091877,-0.110109671648038,0.0317939858936083,-0.478858639777833,-0.212307684525491,-0.479154437806115,0.119740855218881,0.122178707495968,0.124244699200024,-0.233161678378241,0.0355877991713553,0.389314598244093,0.148983605186593,0.126322889281437,-0.378499943483065,-0.392732362977992,-0.405784581453058,-0.398799716388461,-0.398677065859216,-0.397669453277862
"AUT_1994",0.0253038559013448,0.43735880949166,-0.0577222556023712,0.198224949328505,-0.478247348771788,-0.150462280052366,-0.478454495974591,0.152413732529332,0.153739023361659,0.154574838450761,-0.233243527876206,0.0100754319622506,0.452421810641371,0.232789324995425,0.247745966867306,-0.376067946930705,-0.389055591238123,-0.398832083108646,-0.396902995229813,-0.396826507090462,-0.395881068079279
"AUT_1995",-0.0128795293599466,0.256722047518402,-0.0588314916903705,0.410071213914151,-0.478361965835421,-0.115427965350856,-0.478096930867004,0.235188176542319,0.234775640086059,0.232660312519283,-0.233764929380246,-0.0391690139108449,0.470272899210433,0.322802572609264,0.442903941360621,-0.375252668811054,-0.385412591563886,-0.388292071810016,-0.393232273234063,-0.39322975906186,-0.392430518453557
"AUT_1996",-0.0125574343515124,0.304893763518075,-0.0922887456881962,0.348009614335377,-0.479164285280856,-0.0889906439697206,-0.477855732144906,0.289808746520842,0.290030235769172,0.288394601828326,-0.233568436134296,-0.0370398420169364,0.562400136894863,0.35221119654595,0.456808357724725,-0.372280119048696,-0.384110685226767,-0.387323568150495,-0.3907964157187,-0.390770194852282,-0.389970045466844
"AUT_1997",0.00353754224323024,0.219425775470949,-0.228632333788127,0.303431140939685,-0.478820434089955,-0.0117955672727025,-0.477693530992196,0.361805457532905,0.361804023874189,0.358580808827074,-0.232939159791937,-0.0145135395538614,0.610262864833817,0.295795306698977,0.494838575357975,-0.370702390256464,-0.386070892567925,-0.385166346571552,-0.387711007554541,-0.387696703707447,-0.38698426120487
"AUT_1998",0.0205477576057233,0.132784676695845,-0.296301255971962,0.260417967793377,-0.478018114644521,0.0233648366041573,-0.477536326727835,0.47161218575,0.471636400863005,0.467877994782755,-0.232871120458461,0.00868555006292483,0.702297894784789,0.343183157894115,0.566518710531019,-0.367787170730551,-0.384169680395307,-0.381242587302681,-0.383074528837999,-0.383063450661306,-0.382408046324213
"AUT_1999",0.0195081547410321,0.0517488755269978,-0.248460466927884,0.271309683223039,-0.476833738320309,0.0478818915954574,-0.47725711211057,0.571010769257825,0.57110950568844,0.567943368326964,-0.232662338459506,0.008838173569765,0.781696901606973,0.498396971245168,0.662280014946312,-0.365146436959074,-0.378129378384657,-0.375913599817773,-0.378740851060577,-0.378730637686227,-0.378084073703144
"AUT_2000",0.0425651134079714,-0.00788816681346864,-0.384436352333739,0.203668154274736,-0.475840390435485,0.154507903917606,-0.476910978733161,0.66886258424716,0.669047117290661,0.664515895654211,-0.231876660919111,0.0367651983385482,0.868299049516882,0.45314166549737,0.704478236237601,-0.362219815347884,-0.379510148620199,-0.373316201363928,-0.374390579423537,-0.374380730799733,-0.373822818090827
"AUT_2001",0.0403978442757907,0.0130653759506619,-0.434592578023826,0.132517994010054,-0.475305510805196,0.221485071423975,-0.476582460285901,0.690394097250421,0.690814363195055,0.686547196814671,-0.231704775723455,0.0343958223240214,0.905963297751883,0.41989018587595,0.675671119050197,-0.360788611063935,-0.38046402307239,-0.374481207293865,-0.373185838339373,-0.373167212028986,-0.372607627142533
