"","sig_1","sig_2","sig_3","sig_4","sig_5","sig_6","sig_7","sig_8","sig_9","sig_10","sig_11","sig_12","sig_13","sig_14","sig_15","sig_16","sig_17","sig_18","sig_19","sig_20","sig_21","sig_22","sig_23","sig_24","sig_25","sig_26","sig_27","sig_28","sig_29","Cancers","Immune.diseases","Neurodegenerative.diseases","Substance.dependence","Cardiovascular.diseases","Endocrine.and.metabolic.diseases","Infectious.diseases"
"sig_1",1,-0.090852377499931,0.126334306349809,0.463432659768706,0.198377756873424,0.0727780915304396,0.296963990346013,-0.159564708220455,-0.0279905303615003,-0.0935704438317948,-0.118177695169301,-0.10928258570802,0.00072987682336141,-0.160676709248754,-0.0948368362685732,-0.102973740687456,-0.0970076896784335,-0.117463313564981,-0.151347771967409,-0.0864727162510881,0.159287323739545,0.135180732981186,-0.148023437960442,-0.128929649212857,-0.0967255383786019,-0.140396026198885,-0.124171969970999,-0.0738992114325703,-0.145613843963057,-0.0281068105285561,0.132865444778051,-0.0273521218987728,-0.0582727632352421,-0.0238471734597335,-0.0686940000194914,-0.00773672937567754
"sig_2",-0.090852377499931,1,-0.213129639647574,-0.185106090114732,-0.117041549021954,-0.209540602117019,0.0707550582577973,0.371591821203449,-0.222533890200367,-0.251484846551372,-0.173149398378226,-0.262533574838216,-0.18617616180077,-0.266856137690903,-0.126435721401385,-0.190199054715822,-0.271156612260036,-0.225985258367797,-0.287009275141042,-0.158951665081953,-0.139726441511142,-0.0448642546122243,-0.176400147591804,-0.23827469799792,-0.16814654265104,-0.174775285735858,-0.176106556807282,-0.0467260233389276,0.143635092756394,0.0145732044527578,0.000656609955178128,-0.0887246487639038,-0.103792581628593,-0.0400255847976485,-0.00488198940553341,0.035754879344713
"sig_3",0.126334306349809,-0.213129639647574,1,0.040074677875989,0.392407350717975,0.503118091817082,-0.138756535223792,-0.181661981428161,0.462925403504633,0.382718869277996,0.043562852311914,0.430863510618047,0.836716924808007,0.156341016326372,0.0835377460408264,0.242803126653078,0.0775863435058105,0.110855127642827,0.329241412333343,0.204385436999761,0.392094680209312,-0.0595068976967747,0.0864712071309767,0.161672531180774,0.199393417107913,-0.0108365907619261,0.0488475758457774,-0.105055987958617,-0.139672547475186,0.0222004389624801,-0.192870744303607,0.0941479063846708,0.03791325342716,-0.013376938705747,-0.0547564973357051,-0.0131677487603414
"sig_4",0.463432659768706,-0.185106090114732,0.040074677875989,1,-0.0128401323359193,-0.0029128266478613,0.276471269079404,-0.17994283807972,0.243786220739269,0.283883741043694,0.253266778397898,0.113655260149783,-0.0241344952042525,0.246465299087339,-0.0331808631870304,0.169397485156559,0.218994467501716,0.00935506525000063,0.13618159725605,0.187955726992608,-0.060826137925184,0.484765672229949,-0.0350554705231081,0.037053511143411,0.0922945606912154,-0.05406689427483,0.0908643255846366,0.119703431019975,-0.158394160957331,0.0339307319029475,0.131070596536714,-0.0588947994625409,0.0689442552195043,0.0307485555422953,-0.022474553755219,-0.1071329788256
"sig_5",0.198377756873424,-0.117041549021954,0.392407350717975,-0.0128401323359193,0.999999999999998,0.246746966060025,-0.10539727460507,-0.121110618380153,0.115332781810181,0.168559696791133,0.0402985583163738,0.118393277258081,0.0259576432933522,0.0928123895595722,0.0446999647324409,0.266953723401071,0.000345083353637136,0.00488504948342415,0.104806536000123,0.248725180310084,0.86351125961453,-0.0577077441769306,-0.0346469111917559,0.00971000160455106,0.274331952331846,-0.0474801590258035,0.0922330460007805,-0.0515194021242375,-0.0886449486236904,-0.0181359241278296,-0.0840207916839069,0.128452634581379,-0.00879964987539726,-0.0362084075985273,-0.0179511715496659,0.0921913485312003
"sig_6",0.0727780915304396,-0.209540602117019,0.503118091817082,-0.0029128266478613,0.246746966060025,1,0.0307554374845534,0.0612529603694398,0.219041853737492,0.159321400053686,0.0430549196355587,0.417485727311515,0.409757754542106,0.244859834364533,0.164699133342389,0.10455808088661,0.443466632693954,0.611498393781889,0.367898992321711,0.0424284260125215,0.304907784416913,-0.12850990367644,0.683691876240313,0.469536783286891,0.123390914045924,0.548959694328974,0.19473621502647,0.076610135979341,0.0686051796806299,0.250350109923824,-0.277589571744705,0.0406160559461312,0.196056797229371,0.146442775711533,0.181088672893116,0.370662214492579
"sig_7",0.296963990346013,0.0707550582577973,-0.138756535223792,0.276471269079404,-0.10539727460507,0.0307554374845534,1,0.0771819796303019,-0.0336380536164297,-0.103509121973316,-0.0512509426126752,-0.0949236307361157,-0.14016340973861,-0.0585559262847987,0.0408042808344288,-0.0643234355417942,0.104992040541,0.065408656194123,0.0738360246255582,-0.0963907955421433,-0.10391958496534,0.672433231798707,0.0234319649140173,0.179691759687825,-0.0347639155930514,0.206368971948645,0.0926317564831715,0.550344160662421,0.0241822984094708,-0.109618565709594,0.416395753946003,-0.0680055276716125,0.0923319545511754,0.0788844024267896,-0.084637684620809,-0.0867291543993546
"sig_8",-0.159564708220455,0.371591821203449,-0.181661981428161,-0.17994283807972,-0.121110618380153,0.0612529603694398,0.0771819796303019,1,-0.182529290960827,-0.197714209504089,-0.120519248773518,-0.115263758467684,-0.141050862861065,-0.155147808587494,-0.0539097027727841,-0.134499635158937,-0.136977752915396,-0.0729945945940777,-0.0990486823031785,-0.131493770308512,-0.124364110057406,-0.0228750350887645,0.177205432069069,-0.0688944442578873,-0.110968392295387,0.12350813633856,-0.0615138443283131,0.293548999203415,0.842872003255123,0.142483798569715,-0.117065561270425,-0.0950410381113497,-0.00114506678663438,0.0410398052285311,0.171647314822026,0.196759064999852
"sig_9",-0.0279905303615003,-0.222533890200367,0.462925403504633,0.243786220739269,0.115332781810181,0.219041853737492,-0.0336380536164297,-0.182529290960827,1,0.718930762773381,0.202521628221127,0.534456388940041,0.337895813643814,0.317872116342438,0.194309235892041,0.456853997853028,0.157182290815354,0.271805764430572,0.569921418918058,0.419896293271318,0.141619085533853,0.124037906706966,0.0951040306709779,0.170060487127522,0.476151603903506,0.0169057915233247,0.120626818715499,-0.0895761094702992,-0.137253946844484,0.226577663881832,-0.14496952622433,-0.0233075023496163,0.0132854286243796,-0.0624740089886745,-0.0381943925729632,-0.0401524403499677
"sig_10",-0.0935704438317948,-0.251484846551372,0.382718869277996,0.283883741043694,0.168559696791133,0.159321400053686,-0.103509121973316,-0.197714209504089,0.718930762773381,0.999999999999999,0.56568887333324,0.689005876528121,0.336865646926495,0.679928950486908,0.0419700717472455,0.748456296262664,0.37002816116477,0.195247290088506,0.605784386918166,0.76462056020997,0.0988652065544151,0.0840160819705682,0.128534637020746,0.0996164557427549,0.579372102853472,-0.0232007141645877,0.304032003868351,-0.0254562268192993,-0.134113551482524,0.147277144925785,-0.149195821707224,-0.124108430115996,0.0930817416280636,-0.0159117822606604,0.0742999237589378,-0.079803436128661
