"","sig_1","sig_2","sig_3","sig_4","sig_5","sig_6","sig_7","sig_8"
"SAU_1962",0.709201844612014,2.00301204092914,-1.55012663686408,-1.43671053321378,-0.669062443552946,-1.66971681583687,0.855807787067031,1.93199228600266
"SAU_1963",1.94820874511015,1.27248143610404,-1.55012663686408,-0.989501557687814,-0.669062443552946,-0.740509541814478,1.94385912198548,1.23199960092227
"SAU_1964",0.293737913225166,2.76450932156233,-1.55012663686408,-1.43671053321378,-0.669062443552946,-2.23903583726801,0.342113636516406,2.32166372552269
"SAU_1965",-0.608619696869408,2.18719302592582,-1.55012663686408,-1.43671053321378,-0.669062443552946,-2.23903583726801,-0.413025685827397,2.32403090905278
"SAU_1966",0.293737913225166,2.76450932156233,-1.55012663686408,-1.43671053321378,-0.669062443552946,-2.23903583726801,0.342113636516406,2.32166372552269
"SAU_1967",0.709201844612014,2.00301204092914,-1.55012663686408,-1.43671053321378,-0.669062443552946,-1.66971681583687,0.855807787067031,1.93199228600266
"SAU_1968",1.66376301335464,0.867981198251389,-1.55012663686408,-0.952410431682349,-0.669062443552946,0.130149735233052,1.24313810938945,0.968075152551601
"SAU_1969",2.14951076028717,1.21985380635506,-1.55012663686408,-1.05839515104777,-0.669062443552946,0.0425403838275641,1.45414681092833,1.14918120783712
"SAU_1970",-2.3588394948601,2.40326811509236,-1.55012663686408,-1.43671053321378,-0.669062443552946,-2.23903583726801,-2.9376784167489,2.85372951199437
"SAU_1971",1.78523178152598,0.370801000721308,-1.55012663686408,-0.172721115632107,-0.669062443552946,2.26348942161502,-0.759424203325065,0.428643571746774
"SAU_1972",2.81466049291509,0.342019283257032,-1.55012663686408,0.553023882178247,-0.669062443552946,2.66770214649234,-0.331634366233565,0.23551442615961
"SAU_1973",1.95368375248056,-0.178943950058658,-0.212728599308115,0.996425023475518,-0.669062443552946,2.32232094399897,-0.293851161779949,-0.284627361414004
"SAU_1974",0.0691352852857236,-0.647185238876707,0.646154738826253,2.18249487026625,-0.580031775315159,0.65760150459015,-1.00317834872374,-0.849976849334286
"SAU_1975",-0.510069564202101,-0.676627159581562,1.22744900396869,1.30436598785929,-0.069589277418515,0.523824765739591,-1.26241311261383,-0.845319553365791
"SAU_1976",-0.371029842144351,-0.666425447602143,0.43343473600239,1.52402161049622,0.0342798355255696,0.59215438932769,-1.17561669571622,-0.839506191022138
"SAU_1977",-0.522929465234915,-0.702249332965925,0.831916167034815,1.63035890710504,-0.0844277221248128,0.291570201468839,-1.10477318736569,-0.910852001603337
"SAU_1978",-0.353331562505132,-0.643758469675608,0.813382146986795,1.16086704979633,-0.0250739432996216,0.466410870401043,-0.656464971188961,-0.801444081889544
"SAU_1979",-0.617532499565417,-0.678136195560027,0.25904645645966,1.13174416949165,-0.550354885902564,0.340242063360777,-0.8724589566488,-0.842027516735578
"SAU_1980",-0.726650669715135,-0.712985495187717,1.27041423226183,1.2818715597305,-0.259521369659127,0.194037460745577,-1.17115617852378,-0.911050184410507
"SAU_1981",-1.18438675103163,-0.772089404344285,0.862244563477029,1.51605336479543,-0.158619945656302,-0.266313295129432,-1.76587431195827,-1.01047189267412
"SAU_1982",-0.991615561292221,-0.747253187198706,1.23713724172106,1.35323319379425,-0.268424436482906,-0.0328301207526699,-1.48753803914996,-0.968996635195824
"SAU_1983",-0.686797709088692,-0.706634968778341,0.774629195977299,1.37953545615174,0.120342814822097,0.14097095501291,-0.973266645197963,-0.908660980568513
"SAU_1984",-0.442968892476429,-0.67659572133201,1.33612575788662,1.25415898839942,0.325113351769007,0.343124571686416,-0.754963686132624,-0.870686952683551
"SAU_1985",0.227273870263494,-0.544570792341048,0.430486141903842,1.19950951567274,-0.44055039507596,0.523824765739591,0.126486987766532,-0.673021622843385
"SAU_1986",0.656870960211158,-0.403633119602273,0.863929474390485,0.545055636477454,0.354790241181602,0.785707735259125,0.765600386434022,-0.492554156603194
"SAU_1987",0.725372215217632,-0.340552271877456,1.10150191318783,0.417493189816073,0.986907985669888,0.40044395855527,1.16426567009253,-0.387341106307833
"SAU_1988",0.240770400060309,-0.212960136073236,1.01220163477464,-0.83147643719685,2.05230831558207,0.135489463770712,1.2385726388513,-0.066626273527006
"SAU_1989",0.995939439917924,-0.0311370197929098,-0.711462229691191,-0.226876980218033,4.78554983048213,-0.212207196230142,1.99003859409545,0.0767920179283494
"SAU_1990",0.360838584950838,-0.291288534830466,-0.497057315953872,-0.0799933006184443,2.25411116358772,0.391749179343507,0.766912303255329,-0.199970272284553
"SAU_1991",0.815264196694529,-0.288600564493824,0.251043129620742,0.340419804409279,1.76147479933863,0.340572843004702,1.29729403577297,-0.301583001582993
"SAU_1992",0.137636540292198,-0.477560163422311,0.344976913045933,0.535465535457029,0.969101852022331,0.408146398835257,0.434105244026392,-0.520916318340411
"SAU_1993",-0.460921823621248,-0.5066562633821,0.52821097488431,-0.159252664934305,0.336984107534045,0.115784447839704,0.163692948818774,-0.453655275618105
"SAU_1994",-0.283939027229057,-0.31923713868163,-0.775910072130896,-0.378696741225193,0.215308860942403,-0.285782039886208,0.62107962939894,-0.0807853340837069
"SAU_1995",-0.191118553437757,-0.248658268438813,0.590552678682194,-0.823014583355299,0.0847305475269821,-0.173789503299904,0.772579783923371,0.00424610034817619
"SAU_1996",-0.367082743807547,-0.391985248143492,0.76030745321292,-0.608647619369341,-0.547387196961304,0.16870919086783,0.258570773335632,-0.227407580921644
"SAU_1997",-0.516181200336508,-0.273541642958719,-0.545077276987378,-0.811238503425807,-0.669062443552946,-0.189855943147728,0.184578664613967,0.0700758227964773
