"","sig_1","sig_2","sig_3","sig_4","sig_5","sig_6","sig_7","sig_8","sig_9","sig_10","sig_11","sig_12","sig_13","sig_14","sig_15","sig_16","sig_17","sig_18","sig_19","sig_20","sig_21","sig_22","sig_23","sig_24","sig_25","sig_26","sig_27","sig_28","sig_29","Cell.cycle.progression.meiosis","Nuclear.cytoplasmic.transport","Chrom..seg..kinetoch..spindle.microtub.","RNA.processing","Signaling.stress.response","ER.Golgi.traffic","Chromatin.transcription","DNA.replication...repair.HR.cohesion","Protein.degredation.proteosome","Golgi.endosome.vacuole.sorting","Protein.folding...glycosylation.cell.wall","Metabolism.mitochondria","Ribosome.translation","Cell.polarity.morphogenesis"
"sig_1",1.00000000000001,0.0520047996550084,0.286066500255818,0.160474967576857,0.0958409983252826,0.0953579759234051,-0.0461263388165234,-0.118844976403711,-0.218013482776758,-0.315176000327528,-0.195663032492631,-0.383040613805039,-0.331924403252302,-0.371451789323004,-0.138683858278699,-0.284728236545586,-0.404063801511601,-0.283334239706389,-0.380591351868151,-0.114073481942398,-0.284810052507458,-0.282059983766957,-0.298908541040469,-0.32881766962218,-0.248470315664827,-0.274099573277561,-0.209417812370886,-0.215630196012464,-0.158092894367345,0.0804668896744577,-0.0513114228437389,-0.0367504989233665,-0.0873801633911939,0.00112473206699717,0.00368232681986807,-0.0473816299604847,0.0169202630753578,-0.0246619326369254,-0.0111996239652484,0.0427578807737412,0.135053083203813,-0.0424848433346898,0.0017590848145679
"sig_2",0.0520047996550084,1.00000000000001,-0.0811761340892678,-0.122513473209191,-0.0345570765761889,0.193055359273574,0.20227453907105,0.304875771362477,-0.203025203301469,-0.259114146469533,-0.14434235722675,-0.225166657127566,-0.156193169044553,-0.234630214057056,-0.114833730228284,-0.212691476305862,-0.207118775123185,-0.128004603651793,-0.155439245160473,-0.0892295265800907,-0.164602460927039,-0.12850127361748,-0.0691041846881409,-0.135319869223798,-0.121129564471857,-0.0639472334177991,-0.0720838234386994,-0.0390010875452048,-0.00184485385346735,-0.0231824927177105,-0.0288527602424096,-0.00677224729608671,-0.000429233959495743,0.00727538627509067,-0.016687975997384,-0.00310136422200526,0.0176485826832288,-0.0104781116659768,-0.00332725582973494,0.0344138623822265,0.0402094926665281,-0.02834428228265,-0.0293749448398734
"sig_3",0.286066500255818,-0.0811761340892678,1,0.209101074281119,0.15803401983087,0.144450278565063,-0.0269058571093433,-0.1381188531811,0.353308135314809,0.154982728037299,-0.13639973505895,-0.0184335306624138,0.12840097159784,-0.176007074340267,0.18304511761153,0.0691956505686456,-0.226730737851014,-0.114734654975971,-0.076449079575901,-0.0291403193485115,-0.0101971400595702,-0.20923877417659,-0.234657705535544,-0.201588810378487,-0.118302292405821,-0.251752052152052,-0.175674751307393,-0.230796733628285,-0.184667078436528,0.0302231712692499,-0.0406580538637092,0.0132400313653565,-0.112981032381032,0.0224246982382894,0.0227885465843714,-0.0373633959296513,0.0367535045208377,-0.0336456875471759,0.0404122674600802,0.0401030728250295,0.0447405847303225,-0.0728046723797187,0.0651357841274277
"sig_4",0.160474967576857,-0.122513473209191,0.209101074281119,0.999999999999985,0.0818937982290201,0.0872818953489476,-0.103160028280948,-0.18501885071996,0.0411497768112289,0.290352519725607,0.297081988568355,-0.00517464982324795,-0.137974979632808,0.252324864869008,-0.0281071726666498,0.0815189181810582,-0.0563129046101178,-0.153194767421377,-0.216464724033364,0.0338854215335896,-0.126198634288517,-0.0986730845087671,-0.254223461092888,-0.231490598734021,-0.16279739073668,-0.269990487641763,-0.185447384024535,-0.236710372871237,-0.195993701047572,0.0350783740824618,-0.0133044416770626,0.0131078480443788,-0.110181061628924,0.0610581319347551,0.00574870214652269,-0.0456709179684009,0.0433860085857533,0.00293743352508244,0.0418714814694916,-0.0160645245423821,0.0438634717360225,-0.0627634601344874,0.0442755560382438
"sig_5",0.0958409983252826,-0.0345570765761889,0.15803401983087,0.0818937982290201,1.00000000000001,0.0962474667036827,0.085837353888584,-0.0411573201935631,0.0174513777798776,-0.0083402819796291,-0.0714826800128566,0.000877633492386813,0.00454387265297526,-0.0605333669762893,0.0753261225871941,0.34955140122286,-0.0196924279565003,-0.0116550267325201,0.0157008974320273,0.345009803562756,0.321888800622858,-0.0126103849785823,-0.0649987980022434,0.00259990269815911,0.244394709009712,-0.0485843602525469,0.10976008433588,-0.0439986735455762,-0.0613107315236778,-0.00678246348331042,0.00275568720201301,-0.00649946104849287,-0.0382638261762222,0.0234654581611302,-0.0152788786207238,-0.00653003632146362,0.0209320501176473,-0.0222599412349692,0.00959907933866972,0.0163209108362376,0.00366114992745197,0.0147261716798749,-0.0021844004093131
"sig_6",0.0953579759234051,0.193055359273574,0.144450278565063,0.0872818953489476,0.0962474667036827,0.999999999999991,0.372194388237279,0.209518694548696,-0.0950650110659115,-0.177399730238904,-0.196222934187324,0.173125470173662,0.159742947095327,-0.0117370083088769,-0.0573120230556025,-0.104562612207686,0.0786061265888783,0.213199792584768,0.128995144587728,-0.0518640019816153,0.0886074165373177,0.00374978068626625,0.174518514056123,0.0891139205721701,0.0495156924171637,0.0855635808035721,-0.00730913170744412,0.0144781361102125,0.0161603309655729,-0.0562239276608238,-0.0101583981115068,0.00703403844496859,0.000576105720017208,-0.00105808990681806,-0.0197451292745414,0.0265172791123185,0.0461921153200373,0.0183180750829318,0.0274196948612509,-0.0221634262804311,-0.0134269647180283,-0.0327497976545279,-0.0100904870426564
"sig_7",-0.0461263388165234,0.20227453907105,-0.0269058571093433,-0.103160028280948,0.085837353888584,0.372194388237279,1.00000000000001,0.439590355209189,-0.163785597192083,-0.247594024854352,-0.204396768568454,-0.0106972104407964,0.0404696001202314,-0.137768697720468,-0.0563458679471565,-0.101877207928714,0.183979023524205,0.10606107903675,0.302963276394468,-0.0302798655561285,0.0693893383946391,0.284495245422819,0.27684059030151,0.336861181803262,0.185385887343712,0.386569702135784,0.358568332705017,0.387813580069981,0.231161041841738,-0.0562273978042321,0.0019560446970798,0.0156356657143366,0.0757532900540773,-0.040266702421323,-0.0494608245694108,0.0633054038959553,-0.0253567477707884,0.0215831524500877,0.0221889835126361,-0.0519606007324087,-0.0348614807211816,0.0384044191610787,-0.0553822430721021
"sig_8",-0.118844976403711,0.304875771362477,-0.1381188531811,-0.18501885071996,-0.0411573201935631,0.209518694548696,0.439590355209189,0.99999999999998,-0.20662963964085,-0.280386837325064,-0.17532488551648,-0.147009290585786,0.0267903273940482,-0.19640955472679,-0.095654059384433,-0.202143978352072,-0.0272431604360895,0.0289404367892142,0.119803906640424,-0.0826326897434487,-0.0571264123779444,0.0940343537592071,0.479660348241203,0.131547397110847,0.0432417112628974,0.440890294657526,0.135492548343959,0.485734152360957,0.645640817748006,-0.0384420969408016,-0.0180744372342845,0.0251128789597874,0.128376462131234,-0.0391259851330752,-0.0214718764422286,0.0786870448753503,-0.0159506063337484,0.0494447709004198,0.0332766892939446,-0.0533812269309163,-0.0834787186725228,-0.0167498191913958,-0.063317855991738
"sig_9",-0.218013482776758,-0.203025203301469,0.353308135314809,0.0411497768112289,0.0174513777798776,-0.0950650110659115,-0.163785597192083,-0.20662963964085,1.00000000000001,0.675675691656347,0.0920116803666674,0.470072394847369,0.528337251202116,0.263124800842096,0.386496243867893,0.519593751996464,0.162360046399444,0.145609627223006,0.244705922977216,0.12382404874604,0.281896792349466,-0.00629134258416918,-0.0898357883329179,0.0208114185500167,0.0736250996451811,-0.14952785813467,-0.0647187157631314,-0.185152396662897,-0.179234781623229,-0.043497741085594,0.0228314675681242,0.136649378100556,-0.0413924374065614,0.0203194416540156,0.046849209471344,0.00249174810475583,0.0152911719644735,-0.0433887495371468,0.0673432563629629,-0.0362202902579609,-0.149778098040265,-0.0342830843490165,0.124635812388111
"sig_10",-0.315176000327528,-0.259114146469533,0.154982728037299,0.290352519725607,-0.0083402819796291,-0.177399730238904,-0.247594024854352,-0.280386837325064,0.675675691656347,1.00000000000002,0.481989302064355,0.558259770394323,0.378793547107413,0.610181910636296,0.292972449184652,0.591046911581455,0.276436377102498,0.0895372375775757,0.175030415720238,0.160354252489593,0.219708487594466,0.043210386267439,-0.164309415890347,-0.0335487887572004,0.0259746385474789,-0.226137310968664,-0.105937264513598,-0.250259014363025,-0.235653205491734,-0.0410020837877093,0.0420940935711864,0.124037498934868,-0.0638781783408483,0.0657345156099546,0.0571575171419716,-0.0171493199155757,0.0344949105432091,-0.0141740585189179,0.0719846762218049,-0.0586874476040904,-0.14633003802252,-0.0599370824299761,0.134280436145191
