"","V1","V2","V3","V4"
"sig_1",-0.0164743401747433,0.124994191720644,0.0404433445678738,0.0090452719393393
"sig_2",-0.0127929928416463,0.0160943969834561,0.023056228522272,-0.021966299631582
"sig_3",-0.0465998356905537,0.222859130639283,0.371956841817875,-1.84493793973398
"sig_4",1.66119458361449,1.47592443308548,2.22748507898399,-2.17027488182044
"sig_5",-0.0106338919603739,0.111937009744732,0.0181543030338231,-0.00750506029443508
"sig_6",0.125994658928686,0.343029069321929,0.0223497539117459,-0.415662073780816
"sig_7",-0.0793778396091419,-0.15069123992598,-0.0715126924455145,0.466318170637521
"sig_8",0.988033147653279,0.712989809569791,-0.015609837043863,-1.47491520376538
"sig_9",-0.998142162537176,-1.14990195388097,-0.926225372629053,0.577035136992914
"sig_10",0.617593519706916,1.19773902849087,1.13248092546769,-1.40061735611999
"sig_11",-2.23583149018545,-0.827840774952625,-2.74219134513502,2.9392222597233
"sig_12",2.06619962548912,-0.665520149929153,-0.0274690052892419,1.13909972055832
"sig_13",-0.00890519084867986,-0.407292601094975,-0.415080340121574,2.12860064639695
"sig_14",1.74579507759063,-0.221172166661998,0.757006337689932,0.179226216623787
"sig_15",-0.452404036203445,0.225272599663509,0.390973004672056,-0.999317744821791
"sig_16",0.255243180843643,-0.133958780760964,-1.07684542272951,1.70036089623036
"sig_17",-1.67167448965938,-0.208302914803986,1.57053428479975,-3.17239460406418
"sig_18",0.852166605444579,0.941483980763373,0.277164690502414,-0.384025827087168
"sig_19",0.0631820338329149,-0.27885260296581,-0.246597073547427,0.941619464489871
"sig_20",1.05490488190313,0.224546626064549,0.388697946352481,-0.296175736470493
"sig_21",-0.0233522867851735,-0.116746043735212,-0.164002151988048,0.983125331682081
"sig_22",0.796290849135363,-0.128598376578193,-0.429216209647422,1.10171693684732
"sig_23",-0.809227659437677,-1.01422778671156,-1.24885549516054,0.923585388738807
"sig_24",0.0244781796602608,1.04882720380509,0.246945296917772,-1.87088055403247
"sig_25",-1.32066066785346,-0.351128932233374,0.0633001278221567,-0.407781160846693
"sig_26",-0.851873516543136,-0.0233356944705261,-0.715612299741503,1.00993914683717
"sig_27",-0.396641219864728,0.0290733006502436,-0.176798288233665,-0.513204373047018
"sig_28",0.22890428631784,-0.274878939760721,0.304149120352647,0.87883959750109
"sig_29",-0.924027289009568,-0.270790000337118,-0.0806984887203041,0.16842733829471
