"","V1","V2","V3","V4"
"Transport.and.catabolism",-0.281260118868626,0.834195450460351,0.0991329669818296,0.158100613616407
"Cell.motility",-0.159491930815702,0.139410211065148,-0.751451945664062,-0.153441489480428
"Cell.growth.and.death",0.405911278061468,0.0830408054949877,-0.054678598705904,-0.559700183584794
"Cell.communication",0.726930559726574,0.0977326693095405,-0.166591742809182,-0.380215301893767
