"","Metabolism","Genetic.Information.Processing","Environmental.Information.Processing","Cellular.Processes","Organismal.Systems","Human.Diseases"
"ec:1.1.1.1",4.25390718126657,-0.0779733037261398,-0.133086715555953,-0.194108995463267,-0.113122586637731,1.29436214791031
"ec:1.1.1.10",-0.306936203935384,-0.0779733037261398,-0.133086715555953,-0.194108995463267,-0.113122586637731,-0.125001706935727
"ec:1.1.1.102",-0.306936203935384,-0.0779733037261398,-0.133086715555953,-0.194108995463267,-0.113122586637731,-0.125001706935727
"ec:1.1.1.105",-0.306936203935384,-0.0779733037261398,-0.133086715555953,-0.194108995463267,-0.113122586637731,-0.125001706935727
"ec:1.1.1.14",-0.306936203935384,-0.0779733037261398,-0.133086715555953,-0.194108995463267,-0.113122586637731,-0.125001706935727
"ec:1.1.1.146",-0.200870078698129,-0.0779733037261398,-0.133086715555953,-0.194108995463267,-0.113122586637731,0.0777645580422776
"ec:1.1.1.153",-0.306936203935384,-0.0779733037261398,-0.133086715555953,-0.194108995463267,-0.113122586637731,-0.125001706935727
"ec:1.1.1.170",-0.306936203935384,-0.0779733037261398,-0.133086715555953,-0.194108995463267,-0.113122586637731,-0.125001706935727
"ec:1.1.1.178",-0.306936203935384,-0.0779733037261398,-0.133086715555953,-0.194108995463267,-0.113122586637731,0.0777645580422776
"ec:1.1.1.179",-0.200870078698129,-0.0779733037261398,-0.133086715555953,-0.194108995463267,-0.113122586637731,-0.125001706935727
"ec:1.1.1.181",-0.306936203935384,-0.0779733037261398,-0.133086715555953,-0.194108995463267,-0.113122586637731,-0.125001706935727
"ec:1.1.1.184",-0.200870078698129,-0.0779733037261398,-0.133086715555953,-0.194108995463267,-0.113122586637731,-0.125001706935727
"ec:1.1.1.2",-0.0948039534608742,-0.0779733037261398,-0.133086715555953,-0.194108995463267,-0.113122586637731,-0.125001706935727
"ec:1.1.1.205",0.0112621717763805,-0.0779733037261398,-0.133086715555953,-0.194108995463267,-0.113122586637731,-0.125001706935727
"ec:1.1.1.21",0.647658923199908,-0.0779733037261398,-0.133086715555953,-0.194108995463267,-0.113122586637731,-0.125001706935727
"ec:1.1.1.211",0.753725048437163,-0.0779733037261398,-0.133086715555953,-0.194108995463267,-0.113122586637731,-0.125001706935727
"ec:1.1.1.213",0.22339442225089,-0.0779733037261398,-0.133086715555953,-0.194108995463267,-0.0246710969618843,0.0777645580422776
"ec:1.1.1.22",0.0112621717763805,-0.0779733037261398,-0.133086715555953,-0.194108995463267,-0.113122586637731,-0.125001706935727
"ec:1.1.1.239",0.0112621717763805,-0.0779733037261398,-0.133086715555953,-0.194108995463267,-0.0246710969618843,-0.125001706935727
"ec:1.1.1.27",1.70832017557245,-0.0779733037261398,0.20417319414608,-0.194108995463267,-0.113122586637731,-0.125001706935727
"ec:1.1.1.270",-0.200870078698129,-0.0779733037261398,-0.133086715555953,-0.194108995463267,-0.0246710969618843,-0.125001706935727
"ec:1.1.1.271",-0.200870078698129,-0.0779733037261398,-0.133086715555953,-0.194108995463267,-0.113122586637731,-0.125001706935727
"ec:1.1.1.30",0.0112621717763805,-0.0779733037261398,-0.133086715555953,-0.194108995463267,-0.113122586637731,-0.125001706935727
"ec:1.1.1.31",-0.306936203935384,-0.0779733037261398,-0.133086715555953,-0.194108995463267,-0.113122586637731,-0.125001706935727
"ec:1.1.1.330",0.0112621717763805,-0.0779733037261398,-0.133086715555953,-0.194108995463267,-0.113122586637731,-0.125001706935727
"ec:1.1.1.34",-0.306936203935384,-0.0779733037261398,-0.133086715555953,-0.194108995463267,-0.0246710969618843,-0.125001706935727
"ec:1.1.1.35",0.329460547488144,-0.0779733037261398,-0.133086715555953,-0.194108995463267,-0.113122586637731,-0.125001706935727
"ec:1.1.1.37",0.647658923199908,-0.0779733037261398,-0.133086715555953,-0.194108995463267,-0.0246710969618843,-0.125001706935727
"ec:1.1.1.38",-0.200870078698129,-0.0779733037261398,-0.133086715555953,-0.194108995463267,-0.113122586637731,-0.125001706935727
"ec:1.1.1.40",0.0112621717763805,-0.0779733037261398,-0.133086715555953,-0.194108995463267,-0.0246710969618843,-0.125001706935727
"ec:1.1.1.41",0.859791173674418,-0.0779733037261398,-0.133086715555953,-0.194108995463267,-0.113122586637731,-0.125001706935727
"ec:1.1.1.42",0.647658923199908,-0.0779733037261398,-0.133086715555953,1.71968438168238,-0.113122586637731,-0.125001706935727
"ec:1.1.1.44",-0.0948039534608742,-0.0779733037261398,-0.133086715555953,-0.194108995463267,-0.113122586637731,-0.125001706935727
"ec:1.1.1.49",-0.0948039534608742,-0.0779733037261398,-0.133086715555953,-0.194108995463267,-0.113122586637731,-0.125001706935727
"ec:1.1.1.50",-0.0948039534608742,-0.0779733037261398,-0.133086715555953,-0.194108995463267,-0.113122586637731,-0.125001706935727
"ec:1.1.1.62",-0.306936203935384,-0.0779733037261398,-0.133086715555953,-0.194108995463267,-0.0246710969618843,-0.125001706935727
"ec:1.1.1.64",-0.306936203935384,-0.0779733037261398,-0.133086715555953,-0.194108995463267,-0.113122586637731,-0.125001706935727
"ec:1.1.1.8",-0.200870078698129,-0.0779733037261398,-0.133086715555953,-0.194108995463267,-0.113122586637731,-0.125001706935727
"ec:1.1.1.81",-0.0948039534608742,-0.0779733037261398,-0.133086715555953,-0.194108995463267,-0.113122586637731,-0.125001706935727
"ec:1.1.1.95",-0.0948039534608742,-0.0779733037261398,-0.133086715555953,-0.194108995463267,-0.113122586637731,-0.125001706935727
"ec:1.1.2.4",-0.306936203935384,-0.0779733037261398,-0.133086715555953,-0.194108995463267,-0.113122586637731,-0.125001706935727
"ec:1.1.3.15",-0.200870078698129,-0.0779733037261398,-0.133086715555953,1.71968438168238,-0.113122586637731,-0.125001706935727
"ec:1.1.4.1",-0.306936203935384,-0.0779733037261398,-0.133086715555953,-0.194108995463267,-0.113122586637731,-0.125001706935727
"ec:1.1.5.3",-0.306936203935384,-0.0779733037261398,-0.133086715555953,-0.194108995463267,-0.113122586637731,-0.125001706935727
"ec:1.1.99.1",-0.306936203935384,-0.0779733037261398,-0.133086715555953,-0.194108995463267,-0.113122586637731,-0.125001706935727
"ec:1.11.1.12",-0.306936203935384,-0.0779733037261398,-0.133086715555953,-0.194108995463267,-0.113122586637731,-0.125001706935727
"ec:1.11.1.20",-0.306936203935384,-0.0779733037261398,-0.133086715555953,-0.194108995463267,-0.113122586637731,-0.125001706935727
"ec:1.11.1.6",-0.200870078698129,-0.0779733037261398,0.20417319414608,0.762787693109557,-0.113122586637731,0.0777645580422776
"ec:1.11.1.7",-0.413002329172638,-0.0779733037261398,-0.133086715555953,-0.194108995463267,-0.0246710969618843,0.0777645580422776
"ec:1.11.1.8",-0.306936203935384,-0.0779733037261398,0.541433103848113,-0.194108995463267,0.0637803927139623,0.0777645580422776
"ec:1.11.1.9",1.07192342414893,-0.0779733037261398,-0.133086715555953,-0.194108995463267,0.506037841093196,0.280530823020282
"ec:1.13.11.11",-0.306936203935384,-0.0779733037261398,-0.133086715555953,-0.194108995463267,-0.113122586637731,-0.125001706935727
