ID,EC1,EC2,EC3,EC4,EC5,EC6
cpd:C00992,1,0,0,0,0,0
cpd:C00993,0,0,0,0,0,1
cpd:C02091,1,0,1,0,0,0
cpd:C04706,0,0,1,0,0,0
cpd:C04702,0,1,0,0,0,1
cpd:C04462,0,1,0,0,0,0
cpd:C04805,1,0,0,0,0,0
cpd:C12624,1,0,1,0,0,0
cpd:C12623,1,0,0,0,0,0
cpd:C12622,1,0,0,0,0,0
cpd:C12621,1,0,0,0,0,0
cpd:C02376,0,0,1,0,0,0
cpd:C11941,1,0,0,0,0,0
cpd:C15547,0,0,0,1,0,1
cpd:C00385,1,1,1,0,0,0
cpd:C01096,1,1,0,0,0,0
cpd:C03838,0,1,0,0,0,1
cpd:C00390,1,0,0,0,0,0
cpd:C01279,0,1,0,0,0,0
cpd:C00019,1,1,0,1,0,0
cpd:C03912,1,0,0,0,0,0
cpd:C00016,1,1,0,0,0,0
cpd:C00015,1,1,0,0,1,0
cpd:C00014,1,1,1,1,1,1
cpd:C00013,0,1,1,1,0,1
cpd:C00012,0,1,0,0,0,0
cpd:C00011,1,1,1,1,0,1
cpd:C00010,1,1,1,0,0,1
cpd:C02222,0,0,1,0,0,0
cpd:C04419,0,0,0,0,0,1
cpd:C01097,1,1,0,0,1,0
cpd:C04144,0,1,0,0,0,0
cpd:C04411,1,0,0,1,0,0
cpd:C04146,0,1,0,0,0,0
cpd:C05757,1,1,0,1,0,0
cpd:C05756,1,1,0,1,0,0
cpd:C05755,1,1,0,1,0,0
cpd:C05754,1,1,0,1,0,0
cpd:C05753,1,1,0,0,0,0
cpd:C05752,1,1,0,0,0,0
cpd:C05751,1,1,0,1,0,0
cpd:C05750,1,1,0,0,0,0
cpd:C00499,0,0,1,0,0,0
cpd:C04349,1,0,0,0,1,0
cpd:C05759,1,1,0,0,0,0
cpd:C05758,1,1,0,1,0,0
cpd:C03479,0,1,0,0,0,0
cpd:C00459,0,1,0,0,0,0
cpd:C00458,1,1,1,0,0,0
cpd:C00900,1,1,0,1,0,0
cpd:C00455,0,1,1,0,0,0
cpd:C00454,0,1,0,0,0,0
cpd:C00905,1,0,0,0,1,0
cpd:C05698,0,1,0,1,0,1
cpd:C04225,0,0,0,1,0,0
cpd:C03373,0,0,0,0,0,1
cpd:C00269,0,1,1,0,0,0
cpd:C00514,1,1,0,1,0,0
cpd:C00512,0,1,0,0,0,0
cpd:C00510,0,0,1,0,0,0
cpd:C15532,0,0,1,0,0,0
cpd:C00262,1,1,1,0,0,0
cpd:C00263,1,1,0,0,0,0
cpd:C00266,1,0,0,1,0,0
cpd:C00267,0,1,1,0,1,0
cpd:C00302,0,1,0,0,0,0
cpd:C00068,1,1,0,1,0,0
cpd:C00069,0,0,1,0,0,0
cpd:C00378,0,1,0,0,0,0
cpd:C00062,0,1,0,1,0,0
