"","protein.metabolism","death","other.metabolic.processes","signal.transduction","stress.response","other.biological.processes","cell.adhesion","DNA.metabolism","cell.cell.signaling","developmental.processes","cell.organization.and.biogenesis","cell.cycle.and.proliferation","RNA.metabolism","transport"
"A1BG",-0.314007519409383,-0.248711128996375,-0.359415946351146,-0.270894169547787,-0.214886275204522,2.1316457874352,-0.103700747892531,-0.109265916802193,-0.131763101020697,-0.28583350655706,-0.376030907199335,-0.172074508585185,-0.327392303627244,-0.295214344579584
"A1CF",-0.314007519409383,-0.248711128996375,2.7819985681655,-0.270894169547787,-0.214886275204522,-0.469071669420187,-0.103700747892531,-0.109265916802193,-0.131763101020697,-0.28583350655706,-0.376030907199335,-0.172074508585185,-0.327392303627244,-0.295214344579584
"A2M",-0.314007519409383,-0.248711128996375,-0.359415946351146,3.6910895859955,-0.214886275204522,-0.469071669420187,-0.103700747892531,-0.109265916802193,-0.131763101020697,-0.28583350655706,-0.376030907199335,-0.172074508585185,-0.327392303627244,-0.295214344579584
"AAGAB",-0.314007519409383,-0.248711128996375,-0.359415946351146,-0.270894169547787,-0.214886275204522,-0.469071669420187,-0.103700747892531,-0.109265916802193,-0.131763101020697,-0.28583350655706,-0.376030907199335,-0.172074508585185,-0.327392303627244,3.38701240804776
"AAMP",-0.314007519409383,-0.248711128996375,-0.359415946351146,-0.270894169547787,-0.214886275204522,2.1316457874352,-0.103700747892531,-0.109265916802193,-0.131763101020697,-0.28583350655706,-0.376030907199335,-0.172074508585185,-0.327392303627244,-0.295214344579584
"AANAT",-0.314007519409383,-0.248711128996375,-0.359415946351146,-0.270894169547787,-0.214886275204522,2.1316457874352,-0.103700747892531,-0.109265916802193,-0.131763101020697,-0.28583350655706,-0.376030907199335,-0.172074508585185,-0.327392303627244,-0.295214344579584
"AARS",-0.314007519409383,-0.248711128996375,-0.359415946351146,-0.270894169547787,-0.214886275204522,2.1316457874352,-0.103700747892531,-0.109265916802193,-0.131763101020697,-0.28583350655706,-0.376030907199335,-0.172074508585185,-0.327392303627244,-0.295214344579584
"AARS2",-0.314007519409383,-0.248711128996375,-0.359415946351146,-0.270894169547787,-0.214886275204522,-0.469071669420187,-0.103700747892531,-0.109265916802193,-0.131763101020697,-0.28583350655706,2.65907570090958,-0.172074508585185,-0.327392303627244,-0.295214344579584
"AASDHPPT",-0.314007519409383,-0.248711128996375,2.7819985681655,-0.270894169547787,-0.214886275204522,-0.469071669420187,-0.103700747892531,-0.109265916802193,-0.131763101020697,-0.28583350655706,-0.376030907199335,-0.172074508585185,-0.327392303627244,-0.295214344579584
"AATF",-0.314007519409383,-0.248711128996375,2.7819985681655,-0.270894169547787,-0.214886275204522,-0.469071669420187,-0.103700747892531,-0.109265916802193,-0.131763101020697,-0.28583350655706,-0.376030907199335,-0.172074508585185,-0.327392303627244,-0.295214344579584
"AATK",-0.314007519409383,4.02030521175154,-0.359415946351146,-0.270894169547787,-0.214886275204522,-0.469071669420187,-0.103700747892531,-0.109265916802193,-0.131763101020697,-0.28583350655706,-0.376030907199335,-0.172074508585185,-0.327392303627244,-0.295214344579584
"ABAT",-0.314007519409383,-0.248711128996375,-0.359415946351146,-0.270894169547787,-0.214886275204522,2.1316457874352,-0.103700747892531,-0.109265916802193,-0.131763101020697,-0.28583350655706,-0.376030907199335,-0.172074508585185,-0.327392303627244,-0.295214344579584
"ABCA1",-0.314007519409383,-0.248711128996375,-0.359415946351146,-0.270894169547787,-0.214886275204522,2.1316457874352,-0.103700747892531,-0.109265916802193,-0.131763101020697,-0.28583350655706,-0.376030907199335,-0.172074508585185,-0.327392303627244,-0.295214344579584
"ABCA2",-0.314007519409383,-0.248711128996375,-0.359415946351146,-0.270894169547787,-0.214886275204522,-0.469071669420187,-0.103700747892531,-0.109265916802193,-0.131763101020697,-0.28583350655706,-0.376030907199335,-0.172074508585185,-0.327392303627244,3.38701240804776
