"","Cancers","Immune.diseases","Neurodegenerative.diseases","Substance.dependence","Cardiovascular.diseases","Endocrine.and.metabolic.diseases","Infectious.diseases"
"ec:2.8.2.14",-0.23880910290414,-0.307354740604728,-0.359362259883469,-0.263918625319552,-0.132453235706504,-0.289541723624842,-0.323503808499008
"ec:3.1.1.34",-0.357175353908801,-0.307354740604728,0.346970457818522,-0.263918625319552,-0.132453235706504,-0.289541723624842,-0.323503808499008
"ec:3.1.3.2",-0.357175353908801,3.19648930228917,-0.359362259883469,-0.263918625319552,-0.132453235706504,-0.289541723624842,-0.323503808499008
"ec:3.1.3.67",0.471388403123825,-0.307354740604728,-0.359362259883469,-0.263918625319552,-0.132453235706504,-0.289541723624842,-0.158863477387906
"ec:3.1.4.11",0.944853407142468,-0.307354740604728,5.29129948173246,-0.263918625319552,-0.132453235706504,-0.289541723624842,2.64002215150084
"ec:3.1.4.17",-0.357175353908801,-0.307354740604728,-0.359362259883469,5.37734199088587,-0.132453235706504,-0.289541723624842,-0.323503808499008
"ec:3.1.4.35",-0.357175353908801,-0.307354740604728,-0.359362259883469,0.11216541576081,-0.132453235706504,-0.289541723624842,-0.323503808499008
"ec:3.1.4.4",-0.120442851899479,-0.307354740604728,-0.359362259883469,-0.263918625319552,-0.132453235706504,-0.289541723624842,-0.323503808499008
"ec:3.2.1.166",-0.23880910290414,-0.307354740604728,-0.359362259883469,-0.263918625319552,-0.132453235706504,-0.289541723624842,-0.323503808499008
"ec:3.3.2.9",-0.23880910290414,-0.307354740604728,-0.359362259883469,-0.263918625319552,-0.132453235706504,-0.289541723624842,-0.323503808499008
"ec:3.5.1.2",-0.120442851899479,-0.307354740604728,-0.359362259883469,-0.263918625319552,-0.132453235706504,-0.289541723624842,-0.323503808499008
"ec:3.5.3.1",-0.357175353908801,-0.307354740604728,-0.359362259883469,-0.263918625319552,-0.132453235706504,-0.289541723624842,0.00577685372319659
"ec:3.5.4.4",-0.357175353908801,3.19648930228917,-0.359362259883469,-0.263918625319552,-0.132453235706504,-0.289541723624842,-0.323503808499008
"ec:3.6.1.5",-0.357175353908801,-0.307354740604728,-0.359362259883469,-0.263918625319552,-0.132453235706504,-0.289541723624842,0.170417184834299
"ec:3.6.3.14",-0.357175353908801,3.19648930228917,1.7596358932225,-0.263918625319552,-0.132453235706504,-0.289541723624842,0.993618840389811
"ec:4.1.1.15",-0.357175353908801,-0.307354740604728,-0.359362259883469,-0.263918625319552,-0.132453235706504,1.21081084424934,-0.323503808499008
"ec:4.1.1.28",-0.357175353908801,-0.307354740604728,-0.359362259883469,0.864333497921533,-0.132453235706504,-0.289541723624842,-0.323503808499008
"ec:4.2.1.2",-0.120442851899479,-0.307354740604728,-0.359362259883469,-0.263918625319552,-0.132453235706504,-0.289541723624842,-0.323503808499008
"ec:4.6.1.1",-0.357175353908801,-0.307354740604728,0.346970457818522,4.24908986764479,7.41738119956424,-0.289541723624842,1.81682049594532
