"","Cancers","Immune.diseases","Neurodegenerative.diseases","Substance.dependence","Cardiovascular.diseases","Endocrine.and.metabolic.diseases","Infectious.diseases"
"ec:1.1.1.1",0.471388403123825,-0.307354740604728,-0.359362259883469,-0.263918625319552,-0.132453235706504,-0.289541723624842,-0.323503808499008
"ec:1.1.1.146",-0.23880910290414,-0.307354740604728,-0.359362259883469,-0.263918625319552,-0.132453235706504,-0.289541723624842,-0.323503808499008
"ec:1.1.1.178",-0.357175353908801,-0.307354740604728,0.346970457818522,-0.263918625319552,-0.132453235706504,-0.289541723624842,-0.323503808499008
"ec:1.1.1.213",-0.23880910290414,-0.307354740604728,-0.359362259883469,-0.263918625319552,-0.132453235706504,-0.289541723624842,-0.323503808499008
"ec:1.11.1.6",-0.357175353908801,-0.307354740604728,0.346970457818522,-0.263918625319552,-0.132453235706504,-0.289541723624842,-0.323503808499008
"ec:1.11.1.7",-0.357175353908801,3.19648930228917,-0.359362259883469,-0.263918625319552,-0.132453235706504,-0.289541723624842,-0.323503808499008
"ec:1.11.1.8",-0.357175353908801,3.19648930228917,-0.359362259883469,-0.263918625319552,-0.132453235706504,-0.289541723624842,-0.323503808499008
"ec:1.11.1.9",-0.357175353908801,-0.307354740604728,1.05330317552051,-0.263918625319552,-0.132453235706504,-0.289541723624842,-0.323503808499008
"ec:1.13.11.34",-0.357175353908801,-0.307354740604728,-0.359362259883469,-0.263918625319552,-0.132453235706504,-0.289541723624842,-0.158863477387906
"ec:1.13.11.52",-0.357175353908801,-0.307354740604728,-0.359362259883469,-0.263918625319552,-0.132453235706504,-0.289541723624842,0.00577685372319659
"ec:1.14.13.126",-0.23880910290414,-0.307354740604728,-0.359362259883469,-0.263918625319552,-0.132453235706504,-0.289541723624842,-0.323503808499008
"ec:1.14.13.13",-0.357175353908801,-0.307354740604728,-0.359362259883469,-0.263918625319552,-0.132453235706504,-0.289541723624842,-0.158863477387906
"ec:1.14.13.39",-0.120442851899479,-0.307354740604728,1.05330317552051,-0.263918625319552,-0.132453235706504,-0.289541723624842,0.828978509278709
"ec:1.14.14.1",0.826487156137807,-0.307354740604728,-0.359362259883469,-0.263918625319552,-0.132453235706504,-0.289541723624842,-0.323503808499008
"ec:1.14.16.2",-0.357175353908801,-0.307354740604728,0.346970457818522,0.864333497921533,-0.132453235706504,-0.289541723624842,-0.323503808499008
"ec:1.14.99.1",0.116289650109842,-0.307354740604728,-0.359362259883469,-0.263918625319552,-0.132453235706504,-0.289541723624842,-0.158863477387906
"ec:1.14.99.3",-0.23880910290414,-0.307354740604728,-0.359362259883469,-0.263918625319552,-0.132453235706504,-0.289541723624842,-0.323503808499008
"ec:1.2.1.12",-0.357175353908801,-0.307354740604728,0.346970457818522,-0.263918625319552,-0.132453235706504,-0.289541723624842,-0.323503808499008
"ec:1.2.1.5",0.116289650109842,-0.307354740604728,-0.359362259883469,-0.263918625319552,-0.132453235706504,-0.289541723624842,-0.323503808499008
"ec:1.3.5.1",-0.357175353908801,-0.307354740604728,3.87863404632848,-0.263918625319552,-0.132453235706504,1.21081084424934,-0.323503808499008
"ec:1.4.3.4",-0.357175353908801,-0.307354740604728,-0.359362259883469,1.99258562116262,-0.132453235706504,-0.289541723624842,-0.323503808499008
"ec:2.1.1.37",-0.00207660089481862,-0.307354740604728,-0.359362259883469,-0.263918625319552,-0.132453235706504,-0.289541723624842,-0.323503808499008
"ec:2.1.1.43",0.116289650109842,-0.307354740604728,-0.359362259883469,-0.263918625319552,-0.132453235706504,-0.289541723624842,-0.323503808499008
"ec:2.3.1.5",-0.120442851899479,-0.307354740604728,-0.359362259883469,-0.263918625319552,-0.132453235706504,-0.289541723624842,-0.323503808499008
"ec:2.4.1.17",1.89178341517975,-0.307354740604728,-0.359362259883469,-0.263918625319552,-0.132453235706504,-0.289541723624842,-0.323503808499008
"ec:2.4.1.68",-0.23880910290414,-0.307354740604728,-0.359362259883469,-0.263918625319552,-0.132453235706504,-0.289541723624842,-0.323503808499008
"ec:2.4.2.4",-0.23880910290414,-0.307354740604728,-0.359362259883469,-0.263918625319552,-0.132453235706504,-0.289541723624842,-0.323503808499008
"ec:2.5.1.10",-0.357175353908801,-0.307354740604728,-0.359362259883469,-0.263918625319552,-0.132453235706504,-0.289541723624842,0.00577685372319659
"ec:2.5.1.18",2.24688216819374,-0.307354740604728,-0.359362259883469,-0.263918625319552,-0.132453235706504,-0.289541723624842,-0.323503808499008
"ec:2.7.1.1",-0.357175353908801,-0.307354740604728,-0.359362259883469,-0.263918625319552,-0.132453235706504,2.71116341212353,-0.323503808499008
"ec:2.7.1.137",-0.357175353908801,-0.307354740604728,-0.359362259883469,-0.263918625319552,-0.132453235706504,-0.289541723624842,-0.158863477387906
"ec:2.7.1.153",6.38970095335686,-0.307354740604728,-0.359362259883469,-0.263918625319552,-0.132453235706504,5.71186854787189,6.26210943594509
"ec:2.7.1.2",-0.357175353908801,-0.307354740604728,-0.359362259883469,-0.263918625319552,-0.132453235706504,1.21081084424934,-0.323503808499008
"ec:2.7.1.40",-0.23880910290414,-0.307354740604728,-0.359362259883469,-0.263918625319552,-0.132453235706504,2.71116341212353,-0.323503808499008
"ec:2.7.1.91",-0.357175353908801,-0.307354740604728,-0.359362259883469,-0.263918625319552,-0.132453235706504,-0.289541723624842,0.00577685372319659
"ec:2.7.7.6",-0.357175353908801,-0.307354740604728,1.05330317552051,-0.263918625319552,-0.132453235706504,-0.289541723624842,0.499697847056504
"ec:2.7.7.7",-0.357175353908801,-0.307354740604728,-0.359362259883469,-0.263918625319552,-0.132453235706504,-0.289541723624842,0.499697847056504
"ec:2.8.2.1",0.116289650109842,-0.307354740604728,-0.359362259883469,-0.263918625319552,-0.132453235706504,-0.289541723624842,-0.323503808499008
