"","sig_1","sig_2","sig_3","sig_4","sig_5","sig_6","sig_7","sig_8","sig_9","sig_10","sig_11","sig_12","sig_13","sig_14","sig_15","sig_16","sig_17","sig_18","sig_19","sig_20","sig_21","sig_22","sig_23","sig_24","sig_25","sig_26","sig_27","sig_28","sig_29","Cancers","Immune.diseases","Neurodegenerative.diseases","Substance.dependence","Cardiovascular.diseases","Endocrine.and.metabolic.diseases","Infectious.diseases"
"sig_1",1,0.957113971103011,0.976853812570566,0.98108829718329,0.980360297429341,0.987781139109958,0.994127255335092,0.965589625239164,0.963411127509935,0.967279188049261,0.968221586214039,0.961892004447128,0.96400067770507,0.963347690249773,0.954519074482864,0.961709779169442,0.97132433227228,0.970053031823588,0.971407316878384,0.97284588475415,0.952589281814155,0.977909409608773,0.975904259296981,0.970586913395881,0.973163007635196,0.982793729125903,0.976373214179665,0.989321633459707,0.971490515367409,-0.0038343686169304,-0.0860807863380666,-0.0515977690113603,0.0437006269092257,-0.0126292169139384,-0.0151004759395661,0.00920179146020095
"sig_2",0.957113971103011,1,0.890177216184462,0.894512932533976,0.896256109611157,0.920387570220544,0.965715128586199,0.992063983532382,0.866884699579188,0.872385223157032,0.869558603713968,0.863977034147667,0.86906485908471,0.865663326986847,0.856198432242941,0.862846204266232,0.882409126262724,0.884337125263919,0.882924367698646,0.881522517976302,0.850342736301677,0.902180930517215,0.897004240724105,0.890231513640141,0.887985695806289,0.933115128720513,0.916439542756227,0.96253577198906,0.97400239760758,-0.00886275494382216,-0.120571696376367,-0.0513932480488638,0.142114983892733,0.011752446777855,0.0068796390780082,0.0143339818859451
"sig_3",0.976853812570566,0.890177216184462,1,0.996390958059841,0.994940461507176,0.994957008926918,0.971371819681806,0.916965374001895,0.998151772990268,0.998848070733723,0.99653507155469,0.996896878127913,0.997954431052994,0.9956876852612,0.990919063098851,0.997321027015783,0.99698177153778,0.996082970351618,0.99942013072522,0.997704146027714,0.992388733676697,0.992184316525686,0.996478028289608,0.992429841733865,0.996073643293165,0.982053004776568,0.975153305991029,0.971171065219387,0.942345479103066,-0.0284890020187301,-0.0560051022910976,-0.050887204741183,-0.0262592435371241,-0.0212102077487565,-0.0363869389205579,0.0167012099329476
"sig_4",0.98108829718329,0.894512932533976,0.996390958059841,1,0.991214064728043,0.995695811237956,0.97495032968499,0.919968876512613,0.993548320174093,0.995363240576169,0.997988916509959,0.993963362185535,0.993842036693898,0.995331930307044,0.987865556418985,0.993825274011426,0.996951698012674,0.994521351785033,0.995447598842264,0.994464687355261,0.989131854888158,0.994494236578975,0.995607534257717,0.992032123903871,0.989910287297624,0.983426228124877,0.972186054864958,0.973063226499707,0.94386463625867,-0.0160734441482257,-0.0568149981020288,-0.0630106920443714,-0.0184009178431808,-0.0206846497098518,-0.0290696297699987,0.00902213384462821
"sig_5",0.980360297429341,0.896256109611157,0.994940461507176,0.991214064728043,1,0.987426914314802,0.967423122244061,0.916387692238377,0.988943600518574,0.992104173430722,0.988633596766521,0.985738182028809,0.987717716230193,0.983604424740434,0.974708025223213,0.987366423874302,0.985743231014691,0.983422949548104,0.992071099346151,0.997351149015381,0.977339297619,0.980010555411126,0.985651104781383,0.977307775751848,0.997950182152629,0.969127821795286,0.987143891045973,0.967540831945146,0.937480860525143,-0.0125508006536049,-0.0609757242608521,-0.0573754795427116,-0.0326531402184578,-0.0262772324969085,-0.0440037598069373,0.00992004033939882
"sig_6",0.987781139109958,0.920387570220544,0.994957008926918,0.995695811237956,0.987426914314802,1,0.987955098026014,0.944813193481827,0.990660222860679,0.991330693110207,0.991485711527979,0.990833221503467,0.991581814204391,0.991662193879433,0.986874141040776,0.990072539288891,0.995611935469753,0.995756383378221,0.993966399392154,0.989091294653249,0.986474492288736,0.996264296241056,0.99776823547797,0.995341005626952,0.986834730662828,0.995196533839197,0.970385184421776,0.98641748959379,0.964833490992321,-0.0309653026106521,-0.0649526796543071,-0.0517522862074617,0.0165038293971134,-0.01816328884153,-0.0261681901977479,0.0150885452457569
"sig_7",0.994127255335092,0.965715128586199,0.971371819681806,0.97495032968499,0.967423122244061,0.987955098026014,1,0.979743460273917,0.959820234751028,0.962170461824218,0.961996935990743,0.959089516629227,0.961478765899693,0.961045113499283,0.955200170975619,0.958054141773814,0.970431326033169,0.971205899718771,0.968144047031121,0.963490107478405,0.95149068990199,0.980569118611139,0.977134998413678,0.974521392502673,0.964004824786454,0.991777072249484,0.964688246794102,0.997308814243119,0.985828349219397,-0.0288555314942634,-0.0794209937211639,-0.0536505826516656,0.0607753862306251,-0.0138932235528383,-0.00976826830715176,0.00649853470982708
"sig_8",0.965589625239164,0.992063983532382,0.916965374001895,0.919968876512613,0.916387692238377,0.944813193481827,0.979743460273917,1,0.899010261542024,0.903474512656007,0.89979727796135,0.897466827229015,0.901678410151757,0.898747529609022,0.888615033256866,0.895845487559249,0.913524307861983,0.916383214483907,0.913250638469776,0.908223279926298,0.885512387616291,0.929004018625052,0.928144507668923,0.920524609467374,0.913022298458629,0.958691348479408,0.931626639452485,0.982394016034624,0.994055591456528,-0.032477271281164,-0.102933553981811,-0.0633826726538618,0.138514818888764,-0.00213865252707369,-0.015015187859244,0.00314066476465068
"sig_9",0.963411127509935,0.866884699579188,0.998151772990268,0.993548320174093,0.988943600518574,0.990660222860679,0.959820234751028,0.899010261542024,1,0.999386173401341,0.997046250098053,0.999391374597659,0.999872888303121,0.99813340764128,0.995040101316688,0.999715675020834,0.997709273892445,0.997203445198895,0.999184212666037,0.995235131102404,0.996907249640169,0.990920081664308,0.995882118995763,0.993357013800163,0.992408388751159,0.977577969831906,0.963477163150163,0.960424446083482,0.929510381361936,-0.0376998090323665,-0.0469309990501934,-0.0506893341060981,-0.0378203479801163,-0.0202247171034569,-0.0385926128412905,0.0195622421277665
"sig_10",0.967279188049261,0.872385223157032,0.998848070733723,0.995363240576169,0.992104173430722,0.991330693110207,0.962170461824218,0.903474512656007,0.999386173401341,1,0.99784947267229,0.998495289668943,0.999112278779226,0.997234665142187,0.991746529167568,0.99896555660127,0.997220964320767,0.995974380576368,0.999523639219419,0.997747463667329,0.99444210288115,0.990148464517941,0.995661500046002,0.991259072732235,0.995094564971216,0.976794633476118,0.970801525733667,0.963541980049462,0.932931028345407,-0.0312180624381886,-0.0479581118827209,-0.0551397772955435,-0.0368625618462896,-0.0203023655185389,-0.0418905611086818,0.0165239853787729
"sig_11",0.968221586214039,0.869558603713968,0.99653507155469,0.997988916509959,0.988633596766521,0.991485711527979,0.961996935990743,0.89979727796135,0.997046250098053,0.99784947267229,1,0.997913630759408,0.997237138508206,0.99852010041001,0.99237509618107,0.99770890053253,0.998027086021862,0.995761940750667,0.997050102583273,0.994644014006485,0.994937385096815,0.991805108748338,0.995293944324147,0.992196688182468,0.989354816720066,0.977020743626525,0.964293776875863,0.960988340100626,0.929103399580402,-0.0211352993128233,-0.0491959804672016,-0.0574381526903113,-0.0360952751782548,-0.02090763159857,-0.0395865527244599,0.0147531385585796
"sig_12",0.961892004447128,0.863977034147667,0.996896878127913,0.993963362185535,0.985738182028809,0.990833221503467,0.959089516629227,0.897466827229015,0.999391374597659,0.998495289668943,0.997913630759408,1,0.999702928041121,0.999440428354399,0.996341156496521,0.999768393059275,0.998602573249063,0.998102321112439,0.998398058412043,0.992837854010453,0.99862369189646,0.991580091696492,0.996679070150673,0.994826423175884,0.988690550293595,0.978786985546018,0.957564165218838,0.959286666982349,0.929128432703361,-0.0377655349891129,-0.0468739572040704,-0.0501352778441072,-0.030847533915738,-0.0191673281291178,-0.0409760195868326,0.0202691954662673
"sig_13",0.96400067770507,0.86906485908471,0.997954431052994,0.993842036693898,0.987717716230193,0.991581814204391,0.961478765899693,0.901678410151757,0.999872888303121,0.999112278779226,0.997237138508206,0.999702928041121,1,0.998701060063724,0.995746515703577,0.999780972081972,0.998380503264713,0.998027155936916,0.999194355850365,0.994278066482178,0.997605544514839,0.991994875180988,0.996827094291374,0.994642389421858,0.991119250808831,0.979593598533901,0.961739628449844,0.962074283787617,0.932213466904858,-0.0394265617647952,-0.0475898936647111,-0.0503891417281689,-0.0326198740868273,-0.020054598589496,-0.0388762660167707,0.0196404013301217
"sig_14",0.963347690249773,0.865663326986847,0.9956876852612,0.995331930307044,0.983604424740434,0.991662193879433,0.961045113499283,0.898747529609022,0.99813340764128,0.997234665142187,0.99852010041001,0.999440428354399,0.998701060063724,1,0.996766435864314,0.998990062538624,0.999291880762697,0.998460802786112,0.997088459461039,0.991048923475354,0.998422908658803,0.993778888146631,0.996965023270882,0.996152813924308,0.985710759229798,0.980669531562515,0.95436675952388,0.960236766106601,0.929856756602655,-0.0362276152538831,-0.0475393698914437,-0.0546854248009791,-0.0275414212631991,-0.0193607009344245,-0.0347876021089451,0.0173714478817159
"sig_15",0.954519074482864,0.856198432242941,0.990919063098851,0.987865556418985,0.974708025223213,0.986874141040776,0.955200170975619,0.888615033256866,0.995040101316688,0.991746529167568,0.99237509618107,0.996341156496521,0.995746515703577,0.996766435864314,1,0.995674774145954,0.995748572046093,0.99621242974441,0.992452391326471,0.98244752354866,0.998434752398076,0.992038904339819,0.992601355577861,0.99638882491499,0.977438610664434,0.978701908915711,0.93916098557406,0.951408856695655,0.919195353222254,-0.047936255022351,-0.0464473062140623,-0.050610011765428,-0.0398832605662534,-0.0200162717054534,-0.0201987790194531,0.0206911262146017
