"","V1","V2","V3","V4","V5","V6","V7"
"ec:1.1.1.1",-0.189848610044104,0.957111428785975,-0.762349960056021,-0.186864439702072,-0.00463709019218807,0.139883775478811,0.320963429489994
"ec:1.1.1.146",-0.119955890922984,-0.0601485201236953,-0.065759189295721,-0.059509534604256,-0.248551797232478,0.441610819846215,0.422945985813808
"ec:1.1.1.178",-0.14553115590344,0.0336878065533686,0.164846750755883,-0.0947817840926865,-0.417654002672504,-0.269144662203301,0.454612310946485
"ec:1.1.1.213",-0.119955890922984,-0.0601485201236953,-0.065759189295721,-0.059509534604256,-0.248551797232478,0.441610819846215,0.422945985813808
"ec:1.11.1.6",-0.14553115590344,0.0336878065533686,0.164846750755883,-0.0947817840926865,-0.417654002672504,-0.269144662203301,0.454612310946485
"ec:1.11.1.7",-0.0842940576226801,-0.0753537472927649,-0.587098829213385,0.352963174704252,-1.05225711017425,0.215262721965568,-2.97478983210251
"ec:1.11.1.8",-0.0842940576226801,-0.0753537472927649,-0.587098829213385,0.352963174704252,-1.05225711017425,0.215262721965568,-2.97478983210251
"ec:1.11.1.9",-0.182755207404083,0.297067458048711,0.279354229014104,-0.15127985109742,-0.546103756939149,-1.03018798498072,0.469281543358525
"ec:1.13.11.34",-0.102493679953162,-0.322197457936773,0.314665483650952,-0.0332048923539977,-0.23154616269217,0.680676176664816,0.417807904741795
"ec:1.13.11.52",-0.0966802555035269,-0.414703070931573,0.578991694804242,-0.0281260676200419,-0.17388807697848,0.869453692755516,0.395672730949146
"ec:1.14.13.126",-0.119955890922984,-0.0601485201236953,-0.065759189295721,-0.059509534604256,-0.248551797232478,0.441610819846215,0.422945985813808
"ec:1.14.13.13",-0.102493679953162,-0.322197457936773,0.314665483650952,-0.0332048923539977,-0.23154616269217,0.680676176664816,0.417807904741795
"ec:1.14.13.39",-0.165358809297011,-0.0113851832783297,1.89744078350036,-0.158179712992335,-0.061192254596556,0.190678946198386,0.280341141368712
"ec:1.14.14.1",-0.224794969604665,1.46574140324081,-1.11064534543617,-0.25054189225098,0.117320263327957,-0.0109797467048905,0.269972151328087
"ec:1.14.16.2",-0.132546955382731,0.01476252242125,0.122016436853552,1.06091447654827,0.267200233319228,-0.607068905308732,0.338481558511891
"ec:1.14.99.1",-0.149088826033909,0.35597584133634,-0.149728363522581,-0.118108162419208,-0.068936357998643,0.479524813753214,0.349819533859252
"ec:1.14.99.3",-0.119955890922984,-0.0601485201236953,-0.065759189295721,-0.059509534604256,-0.248551797232478,0.441610819846215,0.422945985813808
"ec:1.2.1.12",-0.14553115590344,0.0336878065533686,0.164846750755883,-0.0947817840926865,-0.417654002672504,-0.269144662203301,0.454612310946485
"ec:1.2.1.5",-0.154902250483544,0.44848145433114,-0.414054574675871,-0.123186987153164,-0.126594443712333,0.290747297662513,0.371954707651901
"ec:1.3.5.1",-0.249840235482215,-0.0709720408637401,-0.0596475595239485,-0.898330317753791,-0.653409496924873,-5.12737827115283,0.363056595795772
"ec:1.4.3.4",-0.0823387033613788,-0.267542413206211,-0.0353213553069985,2.27310880419396,1.08050422357761,-0.183949825636747,0.207681573665257
"ec:2.1.1.37",-0.143253463963357,0.278938129512861,-0.297956112882488,-0.101961169636861,-0.167246894885715,0.341035138390414,0.388951800372537
"ec:2.1.1.43",-0.154902250483544,0.44848145433114,-0.414054574675871,-0.123186987153164,-0.126594443712333,0.290747297662513,0.371954707651901
"ec:2.3.1.5",-0.131604677443171,0.109394804694583,-0.181857651089104,-0.0807353521205585,-0.207899346059096,0.391322979118314,0.405948893093173
"ec:2.4.1.17",-0.329634048286345,2.99163132660531,-2.15553150157662,-0.441574249897703,0.483192323888392,-0.463570313255996,0.116998316842367
"ec:2.4.1.68",-0.119955890922984,-0.0601485201236953,-0.065759189295721,-0.059509534604256,-0.248551797232478,0.441610819846215,0.422945985813808
"ec:2.4.2.4",-0.119955890922984,-0.0601485201236953,-0.065759189295721,-0.059509534604256,-0.248551797232478,0.441610819846215,0.422945985813808
"ec:2.5.1.10",-0.0966802555035269,-0.414703070931573,0.578991694804242,-0.0281260676200419,-0.17388807697848,0.869453692755516,0.395672730949146
"ec:2.5.1.18",-0.364580407846906,3.50026130106015,-2.50382688695677,-0.505251702446611,0.605149677408537,-0.614433835439698,0.0660070386804598
