"","sig_1","sig_2","sig_3","sig_4","sig_5","sig_6","sig_7","sig_8","sig_9","sig_10","sig_11","sig_12","sig_13","sig_14","sig_15","sig_16","sig_17","sig_18","sig_19","sig_20","sig_21","sig_22","sig_23","sig_24","sig_25","sig_26","sig_27","sig_28","sig_29","X.D.","X.E.","X.O.","X.B.","X.C.","X.M.","X.A.","X.T.","X.U.","X.R.","X.F.","X.G.","X.P."
"sig_24",0.465480192183253,0.771858077019511,0.376714865914651,0.286945913423932,0.746565015493173,0.637871453161461,0.958193103084908,0.700835295516672,0.287735370606308,0.282308486286336,0.274075058681107,0.430172723308584,0.414641984746718,0.290408526305595,0.443551273288827,0.312381091698597,0.56011110806965,0.714496394620315,0.717683432184022,0.336135716809709,0.815299733609244,0.86689504706886,0.661644994327264,1.00000000000003,0.906760860885265,0.967205481836555,0.913575086298167,0.890262095466264,0.598654400731099,-0.0240386895518029,-0.0229654997000229,-0.0149921390146119,0.0110005450921577,-0.0145212394491274,-0.035089643031239,-0.0255270752472753,0.083731451742394,0.0270438272233242,-0.0165513931452698,0.00803357791471333,-0.0185490794915759,-0.00659733741590734
"sig_25",0.493020910304255,0.712233271748112,0.464235702230732,0.311032456623189,0.85417477075089,0.624998496772526,0.888681980783371,0.621588082596587,0.390953661879764,0.379186080146369,0.294637081029317,0.505266461709529,0.488964857359128,0.310544644445776,0.541615228579543,0.41686147866871,0.551707506077847,0.622461946138814,0.703285694612242,0.452857897720075,0.876259446153704,0.762290509809992,0.619303566928347,0.906760860885265,1.00000000000002,0.856910115459718,0.942766137840634,0.80904646870914,0.515030675302062,-0.0196922594087435,-0.0210835343421619,-0.0104434184575064,-0.00166555984574128,0.00257225340985147,-0.0322801648004395,-0.0234635221445387,0.0587130011826724,0.0332378508183261,-0.0152656466750377,0.00245945914983823,-0.0170801240341247,-0.005547266134938
"sig_26",0.376284583062449,0.834080602371513,0.267176592729857,0.20872336195241,0.653358169921166,0.556555160903351,0.979671135462672,0.808965353122703,0.183418733240428,0.179327391797331,0.200254451701113,0.317239933238206,0.301873877407575,0.212920203555584,0.332749787558281,0.20626978519855,0.468694836290473,0.626648985066268,0.623794204341527,0.230977310004187,0.715294226190515,0.820289629157913,0.606320319980833,0.967205481836555,0.856910115459718,0.999999999999962,0.915317544803584,0.967356381884085,0.727959787203994,-0.0244576794046626,-0.0264004301981789,-0.0178802187177922,0.0120620763655724,-0.0214576844781775,-0.0402523005564809,-0.0293065519051227,0.0899669736124176,0.0269106008970215,-0.0189303779124891,0.0244564917684147,-0.0213232382833101,-0.00836372126290131
"sig_27",0.292737016881461,0.723648410803379,0.223390851318972,0.12214833947941,0.684445305428411,0.455078961295048,0.924159319855199,0.679071221033386,0.147694283184329,0.136229863511032,0.112617499056695,0.267191194371455,0.249965622537335,0.124204653757043,0.30364432285641,0.172807335669642,0.372850788799045,0.480641434816907,0.540401219327356,0.210595975119698,0.711169789715968,0.733203480059234,0.481871101728308,0.913575086298167,0.942766137840634,0.915317544803584,0.999999999999964,0.912506516610665,0.578413524120191,-0.0169638327522513,-0.022686822108162,-0.0127989963134636,-0.0111668758645882,-0.00459414457798898,-0.0346909013150863,-0.0251879233224376,0.0739291786958513,0.0450260806894307,-0.016393340951826,-0.0119468437103321,-0.0183605126130478,-0.00547824088534533
"sig_28",0.27319056749935,0.848211191692144,0.165839973194206,0.118752632964783,0.570057597597431,0.444023195444078,0.956744382211545,0.862557436529018,0.0918583171777665,0.0867528235868729,0.113426631475031,0.208774481794022,0.19422599127651,0.12231274276374,0.231619878575488,0.11283644273678,0.353079764902837,0.485052189236814,0.505243978233193,0.140125191540452,0.612177877509174,0.723095707899789,0.501572712590426,0.890262095466264,0.80904646870914,0.967356381884085,0.912506516610665,0.999999999999969,0.801559747653098,-0.0206465113211719,-0.0282381161335021,-0.0196890913986704,-0.00478728182635187,-0.0238046793863363,-0.0429713067310909,-0.0312575000961822,0.0960973955345218,0.0282975807327868,-0.020249638345472,0.0381921896031697,-0.0228261254851498,-0.0102379644333367
"sig_29",0.2799381714249,0.896557748529008,0.15458117144978,0.181882580135556,0.387905061169845,0.398961296583835,0.738754008259606,0.979359865626289,0.10004524054996,0.106466963971515,0.181203645491674,0.183646324519323,0.176006950070911,0.185684668352606,0.181636436850203,0.112995190034345,0.318949619837527,0.412101746083274,0.41095084625726,0.126352083939424,0.410954906909696,0.500401589531964,0.467290019976915,0.598654400731099,0.515030675302062,0.727959787203994,0.578413524120191,0.801559747653098,0.999999999999921,-0.0339384351391652,-0.0342550711213728,-0.0360919565981828,0.0469196818705663,-0.0262531744137244,-0.0518889843556823,-0.0379070320364484,0.0918481992777803,-0.0173857035764539,-0.02424502690361,0.141532705654882,-0.0276952377940472,-0.0285542607732308
"X.D.",-0.0139317393170349,-0.0324633785726061,-0.00941046128644635,-0.00847713685516892,-0.0174412865857696,-0.019599629711874,-0.0249701578603959,-0.0341081451443624,-0.00617286965704188,-0.00632802061727286,-0.00789587133996248,-0.0111118735012282,-0.0106460120199894,-0.00857216987445679,-0.00998492852349611,-0.00689374139164822,-0.0164158551726724,-0.0237316889172298,-0.0201540219351172,-0.00744058102726424,-0.0188440853616536,-0.0244557950835991,-0.0207820042805356,-0.0240386895518029,-0.0196922594087435,-0.0244576794046626,-0.0169638327522513,-0.0206465113211719,-0.0339384351391652,1,-0.0625187962205727,-0.0965850071459891,-0.0811633002828422,-0.0853069185113246,-0.0955179017857843,-0.0694207691175439,-0.10163476660857,-0.193608185710605,-0.0451672745361597,-0.101463426149705,-0.0505425048710238,-0.0946223294529031
"X.E.",-0.0124069977005508,-0.0483563931691837,-0.00646241466347059,-0.00495127838571214,-0.0180936128594562,-0.0161859959129309,-0.0323705834815865,-0.0405466115413488,-0.00366269492999249,-0.00366862091336382,-0.00455033318052783,-0.00706964649227614,-0.00706415944963952,-0.0049858227887161,-0.00709677210592229,-0.00421679252389648,-0.0111473712138768,-0.0164843348550822,-0.0150472133234135,-0.00479911992515728,-0.0168041080507243,-0.020945671746381,-0.0156315953263444,-0.0229654997000229,-0.0210835343421619,-0.0264004301981789,-0.022686822108162,-0.0282381161335021,-0.0342550711213728,-0.0625187962205727,0.999999999999973,-0.0556487712426293,-0.0467633441690433,-0.0491507464142413,-0.0550339439124202,-0.0399977244322259,-0.0585582591379874,-0.111550000933638,-0.0260237422203335,-0.0584595389920508,-0.0291207546047571,-0.0545179476790902
"X.O.",-0.0116523581906284,-0.0416496211379389,-0.00759045519311922,-0.00746698771657182,-0.0109400230318389,-0.0158389059719549,-0.0248511424031981,-0.0410408919669005,-0.00534586317470275,-0.00558495376421051,-0.00702565213991537,-0.00871000637586289,-0.00864208037799123,-0.00753544119976199,-0.00609078673762705,-0.0056205168249941,-0.012349384043084,-0.0167556198501358,-0.0147606805358364,-0.00539407842983555,-0.0103850178745013,-0.0175219001030912,-0.0157818152416154,-0.0149921390146119,-0.0104434184575064,-0.0178802187177922,-0.0127989963134636,-0.0196890913986704,-0.0360919565981828,-0.0965850071459891,-0.0556487712426293,0.999999999999921,-0.0722444801208578,-0.0759327671137811,-0.0850216924730933,-0.0617923046131668,-0.0904663912168863,-0.172333094823181,-0.0402039623323603,-0.0903138789073694,-0.0449885228383828,-0.0842245322125549
"X.B.",0.00993021561086967,0.0611060357037053,0.00358396094035983,-0.00381279794330373,0.00373379170545102,0.0187541433305076,0.0171869344680936,0.0519727691565198,-0.00235253249548226,-0.00305973230939728,-0.00556971673456787,0.00699663844379287,0.00505576920096485,-0.00249057056198857,0.00310877647733017,-0.00108178750588798,0.0158001783869166,0.0332517673619265,0.0134359681127865,-0.00279517889511567,0.0114313331932147,0.0706379800160022,0.011456260949463,0.0110005450921577,-0.00166555984574128,0.0120620763655724,-0.0111668758645882,-0.00478728182635187,0.0469196818705663,-0.0811633002828422,-0.0467633441690433,-0.0722444801208578,1.00000000000006,-0.0638085988775395,-0.0714462975223366,-0.0519259409165516,-0.0760216424143638,-0.144816707448851,-0.0337846045029452,-0.0758934817117874,-0.0378052152845386,-0.0707764196653987
