"","x"
"1",0.424493771565584
"2",0.233628261267086
"3",0.190279076195741
"4",0.10686030130993
"5",0.076884435076271
"6",0.0566560857280131
"7",0.045671531187661
"8",0.0292231671607533
"9",0.00374647602928837
"10",0.00289244317377023
"11",0.0017142604652321
"12",0.00137115740152111
"13",2.87395925446758e-12
