"","X.D.","X.E.","X.O.","X.B.","X.C.","X.M.","X.A.","X.T.","X.U.","X.R.","X.F.","X.G.","X.P."
"Q0045",-0.329362604328832,5.26821730806886,-0.293169819833192,-0.246359459134516,-0.258936812964024,-0.289930775850724,-0.21071670413721,-0.308497634321111,-0.587669645633689,-0.137098729185873,-0.307977555139667,-0.153414463432809,-0.287212395563386
"Q0080",-0.329362604328832,5.26821730806886,-0.293169819833192,-0.246359459134516,-0.258936812964024,-0.289930775850724,-0.21071670413721,-0.308497634321111,-0.587669645633689,-0.137098729185873,-0.307977555139667,-0.153414463432809,-0.287212395563386
"Q0085",-0.329362604328832,5.26821730806886,-0.293169819833192,-0.246359459134516,-0.258936812964024,-0.289930775850724,-0.21071670413721,-0.308497634321111,-0.587669645633689,-0.137098729185873,-0.307977555139667,-0.153414463432809,-0.287212395563386
"Q0105",-0.329362604328832,5.26821730806886,-0.293169819833192,-0.246359459134516,-0.258936812964024,-0.289930775850724,-0.21071670413721,-0.308497634321111,-0.587669645633689,-0.137098729185873,-0.307977555139667,-0.153414463432809,-0.287212395563386
"Q0115",-0.329362604328832,-0.189766763660003,-0.293169819833192,-0.246359459134516,-0.258936812964024,-0.289930775850724,-0.21071670413721,3.24064899560699,-0.587669645633689,-0.137098729185873,-0.307977555139667,-0.153414463432809,-0.287212395563386
"Q0120",-0.329362604328832,-0.189766763660003,-0.293169819833192,-0.246359459134516,-0.258936812964024,-0.289930775850724,-0.21071670413721,3.24064899560699,-0.587669645633689,-0.137098729185873,-0.307977555139667,-0.153414463432809,-0.287212395563386
"Q0130",-0.329362604328832,5.26821730806886,-0.293169819833192,-0.246359459134516,-0.258936812964024,-0.289930775850724,-0.21071670413721,-0.308497634321111,-0.587669645633689,-0.137098729185873,-0.307977555139667,-0.153414463432809,-0.287212395563386
"Q0250",-0.329362604328832,5.26821730806886,-0.293169819833192,-0.246359459134516,-0.258936812964024,-0.289930775850724,-0.21071670413721,-0.308497634321111,-0.587669645633689,-0.137098729185873,-0.307977555139667,-0.153414463432809,-0.287212395563386
"Q0275",-0.329362604328832,5.26821730806886,-0.293169819833192,-0.246359459134516,-0.258936812964024,-0.289930775850724,-0.21071670413721,-0.308497634321111,-0.587669645633689,-0.137098729185873,-0.307977555139667,-0.153414463432809,-0.287212395563386
"YAL001C",-0.329362604328832,-0.189766763660003,-0.293169819833192,-0.246359459134516,-0.258936812964024,-0.289930775850724,-0.21071670413721,3.24064899560699,-0.587669645633689,-0.137098729185873,-0.307977555139667,-0.153414463432809,-0.287212395563386
"YAL002W",-0.329362604328832,-0.189766763660003,3.41008003272189,-0.246359459134516,-0.258936812964024,-0.289930775850724,-0.21071670413721,-0.308497634321111,-0.587669645633689,-0.137098729185873,-0.307977555139667,-0.153414463432809,-0.287212395563386
"YAL003W",-0.329362604328832,-0.189766763660003,-0.293169819833192,-0.246359459134516,-0.258936812964024,-0.289930775850724,-0.21071670413721,-0.308497634321111,-0.587669645633689,-0.137098729185873,-0.307977555139667,-0.153414463432809,3.48081268166995
"YAL005C",-0.329362604328832,-0.189766763660003,-0.293169819833192,-0.246359459134516,-0.258936812964024,-0.289930775850724,-0.21071670413721,-0.308497634321111,-0.587669645633689,-0.137098729185873,3.24612145309247,-0.153414463432809,-0.287212395563386
"YAL007C",-0.329362604328832,-0.189766763660003,3.41008003272189,-0.246359459134516,-0.258936812964024,-0.289930775850724,-0.21071670413721,-0.308497634321111,-0.587669645633689,-0.137098729185873,-0.307977555139667,-0.153414463432809,-0.287212395563386
"YAL009W",3.03535536721625,-0.189766763660003,-0.293169819833192,-0.246359459134516,-0.258936812964024,-0.289930775850724,-0.21071670413721,-0.308497634321111,-0.587669645633689,-0.137098729185873,-0.307977555139667,-0.153414463432809,-0.287212395563386
"YAL012W",-0.329362604328832,-0.189766763660003,-0.293169819833192,-0.246359459134516,-0.258936812964024,-0.289930775850724,-0.21071670413721,-0.308497634321111,-0.587669645633689,-0.137098729185873,-0.307977555139667,6.51654691767503,-0.287212395563386
"YAL013W",-0.329362604328832,-0.189766763660003,-0.293169819833192,-0.246359459134516,-0.258936812964024,3.44817671003154,-0.21071670413721,-0.308497634321111,-0.587669645633689,-0.137098729185873,-0.307977555139667,-0.153414463432809,-0.287212395563386
"YAL014C",-0.329362604328832,-0.189766763660003,-0.293169819833192,-0.246359459134516,-0.258936812964024,-0.289930775850724,-0.21071670413721,-0.308497634321111,1.70118119293336,-0.137098729185873,-0.307977555139667,-0.153414463432809,-0.287212395563386
"YAL015C",3.03535536721625,-0.189766763660003,-0.293169819833192,-0.246359459134516,-0.258936812964024,-0.289930775850724,-0.21071670413721,-0.308497634321111,-0.587669645633689,-0.137098729185873,-0.307977555139667,-0.153414463432809,-0.287212395563386
"YAL016W",-0.329362604328832,-0.189766763660003,-0.293169819833192,-0.246359459134516,3.86091316011038,-0.289930775850724,-0.21071670413721,-0.308497634321111,-0.587669645633689,-0.137098729185873,-0.307977555139667,-0.153414463432809,-0.287212395563386
"YAL017W",-0.329362604328832,-0.189766763660003,-0.293169819833192,-0.246359459134516,-0.258936812964024,-0.289930775850724,-0.21071670413721,-0.308497634321111,1.70118119293336,-0.137098729185873,-0.307977555139667,-0.153414463432809,-0.287212395563386
"YAL021C",-0.329362604328832,-0.189766763660003,-0.293169819833192,4.05802380116435,-0.258936812964024,-0.289930775850724,-0.21071670413721,-0.308497634321111,-0.587669645633689,-0.137098729185873,-0.307977555139667,-0.153414463432809,-0.287212395563386
