"","V1","V2","V3","V4","V5","V6"
"sig_1",-0.277846524732433,0.0443669145655266,0.0267733456213229,-0.0219105419558812,-0.00436055634996395,0.0044255501696403
"sig_2",-0.428740009035669,0.0308585396029849,0.0053376963709874,-0.0230705257056106,-0.00120574079949205,0.00368901940826877
"sig_3",-0.239654338433147,0.0309699541949523,-0.00306909334169581,-0.024586882543006,0.000931906326098016,0.00198292220309598
"sig_4",-0.165464517257523,0.0510206548448998,0.0424682453159781,-0.0123080578579929,-0.00806918763416052,0.00515272008082507
"sig_5",-0.290538817459942,0.0179159470886049,-0.00434734645194049,-0.0282368860044328,0.00160643114697339,0.00240240636901695
"sig_6",-0.290337040642831,0.0443249955249772,0.0138962679608423,-0.0259230280772202,-0.00256237774225129,0.00391552638646747
"sig_7",-0.334435578190389,0.0381692765333675,0.00609585567097218,-0.0272379851097137,-0.00198139803510238,0.00375078445737696
"sig_8",-0.41991838625043,0.0312394887746813,-0.012677015375224,-0.0225159897491096,0.000186926588772016,0.00388871266482987
"sig_9",-0.183926928626159,0.0233811842207575,-0.00697948320115401,-0.0199927686890026,0.00129038127814703,0.00120899059353112
"sig_10",-0.203464467493513,0.033450912889081,-0.00274540846521286,-0.0213750875198897,0.00114478853180948,0.00175115550810687
"sig_11",-0.0965947084788155,0.0514322756971302,0.0501418832623379,-0.00420236141788794,-0.00964094597430125,0.00502867009845167
"sig_12",-0.238062417599643,0.0427570234381222,-0.00192629861345429,-0.0240630459779126,0.00136404256437668,0.00207438102642487
"sig_13",-0.218418870452376,0.0256527706623324,-0.00845868760729045,-0.0233304645161966,0.00164471725443157,0.00139182402985781
"sig_14",-0.196616856198866,0.051216938716679,0.0344355632630529,-0.0165474292118836,-0.00682092486888414,0.00476798069032708
"sig_15",-0.236473455811969,0.023167000237439,-0.00819761037549268,-0.0258630232369036,0.000979378249759913,0.0017269678837487
"sig_16",-0.22904183061933,0.0228549627987404,-0.00465428791191921,-0.0247824083562635,0.000170275933224163,0.00190696743672609
"sig_17",-0.243555294415192,0.0525054748937501,0.0209547858116397,-0.022128520859842,-0.00388223256415139,0.00403125993954463
"sig_18",-0.279297371361476,0.0361663331411632,-0.000595680144668648,-0.0282157813316934,-9.7755081629619e-05,0.00263367590632313
"sig_19",-0.250273683331278,0.0305180453085436,-0.00634574306561256,-0.0261897600650779,0.0012306936368438,0.00188189899726025
"sig_20",-0.208807651995489,-0.000243702088886116,-0.00629119524777777,-0.0229444191001604,-0.000405782964506149,0.00168256286594785
"sig_21",-0.272297491089592,0.0251981116601005,-0.00749747271011481,-0.0282030289973772,0.000943351771227935,0.00202672380933437
"sig_22",-0.237344893722709,0.0458407348311041,0.0179801210683441,-0.0218469325980474,-0.00405774311041995,0.00378955383105754
"sig_23",-0.300600133577506,0.0404363127692391,-0.000459774602536599,-0.0285693141159945,-4.94746981745047e-06,0.00285192501881569
"sig_24",-0.303876951651477,0.0408844873282954,0.00108821255703891,-0.0295673101305592,-0.00046304972980948,0.00302445585232289
"sig_25",-0.295497295209137,0.0223358773422656,-0.00686792933812781,-0.0288442128746614,0.00152272095287915,0.00225653767648347
"sig_26",-0.319686555507052,0.0364997429919722,-0.00555783047053717,-0.0291626413879438,0.000471781281591469,0.00264863344824489
"sig_27",-0.343125388890848,0.0342683602588037,-0.00713436150261974,-0.0329703841503435,0.000403341226513665,0.00271532077487716
"sig_28",-0.361109033224359,0.0323069639240175,-0.0131211866998613,-0.0302869605273517,0.000925419728962013,0.00251256845419505
"sig_29",-0.386002359016518,0.0374226152452585,-0.0248224278290302,-0.0170940112644133,0.0010245559952442,0.00184589797029761
