"","sig_1","sig_2","sig_3","sig_4","sig_5","sig_6","sig_7","sig_8","sig_9","sig_10","sig_11","sig_12","sig_13","sig_14","sig_15","sig_16","sig_17","sig_21","sig_23","sig_28"
"YAL020C",-0.0698033257947708,-0.0853224707654277,-0.0391544547974732,-0.0386353001813098,-0.0405553689962846,-0.0485895419286027,-0.0432370215226162,-0.0286651824856408,-0.0303407188620947,-0.0301472421180363,-0.0326921506376861,-0.0286651824856408,-0.0384710350030127,-0.0318558594308617,-0.0286651824856408,-0.0306364358619592,-0.0404357168021832,-0.0286651824856408,-0.0286651824856408,-0.0286651824856408
"YAL021C",-0.0698033257947708,-0.0853224707654277,-0.0391544547974732,-0.0386353001813098,-0.0405553689962846,-0.0485895419286027,-0.0432370215226162,-0.0286651824856408,-0.0303407188620947,-0.0301472421180363,-0.0326921506376861,-0.0286651824856408,-0.0384710350030127,-0.0318558594308617,-0.0286651824856408,-0.0306364358619592,-0.0404357168021832,-0.0286651824856408,-0.0286651824856408,-0.0286651824856408
"YAL024C",-0.0698033257947708,-0.0853224707654277,-0.0391544547974732,-0.0386353001813098,-0.0405553689962846,-0.0485895419286027,-0.0432370215226162,-0.0286651824856408,-0.0303407188620947,-0.0301472421180363,-0.0326921506376861,-0.0286651824856408,-0.0384710350030127,-0.0318558594308617,-0.0286651824856408,-0.0306364358619592,-0.0404357168021832,-0.0286651824856408,-0.0286651824856408,-0.0286651824856408
"YAL032C",-0.0698033257947708,-0.0853224707654277,-0.0391544547974732,-0.0386353001813098,-0.0405553689962846,-0.0485895419286027,-0.0432370215226162,-0.0286651824856408,-0.0303407188620947,-0.0301472421180363,-0.0326921506376861,-0.0286651824856408,-0.0384710350030127,-0.0318558594308617,-0.0286651824856408,-0.0306364358619592,-0.0404357168021832,-0.0286651824856408,-0.0286651824856408,-0.0286651824856408
"YAL036C",-0.0698033257947708,-0.0853224707654277,-0.0391544547974732,-0.0386353001813098,-0.0405553689962846,-0.0485895419286027,-0.0432370215226162,-0.0286651824856408,-0.0303407188620947,-0.0301472421180363,-0.0326921506376861,-0.0286651824856408,-0.0384710350030127,-0.0318558594308617,-0.0286651824856408,-0.0306364358619592,-0.0404357168021832,-0.0286651824856408,-0.0286651824856408,-0.0286651824856408
"YAL040C",-0.0698033257947708,-0.0853224707654277,-0.0391544547974732,-0.0386353001813098,-0.0405553689962846,-0.0485895419286027,-0.0432370215226162,-0.0286651824856408,-0.0303407188620947,-0.0301472421180363,-0.0326921506376861,-0.0286651824856408,-0.0384710350030127,-0.0318558594308617,-0.0286651824856408,-0.0306364358619592,-0.0404357168021832,-0.0286651824856408,-0.0286651824856408,-0.0286651824856408
"YAL041W",-0.0698033257947708,-0.0853224707654277,-0.0391544547974732,-0.0386353001813098,-0.0405553689962846,-0.0485895419286027,-0.0432370215226162,-0.0286651824856408,-0.0303407188620947,-0.0301472421180363,-0.0326921506376861,-0.0286651824856408,-0.0384710350030127,-0.0318558594308617,-0.0286651824856408,-0.0306364358619592,-0.0404357168021832,-0.0286651824856408,-0.0286651824856408,-0.0286651824856408
"YAL054C",-0.0698033257947708,-0.0853224707654277,-0.0391544547974732,-0.0386353001813098,-0.0405553689962846,-0.0485895419286027,-0.0432370215226162,-0.0286651824856408,-0.0303407188620947,-0.0301472421180363,-0.0326921506376861,-0.0286651824856408,-0.0384710350030127,-0.0318558594308617,-0.0286651824856408,-0.0306364358619592,-0.0404357168021832,-0.0286651824856408,-0.0286651824856408,-0.0286651824856408
"YAL060W",-0.0698033257947708,-0.0853224707654277,-0.0391544547974732,-0.0386353001813098,-0.0405553689962846,-0.0485895419286027,-0.0432370215226162,-0.0286651824856408,-0.0303407188620947,-0.0301472421180363,-0.0326921506376861,-0.0286651824856408,-0.0384710350030127,-0.0318558594308617,-0.0286651824856408,-0.0306364358619592,-0.0404357168021832,-0.0286651824856408,-0.0286651824856408,-0.0286651824856408
"YAL062W",-0.0698033257947708,-0.0853224707654277,-0.0391544547974732,-0.0386353001813098,-0.0405553689962846,-0.0485895419286027,-0.0432370215226162,-0.0286651824856408,-0.0303407188620947,-0.0301472421180363,-0.0326921506376861,-0.0286651824856408,-0.0384710350030127,-0.0318558594308617,-0.0286651824856408,-0.0306364358619592,-0.0404357168021832,-0.0286651824856408,-0.0286651824856408,-0.0286651824856408
