"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"sig_1",-0.0881829559861248,-0.0537625022673222,-0.0449163213337992,0.166823686657611,-0.0478630204769225,0.178753324194793,-0.132202510430335,-0.035512214213958,-0.163128569220616,-0.554998282079927,0.282311630647607,0.316686221768302,-0.138708520935681
"sig_2",-0.203425898500565,-0.0856674232738055,0.165693121047838,-0.082592028982107,-0.204188159320435,-0.221011524999119,0.0410989416029108,-0.0838818867490246,-0.427509684394232,0.0903623111507568,0.119325881864798,0.131934011506909,-0.352454350626189
"sig_3",-0.0527235688715364,-0.230362262986906,-0.433698872081033,-0.126138839731494,0.0785960245216881,0.471210453233165,-0.00908364295561803,0.294171374302732,0.0536374283500163,0.251712136780001,-0.0405989406262684,0.351163582119506,0.0648345485312295
"sig_4",0.140053560264027,-0.154332830181062,-0.0169974216512532,0.280036528763838,-0.499810528586661,-0.620851526448245,-0.0973988198168069,0.18086378820632,0.0318162195061084,-0.131990818226309,-0.578622389727906,-0.0106271581097639,0.112301557070444
"sig_5",-0.0984902483816751,-0.0157269607044582,-0.0512036202928745,0.402111592130163,-0.0872973862221658,0.191289013993501,0.0942504437951563,0.0766883843435151,-0.0403478908267138,0.306641421979235,-0.0271847532292265,0.132109241266658,-0.379361977341851
"sig_6",0.0459980318973035,-0.331440375010616,0.100034484957076,-0.200577896953373,0.35381266721026,0.0124600672323929,-0.299744398074934,-0.489896357597388,-0.308293922291385,0.42037322294889,-0.184137656355206,-0.0319581383326607,-0.363381696162256
"sig_7",-0.0499457062504787,-0.395770316377974,0.0445858521004909,-0.54859616099224,-0.244331434867779,0.0625159507429582,-0.159503799355036,0.0652339871957557,0.0267654185159537,-0.19386306940717,0.179189006448499,-0.541706065003272,0.620548942968731
"sig_8",-0.208871899120063,-0.0482073922184137,-0.303604689379029,-0.180048559450318,0.51506835577643,-0.482499918757368,-0.0679469321653221,0.641210816916676,0.621515745231719,-0.268156911531707,0.0105648094360343,0.455960473706819,-0.178184726246013
"sig_9",-0.0709764892988492,0.15028830028493,-0.59438993580374,-0.172467670583334,-0.166263353145984,-0.0362314574597118,-0.144029404095881,0.0986051019967824,0.0103119254831738,0.385848619420384,-0.0885234536013612,-0.336243526671371,0.174362559086898
"sig_10",-0.0899638289418677,-0.13691183888672,0.0345099319545669,0.236597558536328,-0.474994721024654,-0.344737842197199,-0.25620983849738,0.109251420235186,-0.212180932948793,-0.0233844651473773,0.375555567220856,0.172399440589561,-0.208245249771919
"sig_11",0.00814515518729441,0.00687346671141072,0.174558153746672,-0.0788703016502728,0.118142785467038,0.733571511764003,-0.486666829178479,0.163303178177017,0.0162621675853512,0.14310884173172,-0.144389756711893,-0.0989575548130555,-0.0930528486032734
"sig_12",-0.0654324745527709,-0.13744253226457,0.144556347926434,-0.186604764306813,-0.479755124656133,0.0115781220537362,-0.0185155686364603,-0.229927682996455,0.592693165059002,-0.0836705462612214,0.209453012775317,-0.507209930772448,-0.434790431243045
"sig_13",-0.24736494581196,0.0451187465386828,0.0621179632099209,0.0350382767715845,-0.093834732614561,0.130966318645981,0.53856704714075,-0.0869155547016719,-0.15513845519695,-0.316217090709983,-0.227026962650123,-0.125578374419792,0.103727441060148
"sig_14",-0.269607249878138,-0.350465920052636,0.0414029508429723,0.201923486753956,0.579214988110298,0.260806314202394,0.524985706454038,-0.21623640069887,0.350587083506318,-0.513377002846261,0.317176587974335,-0.121206888801526,0.238945159103475
