ID,sig_0,sig_1,sig_2,sig_3,sig_4,sig_5,sig_6,sig_7,sig_8,sig_9,sig_10,sig_11,sig_12,sig_13,sig_14,sig_15,sig_16,sig_17,sig_18,sig_19,sig_20,sig_21,sig_22,sig_23,sig_24,sig_25,sig_26,sig_27,sig_28,sig_29,sig_30,sig_31,sig_32,sig_33,sig_34,sig_35,sig_36,sig_37,sig_38,sig_39,sig_40,sig_41,sig_42,sig_43,sig_44,sig_45,sig_46,sig_47,sig_48,sig_49,sig_50,sig_51,sig_52,sig_53,sig_54,sig_55,sig_56,sig_57,sig_58,sig_59,sig_60,sig_61,sig_62,sig_63,sig_64,sig_65,sig_66,sig_67,sig_68,sig_69,sig_70,sig_71,sig_72
CHN,24,296,121,155,177,1509,3372,252,78,195,3181,697,981,512,563,134,1030,1899,142,1862,11779,2937,31374,241,272,3719,10412,40,892,690,1764,3597,34928,1209,41,6,121,1250,286,290,18685,8884,1399,1098,383,28,476,3081,2387,17,16,177,31,462,5440,511,68,11007,1654,836,3801,480,17,228,47,724,6522,1967,417,21,2372,1421,1340,
SUN,24,283,108,168,192,1285,3228,172,39,168,3258,620,944,620,612,80,1167,1375,250,2029,10217,1644,30064,144,312,3243,7940,47,698,900,2053,3282,35259,682,26,7,65,486,198,238,18140,9825,971,1085,529,45,586,2396,3516,5,4,74,31,233,5066,701,70,11433,1242,859,3999,754,10,49,55,564,6681,2364,262,63,2373,1729,1447,
DDR,12,118,37,29,1643,446,752,48,74,606,412,88,146,50,34,1291,4423,65,22179,1750,3015,567,6263,29,8511,127,1082,3603,1938,2243,229,3913,3801,99,24,50,1972,126,149,2822,1208,408,102,1093,5,3132,2511,310,568,4,38,740,18,73,57,16,1983,496,79,1617,227,31,137,115,21,502,160,71,153,6,114,36,21,
AUS,21,280,67,143,303,732,3404,99,15,323,3130,293,854,390,548,220,1178,269,554,3548,5758,993,31966,70,861,4011,4668,114,912,1760,318,5709,35737,308,5,50,101,90,46,881,16449,7102,570,2020,25,99,696,1181,1546,1,0,43,66,47,5022,316,166,11851,656,1343,2571,141,9,14,29,1062,6337,1168,135,34,1951,1374,1323,
ESP,27,250,160,191,176,1177,2461,580,37,169,3707,666,771,928,751,144,1190,639,153,1972,6428,4280,20741,1405,285,4203,9316,56,906,1664,371,2470,36471,1720,9,36,35,325,301,201,14260,16684,2415,1792,44,69,394,1448,2678,5,5,45,53,218,3246,2445,95,13791,1307,695,4413,153,15,36,66,463,7484,3311,253,3,1796,2791,1956,
SWE,21,273,48,162,240,357,3136,70,10,241,3505,127,789,448,685,284,644,443,306,2762,727,641,29129,48,572,5407,1011,102,338,1704,321,4285,37544,152,25,44,23,77,19,428,16328,8702,187,1970,28,83,513,156,1572,0,0,42,116,55,4022,577,105,14688,85,1056,1871,90,3,8,19,704,7634,1061,81,10,1720,1902,1845,
BRA,18,307,52,101,360,725,4104,78,13,413,2512,196,978,206,336,395,1238,86,408,5227,7006,940,40311,67,892,3586,4093,284,926,1379,21,8875,29291,199,21,73,57,122,50,974,19729,4918,286,1898,0,250,813,1490,452,0,0,41,102,19,6810,218,318,6789,470,1476,2034,11,3,21,10,1337,5080,538,87,0,2283,526,745,
IRL,9,321,0,36,341,0,5561,0,0,765,824,0,872,0,84,343,0,0,349,7520,0,0,64174,0,2122,1847,0,195,0,288,0,19150,7979,0,0,119,0,0,0,3521,18113,0,0,322,0,258,646,0,0,0,0,0,8,0,9198,0,793,1709,0,1132,0,0,0,0,0,2333,1175,0,0,0,1643,0,126,
SGP,19,271,53,118,415,561,3494,76,16,529,2785,177,750,319,397,458,1392,165,1070,3932,4893,722,32884,60,1423,2760,2994,316,1102,2172,134,9441,34443,165,5,57,116,79,44,1992,13783,6355,327,3176,12,309,773,579,1277,1,0,71,66,53,4846,319,595,8923,251,1915,2255,98,17,9,30,1612,5075,851,127,14,1526,933,846,
IDN,11,291,1,54,550,13,4419,0,7,744,1423,0,730,9,156,647,29,39,2753,5731,25,0,49600,0,3327,2875,0,495,11,924,0,14186,17154,0,3,83,57,69,0,4239,16184,159,0,1120,0,536,970,0,66,9,0,22,58,0,5370,0,1115,3741,0,2349,51,0,12,0,9,1957,2436,0,54,0,1325,36,294,
MYS,11,271,3,52,633,31,4136,0,14,789,1431,2,610,23,140,768,154,52,3678,5434,65,0,46083,0,3188,2482,12,817,27,1085,7,15258,19156,0,9,76,148,104,0,4636,13235,493,0,1558,0,736,1030,3,100,10,0,59,49,11,4390,0,1483,3639,0,2560,136,1,28,4,19,1815,2159,14,88,0,1004,77,238,
DNK,15,310,17,88,369,337,4544,3,2,474,2151,90,924,32,330,541,443,24,532,5536,4617,27,48230,0,1312,3600,2170,265,505,1358,6,10979,25103,2,1,108,9,9,2,1431,19451,711,32,1762,0,227,810,925,145,0,0,10,61,2,7218,0,417,7330,330,1593,144,1,0,0,1,1383,4709,20,21,0,2064,155,825,
VEN,7,259,0,21,426,0,4689,0,0,946,590,0,482,0,35,424,0,0,1854,6034,0,0,56535,0,3570,1264,0,275,0,257,0,21106,7414,0,0,100,0,0,0,6516,10546,0,0,375,0,582,435,0,0,0,0,0,9,0,5087,0,1965,805,0,1411,0,0,0,0,0,1945,670,0,0,0,580,0,35,
SAU,18,310,28,125,250,330,3921,15,31,261,2890,79,994,245,477,284,419,599,190,3498,1343,169,39093,2,444,5359,836,221,179,1261,284,5329,31588,27,15,37,94,293,35,488,21261,4560,60,1340,25,152,556,199,1153,7,3,83,71,82,6079,103,150,10317,54,1015,1835,73,11,38,41,899,6249,603,253,11,2359,955,1147,
THA,12,311,3,63,353,71,4820,0,7,665,1648,1,844,28,191,618,77,58,680,5346,683,0,52696,0,1679,3443,15,245,167,1048,0,14522,19593,0,7,93,38,93,0,2986,18367,368,0,1580,0,274,488,21,286,5,0,19,49,1,7137,0,809,4402,0,1575,366,0,10,0,13,1977,3123,9,56,2,1606,113,371,
