ID,sig_0,sig_1,sig_2,sig_3,sig_4,sig_5,sig_6,sig_7,sig_8,sig_9,sig_10,sig_11,sig_12,sig_13,sig_14,sig_15,sig_16,sig_17,sig_18,sig_19,sig_20,sig_21,sig_22,sig_23,sig_24,sig_25,sig_26,sig_27,sig_28,sig_29,sig_30,sig_31,sig_32,sig_33,sig_34,sig_35,sig_36,sig_37,sig_38,sig_39,sig_40,sig_41,sig_42,sig_43,sig_44,sig_45,sig_46,sig_47,sig_48,sig_49,sig_50,sig_51,sig_52,sig_53,sig_54,sig_55,sig_56,sig_57,sig_58,sig_59,sig_60,sig_61,sig_62,sig_63,sig_64,sig_65,sig_66,sig_67,sig_68,sig_69,sig_70,sig_71,sig_72
USA,77,64,2434,492,14,2567,111,46785,28,11,1983,17680,129,6835,1850,1,629,243,3,23,3140,55163,215,631847,7,739,55198,0,537,277,3322,11,4674,341313,0,0,14,37,1316,2,525,28401,196573,169,6876,0,34,4018,6206,1,11,10,3,453,29,55503,0,11718,46000,46,3030,13867,8,43,91,29,1709,39310,121,567,211,17043,4376
CAN,24,383,105,171,365,1464,5169,263,71,311,4575,427,1314,667,667,435,1960,2671,329,5822,10181,3881,56221,417,451,8429,8128,73,942,2280,997,8015,57393,705,88,126,121,1186,377,512,32877,14891,1252,2692,42,91,711,1933,3232,51,6,114,268,421,8574,1193,87,16032,787,1665,6051,232,18,68,147,852,10339,2060,463,15,3197,2266,1657,
JPN,58,130,1224,429,112,2689,627,15417,36,82,4081,8527,284,5239,1673,79,3212,362,50,446,7157,35863,3015,133513,78,2126,50494,66,1643,2041,2764,476,24694,101089,31,17,47,146,1133,48,3182,54790,74654,2172,3898,65,156,3277,7887,7,19,47,90,430,273,37051,51,21906,19173,436,5699,8181,4,16,190,184,5127,28026,174,350,479,14262,4073,
DEU,61,87,1344,486,3,1820,366,17595,19,1,3130,9995,116,6521,1879,0,119,326,0,9,3482,25880,1786,156633,0,1522,34208,0,6,52,3396,20,17090,127265,0,0,2,93,459,0,1203,47918,88489,51,6831,0,1,1385,7675,2,1,0,0,453,44,50959,0,19694,19384,3,2804,12557,0,20,90,0,2063,37612,76,579,140,17099,4447,
FRA,62,112,1432,459,14,2823,566,19687,30,3,3539,10541,205,5777,1815,0,505,673,0,25,8560,42441,3241,186111,0,1857,53892,0,66,208,4390,31,23111,139062,0,0,18,80,946,0,2371,47746,97629,90,5166,0,40,3224,8658,3,12,3,0,480,199,41336,0,21085,25118,22,4348,10039,0,39,120,1,3530,32441,140,537,293,16049,4357,
MEX,11,360,5,50,717,64,6959,1,9,1122,1674,5,922,32,127,1158,470,13,3261,11684,318,11,91186,0,4294,3094,70,525,74,978,0,31978,25735,0,7,379,114,61,5,7365,23300,1132,2,2220,0,564,1125,30,51,1,0,68,31,4,10087,6,1413,3329,2,3100,359,0,5,6,0,2874,2830,30,60,0,1651,88,202,
NLD,40,249,455,325,180,2507,2011,3110,122,97,5460,2499,750,2962,1309,110,2774,2228,143,1339,8006,19099,15347,14036,118,5346,21756,4,646,1900,3847,1612,51542,15099,73,13,188,1016,1782,93,13867,48420,13849,1867,1184,7,426,2725,7654,20,56,98,98,1282,1979,14879,4,25354,3688,678,9668,2764,20,218,267,227,9519,13239,701,169,1656,9213,3270,
SAU,41,309,564,256,255,4456,2874,4563,246,147,5138,3134,1137,2039,924,279,4459,2769,122,2452,26574,36802,23675,25199,159,4312,47096,125,1767,1897,3106,2533,54592,22320,126,66,429,2518,4187,157,21112,39893,18702,2053,850,74,583,9726,4809,85,286,211,121,1799,4997,9256,76,16977,7296,1115,12438,1266,11,645,134,356,10116,9228,1326,38,2922,4936,2179,
ITA,55,125,1036,449,48,2211,684,11522,45,29,3945,7381,252,5580,1752,11,1351,451,44,153,6334,26677,3984,85814,35,1847,34381,0,449,607,4282,257,26550,79349,7,0,81,189,1170,21,3317,53320,57696,737,4939,0,123,2041,8522,3,34,30,3,627,270,39494,0,22578,13107,176,5313,9959,5,59,129,82,4094,30727,239,510,457,15285,4175,
GBR,56,122,1085,455,12,2206,608,12358,23,4,4020,7958,219,5600,1804,0,312,745,0,58,4903,27308,3111,94196,0,2533,36853,0,42,240,4394,49,25338,87830,4,0,7,90,566,0,2733,55402,63640,142,5220,0,18,2217,8478,0,3,2,10,403,188,38890,0,23970,15481,28,4420,10160,0,24,107,3,3984,31191,109,550,321,15794,4338,
BEL,32,291,238,258,337,1593,3021,1137,62,275,5644,992,830,1745,1086,378,3291,1440,386,3315,6134,8962,26216,3528,464,7526,11181,182,923,3603,1263,5291,61777,3930,94,56,135,614,658,441,18638,36168,4282,4601,159,117,535,1144,5419,23,27,112,206,446,3221,6719,159,25057,1486,1501,6690,681,7,26,266,687,11301,5888,357,75,1675,6364,2848,
