"","sig_1","sig_2","sig_3","sig_4","sig_5","sig_6","sig_7","sig_8","sig_9","sig_10","sig_11","sig_12","sig_13","sig_14","sig_15","sig_16","sig_17","sig_18","sig_19","sig_20","sig_21","sig_22","sig_23","sig_24","sig_25","sig_26","sig_27","sig_28","sig_29","protein.metabolism","death","other.metabolic.processes","signal.transduction","stress.response","other.biological.processes","cell.adhesion","DNA.metabolism","cell.cell.signaling","developmental.processes","cell.organization.and.biogenesis","cell.cycle.and.proliferation","RNA.metabolism","transport"
"sig_28",-0.0806093003033671,0.0340644800146441,-0.0397193179388794,-0.0260261745106126,0.0362078183617281,0.150099778084316,0.43621934845495,0.423827223253362,0.00196077927005076,0.00572212551909833,-0.00424464998195173,0.17576271303649,0.169304178964492,0.164355154191396,0.0424333342920094,0.0713317094707489,0.440211452553271,0.233755178979896,0.40294294402623,0.0766397986665971,0.199194778745271,0.5314331125028,0.60840135166235,0.537498858293037,0.336882320715913,0.819583538603975,0.566964090959693,0.99999999999997,0.546614649221572,0.167246124038377,-0.0106047862128463,-0.0450953462380578,-0.0339117117226896,-0.00993452590685723,-0.0261874386968382,-0.0238998671476485,0.0245832285724821,-0.0252279810328921,-0.0397160481158401,0.00445428064565308,0.0132421779499287,0.0370504421716326,-0.0456673080467973
"sig_29",-0.0558845617884925,0.0418232916260073,-0.0448097732468583,-0.0394440876720915,-0.0073502939513782,0.0841115679974707,0.153980335448411,0.56737300834082,-0.0306047664205034,-0.0323958766167911,-0.0232371135253123,0.0489451374092834,0.0797633332116371,0.0473090915615972,-0.00910339749027025,-0.0092355402732469,0.156953099689748,0.094637613105158,0.157104486929183,0.00828230933682118,0.0540271550085307,0.19665054520202,0.544442404374717,0.19978957013639,0.106435975312296,0.48959804967104,0.18695857427874,0.546614649221572,1.00000000000002,0.101576865197168,-0.00648416031293628,-0.0293462395657016,-0.0250757276582989,0.00207937199807981,-0.0138298373271701,-0.0144040997769811,0.020175792966243,-0.0118872146038118,-0.0264940752938075,0.00170718423042813,-0.000699414898455549,0.0229517176801386,-0.0257503051605995
"protein.metabolism",-0.0193097705780335,-0.00900311408939221,0.000127177766293899,0.00602728708904462,0.00907389056829049,0.0186624382435806,0.0195303789647414,0.0410626511431791,0.0323579286313153,0.0389066018722568,0.0284169517530099,0.0716439113211807,0.0689371909707972,0.0688724545416823,0.0319368010002967,0.0650865536202678,0.130842327966403,0.0591667222698436,0.105590653137162,0.0495391233160235,0.0849678274136943,0.152940013498896,0.139354351822345,0.140450136235005,0.0977217840269249,0.174610793231643,0.101179301000306,0.167246124038377,0.101576865197168,1.0000000000001,-0.0736652104853776,-0.122509579177287,-0.0830564817294301,-0.0655497931358052,-0.147804765446791,-0.0319503039650358,-0.0358916535697174,-0.0385381975944863,-0.0880954667328175,-0.117815530830065,-0.0517116656280774,-0.109516706292421,-0.0941471188376667
"death",0.00382127005972519,0.000470182560985253,0.0226334191079824,0.0364032779335085,0.00747439507425849,0.0246928012597534,0.0112240852399975,0.00460882132217341,0.0724696411171783,0.0825903223281626,0.0603470118647187,0.0644805898612219,0.051684571491972,0.0618871162121918,0.0327867350401626,0.0460968199998959,0.035184562479671,0.0232182478859259,0.0280438176764364,0.0073814698887837,0.0314816785671866,0.00534425840735118,0.0128202727059672,0.0126872040654134,0.0223078987993298,-0.00353418139538956,-0.0151053589677519,-0.0106047862128463,-0.00648416031293628,-0.0736652104853776,1.00000000000022,-0.0897760113139815,-0.0608644621385302,-0.0480354190236386,-0.108312528572206,-0.0234134413775012,-0.0263016942723303,-0.0282411031569755,-0.0645570711386652,-0.0863361746876721,-0.037894727168834,-0.080254728889026,-0.068991770788137
"other.metabolic.processes",0.000184103245219787,-0.00981764708740708,-0.0064886413589417,-0.043177926108373,-0.00899653297858837,-0.042933192174727,-0.0370952484035372,-0.026464051205921,-0.0162381633550776,-0.0455029674638526,-0.0540083770235982,-0.042752658534221,-0.0313538495330203,-0.0694402021286395,-0.00990629988241983,-0.0175082964393452,-0.0613690231512454,-0.02700644060323,-0.0370964587590255,-0.00808326001761875,-0.0138780352387915,-0.0552134081024392,-0.0453521679863602,-0.0454760088836951,-0.00896764330128614,-0.0485251581547377,-0.0319944039062534,-0.0450953462380578,-0.0293462395657016,-0.122509579177287,-0.0897760113139815,0.999999999999741,-0.101221181536186,-0.0798857280311033,-0.180130107652967,-0.0389379305556884,-0.0437412650520214,-0.0469666161335269,-0.107362207560442,-0.14358213815006,-0.0630211608424149,-0.133468335981109,-0.114737373995939
"signal.transduction",0.00765285371987146,0.00894281209778933,-0.0108412948878525,-0.0075485124748232,-0.011159791496348,0.0130838164348501,0.00376492196212358,-0.0150728919670633,-0.0474375561301657,-0.0365888107911253,-0.0173598110330597,-0.0400158615016974,-0.0381823484336461,-0.0204069458283193,-0.0283461636121452,-0.0425311287586604,-0.0288665605600929,-0.0189631444603468,-0.0335407337861908,-0.0245868460656734,-0.0360693925134762,-0.0251486777626372,-0.0307246771659405,-0.0212756047510695,-0.028362687650136,-0.0267204109571181,-0.00901372179145847,-0.0339117117226896,-0.0250757276582989,-0.0830564817294301,-0.0608644621385302,-0.101221181536186,1.00000000000018,-0.0541592547718735,-0.122120842269422,-0.0263983236208879,-0.0296547878624037,-0.0318414439179704,-0.0727871835864599,-0.0973428144478048,-0.0427257682968678,-0.0904860704225248,-0.0777872446462729
"stress.response",-0.00287158823750935,0.0109482016705962,-0.0010715763666533,0.0146342813213744,0.0211937701873335,0.0153822371632304,-0.00644548519779761,0.00581402625417074,0.00097266020338359,0.0191793208474982,0.0336332792207416,0.0042210786771463,-0.00349697325577755,0.0230080493215746,0.000668495379801535,-0.00200239089120946,0.00616528668591145,0.0106251612316865,-0.00487050309524056,-0.00378550441989719,0.000668864127205844,-0.013870717108191,0.00248084225479261,-0.0162116597489793,-0.0128755995924425,-0.0116460747567386,-0.00746339854854104,-0.00993452590685723,0.00207937199807981,-0.0655497931358052,-0.0480354190236386,-0.0798857280311033,-0.0541592547718735,1.00000000000026,-0.0963801473605107,-0.020834071182048,-0.0234041361901081,-0.0251298877403327,-0.0574450630183498,-0.0768248451830158,-0.0337200085425162,-0.0714133692441928,-0.0613912085967831
"other.biological.processes",-0.00078874109416326,-0.018529450154224,-0.0166884821337373,-0.0237246369759549,-0.00499502437105689,-0.036488778519822,-0.0241162745812658,-0.0241259593800838,-0.0207272561082642,-0.0170927656899552,0.000440312950161163,-0.0334327843084989,-0.0313876824504335,-0.0258401218885542,-0.00712496797677134,-0.019163160040419,-0.04054365855241,-0.0354872328808508,-0.0412488979217599,-0.00772442390075199,-0.0259116940111967,-0.0328756773436412,-0.0307541513810724,-0.0405850421152225,-0.0238015167539755,-0.0370599793359946,-0.0251412171367879,-0.0261874386968382,-0.0138298373271701,-0.147804765446791,-0.108312528572206,-0.180130107652967,-0.122120842269422,-0.0963801473605107,0.999999999999932,-0.0469776464127686,-0.0527727502189977,-0.0566640562155504,-0.129529837690135,-0.17322828462995,-0.0760334657832639,-0.161026233431981,-0.138427792874151
"cell.adhesion",0.00459306415203835,-0.00503396225558499,-0.0242317974907593,-0.0164428301114119,-0.00396199701577117,-0.0347540102196666,-0.0277586402884415,-0.0218944739039349,-0.0347753589448546,-0.0376312851451027,-0.021816742198868,-0.0391803439511246,-0.0393407717970117,-0.0330607937221446,-0.0222415372312305,-0.0190813059360058,-0.0298378723594619,-0.0285150292867102,-0.0389346493343991,-0.0154901486244194,-0.0253067584858425,-0.0211727796965859,-0.0345896938155437,-0.0287151136466326,-0.0219994082225296,-0.0304134490082231,-0.0152935944209224,-0.0238998671476485,-0.0144040997769811,-0.0319503039650358,-0.0234134413775012,-0.0389379305556884,-0.0263983236208879,-0.020834071182048,-0.0469776464127686,1.00000000000011,-0.0114076525575582,-0.0122488190046259,-0.0279998934691435,-0.037445993926779,-0.0164358188042687,-0.0348083303602936,-0.0299233251794645
"DNA.metabolism",-0.00763239947705878,0.00937811632070936,0.0178966339046843,0.0130380431208317,0.00583848828658703,0.0359840808365684,0.0252988296346653,0.0178431280043134,0.0234205061298506,0.0217110182529361,0.00488157645431178,0.0415077575605508,0.0397996066244471,0.0281062727400711,0.0234252916753994,0.0239995977659998,0.0381227582433001,0.0516738977726592,0.052362267135168,0.00500930452675096,0.030480183026717,0.0214555434754563,0.0222436507782041,0.0474114456913246,0.0144270791434927,0.0242492864626334,0.0299188096924554,0.0245832285724821,0.020175792966243,-0.0358916535697174,-0.0263016942723303,-0.0437412650520214,-0.0296547878624037,-0.0234041361901081,-0.0527727502189977,-0.0114076525575582,0.999999999999894,-0.0137598180234342,-0.0314539253674563,-0.0420652849833429,-0.0184633208905623,-0.0391022425326301,-0.0336146292119964
