"","protein.metabolism","death","other.metabolic.processes","signal.transduction","stress.response","other.biological.processes","cell.adhesion","DNA.metabolism","cell.cell.signaling","developmental.processes","cell.organization.and.biogenesis","cell.cycle.and.proliferation","RNA.metabolism","transport"
"A1CF",-0.315272184439373,-0.241631392337453,2.77422179365537,-0.232984971019108,-0.210938002483946,-0.45075905702427,-0.0785311421116154,-0.107095056328813,-0.102613881709712,-0.268884121595244,-0.394284988028372,-0.172228397770106,-0.401004714477232,-0.29301733213301
"AACS",-0.315272184439373,-0.241631392337453,-0.360350943062266,-0.232984971019108,-0.210938002483946,2.2178000065205,-0.0785311421116154,-0.107095056328813,-0.102613881709712,-0.268884121595244,-0.394284988028372,-0.172228397770106,-0.401004714477232,-0.29301733213301
"AAGAB",-0.315272184439373,-0.241631392337453,-0.360350943062266,-0.232984971019108,-0.210938002483946,-0.45075905702427,-0.0785311421116154,-0.107095056328813,-0.102613881709712,-0.268884121595244,-0.394284988028372,-0.172228397770106,-0.401004714477232,3.41172118499055
"AAMP",-0.315272184439373,-0.241631392337453,-0.360350943062266,-0.232984971019108,-0.210938002483946,2.2178000065205,-0.0785311421116154,-0.107095056328813,-0.102613881709712,-0.268884121595244,-0.394284988028372,-0.172228397770106,-0.401004714477232,-0.29301733213301
"AANAT",-0.315272184439373,-0.241631392337453,-0.360350943062266,-0.232984971019108,-0.210938002483946,2.2178000065205,-0.0785311421116154,-0.107095056328813,-0.102613881709712,-0.268884121595244,-0.394284988028372,-0.172228397770106,-0.401004714477232,-0.29301733213301
"AASDHPPT",-0.315272184439373,-0.241631392337453,2.77422179365537,-0.232984971019108,-0.210938002483946,-0.45075905702427,-0.0785311421116154,-0.107095056328813,-0.102613881709712,-0.268884121595244,-0.394284988028372,-0.172228397770106,-0.401004714477232,-0.29301733213301
"AATF",-0.315272184439373,-0.241631392337453,2.77422179365537,-0.232984971019108,-0.210938002483946,-0.45075905702427,-0.0785311421116154,-0.107095056328813,-0.102613881709712,-0.268884121595244,-0.394284988028372,-0.172228397770106,-0.401004714477232,-0.29301733213301
"ABCF3",-0.315272184439373,-0.241631392337453,-0.360350943062266,-0.232984971019108,4.7392761277508,-0.45075905702427,-0.0785311421116154,-0.107095056328813,-0.102613881709712,-0.268884121595244,-0.394284988028372,-0.172228397770106,-0.401004714477232,-0.29301733213301
"ABHD1",-0.315272184439373,-0.241631392337453,-0.360350943062266,-0.232984971019108,-0.210938002483946,2.2178000065205,-0.0785311421116154,-0.107095056328813,-0.102613881709712,-0.268884121595244,-0.394284988028372,-0.172228397770106,-0.401004714477232,-0.29301733213301
"ABI2",-0.315272184439373,-0.241631392337453,-0.360350943062266,-0.232984971019108,-0.210938002483946,-0.45075905702427,-0.0785311421116154,-0.107095056328813,-0.102613881709712,-0.268884121595244,2.53545904602299,-0.172228397770106,-0.401004714477232,-0.29301733213301
"ABI3",3.17089007197159,-0.241631392337453,-0.360350943062266,-0.232984971019108,-0.210938002483946,-0.45075905702427,-0.0785311421116154,-0.107095056328813,-0.102613881709712,-0.268884121595244,-0.394284988028372,-0.172228397770106,-0.401004714477232,-0.29301733213301
