"","sig_1","sig_2","sig_3","sig_4","sig_5","sig_6","sig_7","sig_8","sig_9","sig_10","sig_11","sig_12","sig_13","sig_14","sig_15","sig_16","sig_17","sig_18","sig_19","sig_20","sig_21","sig_22","sig_23","sig_24","sig_25","sig_26","sig_27","sig_28","sig_29","Cell.cycle.progression.meiosis","Nuclear.cytoplasmic.transport","Chrom..seg..kinetoch..spindle.microtub.","RNA.processing","Signaling.stress.response","ER.Golgi.traffic","Chromatin.transcription","DNA.replication...repair.HR.cohesion","Protein.degredation.proteosome","Golgi.endosome.vacuole.sorting","Protein.folding...glycosylation.cell.wall","Metabolism.mitochondria","Ribosome.translation","Cell.polarity.morphogenesis"
"sig_1",1.00000000000005,0.460877154184673,0.774982348032903,0.921327814426101,0.386055972231908,0.955720325555208,0.464027816943499,0.421207524747213,0.506638136807063,0.949168041655358,0.912961147698614,0.801492232765349,0.722792070859811,0.925111050272356,0.349588453348809,0.544129096152392,0.979093154698665,0.86968907009689,0.897530971657761,0.313561305115332,0.40939258008535,0.514118085908304,0.944679694641748,0.468924852395122,0.362675245095856,0.452750442436887,0.346545369277548,0.394526357466524,0.392873381731678,-0.0110010431583945,0.000849671717400598,-0.0215910317839399,0.0761135528692491,-0.0167347107725362,-0.0159286341284943,0.0263150951529479,-0.0294400387462052,0.109501584066736,-0.0319214269350552,-0.0243881197864136,-0.0436444473788336,0.013891674470719,-0.0269378499463908
"sig_2",0.460877154184673,0.999999999999993,0.636725112985538,0.164464641790722,0.720384958612505,0.623342541687203,0.88928931624265,0.972946831811559,0.539759971983627,0.207894432295688,0.154090496598456,0.56227901521598,0.625716646386137,0.16934160242575,0.606654243640972,0.568073040754701,0.463088030197943,0.603729512613272,0.606671499483953,0.574553010484451,0.689329869865164,0.65609754423277,0.606490855719564,0.763185139326727,0.691016584604026,0.839187302544902,0.730347451267118,0.870180996854514,0.911779341756281,-0.0302024948807905,-0.00338123299084718,-0.020077828206752,0.223111638347951,-0.061004792383046,-0.0457548155497961,0.114323790929669,-0.0764399770045689,0.173828570747445,-0.0857245538403528,-0.0681841074496556,-0.121309583909422,0.0357419082049808,-0.0768624600044524
"sig_3",0.774982348032903,0.636725112985538,1.00000000000001,0.499711784411531,0.769145736219175,0.894869253376085,0.755327180477259,0.549448886289297,0.923408202291683,0.597993076922408,0.481376587604511,0.979035739676321,0.975780920032128,0.509335103024855,0.818332089633708,0.927109064252341,0.840281585623344,0.891110086223948,0.942059273508093,0.693626153012875,0.830799105415406,0.84751427933863,0.829608764045719,0.810893476135874,0.725009817883901,0.734405399958035,0.66963023166659,0.635566741324578,0.467470947808923,-0.0137987250869979,0.00436487007810363,-0.03484481069734,0.12860111314236,-0.0254647091674013,-0.0217538998265776,0.0470658957116383,-0.039438880341475,0.0679195460814873,-0.0438971519322291,-0.0314941240368324,-0.0562241752029496,0.0307323390311462,-0.035952085154106
"sig_4",0.921327814426101,0.164464641790722,0.499711784411531,0.999999999999985,0.0504773320635644,0.77990991021817,0.12467543611973,0.164687524357349,0.205094804960342,0.989641646644692,0.999634241734201,0.564813988271797,0.453450138668263,0.999852906056741,0.023883109335965,0.242931741135956,0.868068724548602,0.669473773134816,0.701294572729183,0.0158830344183971,0.0748017933121733,0.179105538187788,0.802032173576706,0.13764451197916,0.0483859444013502,0.132775111301252,0.0371482376167782,0.0954884026774828,0.18085579536489,-0.00224881733524912,-0.00340239084274586,-0.00633665668380387,-0.00532868155615501,-0.00390683257084143,-0.00366483182966238,-0.00510299245602059,-0.00665726126270425,0.100139932903565,-0.00750601189597739,-0.00520620603694868,-0.0092071054692397,-0.00615320354808838,-0.00634214088931548
"sig_5",0.386055972231908,0.720384958612505,0.769145736219175,0.0504773320635644,1.00000000000002,0.590208905615907,0.903480856481759,0.637538827519979,0.774532787574059,0.124960254605556,0.0367951317909748,0.703340805850403,0.73964876871292,0.056648255920267,0.907604243229886,0.852397325555039,0.45751798832676,0.565703135827234,0.680322781625513,0.943034546106994,0.965882309121671,0.76870272082385,0.53485136300216,0.911137903401371,0.987098546490773,0.86563199454332,0.960143644766669,0.835599438338832,0.524618618592845,-0.0157740862956404,0.0161338818549723,-0.0415432161601227,0.202454958717878,-0.0306110254441158,-0.0250301459242821,0.00506538862154246,-0.0456483565188571,0.0137738936254877,-0.0503961829659359,-0.0360620317807493,-0.0638713679989758,0.0705143498310275,-0.0413120848992386
"sig_6",0.955720325555208,0.623342541687203,0.894869253376085,0.77990991021817,0.590208905615907,0.999999999999933,0.678162384358876,0.574525819883048,0.671901106544655,0.829015712320348,0.767742714925282,0.903302002924349,0.857554425684594,0.786279615802044,0.56348335593952,0.706263683457273,0.975012841780358,0.953747356083286,0.971616673238775,0.498406643355343,0.628384827947685,0.709233479765872,0.982995145674972,0.696225950187512,0.568104634136348,0.676099282253496,0.555582385081797,0.600672012246869,0.523914064832097,-0.012956502985335,-7.63691559372362e-05,-0.0281842254697466,0.106797121963453,-0.0255318178803137,-0.0206570359851586,0.032929947356113,-0.0370217254303787,0.112652681069834,-0.041157500632027,-0.029769647842251,-0.052725950748272,0.0254708361488509,-0.0348255193484636
"sig_7",0.464027816943499,0.88928931624265,0.755327180477259,0.12467543611973,0.903480856481759,0.678162384358876,0.999999999999989,0.841467198833706,0.691217713250101,0.184288330351014,0.111620171068931,0.695407532757575,0.738296225359755,0.131016567384977,0.80772304328119,0.73989642513335,0.525656311010629,0.674936066781797,0.713002059283219,0.770578745396049,0.890766925875545,0.823682445941379,0.650417598720468,0.957945683886381,0.888265428646353,0.981746733050004,0.928940294699505,0.970384847126588,0.749402415479354,-0.0199402585127222,0.00279881238678333,-0.0311243464416198,0.212996933154078,-0.0409695628118554,-0.0321275627221854,0.0240477564053451,-0.0565258552637627,0.0780864959422825,-0.0630801193755902,-0.0458452441207466,-0.0810141054319562,0.0674302020361208,-0.0532234482522341
"sig_8",0.421207524747213,0.972946831811559,0.549448886289297,0.164687524357349,0.637538827519979,0.574525819883048,0.841467198833706,1.00000000000001,0.447978732191509,0.195671183534407,0.156764628305276,0.495202539334793,0.545436281014101,0.168398737495667,0.534366045781532,0.484625566057167,0.425145597413876,0.54363336332717,0.557130074236506,0.500771625086419,0.617804872209499,0.584723851246091,0.586457688257432,0.708124606273551,0.628015729841649,0.813405617618768,0.680999597006212,0.869418553597364,0.980156694010508,-0.0244734669862846,-0.00430606892632355,-0.00200306603197781,0.158203917106351,-0.0517841736470358,-0.0396084279018335,0.0792478041024703,-0.0674006341531665,0.209105460371704,-0.0778777579971416,-0.0565151528517369,-0.099940026067707,0.034777887736639,-0.0655184556140753
"sig_9",0.506638136807063,0.539759971983627,0.923408202291683,0.205094804960342,0.774532787574059,0.671901106544655,0.691217713250101,0.447978732191509,1.00000000000007,0.32504086723031,0.185312447105865,0.887771706873674,0.93430971752534,0.215915547787237,0.909726034660668,0.952761758756145,0.606319814838368,0.709778069962435,0.776520024512628,0.716595511478052,0.863666313837988,0.817650548152985,0.589010145447037,0.776532252817611,0.724971987327252,0.67156974464669,0.645083727450304,0.567695837321444,0.362600762506598,-0.0107599784380796,0.00171078543512501,-0.0291808700899252,0.110925838052191,-0.0216325618078112,-0.0175358950795918,0.0458917751725473,-0.0314601103369405,0.0273432482547867,-0.035646723528348,-0.0247646384720522,-0.0440928725407117,0.0262592133952754,-0.0289147507801849
"sig_10",0.949168041655358,0.207894432295688,0.597993076922408,0.989641646644692,0.124960254605556,0.829015712320348,0.184288330351014,0.195671183534407,0.32504086723031,0.999999999999965,0.986055688637482,0.661531691950112,0.548820133351322,0.991355143671535,0.124630459733874,0.358590396759044,0.912474463628945,0.728514496750056,0.765699421187421,0.0917389420489628,0.162954614976784,0.280156096771617,0.834787730602429,0.207955683373391,0.114016594964397,0.187050147312544,0.0896123439842401,0.136369008646994,0.202697657340757,-0.00319962232859499,-0.00381080817448672,-0.00892784391445993,0.00190239549405618,-0.00568890378277612,-0.00522813776977329,0.00497392689856691,-0.00946780648460654,0.0991626346556874,-0.0106839119233822,-0.00740660084399985,-0.0131211407964375,-0.00550312193294116,-0.00888575721007863
