"","V1","V2","V3","V4","V5","V6"
"sig_1",-0.263428583499209,-0.0739713153387704,0.0393772993606974,0.0275693256693474,0.00721754734773526,0.00651678402224764
"sig_2",-0.389049560320886,-0.0226573120887338,0.0339111404734356,0.0222254687326389,0.00657375893694239,0.00544767933777241
"sig_3",-0.211233848049079,-0.0628326515203116,0.0453704839005773,0.0332384543165868,-0.000631482174257075,0.00382541917688602
"sig_4",-0.204448766862798,-0.082926331135929,0.0376152414210804,0.0256407842069357,0.0107715151921748,0.00468393065124539
"sig_5",-0.257209794372344,-0.083447417510008,0.0395719080984689,0.0208798715888124,-0.000153889335976998,0.00574343441825462
"sig_6",-0.274725765578378,-0.0616639108391542,0.0445830366507786,0.0295859996412501,0.00623322901845094,0.00536849419002226
"sig_7",-0.313990825251965,-0.0529378834140104,0.0449880789130048,0.0250508409913116,0.00532104075324238,0.00604548270124434
"sig_8",-0.387347747322915,0.0210949223277799,0.0415848600932015,0.0183888057150388,0.00701690517221182,0.00484131647246265
"sig_9",-0.18485819078675,-0.0702951159062351,0.0492416153476603,0.0356686866333911,-0.004393607452316,0.00269270964609442
"sig_10",-0.188785401739579,-0.070896744634035,0.0471934608196345,0.0356760059436948,0.000143012003387389,0.00284268793426352
"sig_11",-0.172102478788343,-0.0796739148955586,0.0339904816190517,0.0237143795179424,0.0124969053608791,0.00334235768775547
"sig_12",-0.205481417969021,-0.0673189841957684,0.0472094174771655,0.036399558294946,0.00219975334058215,0.00315837400082528
"sig_13",-0.1906091472935,-0.0581451066986454,0.0453415938137519,0.0326393182022398,-0.00232430418947708,0.00273812114730373
"sig_14",-0.224024371834102,-0.0795447363614219,0.0424303991697386,0.0283353972985139,0.00950106961135309,0.00429966111013949
"sig_15",-0.205779788048066,-0.0636588336717402,0.0466513815723022,0.032309796626668,-0.00358800313298015,0.00352582354788192
"sig_16",-0.230903125351227,-0.0956788518746737,0.0496013933495633,0.0269329564225088,-0.00164708221540763,0.00482282825360877
"sig_17",-0.248775708623638,-0.0766700842838345,0.0468184938005929,0.029520989612881,0.00580701819579619,0.00498117820705337
"sig_18",-0.260051794789966,-0.0491398787809208,0.0454399145070015,0.030035735042843,0.0044383424533421,0.00410124198951318
"sig_19",-0.216073679250648,-0.0587519146870249,0.0472437985459164,0.0333013554606598,-0.000564467301867771,0.0032218580703486
"sig_20",-0.212068749344184,-0.106741795956834,0.0364654100002879,0.00808058602677087,-0.0010371892584267,0.00521069248913306
"sig_21",-0.244332437477858,-0.0675485858553867,0.0471299665506828,0.0289403707408556,-0.000511970057691957,0.00451386075145068
"sig_22",-0.254738626106458,-0.0882574842903682,0.0479161011854876,0.0229292907984528,0.00224694583522256,0.00576447992106298
"sig_23",-0.280755720157023,-0.0388759248548975,0.0492120910473489,0.0325251622624178,0.00359191026078286,0.00454745549439661
"sig_24",-0.283298634163037,-0.048161138045115,0.0479568400471732,0.0300877280529679,0.00435601417838095,0.00491124741728581
"sig_25",-0.262730213239441,-0.0833864112224679,0.0424767480798671,0.0198150704668672,0.000742832052497617,0.00543409337071055
"sig_26",-0.305948242172844,-0.0201036770298426,0.0462726092526058,0.0271071857786745,0.00474935727804609,0.00492255104574586
"sig_27",-0.290605754442412,-0.0594275624870173,0.0489121376723628,0.0258000064050644,0.00520688803438927,0.00510413306276895
"sig_28",-0.337738657852016,0.0157757501189997,0.0432389589082743,0.0222824019605008,0.0076944934242771,0.00497898193377515
"sig_29",-0.358405572485606,0.0473447295693892,0.0428993151006229,0.018881869167874,0.0063088142606632,0.0044888687729701
