"","EC1","EC2","EC3","EC4","EC5","EC6"
"cpd:C00001",0.940878702726916,0.885710238935695,1.52634347296471,2.38777973219566,3.89430170919485,3.45822426030761
"cpd:C00002",0.940878702726916,0.885710238935695,1.52634347296471,2.38777973219566,-0.256621783826019,3.45822426030761
"cpd:C00003",0.940878702726916,0.885710238935695,1.52634347296471,-0.418532177778117,3.89430170919485,3.45822426030761
"cpd:C00004",0.940878702726916,0.885710238935695,1.52634347296471,-0.418532177778117,3.89430170919485,3.45822426030761
"cpd:C00005",0.940878702726916,0.885710238935695,-0.654742965178851,-0.418532177778117,-0.256621783826019,-0.288981447166589
"cpd:C00006",0.940878702726916,0.885710238935695,1.52634347296471,-0.418532177778117,-0.256621783826019,-0.288981447166589
"cpd:C00007",0.940878702726916,-1.12831782612243,-0.654742965178851,-0.418532177778117,-0.256621783826019,-0.288981447166589
"cpd:C00008",0.940878702726916,0.885710238935695,1.52634347296471,2.38777973219566,-0.256621783826019,3.45822426030761
"cpd:C00009",0.940878702726916,0.885710238935695,1.52634347296471,2.38777973219566,-0.256621783826019,3.45822426030761
"cpd:C00010",0.940878702726916,0.885710238935695,1.52634347296471,2.38777973219566,-0.256621783826019,3.45822426030761
"cpd:C00011",0.940878702726916,0.885710238935695,1.52634347296471,2.38777973219566,-0.256621783826019,3.45822426030761
"cpd:C00012",-1.06215886115169,0.885710238935695,1.52634347296471,-0.418532177778117,-0.256621783826019,-0.288981447166589
"cpd:C00013",0.940878702726916,0.885710238935695,1.52634347296471,2.38777973219566,-0.256621783826019,3.45822426030761
"cpd:C00014",0.940878702726916,0.885710238935695,1.52634347296471,2.38777973219566,-0.256621783826019,3.45822426030761
"cpd:C00015",0.940878702726916,0.885710238935695,1.52634347296471,-0.418532177778117,3.89430170919485,-0.288981447166589
"cpd:C00016",0.940878702726916,0.885710238935695,1.52634347296471,-0.418532177778117,-0.256621783826019,-0.288981447166589
"cpd:C00018",0.940878702726916,0.885710238935695,1.52634347296471,-0.418532177778117,-0.256621783826019,-0.288981447166589
"cpd:C00019",-1.06215886115169,0.885710238935695,1.52634347296471,2.38777973219566,-0.256621783826019,-0.288981447166589
"cpd:C00020",0.940878702726916,0.885710238935695,1.52634347296471,2.38777973219566,-0.256621783826019,3.45822426030761
"cpd:C00021",-1.06215886115169,0.885710238935695,1.52634347296471,2.38777973219566,-0.256621783826019,-0.288981447166589
"cpd:C00022",0.940878702726916,0.885710238935695,-0.654742965178851,2.38777973219566,-0.256621783826019,3.45822426030761
"cpd:C00024",0.940878702726916,0.885710238935695,1.52634347296471,2.38777973219566,-0.256621783826019,3.45822426030761
"cpd:C00025",0.940878702726916,0.885710238935695,1.52634347296471,2.38777973219566,-0.256621783826019,3.45822426030761
"cpd:C00026",0.940878702726916,0.885710238935695,1.52634347296471,-0.418532177778117,-0.256621783826019,-0.288981447166589
"cpd:C00027",0.940878702726916,-1.12831782612243,-0.654742965178851,-0.418532177778117,-0.256621783826019,-0.288981447166589
"cpd:C00028",0.940878702726916,-1.12831782612243,1.52634347296471,2.38777973219566,-0.256621783826019,-0.288981447166589
