ID,EC1,EC2,EC3,EC4,EC5,EC6
cpd:C16618,1,0,0,0,0,1
cpd:C16619,1,0,0,0,0,1
cpd:C00996,1,0,0,0,0,0
cpd:C16613,1,0,0,0,0,0
cpd:C16387,1,0,0,1,0,0
cpd:C16617,1,0,1,0,0,0
cpd:C05313,0,1,0,0,0,0
cpd:C16168,1,0,0,0,0,0
cpd:C00270,0,1,0,0,0,0
cpd:C00385,1,1,1,0,0,0
cpd:C16587,1,0,0,0,0,0
cpd:C03201,0,1,1,0,0,0
cpd:C03838,0,1,0,0,0,1
cpd:C00079,1,1,0,1,0,0
cpd:C02835,1,0,0,0,0,0
cpd:C00390,1,1,0,0,0,0
cpd:C00019,0,1,1,1,0,0
cpd:C00078,1,0,0,1,0,0
cpd:C14805,0,1,0,0,0,0
cpd:C00016,1,1,0,0,0,0
cpd:C00015,1,1,1,0,0,0
cpd:C00014,1,1,1,1,0,1
cpd:C00013,1,1,1,1,0,1
cpd:C00012,0,1,1,0,0,0
cpd:C00011,1,1,1,1,0,0
cpd:C00010,1,1,1,0,0,1
cpd:C06037,0,0,1,0,0,0
cpd:C01516,0,1,0,0,0,0
cpd:C04063,0,0,1,0,0,0
cpd:C04419,0,0,0,0,0,1
cpd:C00018,1,1,1,0,0,0
cpd:C16664,1,0,0,0,0,0
cpd:C16663,1,0,0,0,0,0
cpd:C16327,1,0,0,0,0,0
cpd:C05757,1,1,0,1,0,0
cpd:C05756,1,1,0,1,0,0
cpd:C05755,1,1,0,1,0,0
cpd:C05754,1,1,0,1,0,0
cpd:C05753,1,1,0,0,0,0
cpd:C05752,1,1,0,0,0,0
cpd:C05751,1,1,0,1,0,0
cpd:C05750,1,1,0,0,0,0
cpd:C05981,0,1,1,0,0,0
cpd:C03546,0,0,1,0,0,0
cpd:C05759,1,1,0,0,0,0
cpd:C05758,1,1,0,1,0,0
cpd:C00909,0,0,1,0,0,0
cpd:C03479,0,1,0,0,0,0
cpd:C01013,0,0,1,0,0,1
cpd:C00459,0,1,0,0,0,0
cpd:C00458,1,1,0,0,0,0
cpd:C00455,0,1,1,0,0,0
cpd:C00454,0,1,0,0,0,0
cpd:C06790,0,1,0,0,0,0
cpd:C00906,1,0,1,0,0,0
cpd:C00268,1,0,0,0,0,0
cpd:C03372,0,1,0,0,0,0
cpd:C00515,1,0,0,0,0,0
cpd:C00510,1,0,0,0,0,0
gl:G13027,0,1,0,0,0,0
cpd:C00262,1,1,1,0,0,0
cpd:C00264,1,1,0,0,0,0
cpd:C00519,1,1,0,1,0,0
cpd:C00302,0,1,0,0,0,0
cpd:C00068,1,1,1,1,0,0
cpd:C00069,0,0,1,0,0,0
cpd:C00307,0,1,0,0,0,0
cpd:C00378,0,1,0,0,0,0
cpd:C02670,1,0,0,0,0,0
cpd:C00062,1,1,1,1,0,0
cpd:C00063,1,1,1,1,0,1
cpd:C00060,0,0,1,0,0,0
cpd:C00061,0,1,1,0,0,0
cpd:C00067,1,0,0,0,0,0
cpd:C00064,1,1,1,0,0,1
cpd:C00065,0,1,1,1,0,0
cpd:C02336,0,1,1,0,0,0
cpd:C15672,0,1,0,1,0,0
gl:G10610,0,1,0,0,0,0
cpd:C00190,0,0,0,1,0,0
gl:G08421,0,0,1,0,0,0
cpd:C05726,0,1,1,0,0,0
cpd:C01647,0,0,0,0,0,1
cpd:C05729,0,1,1,0,0,0
cpd:C01641,0,0,0,0,0,1
cpd:C03518,0,1,1,0,0,0
cpd:C05684,1,1,0,0,0,0
cpd:C05686,0,1,0,0,0,0
cpd:C01345,0,1,1,0,0,0
cpd:C01089,1,1,1,1,0,0
