"","sig_1","sig_2","sig_3","sig_4","sig_5","sig_6","sig_7","sig_8","sig_9","sig_10","sig_11","sig_12","sig_13","sig_14","sig_15","sig_16","sig_17","sig_18","sig_19","sig_20","sig_21","sig_22","sig_23","sig_24","sig_25","sig_26","sig_27","sig_28","sig_29","death","protein.metabolism","cell.cycle.and.proliferation","other.metabolic.processes","signal.transduction","stress.response","developmental.processes","cell.adhesion","DNA.metabolism","cell.cell.signaling","other.biological.processes","cell.organization.and.biogenesis","RNA.metabolism","transport"
"sig_1",1.00000000000018,0.858988546277139,0.909214409441055,0.952387903688202,0.937852534336781,0.981740918775995,0.926575852633676,0.69274258985502,0.8133821436251,0.827394107309912,0.901214764259037,0.866323633892734,0.852236765355241,0.932069803089835,0.871270513709567,0.913957942390925,0.960805589616701,0.925587316996481,0.916689089400772,0.614664993723773,0.939369781232554,0.850318318633013,0.94808556370923,0.951666703525874,0.91280565295043,0.882596557201556,0.896728034410253,0.71250394977708,0.484655119527875,0.0526764190042854,0.0528311837655599,-0.00491193136117148,-0.000597503927346844,-0.0109485143940428,-0.0088705383553098,-0.0229352929119511,-0.0100359317059966,-0.00460051451396457,-0.0111038846538224,-0.0195169997206266,0.0126137737346859,-0.0139278215568891,-0.0173832468353909
"sig_2",0.858988546277139,1.00000000000022,0.672583251724684,0.696076287021173,0.786980198926075,0.840572108731148,0.95908691212405,0.941292990783626,0.547486490795866,0.553532889071125,0.613834579508194,0.613284548360623,0.610911553767666,0.673195220765822,0.632592433308022,0.652642589775762,0.752482542889585,0.749728777123238,0.708607439009498,0.457608455891835,0.740193704336336,0.740290279551025,0.843937298611104,0.849464976625782,0.786242180738728,0.93746691124466,0.888684126758725,0.903812723667097,0.77561969280994,0.0283258573996879,0.129882916873256,0.000194181914597026,-0.0022019039029108,-0.0211746922300987,-0.0152913950672856,-0.0361406182575229,-0.0152452666547249,-0.00683466753171853,-0.0167157775624598,-0.0319109132113084,0.00381673788830205,-0.00626557153171394,-0.0262141680817897
"sig_3",0.909214409441055,0.672583251724684,0.999999999999788,0.924575657404357,0.821205538335408,0.952431539507945,0.778466104702649,0.527786822628403,0.978613668747028,0.981565176191028,0.899142935551483,0.9946664654323,0.990991424255446,0.980472094366606,0.995093949962367,0.958379786282328,0.964098427306525,0.979931784382035,0.995281209746497,0.436283186468244,0.981061875497826,0.669580537470501,0.943222975631865,0.932914183932343,0.803362774658146,0.776579576823823,0.753191375887769,0.565258247423447,0.35545363010948,0.0434645066317988,0.0177138081389338,-0.00360517904251181,-0.00547282499014934,-0.00357856845681211,-0.00562759135981862,-0.0103882452763095,-0.00427990456549793,-0.00230456284815739,-0.00502946105732948,-0.00949027244120791,0.00660683846552276,-0.00779499902358055,-0.00892693819441489
"sig_4",0.952387903688202,0.696076287021173,0.924575657404357,0.999999999999863,0.926250679816948,0.941686663119092,0.816703154747744,0.529085755694229,0.862956974213357,0.883366432192647,0.988482819303241,0.901774614795745,0.879976082776703,0.973066357039426,0.891396947755835,0.968565241114777,0.972241723326038,0.904204298784246,0.922912612335284,0.697344390431271,0.937079548723814,0.864543166354796,0.905928809444332,0.896707982579877,0.901296671248929,0.774890360588253,0.823150369488209,0.569748387189016,0.346299320652938,0.0577507334039545,0.0158267323709921,-0.00704467695586669,0.00273072002839136,-0.00608466536752591,-0.00705844802128223,-0.0142108385630948,-0.00584869681400632,-0.00397722445774483,-0.00687649414986045,-0.012433119229003,0.0108462930017221,-0.0140438109931034,-0.0117162493495986
"sig_5",0.937852534336781,0.786980198926075,0.821205538335408,0.926250679816948,0.999999999999893,0.915443464062634,0.896050562047193,0.632772093820404,0.710909092707459,0.732681887174976,0.894377922974261,0.77508963935241,0.750282269623174,0.876557566819137,0.781360963298248,0.914066582662606,0.925647914714834,0.835769801721202,0.841538006960479,0.817811769959274,0.89682269176307,0.935854853367607,0.875683358940023,0.894830191014764,0.991818258925774,0.839970377126895,0.939467950764519,0.679287063632948,0.436445207447427,0.0487984848838964,0.0423931130414621,-0.00612400441234088,0.00244158604175186,-0.00764380836934994,-0.0113002457055914,-0.0193395644155377,-0.00756979347442928,-0.00566163472151448,-0.00875378683541932,-0.0178578494898012,0.0120062055330335,-0.013029961440588,-0.0150922992255066
"sig_6",0.981740918775995,0.840572108731148,0.952431539507945,0.941686663119092,0.915443464062634,1.00000000000004,0.923708710461983,0.697102041189115,0.875446680478437,0.883344696658586,0.894631841297232,0.920927850154125,0.913153219330188,0.959297904762156,0.930189674790569,0.937729062121485,0.984209163326742,0.976426903888619,0.965803578343387,0.548627119282868,0.979518146974209,0.807316184970212,0.986584789646086,0.989185136886237,0.90376734166288,0.906362034159931,0.895758950711316,0.729156257329718,0.496875444484934,0.0438778649841973,0.0522200715895799,-0.00394027686958807,-0.00481292291220347,-0.00803281487360222,-0.0094062937157963,-0.0188274889172678,-0.00768883343259349,-0.00395160044086546,-0.00878997722684206,-0.016711005655478,0.00878559782988516,-0.0113080502977237,-0.0155177474632083
"sig_7",0.926575852633676,0.95908691212405,0.778466104702649,0.816703154747744,0.896050562047193,0.923708710461983,0.999999999999729,0.875326507317205,0.660006608890466,0.669937901540692,0.747756488426236,0.727008104678164,0.718243442013346,0.796062531682647,0.74274480752399,0.78808688204526,0.871073162629085,0.844169098232784,0.816786947912157,0.581073775170788,0.852850550639564,0.854753937359873,0.925481415123105,0.936425950277467,0.902956473201589,0.984457650386219,0.972474566474742,0.909362777718481,0.684596038304236,0.0354095599937505,0.104552338398987,-0.00178483110685753,-0.00478068800951458,-0.0142924050683241,-0.0143673855622833,-0.0277483737055682,-0.0109498004817056,-0.00691016222557457,-0.0123801606249519,-0.0258121638224219,0.00491244582533969,-0.0132631181049193,-0.0223590000188244
"sig_8",0.69274258985502,0.941292990783626,0.527786822628403,0.529085755694229,0.632772093820404,0.697102041189115,0.875326507317205,0.999999999999723,0.426000192635984,0.427760960086942,0.454807155407096,0.4816220993325,0.484838050471318,0.517340277040915,0.497622083867939,0.502210575690964,0.604441573759126,0.613409803779086,0.577602863334525,0.345682356324984,0.597053391607606,0.629336447024542,0.740634057094883,0.731669955478665,0.655795065354249,0.893582506589043,0.805944920049896,0.94465087764702,0.931014620656278,0.0154850072001939,0.153271178704003,0.00253657722014753,-0.00731346640003635,-0.0207136548651349,-0.0183183413714111,-0.0340761398378845,-0.0133948694793696,-0.00826448358742487,-0.0153623779850337,-0.0325001204792578,-0.00911032432439736,-0.0034385607263295,-0.0226412077046215
"sig_9",0.8133821436251,0.547486490795866,0.978613668747028,0.862956974213357,0.710909092707459,0.875446680478437,0.660006608890466,0.426000192635984,0.999999999999986,0.99869276990484,0.852601936579385,0.993864570249818,0.995010280208095,0.941806809732175,0.98641028902781,0.917649470785972,0.901963912115585,0.935613714898692,0.966849890747554,0.333464602632825,0.929999032219996,0.5544726097502,0.880972657967841,0.856372237859541,0.694085771191938,0.67734051610593,0.633602411371335,0.466836445167184,0.28477764729056,0.0405579122119739,0.00309746880737401,-0.00266696847330475,-0.00513185933394079,-0.00183489673716242,-0.00363508200514114,-0.00538157524587948,-0.00208597061554703,-0.00151098840122876,-0.00256167846728369,-0.0060283750523927,0.00233723053000377,-0.00508163356175783,-0.00527307261813609
"sig_10",0.827394107309912,0.553532889071125,0.981565176191028,0.883366432192647,0.732681887174976,0.883344696658586,0.669937901540692,0.427760960086942,0.99869276990484,1.00000000000026,0.875842775335146,0.99517075324557,0.993357424966342,0.95287106251688,0.985488243461389,0.932034060732745,0.913752355133288,0.935831570935706,0.969481353699947,0.372426966724472,0.935696477498124,0.584233667150152,0.884877816348049,0.860329790092101,0.715151132733703,0.682297587489751,0.648552932282872,0.470232882074043,0.28440850165989,0.0426972200227942,0.00258239273106706,-0.00309388756813937,-0.00436031639810036,-0.00249558591440297,-0.00380083906831878,-0.00576816969477663,-0.00224399276277894,-0.00172554452718158,-0.00276056691278768,-0.00614073375884672,0.00296324145982101,-0.00584810109745898,-0.00561770242712597
"sig_11",0.901214764259037,0.613834579508194,0.899142935551483,0.988482819303241,0.894377922974261,0.894631841297232,0.747756488426236,0.454807155407096,0.852601936579385,0.875842775335146,1.0000000000002,0.88498842435203,0.859908127256193,0.960263360382499,0.868477796260117,0.963920953710461,0.946430711025413,0.864320709480237,0.894229042975121,0.72121910458447,0.905998158710602,0.845684555632423,0.859611152585737,0.84458914759287,0.872319358901372,0.708265480133606,0.769358610416813,0.498682468464534,0.288895083541627,0.0573802688158451,0.00303501571489902,-0.00658147828175845,0.00427628037226109,-0.00550015533394138,-0.00594361193757624,-0.0109191427176981,-0.00427765713546558,-0.00355447840301215,-0.00524521998203337,-0.0100970147660717,0.00939487366755818,-0.0124021155946761,-0.00970274682479143
"sig_12",0.866323633892734,0.613284548360623,0.9946664654323,0.901774614795745,0.77508963935241,0.920927850154125,0.727008104678164,0.4816220993325,0.993864570249818,0.99517075324557,0.88498842435203,1.00000000000001,0.998051576008518,0.969087304638805,0.996355676449957,0.946935582976253,0.942343693072457,0.96462840751734,0.98801210365226,0.396653802909655,0.96349151606675,0.624357368364909,0.920255641414816,0.903355214955511,0.759891430625809,0.736150510603921,0.704348780525892,0.524285164429214,0.32442944252117,0.0418396648351561,0.0110485649743006,-0.00330668451715368,-0.00557282636916603,-0.00268907123726543,-0.00481101558833427,-0.00771654589470269,-0.00301283043973688,-0.00195373727069143,-0.00363148241629906,-0.00746179155796467,0.00421351810018401,-0.00669547608973292,-0.00718657843922931
"sig_13",0.852236765355241,0.610911553767666,0.990991424255446,0.879976082776703,0.750282269623174,0.913153219330188,0.718243442013346,0.484838050471318,0.995010280208095,0.993357424966342,0.859908127256193,0.998051576008518,1.00000000000023,0.956455862861248,0.996674790013028,0.929802138301834,0.929034054093757,0.965041838813129,0.985147277319321,0.353647908340835,0.956431793640681,0.592856219206585,0.918288851805722,0.899664902031876,0.735648160785739,0.733278431148582,0.688022991922648,0.52337090493826,0.329540080955194,0.0396305303725035,0.0119807599456977,-0.00270429991524848,-0.00611287304528117,-0.00198488123917865,-0.00472906523601073,-0.00754875708083835,-0.00294868351093453,-0.00159500392130549,-0.00353055064039199,-0.0076610771930299,0.00330262446841275,-0.00558037499354063,-0.00694161932327807
"sig_14",0.932069803089835,0.673195220765822,0.980472094366606,0.973066357039426,0.876557566819137,0.959297904762156,0.796062531682647,0.517340277040915,0.941806809732175,0.95287106251688,0.960263360382499,0.969087304638805,0.956455862861248,0.999999999999779,0.965627774190286,0.981334198140965,0.987531464736768,0.965407395201867,0.977915554609045,0.562419118399655,0.977951825564876,0.766766283111728,0.939008884588192,0.930675439325286,0.858472279608366,0.779590511586433,0.789656285176125,0.5608500469433,0.339464832661003,0.0494224745054724,0.0141616411129548,-0.00544409199981637,-0.00281618455670468,-0.00424148231279189,-0.00615172396346078,-0.0107189726258916,-0.00426355712538264,-0.00281006351641641,-0.00517187254755498,-0.00987835508122129,0.00859931650979145,-0.0102512767881178,-0.00989166976257457
"sig_15",0.871270513709567,0.632592433308022,0.995093949962367,0.891396947755835,0.781360963298248,0.930189674790569,0.74274480752399,0.497622083867939,0.98641028902781,0.985488243461389,0.868477796260117,0.996355676449957,0.996674790013028,0.965627774190286,0.999999999999867,0.94237890996258,0.944751912404182,0.976205463270893,0.991277020440093,0.382373323302154,0.972459745656201,0.618376898422495,0.928646999481168,0.918647855627311,0.767794671935015,0.751605343500542,0.717971178473833,0.537493644598038,0.333578361518541,0.0391354199431951,0.0133238295368809,-0.00305165573495936,-0.00670421449676489,-0.00123147587114988,-0.00520961830955371,-0.00820556398485674,-0.00314399302492459,-0.00210003156485558,-0.00376620590798843,-0.00778220120373994,0.00494261161930194,-0.00626729070557231,-0.00733829323072838
"sig_16",0.913957942390925,0.652642589775762,0.958379786282328,0.968565241114777,0.914066582662606,0.937729062121485,0.78808688204526,0.502210575690964,0.917649470785972,0.932034060732745,0.963920953710461,0.946935582976253,0.929802138301834,0.981334198140965,0.94237890996258,1.00000000000002,0.977958971997701,0.931430305783766,0.960582505788423,0.663534726954151,0.972924642955251,0.802159931476843,0.915240672322984,0.911670480608754,0.904253156587505,0.76545055647443,0.814731537306623,0.553080207354513,0.329899817423824,0.0493592371640539,0.0108697654378658,-0.00483947641247268,-0.00186633563132753,-0.003613685135874,-0.00679019923036372,-0.0100960292104413,-0.0038300963060875,-0.00321737450895982,-0.00464679847883087,-0.00951044978984745,0.00740899445433244,-0.00918104403434307,-0.0091089402079936
"sig_17",0.960805589616701,0.752482542889585,0.964098427306525,0.972241723326038,0.925647914714834,0.984209163326742,0.871073162629085,0.604441573759126,0.901963912115585,0.913752355133288,0.946430711025413,0.942343693072457,0.929034054093757,0.987531464736768,0.944751912404182,0.977958971997701,0.999999999999952,0.970322149782644,0.97379176268769,0.614065006228569,0.98755250810788,0.82956648565977,0.967499929431252,0.967954971358125,0.916034623958639,0.853464832572199,0.871476598472321,0.653673515459158,0.41535876104256,0.0468044793333494,0.0318593546686516,-0.00520993805046679,-0.00335363459855846,-0.00544211111434445,-0.00818741755588981,-0.0139906357349413,-0.00543416510698197,-0.00363738405987121,-0.00648208640475238,-0.0126136077270499,0.00791899184230709,-0.011482473782724,-0.0123802087341816
"sig_18",0.925587316996481,0.749728777123238,0.979931784382035,0.904204298784246,0.835769801721202,0.976426903888619,0.844169098232784,0.613409803779086,0.935613714898692,0.935831570935706,0.864320709480237,0.96462840751734,0.965041838813129,0.965407395201867,0.976205463270893,0.931430305783766,0.970322149782644,1.00000000000021,0.988587202232483,0.423463696961154,0.984998063979745,0.694447390128942,0.976219171448201,0.974798408988772,0.826460694532717,0.848909128858504,0.809904693842765,0.647603172372471,0.42648906217845,0.0385039018633901,0.0354414349666603,-0.00295926015747285,-0.00764631062954764,-0.00409303321583309,-0.00748507630853447,-0.013094093890691,-0.00514293723448987,-0.00242713123821319,-0.00601457173306472,-0.0120170318323208,0.00615590023506108,-0.00770398677809898,-0.0116022801632049
