country_year,BCA,KC,KG,KI,LE,OPENK,POP,RGDPCH,RGDPL,RGDPL2,XRAT
AUS_1999,-18.70337691,63.33852464,6.555869357,26.08176552,8.762,37.49738906,18830.251,33825.74001,33833.67076,33958.87172,1.54995
AUS_2000,-13.61261646,64.30115512,6.438845024,23.48317413,8.99,38.23320244,19053.186,34071.95639,34086.44772,34296.85756,1.72483
AUS_2001,-6.88527203,63.89068538,6.373818125,24.46381152,9.091,36.96381713,19294.257,34940.69121,34948.56406,35128.03161,1.93344
AUS_2002,-14.25165768,63.68960106,6.285212682,26.97342912,9.27,37.66340702,19534.938,35818.49473,35820.03474,35921.18589,1.84056
AUS_2003,-26.82941635,64.45459109,6.098720238,28.40001303,9.485,38.38288676,19766.54,36968.06619,36964.39562,37026.85087,1.54191
AUS_2004,-38.47533858,65.37769302,5.948156891,29.20294391,9.661,40.14969805,19995.075,37655.42282,37653.77892,37698.08989,1.35975
AUS_2005,-41.878,64.93798617,6.081685415,30.52020752,9.998,40.78924522,20232.346,38383.84218,38383.84218,38383.84218,1.30947
AUS_2006,-42.80060491,65.33203959,6.077839887,31.45723777,10.258,41.687798,20489.472,39281.34515,39281.34515,39254.47283,1.32797
AUS_2007,-62.18847261,65.64863022,6.09088244,33.3874367,10.578,44.01419417,20749.625,40294.22677,40287.27641,40197.04001,1.19507
AUS_2008,-50.30107475,65.2322591,6.05059075,32.45885973,10.871,43.06848945,21007.31,40392.46109,40387.13013,40322.25171,1.19218
AUS_2009,-45.38005528,65.08302475,6.020383821,32.71017956,10.952,44.38341585,21262.641,40820.34625,40814.64567,40737.18195,1.28219
AUS_2010,-39.63671023,65.78979192,6.119006532,34.06740963,11.247,47.86898556,21515.754,41113.58523,41107.48518,40994.07397,1.09016
AUT_1980,-1.97428752,68.46114388,8.08193378,27.13028225,2.789,53.74623222,7549.433,22398.56836,22420.51025,22479.69113,0.940241129
AUT_1981,-1.3825415,69.47228043,7.998306699,24.82243124,2.799,54.66745242,7564.629,22401.58326,22436.87139,22533.405,1.157445695
AUT_1982,0.31722548,70.03553016,8.305925575,22.92789613,2.766,53.07379673,7574.613,22590.47395,22634.60138,22783.34712,1.23974768
AUT_1983,0.06802936,71.56966293,8.440174654,21.91041208,2.735,53.37248227,7552.896,23161.23823,23217.08487,23397.91309,1.305443922
