"","sig_1","sig_2","sig_3","sig_4","sig_5","sig_6","sig_7","sig_8","sig_9","sig_10","sig_11","sig_12","sig_13","sig_14","sig_15","sig_16","sig_17","sig_18","sig_19","sig_20","sig_21","sig_22","sig_23","sig_24","sig_25","sig_26","sig_27","sig_28","sig_29","Transport.and.catabolism","Cell.motility","Cell.growth.and.death","Cell.communication"
"sig_1",1,0.885313590606842,0.863864201143918,0.934131628283692,0.779422375755441,0.958471015264807,0.981909470982315,0.828074765539396,0.461033869760064,0.898922417070244,0.890298969863703,0.343049064816296,0.898900550677438,0.877186961620824,0.141801961633022,0.855354543011362,0.915431946755563,0.89858361500673,0.720224551747915,0.811967382627407,0.566793318189523,0.95078770408417,0.917250250088133,0.918077365213399,0.806909860010408,0.953882713167187,0.83787350859158,0.928238942180824,0.752510049959494,-0.0789420148195074,-0.0523595670321016,0.0638313977294209,0.0718099870809321
"sig_2",0.885313590606842,1,0.653868779313992,0.763081153290919,0.628690741945191,0.832882549575238,0.922681216353693,0.975248314212331,0.324917534750368,0.684697814575248,0.701762723303307,0.207115370599496,0.710606031842873,0.71370409961927,0.0935116431744911,0.701190286288291,0.748150706440122,0.785774525095615,0.539484187698836,0.642900595466627,0.432937452285132,0.810070317780027,0.803542666650276,0.72529250923522,0.631169862929146,0.852545299561265,0.69561610731437,0.916668144008178,0.927802049011026,-0.0668956313958949,-0.0217621637364813,0.0744121091597037,0.0751840393325738
"sig_3",0.863864201143918,0.653868779313992,1,0.790964239733172,0.800357765996466,0.790178592493751,0.794894686881909,0.567204000070778,0.730518628673165,0.844744604219388,0.775099597339633,0.646637590188307,0.871311033812939,0.73333368325428,0.427811866921664,0.816566116795408,0.775296086485673,0.7019701674039,0.921963986426819,0.674081777266363,0.77872236401737,0.779321057528449,0.721072761060492,0.884756527207262,0.871839308841509,0.749453534807073,0.716498964449879,0.713972930559158,0.481065040848899,-0.12349230807065,-0.0685388169661915,0.0556835782165313,0.142425251099458
"sig_4",0.934131628283692,0.763081153290919,0.790964239733172,1,0.735871817621844,0.96834646923756,0.93878272416715,0.749584396694987,0.302928781900852,0.975451380050584,0.991848144561644,0.136144023022966,0.952828974176757,0.980563520325664,-0.0151201596689936,0.878880348060751,0.995139556432334,0.951748001861721,0.586451980977606,0.905485445888974,0.462413251456326,0.990901876304243,0.959778501173936,0.964998419680748,0.783743814370415,0.951358422543947,0.898640415859336,0.934717452692794,0.697480639484267,-0.0344666980080548,-0.0472354697560108,-0.00947300961428534,-0.032974768454999
"sig_5",0.779422375755441,0.628690741945191,0.800357765996466,0.735871817621844,1,0.750401908521123,0.763657186472568,0.552033633305284,0.659079607480401,0.714785266458048,0.739175185010353,0.27351604717309,0.836320207905796,0.747899731317263,0.417638129335276,0.862744052408151,0.749916231024901,0.726053785289744,0.59389917757868,0.815620325488876,0.758462364865568,0.719976704110886,0.719073141260076,0.822291910721018,0.930929205895034,0.724134934313775,0.878381710705899,0.721597300593553,0.474919852872109,-0.0847007642422233,-0.0831400623178354,-0.0116247977189108,0.0492139816106984
"sig_6",0.958471015264807,0.832882549575238,0.790178592493751,0.96834646923756,0.750401908521123,1,0.956174700475668,0.823105440431582,0.382929183638206,0.912970134555393,0.945384638584581,0.149259416195232,0.938107046163863,0.956521093757089,0.075329322421648,0.872204101503269,0.971612526634842,0.984394307968598,0.581057740432246,0.860044404338052,0.539574783756457,0.962155110955477,0.991298073531363,0.939515963796839,0.810385249652148,0.995595180423784,0.869288862547285,0.945780695071386,0.776929250278436,-0.0624373303079395,-0.0408942049068056,0.018093726027948,0.0220162633537024
"sig_7",0.981909470982315,0.922681216353693,0.794894686881909,0.93878272416715,0.763657186472568,0.956174700475668,1,0.885198745036967,0.356297140891138,0.88664486298956,0.898028687640017,0.222517557968089,0.889396314522952,0.893555014006327,0.0663910330305923,0.861075294144062,0.924735656947106,0.913002858979807,0.637519609500497,0.833730341764385,0.494986412795106,0.964021194498839,0.928698900453191,0.908966542995266,0.771920268598686,0.95813133226504,0.870402813685298,0.97554927265096,0.818623773205684,-0.0482955645893217,-0.0615283450707775,0.0244996741815174,0.00863492699660483
"sig_8",0.828074765539396,0.975248314212331,0.567204000070778,0.749584396694987,0.552033633305284,0.823105440431582,0.885198745036967,0.999999999999999,0.235841209367147,0.658945935467686,0.69595200523781,0.0801794301873043,0.684854862536893,0.720696372519925,0.0264134946341572,0.667273590991858,0.744111118077097,0.80436441177167,0.429118614084997,0.634596501060776,0.363434253276515,0.79219252928566,0.816682290241519,0.69132617189224,0.579664463089251,0.846718218230239,0.656616117826657,0.920956853595214,0.986243739557764,-0.0450899986142355,-0.0460212642189251,0.017499058122981,0.00320021190515005
"sig_9",0.461033869760064,0.324917534750368,0.730518628673165,0.302928781900852,0.659079607480401,0.382929183638206,0.356297140891138,0.235841209367147,1,0.337740434697017,0.297054308617092,0.676798583649295,0.495011993990847,0.291416978260726,0.791741576657006,0.434124014752744,0.309875416680089,0.3139578701681,0.639169838786779,0.302316519729603,0.929575523188323,0.274528557890611,0.307896465970512,0.463775547071826,0.757892382660748,0.349868484576746,0.333698401672467,0.26518247247863,0.177089068934117,-0.225118047965993,-0.0599840771112787,0.0756833938081819,0.252165189349359
"sig_10",0.898922417070244,0.684697814575248,0.844744604219388,0.975451380050584,0.714785266458048,0.912970134555393,0.88664486298956,0.658945935467686,0.337740434697017,1,0.977053024629701,0.26298069188561,0.942859024472472,0.941619726283153,0.00628728462157608,0.851846688429601,0.964066084700349,0.88173975096432,0.680819801834736,0.864302998627261,0.468538783152859,0.958964633221307,0.894294011200427,0.962821950419646,0.765997504804257,0.880133005827882,0.860662373070309,0.872029638467359,0.601640803864681,-0.0318364336512123,-0.0428839018452448,-0.0236485606175645,-0.0258497593114252
