"","Transport.and.catabolism","Cell.motility","Cell.growth.and.death","Cell.communication"
"ec:1.1.1.42",0.962764883569123,-0.233321368441736,-0.209110815716293,-0.268443819554867
"ec:1.1.3.15",0.962764883569123,-0.233321368441736,-0.209110815716293,-0.268443819554867
"ec:1.11.1.6",-0.171922300637344,-0.233321368441736,-0.209110815716293,-0.268443819554867
"ec:1.14.13.39",0.962764883569123,-0.233321368441736,-0.209110815716293,-0.268443819554867
"ec:1.17.3.2",-0.171922300637344,-0.233321368441736,-0.209110815716293,-0.268443819554867
"ec:1.17.4.1",-1.30660948484381,-0.233321368441736,1.41457316513963,-0.268443819554867
"ec:1.17.99.3",-0.171922300637344,-0.233321368441736,-0.209110815716293,-0.268443819554867
"ec:1.3.1.38",-0.171922300637344,-0.233321368441736,-0.209110815716293,-0.268443819554867
"ec:1.3.3.6",0.962764883569123,-0.233321368441736,-0.209110815716293,-0.268443819554867
"ec:1.4.3.1",-0.171922300637344,-0.233321368441736,-0.209110815716293,-0.268443819554867
"ec:1.4.3.3",-0.171922300637344,-0.233321368441736,-0.209110815716293,-0.268443819554867
"ec:2.1.1.43",-1.30660948484381,-0.233321368441736,-0.209110815716293,0.469776684221018
"ec:2.3.1.16",-0.171922300637344,-0.233321368441736,-0.209110815716293,-0.268443819554867
"ec:2.3.1.176",-0.171922300637344,-0.233321368441736,-0.209110815716293,-0.268443819554867
"ec:2.3.1.42",-0.171922300637344,-0.233321368441736,-0.209110815716293,-0.268443819554867
"ec:2.3.1.78",-0.171922300637344,-0.233321368441736,-0.209110815716293,-0.268443819554867
"ec:2.5.1.18",-0.171922300637344,-0.233321368441736,-0.209110815716293,-0.268443819554867
"ec:2.6.1.51",-0.171922300637344,-0.233321368441736,-0.209110815716293,-0.268443819554867
"ec:2.7.1.137",0.962764883569123,-0.233321368441736,-0.209110815716293,-0.268443819554867
"ec:2.7.1.149",-1.30660948484381,3.96646326350951,-0.209110815716293,-0.268443819554867
"ec:2.7.1.150",-0.171922300637344,1.16660684220868,-0.209110815716293,-0.268443819554867
"ec:2.7.1.153",-1.30660948484381,5.36639147415993,3.03825714599555,2.68443819554867
"ec:2.7.1.36",-0.171922300637344,-0.233321368441736,-0.209110815716293,-0.268443819554867
"ec:2.7.1.68",3.23213925198206,3.96646326350951,-0.209110815716293,0.469776684221018
"ec:2.7.4.2",-0.171922300637344,-0.233321368441736,-0.209110815716293,-0.268443819554867
"ec:3.1.1.13",-0.171922300637344,-0.233321368441736,-0.209110815716293,-0.268443819554867
"ec:3.1.1.5",-0.171922300637344,-0.233321368441736,-0.209110815716293,-0.268443819554867
"ec:3.1.2.2",-0.171922300637344,-0.233321368441736,-0.209110815716293,-0.268443819554867
"ec:3.1.2.22",0.962764883569123,-0.233321368441736,-0.209110815716293,-0.268443819554867
"ec:3.1.2.27",-0.171922300637344,-0.233321368441736,-0.209110815716293,-0.268443819554867
"ec:3.1.3.2",0.962764883569123,-0.233321368441736,-0.209110815716293,-0.268443819554867
"ec:3.1.3.67",-1.30660948484381,-0.233321368441736,0.602731174711667,1.2079971879969
"ec:3.1.4.11",-1.30660948484381,-0.233321368441736,0.602731174711667,2.68443819554867
"ec:3.1.4.12",-0.171922300637344,-0.233321368441736,-0.209110815716293,-0.268443819554867
"ec:3.1.4.4",0.962764883569123,-0.233321368441736,-0.209110815716293,-0.268443819554867
"ec:3.1.6.12",-0.171922300637344,-0.233321368441736,-0.209110815716293,-0.268443819554867
"ec:3.1.6.13",-0.171922300637344,-0.233321368441736,-0.209110815716293,-0.268443819554867
"ec:3.1.6.14",-0.171922300637344,-0.233321368441736,-0.209110815716293,-0.268443819554867
"ec:3.1.6.4",-0.171922300637344,-0.233321368441736,-0.209110815716293,-0.268443819554867
"ec:3.1.6.8",-0.171922300637344,-0.233321368441736,-0.209110815716293,-0.268443819554867
"ec:3.10.1.1",-0.171922300637344,-0.233321368441736,-0.209110815716293,-0.268443819554867
"ec:3.2.1.18",-0.171922300637344,-0.233321368441736,-0.209110815716293,-0.268443819554867
"ec:3.2.1.20",-0.171922300637344,-0.233321368441736,-0.209110815716293,-0.268443819554867
"ec:3.2.1.22",-0.171922300637344,-0.233321368441736,-0.209110815716293,-0.268443819554867
"ec:3.2.1.23",-0.171922300637344,-0.233321368441736,-0.209110815716293,-0.268443819554867
"ec:3.2.1.31",-0.171922300637344,-0.233321368441736,-0.209110815716293,-0.268443819554867
