"","Transport.and.catabolism","Cell.motility","Cell.growth.and.death","Cell.communication"
"ec:3.2.1.35",-0.171922300637344,-0.233321368441736,-0.209110815716293,-0.268443819554867
"ec:3.2.1.45",-0.171922300637344,-0.233321368441736,-0.209110815716293,-0.268443819554867
"ec:3.2.1.46",-0.171922300637344,-0.233321368441736,-0.209110815716293,-0.268443819554867
"ec:3.2.1.49",-0.171922300637344,-0.233321368441736,-0.209110815716293,-0.268443819554867
"ec:3.2.1.50",-0.171922300637344,-0.233321368441736,-0.209110815716293,-0.268443819554867
"ec:3.2.1.52",0.962764883569123,-0.233321368441736,-0.209110815716293,-0.268443819554867
"ec:3.2.1.76",-0.171922300637344,-0.233321368441736,-0.209110815716293,-0.268443819554867
"ec:3.3.2.10",-0.171922300637344,-0.233321368441736,-0.209110815716293,-0.268443819554867
"ec:3.5.1.23",-0.171922300637344,-0.233321368441736,-0.209110815716293,-0.268443819554867
"ec:3.6.1.22",-0.171922300637344,-0.233321368441736,-0.209110815716293,-0.268443819554867
"ec:3.6.1.6",-0.171922300637344,-0.233321368441736,-0.209110815716293,-0.268443819554867
"ec:3.6.3.14",-0.171922300637344,-0.233321368441736,-0.209110815716293,-0.268443819554867
"ec:4.1.1.9",-0.171922300637344,-0.233321368441736,-0.209110815716293,-0.268443819554867
"ec:4.1.3.4",-0.171922300637344,-0.233321368441736,-0.209110815716293,-0.268443819554867
"ec:4.2.1.107",-0.171922300637344,-0.233321368441736,-0.209110815716293,-0.268443819554867
"ec:4.6.1.1",-1.30660948484381,-0.233321368441736,7.09746709813534,6.3755407144281
"ec:4.6.1.2",-1.30660948484381,-0.233321368441736,-0.209110815716293,1.94621769177279
"ec:5.1.99.4",-0.171922300637344,-0.233321368441736,-0.209110815716293,-0.268443819554867
"ec:5.3.3.8",0.962764883569123,-0.233321368441736,-0.209110815716293,-0.268443819554867
"ec:6.2.1.3",5.50151362039499,-0.233321368441736,-0.209110815716293,-0.268443819554867
